Test,Input_Table,Input_ID_Column,Severity,Type,Expression,Test_Vals,Report_Statistic,Test_Description
#emme_trstops,transit_segments,id,NA,Calculation,set(transit_segments['@stop_id']),,,Obtain list of unique transit stop IDs from Emme network
#TRANSIT_STOP_CHECK,transit_stops,Stop_ID,Fatal,Test,transit_stops.Stop_ID.apply(lambda x: True if x in emme_trstops else False),,,Check that the Emme network is pulling in all transit stops located in the trstop.csv input file
#veh_class_toll_by_year,veh_class_toll,Facility_name,NA,Calculation,veh_class_toll[veh_class_toll['Year'] == scenarioYear],,,Scenario year-specific toll facilities from vehicle_class_toll_factors.csv file
#veh_class_toll_by_year_names,veh_class_toll_by_year,Facility_name,NA,Calculation,list(veh_class_toll_by_year.Facility_name),,,Obtain list of unique scenario year-specific toll facility names from vehicle_class_toll_factors.csv file
#veh_class_toll_by_year_names_concat,veh_class_toll_by_year_names,Facility_name,NA,Calculation,"""|"".join(veh_class_toll_by_year_names)",,,Concatenate list of unique scenario year-specific toll facility names from vehicle_class_toll_factors.csv file
#toll_column_names,network_links,id,NA,Calculation,[col for col in network_links if (col.startswith('@toll'))],,,Create list containing column names of toll cost columns
#no_toll_rows,network_links,id,NA,Calculation,(network_links[toll_column_names] == 0).all(axis=1),,,Create boolean array of whether or not each row's total toll cost exceeds 0
#emme_toll,network_links,id,NA,Calculation,network_links.loc[(network_links['@lane_restriction'] >1) & (~no_toll_rows)],,,Table of links that have an IHOV (or @lane_restriction) value greater than 1 and a toll cost
#emme_toll_names_matching,emme_toll,id,NA,Calculation,emme_toll[emme_toll['linkNames'].str.contains(veh_class_toll_by_year_names_concat)],,,Obtain list of emme network toll links that contain facility toll names from the vehicle_class_toll_factors.csv file
#emme_toll_names_matching_ids,emme_toll_names_matching,id,NA,Calculation,set(emme_toll_names_matching.id),,,Obtain unique ids of matching toll names
#IHOV_FACILITY_CHECK,emme_toll,id,Logical,Test,emme_toll.id.apply(lambda x: True if x in emme_toll_names_matching_ids else False),,,Check that scenario year-specific toll facilities (from vehicle_class_toll_factors.csv) are present in Emme network toll facilities
#TRANSIT_LINE_TAP_CHECK,transit_lines,id,Logical,Test,transit_lines.hasTAP.apply(lambda x: True if x else False),,,Check that all transit lines begin and end at a TAP
#ZONE_NON_TOLL_CONN_CHECK,centroids,id,Fatal,Test,centroids.hasLocalConnection.apply(lambda x: True if x else False),,,Check that each zone has a non-toll connection
#ifc_speed_dict,network_links,id,NA,Calculation,"{1:85, 2:70, 3:60, 4:50, 5:50, 6:50, 7:50, 8:85, 9:50, 10:50}",,,"Create IFC-Speed dictionary (IFC=key, Speed=value)"
#IFC_SPEED_CHECK,network_links,id,Warning,Test,"network_links.apply(lambda x: not (ifc_speed_dict[x['type']]==x['@speed_posted']) if (x['type'] in ifc_speed_dict.keys()) else False, axis=1) ",,,"Check if an IFC's assigned speed is correct (1 = 85mph, 2 = 70mph, 3 = 60mph, 4 = 50mph, 5 = 50mph, 6 = 50mph, 7 = 50mph, 8 = 85mph, 9 = 50mph, 10 = 50mph)"
#toll_column_names,network_links,id,NA,Calculation,[col for col in network_links if (col.startswith('@toll'))],,,Create list containing column names of toll cost columns
#no_toll_rows,network_links,id,NA,Calculation,(network_links[toll_column_names] == 0).all(axis=1),,,Create boolean array of whether or not each row's total toll cost exceeds 0
#IHOV2_0_TOLL_CHECK,network_links,id,Warning,Test,"network_links[(network_links['@lane_restriction'] == 2) & (no_toll_rows)].apply(lambda x: set(list('shitmv')).difference(list(x['modes'])) == {'h', 'i'}, axis=1)",,,Check that HOV2 and HOV3+ modes are only available for IHOV=2 with no toll cost
#IHOV3_0_TOLL_CHECK,network_links,id,Warning,Test,"network_links[(network_links['@lane_restriction'] == 3) & (no_toll_rows)].apply(lambda x: set(list('shitmv')).intersection(list(x['modes'])) == {'i'}, axis=1)",,,Check that HOV3+ modes are only available for IHOV=3 with no toll cost
#IHOV1_TOLL_0_TOLL_CHECK,network_links,id,Warning,Test,"network_links[(network_links['@lane_restriction'].isin([1,4])) & (no_toll_rows)].apply(lambda x: len(set(list('shitmv')).difference(list(x['modes']))) == 0, axis=1)",,,Check that all modes are available for General Purpose and no cost toll lanes
#IHOV1_NO_TOLL_CHECK,network_links,id,Fatal,Test,network_links[network_links['@lane_restriction'] == 1][toll_column_names].sum().sum() == 0,,,Check if toll cost is 0 for General Purpose lanes (IHOV=1)
#NON_ZERO_TOLL_CHECK,network_links,id,Warning,Test,"network_links[not(no_toll_rows)].apply(lambda x: len(set(list('shitmv')).difference((list(x['modes'])))) == 0, axis=1)",,,Check that all operation type lanes are available at a nonzero toll cost
#TRANSIT_ON_ZONE_CONNECTOR,network_links,id,Fatal,Test,len(network_links[(network_links['isTransit'] == 1) & (network_links['@lane_restriction'] == 10)]) == 0,,,Check if any transit links are on zone connectors
#net_links_lanes,network_links,id,NA,Calculation,network_links.loc[network_links['num_lanes']>0],,,Subset of Emme network links that contain at least 1 lane
#HWYCOV_ID_CHECK_TCOV_ID,net_links_lanes,@tcov_id,Fatal,Test,"~net_links_lanes.duplicated(subset=['@tcov_id'], keep = False)",,,Check if there is more than one network link associated for each unique HWYCOV_ID (i.e. @tcov_id). Reports @tcov_id
#HWYCOV_ID_CHECK_LINK_ID,net_links_lanes,id,Fatal,Test,"~net_links_lanes.duplicated(subset=['@tcov_id'], keep = False)",,,Check if there is more than one network link associated for each unique HWYCOV_ID (i.e. @tcov_id). Reports link id
