HHID,PERSONS,workers,VEHICL,MAZ,income,HHT,unittype,bldgsz
11136,2,0,0,100504,6690,7,0,8
11137,5,1,0,100506,43272,1,0,8
11138,4,1,0,100515,304865,3,0,8
11139,5,4,0,100518,17446,7,0,8
11141,2,0,0,100514,51596,3,0,8
11142,4,3,0,100509,155637,1,0,8
11143,2,0,0,100506,24531,1,0,8
11145,5,2,0,100515,14702,1,0,8
11147,1,0,0,100504,10637,6,0,2
11149,4,1,0,100506,65319,3,0,3
11150,2,2,0,100516,12982,5,0,2
11152,5,4,0,100505,38455,1,0,8
11153,4,1,0,100510,54868,3,0,8
11154,4,2,0,100515,9197,1,0,8
11157,2,2,0,100502,62707,1,0,8
11158,3,2,0,100515,43706,7,0,8
11159,5,1,0,100505,212644,1,0,8
11160,4,1,0,100509,129754,1,0,8
11161,2,1,0,100506,46151,1,0,8
11162,5,1,0,100505,178073,7,0,2
11163,5,2,0,100517,98582,1,0,8
11164,2,1,0,100511,29549,1,0,8
11165,4,2,0,100508,16361,1,0,3
11166,4,2,0,100517,16201,1,0,8
11167,4,0,0,100504,58056,3,0,2
11169,2,0,0,100510,16489,3,0,2
11170,4,3,0,100514,56280,1,0,8
11171,2,0,0,100514,16840,1,0,8
11173,2,1,0,100502,24010,7,0,3
11174,2,2,0,100515,180273,5,0,8
11175,2,2,0,100510,10869,2,0,8
11176,3,0,0,100502,14830,3,0,8
11177,3,2,0,100502,73172,1,0,8
11178,2,1,0,100514,115670,1,0,8
11179,2,2,0,100511,56175,2,0,3
11180,2,2,0,100509,289120,1,0,8
11183,2,2,0,100511,41752,5,0,8
11184,3,2,0,100502,39688,5,0,8
11185,2,1,0,100514,300367,2,0,8
11186,4,2,0,100501,70178,1,0,2
11187,3,2,0,100514,17413,1,0,8
11188,2,1,0,100514,27916,7,0,8
11189,4,2,0,100509,171035,1,0,8
11191,2,2,0,100518,22662,1,0,8
11193,3,1,0,100514,14576,1,0,2
11195,2,1,0,100505,24046,1,0,8
11197,4,2,0,100510,7696,1,0,8
11198,3,1,0,100509,127610,2,0,3
11199,4,1,0,100517,35764,1,0,2
11200,2,0,0,100509,28509,1,0,8
11201,4,1,0,100514,58578,3,0,8
11202,2,2,0,100504,19166,7,0,3
11204,2,2,0,100517,59571,5,0,8
11206,2,1,0,100502,35110,2,0,8
11207,2,1,0,100514,106358,2,0,8
11208,2,1,0,100505,116588,2,0,2
11209,1,0,0,100505,12170,6,0,2
11210,6,3,0,100514,35437,1,0,8
11211,6,2,0,100516,17159,1,0,8
11212,2,2,0,100515,20007,7,0,8
11213,2,2,0,100518,125467,1,0,8
11214,3,1,0,100514,37972,3,0,8
11215,2,0,0,100508,29599,1,0,8
11216,3,1,0,100515,46798,1,0,8
11217,3,1,0,100506,19656,2,0,8
11218,2,1,0,100502,19983,1,0,8
11219,2,2,0,100514,163115,7,0,8
11220,4,1,0,100514,255380,1,0,8
11221,3,0,0,100517,106588,7,0,8
11223,2,1,0,100509,95837,7,0,8
11226,2,0,0,100504,30836,7,0,8
11227,6,2,0,100504,28138,7,0,8
11229,2,1,0,100511,15851,5,0,8
11230,2,1,0,100511,8229,7,0,8
11233,2,0,0,100511,57533,2,0,8
11234,3,1,0,100504,46690,1,0,8
11236,3,0,0,100505,31157,3,0,2
11237,5,2,0,100504,25106,1,0,2
11238,5,2,0,100504,23920,2,0,3
11239,4,2,0,100504,27569,1,0,8
11240,2,2,0,100517,142438,1,0,2
11242,2,2,0,100505,295868,7,0,2
11243,1,0,0,100514,27619,6,0,3
11245,2,1,0,100516,86460,7,0,8
11246,2,2,0,100514,19446,2,0,8
11247,2,1,0,100514,25232,7,0,8
11248,2,2,0,100504,49494,5,0,8
11249,3,2,0,100515,31677,1,0,8
11250,3,3,0,100509,12727,7,0,8
11251,2,1,0,100505,171474,7,0,8
11252,2,2,0,100513,16266,7,0,8
11253,2,2,0,100506,14480,7,0,8
11256,4,4,0,100515,14894,1,0,8
11257,3,1,0,100502,68494,3,0,2
11258,4,2,0,100505,4618,1,0,8
11259,4,1,0,100515,32449,3,0,8
11260,3,1,0,100514,53106,1,0,8
11261,4,2,0,100514,111162,1,0,8
11262,2,2,0,100514,36606,1,0,8
11263,3,1,0,100509,26238,1,0,8
11265,7,4,0,100505,45558,7,0,2
11266,4,2,0,100504,28856,3,0,2
11268,2,1,0,100505,25789,1,0,2
11269,6,3,0,100505,49116,1,0,8
11272,1,0,0,100502,41628,4,0,8
11274,2,1,0,100504,65685,7,0,8
11276,2,1,0,100516,41535,3,0,8
11277,1,1,0,100510,157396,6,0,8
11278,3,1,0,100502,42558,3,0,8
11280,3,0,0,100515,40545,3,0,8
11281,2,2,0,100511,61975,7,0,3
11283,3,2,0,100505,116282,1,0,8
11284,2,1,0,100509,23201,1,0,8
11285,3,2,0,100517,30390,7,0,8
11287,7,2,0,100510,87582,1,0,8
11290,2,1,0,100515,20170,7,0,8
11291,4,2,0,100511,44420,3,0,8
11292,3,2,0,100514,38134,1,0,3
11294,5,4,0,100505,103157,1,0,2
11296,3,2,0,100515,16999,1,0,8
11297,3,1,0,100506,10776,1,0,8
11299,4,0,0,100508,20449,3,0,2
11300,3,1,0,100505,60721,1,0,8
11301,2,2,0,100505,19469,1,0,8
11302,2,1,0,100500,45040,7,0,8
11304,5,1,0,100510,63177,1,0,8
11305,3,0,0,100514,51273,3,0,8
11306,4,2,0,100504,19959,1,0,8
11307,2,1,0,100510,61087,5,0,8
11308,4,2,0,100510,101784,1,0,2
11309,2,1,0,100502,18886,1,0,3
11310,2,2,0,100509,40883,5,0,8
11311,2,1,0,100514,60982,1,0,8
11312,3,2,0,100514,97438,1,0,8
11313,2,1,0,100509,71113,1,0,8
11315,2,0,0,100516,49925,1,0,3
11316,3,2,0,100504,21920,1,0,8
11318,2,2,0,100509,63438,7,0,3
11319,2,0,0,100510,119651,2,0,8
11321,2,2,0,100509,109104,7,0,8
11322,1,0,0,100517,85523,6,0,8
11323,2,2,0,100514,86272,2,0,8
11324,3,1,0,100504,27767,7,0,8
11325,2,1,0,100510,11380,7,0,8
11327,2,1,0,100510,96524,1,0,8
11328,2,1,0,100513,39339,1,0,8
11329,2,1,0,100516,88705,1,0,2
11330,2,2,0,100511,52027,5,0,8
11332,4,1,0,100514,21056,3,0,2
11333,6,2,0,100514,40977,1,0,8
11335,2,2,0,100506,102470,5,0,8
11338,2,2,0,100504,53915,2,0,8
11339,4,1,0,100510,22224,1,0,8
11340,4,2,0,100510,104529,3,0,8
11343,2,2,0,100510,27470,5,0,8
11344,2,2,0,100511,57011,1,0,8
11345,2,0,0,100505,130061,3,0,2
11346,5,2,0,100505,21664,1,0,8
11347,5,2,0,100509,31182,1,0,8
11348,1,0,0,100508,14288,6,0,2
11350,1,1,0,100517,40653,4,0,8
11352,4,2,0,100510,23722,1,0,8
11353,2,2,0,100518,266627,1,0,8
11355,5,2,0,100517,66783,1,0,8
11356,1,1,0,100515,26004,4,0,8
11357,5,2,0,100508,52081,7,0,8
11359,4,2,0,100514,18839,1,0,8
11361,4,1,0,100505,10173,1,0,8
11362,2,0,0,100504,4499,1,0,2
11363,3,2,0,100516,109332,1,0,8
11364,2,1,0,100510,21990,1,0,8
11368,2,1,0,100514,11288,1,0,8
11369,2,2,0,100502,42714,7,0,8
11370,2,0,0,100502,30514,3,0,2
11372,4,2,0,100518,38160,7,0,8
11373,3,1,0,100514,32215,3,0,3
11374,2,2,0,100502,11473,5,0,8
11375,2,1,0,100516,25645,3,0,8
11376,3,2,0,100510,168394,1,0,8
11377,2,1,0,100506,9754,5,0,8
11378,2,1,0,100504,23650,5,0,3
11379,3,0,0,100516,24819,1,0,8
11380,3,1,0,100502,24729,7,0,8
11381,2,1,0,100514,42031,1,0,3
11382,2,2,0,100502,46744,2,0,8
11383,3,1,0,100502,18909,3,0,3
11386,2,2,0,100504,126692,5,0,8
11387,3,2,0,100518,13006,1,0,8
11388,2,0,0,100506,19259,1,0,8
11389,2,2,0,100508,17956,5,0,8
11390,5,1,0,100511,19796,3,0,8
11391,3,1,0,100504,12913,3,0,8
11392,4,1,0,100505,42806,3,0,3
11394,5,2,0,100505,203646,3,0,8
11397,3,0,0,100515,159596,3,0,8
11401,3,2,0,100509,30489,3,0,8
11403,2,1,0,100502,48847,5,0,8
11404,2,0,0,100502,12054,1,0,2
11405,3,1,0,100502,54973,3,0,8
11406,3,3,0,100514,179833,5,0,8
11407,3,2,0,100506,9359,1,0,8
11408,2,1,0,100502,30019,5,0,8
11409,2,0,0,100518,154316,5,0,8
11410,2,1,0,100514,33663,1,0,8
11411,2,0,0,100504,42124,7,0,8
11413,2,1,0,100504,18676,5,0,8
11414,4,2,0,100517,53268,1,0,8
11415,4,1,0,100504,592,1,0,8
11416,2,1,0,100506,20497,7,0,2
11418,2,2,0,100511,100183,7,0,8
11420,4,3,0,100504,29350,1,0,2
11421,4,1,0,100517,1954,1,0,2
11424,2,1,0,100509,90806,7,0,8
11425,3,2,0,100502,93550,5,0,2
11427,4,4,0,100504,115057,2,0,2
11428,3,1,0,100509,259879,1,0,8
11429,6,2,0,100515,38589,1,0,3
11430,2,1,0,100504,59520,7,0,8
11431,3,3,0,100509,3434,5,0,8
11432,3,1,0,100518,15086,1,0,8
11434,2,2,0,100511,37597,5,0,2
11435,3,2,0,100515,17350,1,0,8
11438,5,1,0,100517,55444,3,0,8
11441,4,0,0,100517,64483,1,0,8
11442,2,2,0,100518,153877,2,0,3
11444,2,1,0,100510,11356,3,0,8
11446,2,0,0,100504,24693,7,0,2
11448,4,3,0,100514,29573,1,0,3
11449,2,1,0,100511,17796,7,0,8
11451,3,1,0,100517,36659,1,0,8
11452,2,0,0,100504,48469,7,0,8
11453,3,2,0,100504,23219,7,0,8
11454,2,1,0,100502,28880,1,0,8
11455,1,0,0,100508,23740,6,0,8
11456,2,1,0,100502,84401,3,0,3
11458,4,2,0,100510,135838,1,0,8
11459,2,1,0,100509,64640,2,0,8
11460,2,2,0,100506,43489,1,0,8
11461,2,2,0,100502,62079,2,0,8
11462,3,2,0,100504,9290,1,0,8
11463,3,1,0,100502,10010,3,0,8
11464,4,3,0,100514,18582,3,0,8
11465,2,2,0,100504,41380,7,0,8
11467,3,2,0,100514,24585,3,0,8
11468,2,1,0,100517,5446,7,0,8
11469,5,3,0,100515,117507,1,0,8
11472,5,2,0,100502,29227,3,0,8
11473,5,2,0,100509,110476,1,0,8
11474,2,2,0,100514,77664,1,0,8
11475,4,1,0,100514,24118,7,0,8
11476,2,1,0,100506,149917,1,0,2
11478,1,1,0,100515,13029,4,0,8
11479,6,0,0,100509,39955,7,0,8
11480,2,2,0,100505,105673,5,0,8
11482,3,2,0,100505,23165,1,0,8
11483,6,1,0,100505,6039,1,0,3
11484,3,3,0,100510,22294,1,0,2
11485,3,0,0,100510,13937,3,0,3
11488,2,1,0,100510,65162,3,0,8
11490,3,1,0,100508,3552,1,0,2
11492,2,2,0,100505,62184,7,0,8
11494,2,1,0,100510,37463,5,0,8
11495,2,1,0,100506,90389,1,0,8
11496,9,8,0,100508,235136,1,0,8
11497,2,2,0,100510,120263,5,0,8
11498,3,0,0,100514,57795,3,0,2
11499,3,2,0,100503,26634,7,0,2
11500,2,2,0,100509,34549,5,0,8
11501,4,0,0,100504,107731,7,0,8
11502,5,2,0,100504,27197,1,0,8
11504,4,3,0,100504,32122,1,0,8
11505,3,2,0,100518,291369,7,0,2
11506,2,1,0,100502,107960,7,0,2
11508,2,0,0,100511,11078,7,0,8
11512,5,1,0,100514,28806,1,0,3
11518,6,2,0,100509,43768,3,0,2
11521,4,1,0,100516,82342,2,0,2
11522,3,2,0,100502,36713,1,0,8
11523,2,1,0,100502,205896,1,0,8
11526,5,0,0,100504,31795,2,0,2
11527,3,2,0,100516,102699,1,0,8
11529,3,1,0,100515,32262,3,0,8
11530,2,2,0,100504,61923,7,0,8
11532,3,2,0,100504,26364,1,0,8
11536,2,0,0,100505,27446,1,0,8
11538,3,2,0,100505,47984,1,0,2
11539,5,3,0,100506,12379,1,0,8
11540,3,1,0,100502,26957,3,0,8
11542,2,1,0,100515,12356,7,0,8
11543,3,1,0,100516,31009,1,0,2
11545,3,1,0,100503,18932,2,0,2
11547,5,3,0,100514,194649,7,0,8
11549,2,1,0,100504,18863,1,0,8
11550,3,2,0,100502,64066,1,0,8
11551,3,2,0,100506,58161,3,0,8
11554,2,1,0,100505,29400,2,0,3
11555,4,2,0,100517,14129,1,0,2
11556,5,4,0,100502,169714,1,0,8
11558,2,2,0,100508,29969,2,0,8
11559,4,2,0,100518,67096,1,0,8
11560,7,2,0,100506,79535,2,0,2
11561,3,1,0,100505,89453,5,0,3
11562,2,0,0,100505,138038,1,0,8
11563,4,2,0,100508,42962,1,0,2
11568,6,1,0,100506,37383,1,0,8
11569,2,1,0,100502,43551,1,0,2
11570,1,1,0,100508,20380,4,0,8
11571,2,2,0,100500,36686,1,0,2
11574,2,1,0,100504,164875,1,0,2
11577,2,0,0,100513,29870,3,0,8
11578,2,2,0,100505,21827,5,0,8
11579,6,4,0,100509,38911,1,0,8
11580,3,1,0,100506,21734,7,0,8
11581,3,1,0,100505,25466,1,0,3
11582,6,2,0,100504,29697,1,0,8
11583,3,2,0,100511,180713,1,0,8
11584,2,2,0,100509,38509,1,0,8
11586,3,2,0,100517,61766,7,0,8
11587,2,2,0,100513,50248,5,0,8
11589,2,1,0,100509,56959,2,0,8
11590,2,1,0,100504,27792,3,0,2
11592,2,1,0,100500,39499,2,0,3
11593,5,2,0,100504,32729,1,0,2
11594,3,3,0,100510,45009,1,0,8
11596,2,0,0,100515,24549,7,0,8
11597,4,1,0,100516,28113,7,0,2
11598,2,2,0,100514,41969,2,0,8
11600,2,2,0,100514,84588,1,0,8
11601,4,1,0,100517,65894,1,0,8
11602,2,2,0,100505,54607,7,0,3
11604,1,0,0,100511,40250,4,0,8
11605,2,2,0,100508,13809,1,0,8
11606,5,0,0,100504,36044,3,0,8
11608,2,0,0,100514,28930,1,0,8
11609,4,1,0,100516,7636,3,0,8
11610,3,2,0,100517,23093,7,0,2
11611,2,2,0,100506,29450,5,0,8
11614,5,2,0,100511,172354,1,0,8
11615,2,0,0,100502,26256,7,0,8
11618,1,0,0,100509,8703,6,0,8
11619,4,1,0,100510,12541,1,0,8
11621,1,0,0,100504,10520,6,0,2
11622,3,1,0,100502,31033,1,0,2
11623,4,1,0,100505,29673,2,0,8
11624,2,2,0,100502,22061,5,0,8
11626,3,0,0,100514,10382,3,0,8
11627,3,0,0,100517,109561,5,0,2
11630,3,2,0,100518,46313,1,0,8
11631,1,1,0,100514,7045,4,0,8
11632,1,1,0,100502,10242,6,0,3
11633,3,2,0,100509,20146,1,0,8
11635,5,3,0,100514,355,7,0,8
11636,3,2,0,100517,5328,3,0,8
11638,2,1,0,100508,105444,1,0,2
11641,5,1,0,100509,52459,1,0,8
11645,4,1,0,100509,58422,1,0,8
11647,2,2,0,100511,105215,2,0,8
11648,2,1,0,100506,23380,7,0,8
11650,5,2,0,100504,36846,1,0,8
11651,2,1,0,100515,50841,1,0,8
11653,4,2,0,100515,41721,1,0,8
11655,6,5,0,100502,30588,7,0,8
11656,4,1,0,100504,35390,3,0,2
11658,2,2,0,100504,65372,7,0,3
11659,2,2,0,100504,60303,5,0,8
11661,4,1,0,100514,59362,3,0,8
11663,2,1,0,100517,25304,7,0,3
11667,2,1,0,100514,42218,3,0,8
11668,2,0,0,100515,120569,1,0,8
11669,4,3,0,100517,19329,2,0,2
11670,5,5,0,100506,79909,7,0,8
11671,3,1,0,100505,39152,1,0,3
11672,3,3,0,100516,67200,1,0,8
11673,2,2,0,100514,14958,3,0,8
11674,4,2,0,100504,23632,2,0,8
11676,3,2,0,100506,21197,7,0,8
11678,5,2,0,100513,54398,1,0,2
11679,3,2,0,100515,25537,3,0,3
11681,2,1,0,100510,37785,3,0,8
11682,2,0,0,100510,39098,1,0,8
11684,2,1,0,100502,10033,5,0,8
11685,2,2,0,100510,36793,5,0,8
11688,3,2,0,100514,61192,1,0,8
11689,2,2,0,100515,236,1,0,8
11690,5,3,0,100514,42000,3,0,8
11691,6,3,0,100517,31429,2,0,8
11692,4,1,0,100514,143757,1,0,8
11693,2,2,0,100506,29029,5,0,8
11697,2,1,0,100514,32309,5,0,8
11698,5,1,0,100504,2486,1,0,3
11699,5,1,0,100502,26311,1,0,8
11701,6,2,0,100511,23040,7,0,8
11702,5,1,0,100514,14224,1,0,3
11704,3,1,0,100510,33336,1,0,8
11706,2,1,0,100510,14320,1,0,8
11707,2,1,0,100505,83278,5,0,8
11708,2,1,0,100505,27990,7,0,8
11709,5,2,0,100502,27742,3,0,2
11710,3,2,0,100510,37812,7,0,8
11711,5,1,0,100502,40914,1,0,8
11712,2,1,0,100504,14161,7,0,8
11713,2,1,0,100505,5210,1,0,3
11714,2,1,0,100514,20800,5,0,8
11715,2,2,0,100514,122100,5,0,8
11716,4,4,0,100510,156076,2,0,2
11717,2,2,0,100504,52998,5,0,3
11718,4,2,0,100516,28534,1,0,8
11719,2,1,0,100511,2783,1,0,8
11720,4,1,0,100514,64275,3,0,8
11722,4,1,0,100517,52675,1,0,8
11723,2,2,0,100504,23111,2,0,2
11724,4,2,0,100511,35577,1,0,8
11726,2,1,0,100504,20683,5,0,8
11728,3,1,0,100505,19353,1,0,3
11730,3,2,0,100516,92178,1,0,8
11731,7,2,0,100517,122406,3,0,8
11732,2,2,0,100504,9940,1,0,8
11733,5,2,0,100518,24746,1,0,8
11734,2,1,0,100504,24513,2,0,2
11735,3,1,0,100510,18536,3,0,8
11736,2,2,0,100502,136719,7,0,8
11739,2,2,0,100505,161356,1,0,8
11741,2,2,0,100504,32402,1,0,8
11742,2,2,0,100506,83839,7,0,3
11744,2,2,0,100516,829,5,0,2
11745,2,2,0,100510,34597,1,0,8
11746,2,0,0,100504,239635,7,0,8
11748,2,2,0,100506,17382,1,0,8
11749,4,1,0,100502,48199,1,0,8
11750,3,0,0,100514,55182,3,0,8
11751,5,2,0,100509,43644,1,0,8
11752,2,2,0,100518,59885,5,0,8
11753,2,1,0,100513,20730,5,0,2
11754,4,1,0,100504,19119,1,0,3
11756,3,3,0,100504,3493,1,0,3
11757,2,1,0,100517,6808,7,0,8
11759,2,1,0,100514,54076,1,0,2
11760,3,2,0,100515,124855,3,0,8
11761,2,2,0,100510,34317,3,0,8
11763,1,0,0,100513,38053,6,0,8
11764,3,1,0,100505,62759,1,0,8
11765,6,3,0,100505,651,1,0,8
11767,4,3,0,100508,15468,1,0,8
11770,2,0,0,100515,275624,1,0,8
11772,3,1,0,100514,49386,1,0,8
11773,6,2,0,100517,415,1,0,3
11775,3,0,0,100504,23273,1,0,8
11776,7,2,0,100504,60407,1,0,8
11777,2,2,0,100514,56331,2,0,8
11778,4,1,0,100515,192400,2,0,8
11779,3,2,0,100504,99496,1,0,2
11781,3,0,0,100514,8051,1,0,8
11782,3,2,0,100515,10962,1,0,2
11784,2,2,0,100514,62394,7,0,8
11786,2,2,0,100508,59937,5,0,8
11788,6,3,0,100518,32822,3,0,8
11789,2,1,0,100514,13714,1,0,8
11792,2,1,0,100502,17892,7,0,8
11795,3,2,0,100515,125774,1,0,8
11797,5,2,0,100510,14543,1,0,8
11798,2,1,0,100500,23848,1,0,8
11799,3,1,0,100509,140239,1,0,8
11800,2,1,0,100504,22364,7,0,2
11803,2,1,0,100514,36365,5,0,8
11804,4,2,0,100506,187901,3,0,8
11807,2,2,0,100506,282372,5,0,8
11808,2,2,0,100504,45504,1,0,2
11809,1,0,0,100509,16010,6,0,8
11812,3,2,0,100516,20893,1,0,8
11813,2,2,0,100502,74108,1,0,3
11814,2,2,0,100504,1065,3,0,8
11815,3,2,0,100509,34876,1,0,8
11817,2,1,0,100516,78974,3,0,8
11818,2,2,0,100509,30786,2,0,2
11819,3,1,0,100505,69242,3,0,2
11820,2,2,0,100509,81968,3,0,8
11821,4,2,0,100506,110704,3,0,8
11823,3,1,0,100516,36258,2,0,8
11824,6,4,0,100502,28683,1,0,2
11826,2,0,0,100510,10312,2,0,8
11827,4,2,0,100506,97896,3,0,8
11829,2,1,0,100506,37704,3,0,8
11830,2,1,0,100514,132204,7,0,8
11831,3,0,0,100517,30167,7,0,2
11832,3,1,0,100510,27321,1,0,8
11833,3,2,0,100509,244133,1,0,2
11835,3,1,0,100515,8999,7,0,8
11836,2,1,0,100510,38240,2,0,8
11838,2,1,0,100517,146398,1,0,8
11839,3,2,0,100514,37919,3,0,8
11841,2,0,0,100502,28213,3,0,8
11842,5,2,0,100518,43923,1,0,8
11843,2,2,0,100515,1125,7,0,2
11845,2,2,0,100517,13618,5,0,8
11846,3,2,0,100509,107502,1,0,8
11852,2,2,0,100518,21547,1,0,8
11853,3,2,0,100508,44389,1,0,8
11855,2,2,0,100510,24280,5,0,8
11856,4,2,0,100503,21290,1,0,2
11857,4,3,0,100510,9801,1,0,2
11858,5,2,0,100502,39607,7,0,2
11859,2,2,0,100543,22546,1,0,3
11860,2,0,0,100543,8838,1,0,2
11861,2,1,0,100531,68282,1,0,3
11862,2,2,0,100543,77986,1,0,2
11864,2,1,0,100542,33338,7,0,8
11865,3,1,0,100537,150238,1,0,8
11866,2,2,0,100523,78336,3,0,8
11867,5,5,0,100523,46783,1,0,3
11868,4,3,0,100540,6039,3,0,3
11869,3,0,0,100539,41723,3,0,2
11870,6,1,0,100540,81921,3,0,8
11871,1,1,0,100537,9940,6,0,8
11872,4,1,0,100537,45064,5,0,8
11873,6,2,0,100530,129997,5,0,2
11874,2,0,0,100530,2013,3,0,2
11875,3,2,0,100519,59901,1,0,8
11876,4,1,0,100543,148817,1,0,2
11877,5,1,0,100524,15342,3,0,8
11878,3,1,0,100529,54258,3,0,8
11879,2,1,0,100521,179021,1,0,8
11880,6,3,0,100519,15823,1,0,8
11881,2,2,0,100522,93258,7,0,8
11882,3,2,0,100525,1750,3,0,8
11883,2,0,0,100532,169782,3,0,8
11884,2,2,0,100521,15229,1,0,8
11885,2,0,0,100522,12175,3,0,2
11886,3,2,0,100521,83319,3,0,8
11887,2,2,0,100528,37941,5,0,8
11888,2,0,0,100540,4945,3,0,2
11889,5,3,0,100519,34690,1,0,8
11890,4,2,0,100540,5382,1,0,8
11891,2,1,0,100522,7263,3,0,8
11892,2,1,0,100522,4813,1,0,2
11893,3,2,0,100525,40575,1,0,8
11895,2,2,0,100529,83058,5,0,8
11896,3,2,0,100525,60637,1,0,8
11897,2,1,0,100531,78074,1,0,2
11898,2,1,0,100542,89003,7,0,2
11899,2,1,0,100536,11704,7,0,2
11900,2,0,0,100526,3413,3,0,8
11901,4,2,0,100542,32614,1,0,8
11902,2,1,0,100542,45640,7,0,8
11903,4,2,0,100521,255059,1,0,8
11904,2,1,0,100521,9587,1,0,8
11905,4,3,0,100528,39280,3,0,8
11906,3,2,0,100519,130469,1,0,8
11907,3,1,0,100525,82096,1,0,2
11908,3,1,0,100529,44705,1,0,8
11909,6,1,0,100519,11116,1,0,8
11910,2,1,0,100523,87692,1,0,8
11912,3,3,0,100536,93407,1,0,8
11913,3,1,0,100529,42911,1,0,8
11914,2,2,0,100538,73878,1,0,2
11915,2,2,0,100521,106815,1,0,8
11916,2,2,0,100531,60436,1,0,2
11917,3,1,0,100541,33022,1,0,8
11918,2,2,0,100529,39928,1,0,8
11919,2,2,0,100529,161609,1,0,8
11920,2,1,0,100522,65523,1,0,2
11921,2,2,0,100529,89789,1,0,8
11922,6,4,0,100528,73265,1,0,2
11923,5,2,0,100523,101452,5,0,8
11924,3,2,0,100521,142777,1,0,2
11925,2,1,0,100525,83582,1,0,8
11926,4,2,0,100540,59097,1,0,8
11927,2,1,0,100521,12116,1,0,8
11928,2,2,0,100542,55082,7,0,2
11929,6,2,0,100542,14124,1,0,8
11930,3,2,0,100521,56554,1,0,8
11931,2,1,0,100525,23163,3,0,8
11932,2,2,0,100523,3019,5,0,2
11933,2,1,0,100540,116292,1,0,8
11934,3,0,0,100540,56488,1,0,2
11935,4,2,0,100530,133305,1,0,2
11936,2,0,0,100521,32300,1,0,8
11937,2,1,0,100523,104580,1,0,8
11938,5,2,0,100521,21037,3,0,8
11939,3,1,0,100519,26229,1,0,2
11940,2,1,0,100521,130942,1,0,2
11941,2,2,0,100523,89702,1,0,8
11942,3,2,0,100529,23116,1,0,8
11943,2,0,0,100523,80522,5,0,8
11944,6,2,0,100530,44279,1,0,2
11945,5,2,0,100523,103388,1,0,8
11946,2,1,0,100525,6957,3,0,2
11947,2,2,0,100537,25003,7,0,2
11948,2,2,0,100538,164096,7,0,2
11949,2,2,0,100529,72741,2,0,2
11950,3,2,0,100537,40113,1,0,8
11951,3,1,0,100519,95641,1,0,2
11952,2,0,0,100541,121018,1,0,2
11953,3,2,0,100529,73091,1,0,8
11954,2,1,0,100538,16021,7,0,3
11955,2,2,0,100525,54814,1,0,8
11956,5,0,0,100524,481,3,0,2
11957,2,1,0,100523,139223,1,0,2
11958,2,2,0,100538,58295,5,0,2
11959,7,3,0,100538,127870,1,0,2
11960,6,3,0,100537,85243,1,0,8
11961,5,1,0,100537,37062,1,0,2
11962,2,2,0,100528,36073,1,0,8
11963,2,1,0,100542,137091,1,0,8
11964,3,1,0,100537,8314,1,0,8
11965,4,2,0,100539,86991,1,0,8
11966,2,1,0,100523,27321,3,0,8
11967,3,3,0,100521,280765,5,0,8
11968,3,0,0,100532,32110,7,0,2
11969,2,1,0,100523,41364,5,0,2
11970,3,1,0,100525,75714,3,0,2
