PERID,household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ
28707,11096,26,1,1,1,2,1,9
28708,11096,56,2,2,1,3,1,13
28709,11096,70,3,1,3,3,5,9
28710,11097,13,1,2,4,1,7,1
28711,11097,33,2,2,1,3,1,9
28712,11097,35,3,1,1,3,1,13
28713,11097,5,4,2,4,1,8,1
28714,11097,4,5,2,4,3,8,1
28715,11097,3,6,2,4,3,8,1
28721,11100,13,1,1,4,1,7,1
28722,11100,47,2,1,2,3,2,9
28723,11100,44,3,2,1,3,1,9
28724,11101,39,1,1,1,3,1,13
28725,11101,50,2,2,2,3,2,9
28731,11103,8,1,2,4,1,7,1
28732,11103,7,2,1,4,1,7,1
28733,11103,19,3,1,3,3,4,1
28734,11103,15,4,1,4,1,7,1
28735,11103,32,5,2,1,3,1,9
28736,11103,50,6,1,1,3,1,1
28737,11104,7,1,1,4,1,7,1
28738,11104,33,2,2,3,3,4,1
28741,11106,42,1,2,3,3,4,9
28742,11106,41,2,1,1,3,1,13
28747,11108,21,1,1,2,3,2,9
28748,11108,9,2,1,4,1,7,1
28749,11108,16,3,1,3,1,6,1
28750,11108,35,4,2,3,3,4,9
28751,11108,41,5,1,1,3,1,13
28757,11111,60,1,2,1,3,1,13
28758,11111,54,2,1,2,3,2,9
28759,11112,32,1,1,1,3,1,9
28760,11112,31,2,2,1,3,1,9
28761,11112,0,3,1,4,3,8,1
28762,11113,13,1,2,4,1,7,1
28763,11113,41,2,2,1,3,1,13
28764,11113,44,3,1,1,3,1,9
28765,11113,6,4,1,4,1,7,1
28766,11113,5,5,1,4,1,8,1
28767,11114,34,1,2,1,3,1,13
28768,11114,46,2,1,3,3,4,1
28769,11114,4,3,2,4,3,8,1
28770,11115,40,1,2,3,3,4,9
28771,11115,38,2,1,1,3,1,1
28774,11117,23,1,2,1,3,1,9
28775,11117,60,2,1,3,3,4,9
28776,11117,0,3,1,4,3,8,1
28782,11119,50,1,1,1,3,1,9
28783,11119,36,2,1,1,3,1,1
28789,11121,11,1,1,4,1,7,1
28790,11121,51,2,1,1,3,1,9
28791,11121,33,3,2,3,3,4,9
28794,11123,19,1,2,2,3,2,1
28795,11123,58,2,2,1,3,1,13
28796,11123,37,3,1,1,3,1,13
28797,11124,32,1,1,1,3,1,1
28798,11124,61,2,2,1,3,1,9
28799,11124,66,3,1,1,3,1,13
28804,11126,20,1,1,3,3,4,13
28805,11126,41,2,2,3,3,4,13
28811,11128,32,1,2,1,3,1,9
28812,11128,33,2,1,1,3,1,9
28813,11129,7,1,1,4,1,7,1
28814,11129,8,2,2,4,1,7,1
28815,11129,13,3,2,4,1,7,1
28816,11129,9,4,2,4,1,7,1
28817,11129,33,5,2,3,3,4,13
28818,11129,43,6,1,1,3,1,9
28819,11129,0,7,2,4,3,8,1
28820,11130,37,1,1,1,3,1,9
28821,11130,40,2,2,3,3,4,13
28832,11133,42,1,2,1,3,1,9
28833,11133,50,2,1,1,3,1,9
28834,11134,7,1,1,4,1,7,1
28835,11134,13,2,2,4,1,7,1
28836,11134,35,3,2,3,2,3,13
28837,11134,37,4,1,1,3,1,13
28838,11135,66,1,2,3,3,5,13
28839,11135,65,2,1,1,3,1,9
28840,11136,44,1,1,3,3,4,1
28841,11136,49,2,2,3,3,4,9
28842,11137,18,1,2,3,2,3,9
28843,11137,15,2,2,4,1,7,1
28844,11137,14,3,1,4,1,7,1
28845,11137,46,4,1,1,3,1,9
28846,11137,45,5,2,3,3,4,1
28847,11138,19,1,2,3,3,4,9
28848,11138,19,2,1,3,3,4,9
28849,11138,42,3,1,1,3,1,9
28850,11138,63,4,2,3,3,4,9
28851,11139,24,1,2,2,3,2,9
28852,11139,22,2,1,1,3,1,9
28853,11139,22,3,1,1,3,1,9
28854,11139,56,4,1,1,3,1,13
28855,11139,64,5,2,3,3,4,13
28860,11141,11,1,2,4,1,7,1
28861,11141,43,2,2,3,3,4,1
28862,11142,28,1,2,1,3,1,9
28863,11142,52,2,2,1,3,1,9
28864,11142,56,3,1,1,3,1,9
28865,11142,6,4,2,4,1,7,1
28866,11143,64,1,2,3,3,4,9
28867,11143,71,2,1,3,3,5,13
28870,11145,11,1,1,4,1,7,1
28871,11145,10,2,1,4,1,7,1
28872,11145,42,3,2,1,3,1,9
28873,11145,36,4,1,1,3,1,1
28874,11145,6,5,2,4,1,7,1
28878,11147,66,1,2,3,3,5,13
28882,11149,33,1,2,1,3,1,9
28883,11149,35,2,2,3,3,4,13
28884,11149,4,3,1,4,3,8,1
28885,11149,1,4,2,4,3,8,1
28886,11150,44,1,2,1,3,1,13
28887,11150,56,2,1,1,3,1,13
28892,11152,21,1,2,2,2,3,9
28893,11152,22,2,1,2,2,3,9
28894,11152,32,3,2,1,3,1,13
28895,11152,48,4,1,1,3,1,9
28896,11152,2,5,1,4,3,8,1
28897,11153,10,1,2,4,1,7,1
28898,11153,29,2,2,2,2,3,9
28899,11153,36,3,2,3,2,3,9
28900,11153,4,4,1,4,3,8,1
28901,11154,11,1,1,4,1,7,1
28902,11154,34,2,2,2,3,2,9
28903,11154,45,3,1,1,3,1,9
28904,11154,4,4,2,4,3,8,1
28910,11157,46,1,2,2,3,2,13
28911,11157,53,2,1,1,3,1,9
28912,11158,12,1,2,4,1,7,1
28913,11158,62,2,1,1,3,1,1
28914,11158,39,3,2,1,3,1,9
28915,11159,6,1,2,4,1,7,1
28916,11159,14,2,1,4,1,7,1
28917,11159,37,3,2,3,3,4,9
28918,11159,34,4,1,1,3,1,9
28919,11159,5,5,1,4,1,8,1
28920,11160,10,1,2,4,1,7,1
28921,11160,10,2,2,4,1,7,1
28922,11160,43,3,2,3,3,4,1
28923,11160,39,4,1,1,3,1,9
28924,11161,66,1,2,3,3,5,13
28925,11161,67,2,1,1,3,1,9
28926,11162,17,1,1,3,1,6,1
28927,11162,51,2,1,1,3,1,13
28928,11162,37,3,2,3,3,4,13
28929,11162,69,4,2,3,3,5,9
28930,11162,4,5,1,4,3,8,1
28931,11163,18,1,1,3,3,4,1
28932,11163,9,2,1,4,1,7,1
28933,11163,19,3,1,3,3,4,1
28934,11163,41,4,1,1,3,1,13
28935,11163,43,5,2,1,3,1,13
28936,11164,69,1,2,3,3,5,9
28937,11164,79,2,1,1,3,1,9
28938,11165,7,1,2,4,1,7,1
28939,11165,7,2,2,4,1,7,1
28940,11165,41,3,2,1,3,1,1
28941,11165,53,4,1,1,3,1,9
28942,11166,8,1,2,4,1,7,1
28943,11166,38,2,2,1,3,1,13
28944,11166,42,3,1,1,3,1,9
28945,11166,3,4,1,4,3,8,1
28946,11167,11,1,1,4,1,7,1
28947,11167,18,2,1,3,3,4,9
28948,11167,43,3,2,3,3,4,9
28949,11167,84,4,2,3,3,5,9
28952,11169,82,1,2,3,3,5,9
28953,11169,74,2,2,3,3,5,9
28954,11170,45,1,2,1,3,1,9
28955,11170,38,2,1,1,3,1,13
28956,11170,48,3,2,1,3,1,9
28957,11170,5,4,1,4,1,8,1
28958,11171,52,1,2,3,3,4,9
28959,11171,48,2,1,3,3,4,9
28962,11173,51,1,1,1,3,1,9
28963,11173,64,2,2,3,3,4,1
28964,11174,43,1,2,1,3,1,13
28965,11174,31,2,1,1,3,1,9
28966,11175,51,1,2,2,3,2,9
28967,11175,34,2,1,2,3,2,9
28968,11176,8,1,1,4,1,7,1
28969,11176,36,2,2,3,3,4,9
28970,11176,1,3,2,4,3,8,1
28971,11177,40,1,1,1,3,1,13
28972,11177,42,2,2,1,3,1,9
28973,11177,5,3,1,4,1,8,1
28974,11178,69,1,1,3,3,5,13
28975,11178,59,2,2,1,3,1,9
28976,11179,58,1,1,1,3,1,13
28977,11179,57,2,1,1,3,1,13
28978,11180,52,1,2,1,3,1,13
28979,11180,49,2,1,1,3,1,13
28985,11183,44,1,1,1,3,1,13
28986,11183,38,2,1,1,3,1,13
28987,11184,35,1,1,1,3,1,1
28988,11184,42,2,2,3,3,4,1
28989,11184,33,3,1,1,3,1,9
28990,11185,67,1,2,3,3,5,9
28991,11185,51,2,1,1,3,1,13
28992,11186,21,1,2,2,3,2,9
28993,11186,63,2,2,3,3,4,9
28994,11186,52,3,1,1,3,1,9
28995,11186,0,4,2,4,3,8,1
28996,11187,17,1,1,3,1,6,1
28997,11187,61,2,2,1,3,1,9
28998,11187,47,3,1,1,3,1,13
28999,11188,32,1,1,1,3,1,13
29000,11188,33,2,2,3,3,4,1
29001,11189,11,1,2,4,1,7,1
29002,11189,33,2,1,1,3,1,13
29003,11189,31,3,2,1,3,1,13
29004,11189,0,4,1,4,3,8,1
29008,11191,52,1,2,1,3,1,9
29009,11191,47,2,1,1,3,1,9
29012,11193,49,1,1,1,3,1,1
29013,11193,35,2,2,3,3,4,1
29014,11193,2,3,1,4,3,8,1
29017,11195,54,1,2,1,3,1,13
29018,11195,63,2,1,3,3,4,13
29023,11197,18,1,2,3,2,3,9
29024,11197,36,2,2,3,3,4,9
29025,11197,43,3,2,1,3,1,13
29026,11197,56,4,1,1,3,1,13
29027,11198,11,1,2,4,1,7,1
29028,11198,47,2,2,3,3,4,9
29029,11198,34,3,1,1,3,1,13
29030,11199,48,1,2,3,3,4,9
29031,11199,36,2,1,1,3,1,9
29032,11199,38,3,2,3,2,3,9
29033,11199,3,4,1,4,3,8,1
29034,11200,70,1,2,3,3,5,9
29035,11200,71,2,1,3,3,5,1
29036,11201,51,1,2,3,3,4,1
29037,11201,51,2,2,1,3,1,13
29038,11201,38,3,2,3,2,3,9
29039,11201,2,4,1,4,3,8,1
29040,11202,47,1,1,1,3,1,13
29041,11202,59,2,2,1,3,1,9
29044,11204,34,1,2,2,3,2,9
29045,11204,45,2,1,2,3,2,9
29049,11206,29,1,1,3,2,3,9
29050,11206,37,2,1,1,3,1,9
29051,11207,18,1,1,3,3,4,9
29052,11207,54,2,1,1,3,1,9
29053,11208,16,1,1,3,1,6,1
29054,11208,32,2,1,1,3,1,9
29055,11209,67,1,2,3,3,5,13
29056,11210,21,1,2,2,3,2,9
29057,11210,10,2,2,4,1,7,1
29058,11210,13,3,2,4,1,7,1
29059,11210,20,4,1,3,3,4,9
29060,11210,37,5,2,1,3,1,9
29061,11210,37,6,1,1,3,1,9
29062,11211,14,1,1,4,1,7,1
29063,11211,9,2,1,4,1,7,1
29064,11211,12,3,1,4,1,7,1
29065,11211,32,4,2,1,3,1,13
29066,11211,48,5,1,1,3,1,13
29067,11211,2,6,2,4,3,8,1
29068,11212,42,1,1,1,3,1,13
29069,11212,46,2,2,2,3,2,13
29070,11213,55,1,2,1,3,1,9
29071,11213,51,2,1,1,3,1,13
29072,11214,46,1,2,1,3,1,13
29073,11214,44,2,2,3,3,4,13
29074,11214,4,3,2,4,3,8,1
29075,11215,78,1,2,3,3,5,1
29076,11215,70,2,1,3,3,5,9
29077,11216,16,1,1,3,1,6,1
29078,11216,48,2,2,3,3,4,9
29079,11216,35,3,1,2,3,2,13
29080,11217,65,1,2,3,3,5,9
29081,11217,34,2,1,2,3,2,9
29082,11217,47,3,1,3,3,4,1
29083,11218,57,1,1,1,3,1,1
29084,11218,54,2,2,3,3,4,13
29085,11219,51,1,1,1,3,1,1
29086,11219,52,2,2,1,3,1,13
29087,11220,7,1,1,4,1,7,1
29088,11220,9,2,1,4,1,7,1
29089,11220,34,3,1,1,3,1,13
29090,11220,38,4,2,3,3,4,13
29091,11221,8,1,2,4,1,7,1
29092,11221,60,2,1,3,3,4,9
29093,11221,65,3,2,3,3,5,13
29096,11223,80,1,1,1,3,1,13
29097,11223,63,2,2,3,3,4,13
29102,11226,74,1,2,3,3,5,13
29103,11226,88,2,2,3,3,5,13
29104,11227,19,1,2,3,2,3,9
29105,11227,18,2,2,3,2,3,9
29106,11227,23,3,1,1,3,1,9
29107,11227,36,4,1,3,3,4,13
29108,11227,31,5,2,1,3,1,9
29109,11227,4,6,2,4,3,8,1
29113,11229,39,1,2,3,3,4,9
29114,11229,43,2,1,2,3,2,13
29115,11230,41,1,2,1,3,1,13
29116,11230,44,2,2,3,3,4,9
29121,11233,21,1,2,3,3,4,9
29122,11233,69,2,1,3,3,5,9
29123,11234,63,1,2,3,3,4,13
29124,11234,60,2,2,1,3,1,9
29125,11234,70,3,1,3,3,5,9
29128,11236,17,1,1,3,1,6,1
29129,11236,62,2,2,3,3,4,13
29130,11236,70,3,2,3,3,5,9
29131,11237,8,1,2,4,1,7,1
29132,11237,13,2,2,4,1,7,1
29133,11237,37,3,2,1,3,1,9
29134,11237,40,4,1,1,3,1,1
29135,11237,2,5,2,4,3,8,1
29136,11238,8,1,2,4,1,7,1
29137,11238,12,2,2,4,1,7,1
29138,11238,33,3,2,2,3,2,9
29139,11238,56,4,1,2,3,2,9
29140,11238,0,5,2,4,3,8,1
29141,11239,20,1,2,1,2,1,9
29142,11239,12,2,1,4,1,7,1
29143,11239,64,3,1,3,3,4,9
29144,11239,54,4,2,1,3,1,13
29145,11240,55,1,2,1,3,1,9
29146,11240,48,2,1,1,3,1,9
29150,11242,48,1,2,1,3,1,9
29151,11242,49,2,2,2,3,2,13
29152,11243,89,1,2,3,3,5,1
29157,11245,48,1,1,1,3,1,9
29158,11245,33,2,2,3,3,4,9
29159,11246,40,1,1,1,3,1,13
29160,11246,57,2,1,1,3,1,9
29161,11247,39,1,2,1,3,1,1
29162,11247,62,2,2,3,3,4,9
29163,11248,34,1,2,2,3,2,9
29164,11248,45,2,1,1,3,1,9
29165,11249,28,1,1,1,3,1,13
29166,11249,38,2,2,1,3,1,9
29167,11249,4,3,1,4,3,8,1
29168,11250,36,1,1,1,3,1,13
29169,11250,55,2,2,1,3,1,13
29170,11250,40,3,2,1,3,1,9
29171,11251,72,1,2,3,3,5,9
29172,11251,57,2,2,1,3,1,9
29173,11252,51,1,1,1,3,1,9
29174,11252,46,2,2,1,3,1,9
29175,11253,33,1,1,1,3,1,13
29176,11253,34,2,2,1,3,1,9
29187,11256,51,1,2,2,3,2,9
29188,11256,42,2,1,1,3,1,9
29189,11256,60,3,2,2,3,2,13
29190,11256,47,4,1,1,3,1,13
29191,11257,19,1,1,3,3,4,1
29192,11257,19,2,2,3,3,4,9
29193,11257,61,3,2,2,3,2,1
29194,11258,9,1,2,4,1,7,1
29195,11258,26,2,2,1,3,1,9
29196,11258,32,3,1,1,3,1,9
29197,11258,5,4,1,4,1,8,1
29198,11259,38,1,2,3,3,4,1
29199,11259,47,2,2,2,3,2,9
29200,11259,6,3,2,4,1,7,1
29201,11259,4,4,1,4,3,8,1
29202,11260,35,1,2,3,3,4,1
29203,11260,35,2,1,1,3,1,9
29204,11260,0,3,1,4,3,8,1
29205,11261,17,1,1,3,1,6,1
29206,11261,20,2,2,3,3,4,9
29207,11261,44,3,1,1,3,1,13
29208,11261,47,4,2,1,3,1,9
29209,11262,55,1,2,1,3,1,9
29210,11262,48,2,1,1,3,1,13
29211,11263,21,1,2,3,2,3,13
29212,11263,46,2,1,1,3,1,9
29213,11263,48,3,2,3,3,4,9
29216,11265,22,1,2,2,2,3,9
29217,11265,19,2,2,3,2,3,9
29218,11265,18,3,1,3,3,4,9
29219,11265,45,4,1,1,3,1,9
29220,11265,38,5,1,1,3,1,1
29221,11265,48,6,2,1,3,1,13
29222,11265,1,7,1,4,3,8,1
29223,11266,7,1,1,4,1,7,1
29224,11266,17,2,1,3,1,6,1
29225,11266,23,3,1,2,3,2,9
29226,11266,51,4,2,1,3,1,13
29229,11268,53,1,2,1,3,1,9
29230,11268,48,2,1,3,3,4,9
29231,11269,20,1,2,1,2,1,9
29232,11269,13,2,1,4,1,7,1
29233,11269,23,3,2,2,2,3,9
29234,11269,17,4,1,3,1,6,1
29235,11269,53,5,1,3,3,4,13
29236,11269,59,6,2,2,3,2,9
29247,11272,49,1,1,3,3,4,9
29252,11274,65,1,1,1,3,1,1
29253,11274,84,2,2,3,3,5,13
29257,11276,20,1,2,1,3,1,13
29258,11276,63,2,2,3,3,4,9
29259,11277,58,1,2,1,3,1,13
29260,11278,18,1,2,3,2,3,9
29261,11278,20,2,1,3,3,4,1
29262,11278,50,3,2,1,3,1,13
29265,11280,32,1,2,3,3,4,13
29266,11280,38,2,2,3,3,4,13
29267,11280,41,3,2,3,3,4,9
29268,11281,53,1,1,1,3,1,9
29269,11281,57,2,2,2,3,2,1
29272,11283,48,1,2,1,3,1,13
29273,11283,59,2,1,1,3,1,9
29274,11283,3,3,2,4,3,8,1
29275,11284,63,1,2,3,3,4,9
29276,11284,50,2,1,1,3,1,9
29277,11285,20,1,2,2,3,2,9
29278,11285,58,2,1,1,3,1,9
29279,11285,67,3,2,3,3,5,9
29284,11287,11,1,1,4,1,7,1
29285,11287,7,2,1,4,1,7,1
29286,11287,16,3,2,3,1,6,1
29287,11287,7,4,1,4,1,7,1
29288,11287,37,5,2,2,2,3,13
29289,11287,62,6,1,1,3,1,1
29290,11287,1,7,1,4,3,8,1
29298,11290,43,1,1,1,3,1,9
29299,11290,46,2,2,3,3,4,13
29300,11291,23,1,2,2,2,3,9
29301,11291,7,2,1,4,1,7,1
29302,11291,23,3,1,1,3,1,1
29303,11291,68,4,2,3,3,5,13
29304,11292,43,1,1,2,3,2,1
29305,11292,37,2,2,1,3,1,13
29306,11292,3,3,1,4,3,8,1
29309,11294,22,1,2,1,3,1,9
29310,11294,41,2,1,1,3,1,9
29311,11294,44,3,1,2,3,2,13
29312,11294,52,4,2,1,3,1,13
29313,11294,3,5,2,4,3,8,1
29317,11296,20,1,2,3,3,4,1
29318,11296,48,2,1,1,3,1,13
29319,11296,51,3,2,1,3,1,1
29320,11297,46,1,2,3,3,4,1
29321,11297,44,2,1,1,3,1,9
29322,11297,6,3,1,4,1,7,1
29327,11299,35,1,2,3,2,3,13
29328,11299,38,2,2,3,3,4,9
29329,11299,4,3,1,4,3,8,1
29330,11299,2,4,2,4,3,8,1
29331,11300,16,1,2,3,1,6,1
29332,11300,44,2,2,3,3,4,1
29333,11300,36,3,1,1,3,1,13
29334,11301,62,1,1,1,3,1,13
29335,11301,47,2,2,2,3,2,9
29336,11302,39,1,1,3,3,4,9
29337,11302,59,2,2,1,3,1,9
29341,11304,13,1,1,4,1,7,1
29342,11304,13,2,1,4,1,7,1
29343,11304,12,3,1,4,1,7,1
29344,11304,40,4,2,3,3,4,13
29345,11304,56,5,1,1,3,1,1
29346,11305,12,1,1,4,1,7,1
29347,11305,39,2,2,3,3,4,13
29348,11305,6,3,2,4,1,7,1
29349,11306,14,1,1,4,1,7,1
29350,11306,37,2,2,2,3,2,13
29351,11306,45,3,1,1,3,1,13
29352,11306,6,4,2,4,1,7,1
29353,11307,40,1,2,3,3,4,9
29354,11307,33,2,1,1,3,1,9
29355,11308,18,1,2,3,1,6,1
29356,11308,17,2,2,3,1,6,1
29357,11308,40,3,2,2,3,2,9
29358,11308,40,4,1,2,3,2,9
29359,11309,74,1,2,3,3,5,1
29360,11309,58,2,1,1,3,1,9
29361,11310,49,1,1,1,3,1,9
29362,11310,36,2,1,1,2,1,9
29363,11311,83,1,2,3,3,5,13
29364,11311,66,2,1,1,3,1,9
29365,11312,25,1,1,2,3,2,9
29366,11312,39,2,2,3,3,4,9
29367,11312,38,3,1,1,3,1,9
29368,11313,61,1,1,3,3,4,9
29369,11313,53,2,2,1,3,1,9
29373,11315,78,1,2,3,3,5,9
29374,11315,71,2,1,3,3,5,9
29375,11316,17,1,2,3,1,6,1
29376,11316,55,2,2,1,3,1,13
29377,11316,51,3,1,1,3,1,1
29381,11318,42,1,1,1,3,1,9
29382,11318,52,2,2,2,3,2,9
29383,11319,18,1,2,3,2,3,9
29384,11319,39,2,1,3,3,4,9
29390,11321,43,1,1,1,3,1,9
29391,11321,57,2,2,1,3,1,13
29392,11322,70,1,2,3,3,5,1
29393,11323,41,1,2,1,3,1,1
29394,11323,66,2,1,1,3,1,9
29395,11324,41,1,1,1,3,1,9
29396,11324,34,2,2,3,3,4,13
29397,11324,4,3,2,4,3,8,1
29398,11325,32,1,1,1,3,1,9
29399,11325,34,2,2,3,3,4,9
29402,11327,64,1,2,3,3,4,13
29403,11327,62,2,1,1,3,1,9
29404,11328,67,1,2,3,3,5,13
29405,11328,82,2,1,1,3,1,13
29406,11329,62,1,2,3,3,4,9
29407,11329,59,2,1,1,3,1,9
29408,11330,41,1,1,1,3,1,9
29409,11330,35,2,1,1,3,1,13
29412,11332,13,1,2,4,1,7,1
29413,11332,9,2,1,4,1,7,1
29414,11332,20,3,2,3,3,4,9
29415,11332,57,4,2,1,3,1,9
29416,11333,12,1,2,4,1,7,1
29417,11333,8,2,1,4,1,7,1
29418,11333,39,3,2,3,3,4,1
29419,11333,26,4,1,1,3,1,9
29420,11333,48,5,1,1,3,1,9
29421,11333,5,6,2,4,1,8,1
29428,11335,33,1,2,1,3,1,13
29429,11335,46,2,1,2,3,2,13
29438,11338,53,1,2,1,3,1,13
29439,11338,76,2,1,2,3,2,1
29440,11339,21,1,2,3,2,3,9
29441,11339,49,2,2,1,3,1,13
29442,11339,69,3,1,3,3,5,13
29443,11339,4,4,1,4,3,8,1
29444,11340,33,1,2,1,3,1,9
29445,11340,55,2,2,1,3,1,13
29446,11340,1,3,2,4,3,8,1
29447,11340,0,4,2,4,3,8,1
29455,11343,47,1,1,2,3,2,1
29456,11343,51,2,1,1,3,1,9
29457,11344,55,1,2,1,3,1,9
29458,11344,64,2,1,1,3,1,9
29459,11345,19,1,1,3,3,4,13
29460,11345,64,2,2,3,3,4,9
29461,11346,15,1,2,4,1,7,1
29462,11346,16,2,1,3,1,6,1
29463,11346,44,3,1,1,3,1,13
29464,11346,31,4,2,2,3,2,9
29465,11346,3,5,2,4,3,8,1
29466,11347,11,1,1,4,1,7,1
29467,11347,11,2,2,4,1,7,1
29468,11347,32,3,2,1,3,1,1
29469,11347,40,4,1,1,3,1,1
29470,11347,3,5,1,4,3,8,1
29471,11348,64,1,2,3,3,4,9
29478,11350,66,1,1,1,3,1,1
29482,11352,32,1,1,1,3,1,9
29483,11352,34,2,2,1,3,1,13
29484,11352,3,3,2,4,3,8,1
29485,11352,0,4,2,4,3,8,1
29486,11353,58,1,2,1,3,1,9
29487,11353,48,2,1,1,3,1,13
29496,11355,8,1,1,4,1,7,1
29497,11355,32,2,2,1,3,1,9
29498,11355,43,3,1,1,3,1,1
29499,11355,4,4,2,4,3,8,1
29500,11355,1,5,1,4,3,8,1
29501,11356,32,1,1,1,3,1,9
29502,11357,16,1,1,3,1,6,1
29503,11357,11,2,1,4,1,7,1
29504,11357,19,3,2,3,3,4,1
29505,11357,37,4,1,1,3,1,9
29506,11357,30,5,2,1,3,1,13
29510,11359,27,1,1,1,3,1,13
29511,11359,49,2,2,1,3,1,13
29512,11359,49,3,1,3,3,4,9
29513,11359,6,4,2,4,1,7,1
29517,11361,14,1,1,4,1,7,1
29518,11361,35,2,2,3,3,4,1
29519,11361,56,3,1,1,3,1,13
29520,11361,6,4,2,4,1,7,1
29521,11362,61,1,1,3,3,4,9
29522,11362,62,2,2,3,3,4,1
29523,11363,39,1,2,1,3,1,9
29524,11363,37,2,1,1,3,1,13
29525,11363,4,3,2,4,3,8,1
29526,11364,63,1,2,1,3,1,1
29527,11364,69,2,1,3,3,5,13
29538,11368,69,1,1,3,3,5,13
29539,11368,60,2,2,1,3,1,9
29540,11369,42,1,1,1,3,1,9
29541,11369,50,2,2,1,3,1,9
29542,11370,36,1,2,3,3,4,9
29543,11370,67,2,2,3,3,5,9
29548,11372,66,1,1,2,3,2,9
29549,11372,37,2,2,1,2,1,9
29550,11372,87,3,2,3,3,5,13
29551,11372,5,4,2,4,1,8,1
29552,11373,36,1,2,3,3,4,9
29553,11373,56,2,2,1,3,1,9
29554,11373,2,3,2,4,3,8,1
29555,11374,42,1,1,1,3,1,13
29556,11374,42,2,1,1,3,1,13
29557,11375,76,1,1,2,3,2,9
29558,11375,50,2,2,3,3,4,1
29559,11376,46,1,2,3,3,4,13
29560,11376,45,2,2,1,3,1,9
29561,11376,48,3,1,1,3,1,9
29562,11377,32,1,2,3,3,4,13
29563,11377,33,2,1,1,3,1,13
29564,11378,40,1,2,3,3,4,9
29565,11378,45,2,1,2,3,2,13
29566,11379,16,1,1,3,1,6,1
29567,11379,61,2,1,3,3,4,13
29568,11379,46,3,2,3,3,4,9
29569,11380,39,1,2,3,3,4,1
29570,11380,75,2,1,2,3,2,9
29571,11380,68,3,2,3,3,5,9
29572,11381,84,1,1,1,3,1,13
