person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype
166993,166993,21,1,1,2,2,3
168366,168366,30,1,2,1,3,1
168818,168818,44,1,2,1,3,1
172231,172231,53,1,1,1,3,1
172886,172886,25,1,2,1,3,1
175936,175936,34,1,2,2,2,3
176866,176866,54,1,1,1,3,1
177289,177289,22,1,2,2,2,3
177670,177670,28,1,2,2,3,2
177972,177972,23,1,2,1,3,1
179038,179038,45,1,2,1,3,1
179611,179611,25,1,2,2,3,2
181430,181430,31,1,1,1,3,1
181579,181579,28,1,1,2,3,2
181803,181803,33,1,2,1,3,1
182922,182922,20,1,2,1,3,1
183264,183264,30,1,2,1,3,1
185399,185399,55,1,2,2,2,3
187252,187252,24,1,2,2,3,2
188251,188251,53,1,2,1,3,1
189021,189021,59,1,1,2,3,2
189471,189471,50,1,2,1,3,1
190051,189841,27,1,1,3,2,3
190052,189841,24,2,2,3,2,3
192739,191185,59,1,1,3,3,4
192740,191185,48,2,2,3,3,4
196467,193049,62,1,1,3,3,4
196468,193049,59,2,2,3,3,4
196911,193271,49,1,1,3,3,4
196912,193271,49,2,2,3,3,4
201911,195771,23,1,1,3,2,3
201912,195771,25,2,2,3,2,3
201917,195774,61,1,2,3,3,4
201918,195774,34,2,1,3,2,3
207193,198412,49,1,2,3,3,4
207194,198412,52,2,1,3,3,4
207947,198789,57,1,2,3,2,3
207948,198789,27,2,2,3,2,3
210189,199910,46,1,2,3,3,4
210190,199910,19,2,2,3,2,3
213881,201756,39,1,1,3,3,4
213882,201756,38,2,1,3,3,4
214947,202289,64,1,1,3,3,4
214948,202289,64,2,2,3,3,4
215119,202375,27,1,2,3,2,3
215120,202375,20,2,2,3,2,3
215175,202403,56,1,1,3,3,4
215176,202403,76,2,2,3,3,5
222883,206257,61,1,1,3,3,4
222884,206257,80,2,2,3,3,5
225193,207412,36,1,1,3,3,4
225194,207412,67,2,2,3,3,5
230975,210303,58,1,2,3,3,4
230976,210303,5,2,2,4,1,8
232531,211081,43,1,2,3,3,4
232532,211081,19,2,1,3,1,6
235597,212614,40,1,2,3,3,4
235598,212614,46,2,1,2,3,2
235647,212639,62,1,1,3,3,4
235648,212639,50,2,2,2,3,2
243073,216352,60,1,2,2,3,2
243074,216352,87,2,2,3,3,5
243333,216482,60,1,2,2,3,2
243334,216482,87,2,2,3,3,5
243467,216549,56,1,1,1,3,1
243468,216549,53,2,2,3,3,4
243975,216803,39,1,2,3,3,4
243976,216803,19,2,1,1,3,1
246855,218243,56,1,1,3,3,4
246856,218243,55,2,2,2,3,2
247431,218531,62,1,1,1,3,1
247432,218531,58,2,2,3,3,4
249581,219606,22,1,2,1,3,1
249582,219606,52,2,2,3,3,4
252115,220873,42,1,1,2,3,2
252116,220873,27,2,2,3,3,4
253739,221685,64,1,1,3,3,4
253740,221685,63,2,2,1,3,1
256015,222823,23,1,1,2,2,3
256016,222823,76,2,2,3,3,5
257829,223730,64,1,1,2,3,2
257830,223730,61,2,2,3,3,4
265333,227482,30,1,2,3,3,4
265334,227482,33,2,1,2,3,2
268159,228895,45,1,1,1,3,1
268160,228895,28,2,2,3,3,4
269605,229618,30,1,2,3,2,3
269606,229618,53,2,2,2,3,2
270975,230303,45,1,2,1,3,1
270976,230303,40,2,1,3,2,3
273909,231770,28,1,1,2,3,2
273910,231770,24,2,2,3,3,4
276047,232839,23,1,1,2,2,3
276048,232839,23,2,2,3,2,3
277425,233528,64,1,2,3,3,4
277426,233528,42,2,2,2,3,2
279433,234532,23,1,1,2,3,2
279434,234532,24,2,1,3,2,3
279515,234573,21,1,1,3,2,3
279516,234573,19,2,1,2,2,3
284893,237262,31,1,1,1,3,1
284894,237262,33,2,2,3,3,4
286461,238046,62,1,2,1,3,1
286462,238046,49,2,1,3,3,4
287381,238506,21,1,1,2,3,2
287382,238506,21,2,2,3,3,4
291561,240596,24,1,1,1,3,1
291562,240596,23,2,1,3,3,4
299671,244651,63,1,1,1,3,1
299672,244651,70,2,2,3,3,5
300213,244922,60,1,1,3,3,4
300214,244922,58,2,2,2,3,2
304319,246975,29,1,1,2,3,2
304320,246975,33,2,1,3,2,3
307095,248363,44,1,1,2,3,2
307096,248363,40,2,1,1,3,1
308931,249281,39,1,2,1,3,1
308932,249281,18,2,2,2,1,6
311687,250659,38,1,1,1,3,1
311688,250659,31,2,2,1,3,1
315199,252415,47,1,1,1,3,1
315200,252415,51,2,2,1,3,1
315321,252476,24,1,1,1,3,1
315322,252476,29,2,2,1,3,1
318147,253889,61,1,2,2,3,2
318148,253889,37,2,1,1,3,1
322341,255986,57,1,2,2,3,2
322342,255986,28,2,1,1,3,1
333043,261337,19,1,2,1,3,1
333044,261337,16,2,2,2,2,3
336413,263022,22,1,2,2,3,2
336414,263022,24,2,1,1,3,1
341777,265704,25,1,1,2,2,3
341778,265704,24,2,2,1,3,1
344673,267152,20,1,2,1,3,1
344674,267152,24,2,1,2,3,2
345463,267547,23,1,1,2,2,3
345464,267547,22,2,2,2,2,3
345737,267684,37,1,1,1,3,1
345738,267684,37,2,1,2,2,3
345891,267761,28,1,1,1,3,1
345892,267761,29,2,1,1,3,1
346821,268226,22,1,2,1,3,1
346822,268226,25,2,1,2,3,2
348023,268827,32,1,2,1,3,1
348024,268827,35,2,1,2,3,2
351337,270484,38,1,1,2,2,3
351338,270484,46,2,1,1,3,1
355959,272795,44,1,1,1,3,1
355960,272795,47,2,2,1,3,1
356055,272843,32,1,1,1,3,1
356056,272843,23,2,1,1,3,1
358097,273864,28,1,2,2,3,2
358098,273864,29,2,1,2,3,2
360467,275049,29,1,1,2,3,2
360468,275049,34,2,2,2,3,2
362927,276279,61,1,1,1,3,1
362928,276279,37,2,1,1,3,1
366213,277922,42,1,1,1,3,1
366214,277922,28,2,2,1,3,1
366383,278007,20,1,1,2,2,3
366384,278007,18,2,2,2,2,3
378367,283999,25,1,2,1,3,1
378368,283999,28,2,1,1,3,1
391191,290411,32,1,2,3,3,4
391192,290411,4,2,2,4,1,8
391423,290527,32,1,2,3,3,4
391424,290527,4,2,2,4,1,8
400077,294854,38,1,2,3,3,4
400078,294854,6,2,2,4,1,7
401319,295475,43,1,2,3,3,4
401320,295475,6,2,1,4,1,7
401715,295673,28,1,2,3,3,4
401716,295673,10,2,2,4,1,7
406499,298065,36,1,1,1,3,1
406500,298065,10,2,2,4,1,7
407751,298691,21,1,2,1,3,1
407752,298691,2,2,2,4,1,8
413285,301458,26,1,2,1,3,1
413286,301458,4,2,2,4,1,8
419017,304324,42,1,2,1,3,1
419018,304324,5,2,1,4,1,8
423135,306383,47,1,2,2,3,2
423136,306383,11,2,2,4,1,7
424599,307115,40,1,2,2,3,2
424600,307115,10,2,1,4,1,7
425969,307800,39,1,2,2,3,2
425970,307800,0,2,1,4,1,8
427305,308468,47,1,2,1,3,1
427306,308468,16,2,2,3,1,6
427413,308522,39,1,2,2,3,2
427414,308522,0,2,1,4,1,8
432767,311199,27,1,2,1,3,1
432768,311199,8,2,1,4,1,7
435105,312368,38,1,2,1,3,1
435106,312368,11,2,1,4,1,7
439147,314389,20,1,2,1,3,1
439148,314389,0,2,2,4,1,8
440033,314832,20,1,2,1,3,1
440034,314832,0,2,2,4,1,8
445129,317380,39,1,2,1,3,1
445130,317380,14,2,1,4,1,7
446115,317873,37,1,2,2,3,2
446116,317873,9,2,2,4,1,7
447187,318409,36,1,2,1,3,1
447188,318409,15,2,2,4,1,7
450859,320245,43,1,2,1,3,1
450860,320245,17,2,1,3,1,6
456705,323168,37,1,2,2,3,2
456706,323168,12,2,2,4,1,7
457977,323804,46,1,2,1,3,1
457978,323804,16,2,1,3,1,6
458215,323923,41,1,2,2,3,2
458216,323923,9,2,1,4,1,7
458309,323970,53,1,2,2,3,2
458310,323970,13,2,2,4,1,7
460767,325199,41,1,2,2,3,2
460768,325199,17,2,2,2,1,6
463660,326489,52,1,1,3,3,4
463661,326489,53,2,2,3,3,4
463662,326489,20,3,1,3,2,3
468619,328142,44,1,2,3,3,4
468620,328142,26,2,1,3,3,4
468621,328142,23,3,2,3,3,4
472588,329465,52,1,1,3,3,4
472589,329465,46,2,2,3,3,4
472590,329465,19,3,2,3,3,4
495616,337141,62,1,1,3,3,4
495617,337141,52,2,2,2,3,2
495618,337141,20,3,1,3,2,3
503596,339801,18,1,2,3,3,4
503597,339801,1,2,1,4,1,8
503598,339801,19,3,2,1,3,1
513418,343075,20,1,1,2,2,3
513419,343075,1,2,1,4,1,8
513420,343075,57,3,2,2,3,2
516691,344166,56,1,1,2,3,2
516692,344166,71,2,1,3,3,5
516693,344166,29,3,1,1,3,1
526213,347340,46,1,2,1,3,1
526214,347340,81,2,1,3,3,5
526215,347340,26,3,2,2,3,2
526489,347432,54,1,1,2,3,2
526490,347432,47,2,2,3,3,4
526491,347432,20,3,2,2,2,3
528121,347976,39,1,2,1,3,1
528122,347976,23,2,1,1,3,1
528123,347976,41,3,2,3,3,4
542581,352796,21,1,2,2,2,3
542582,352796,18,2,1,2,2,3
542583,352796,21,3,2,2,2,3
548833,354880,39,1,1,3,3,4
548834,354880,23,2,2,3,2,3
548835,354880,8,3,2,4,1,7
548893,354900,45,1,2,3,3,4
548894,354900,45,2,1,3,3,4
548895,354900,13,3,1,4,1,7
559249,358352,34,1,2,3,3,4
559250,358352,14,2,1,4,1,7
559251,358352,9,3,1,4,1,7
560218,358675,55,1,2,3,3,4
560219,358675,16,2,2,3,1,6
560220,358675,13,3,2,4,1,7
580693,365500,36,1,2,3,3,4
580694,365500,35,2,1,2,3,2
580695,365500,6,3,2,4,1,7
583504,366437,37,1,2,1,3,1
583505,366437,1,2,1,4,1,8
583506,366437,8,3,2,4,1,7
588283,368030,25,1,2,1,3,1
588284,368030,5,2,1,4,1,8
588285,368030,6,3,2,4,1,7
597499,371102,33,1,1,1,3,1
597500,371102,43,2,2,3,3,4
597501,371102,4,3,2,4,1,8
604591,373466,55,1,1,1,3,1
604592,373466,48,2,2,3,3,4
604593,373466,15,3,2,4,1,7
612184,375997,36,1,2,1,3,1
612185,375997,5,2,1,4,1,8
612186,375997,51,3,2,3,3,4
631162,382323,39,1,2,3,3,4
631163,382323,7,2,2,4,1,7
631164,382323,24,3,1,2,3,2
631720,382509,45,1,2,2,3,2
631721,382509,10,2,1,4,1,7
631722,382509,8,3,1,4,1,7
633553,383120,36,1,1,2,2,3
633554,383120,33,2,2,2,2,3
633555,383120,9,3,2,4,1,7
636379,384062,47,1,1,1,3,1
636380,384062,48,2,2,2,3,2
636381,384062,17,3,1,3,1,6
642286,386031,45,1,1,2,3,2
642287,386031,16,2,2,1,3,1
642288,386031,14,3,2,4,1,7
662278,392695,39,1,1,1,3,1
662279,392695,34,2,2,2,3,2
662280,392695,10,3,2,4,1,7
668143,394572,50,1,1,3,3,4
668144,394572,41,2,2,3,3,4
668145,394572,19,3,2,3,2,3
668146,394572,18,4,2,3,2,3
671278,395275,40,1,1,3,3,4
671279,395275,39,2,2,3,3,4
671280,395275,11,3,2,4,1,7
671281,395275,3,4,2,4,1,8
671282,395275,1,5,2,4,1,8
684945,397990,20,1,2,3,2,3
684946,397990,1,2,1,4,1,8
684947,397990,22,3,2,3,3,4
684948,397990,54,4,2,3,3,4
690587,399269,51,1,1,3,3,4
690588,399269,51,2,2,3,3,4
690589,399269,19,3,2,3,1,6
690590,399269,17,4,2,3,2,3
695429,400328,36,1,1,3,3,4
695430,400328,78,2,1,3,3,5
695431,400328,31,3,1,3,2,3
695432,400328,30,4,1,3,3,4
718127,404967,64,1,1,3,3,4
718128,404967,64,2,2,3,3,4
718129,404967,31,3,2,1,3,1
718130,404967,5,4,2,4,1,8
719192,405167,63,1,2,3,3,4
719193,405167,1,2,1,4,1,8
719194,405167,23,3,2,3,3,4
719195,405167,19,4,2,1,3,1
719634,405257,40,1,1,3,3,4
719635,405257,37,2,2,1,3,1
719636,405257,32,3,2,3,3,4
719637,405257,34,4,2,3,3,4
734854,408549,60,1,1,1,3,1
734855,408549,58,2,2,3,3,4
734856,408549,19,3,2,3,2,3
734857,408549,20,4,1,2,2,3
736133,408820,28,1,2,3,3,4
736134,408820,35,2,1,1,3,1
736135,408820,35,3,2,1,3,1
736136,408820,14,4,1,4,1,7
736137,408820,11,5,1,4,1,7
736138,408820,11,6,1,4,1,7
737745,409148,56,1,2,1,3,1
737746,409148,36,2,1,2,3,2
737747,409148,26,3,1,3,3,4
737748,409148,11,4,1,4,1,7
737749,409148,17,5,2,3,1,6
747867,411344,49,1,2,2,3,2
747868,411344,24,2,2,1,3,1
747869,411344,8,3,1,4,1,7
747870,411344,29,4,1,3,3,4
748926,411558,44,1,2,3,3,4
748927,411558,75,2,1,1,3,1
748928,411558,52,3,1,1,3,1
748929,411558,49,4,1,3,3,4
748930,411558,20,5,2,3,3,4
748931,411558,3,6,1,4,1,8
748932,411558,0,7,2,4,1,8
748933,411558,0,8,1,4,1,8
770933,416294,18,1,1,1,3,1
770934,416294,20,2,1,3,3,4
770935,416294,22,3,2,1,3,1
770936,416294,61,4,1,3,3,4
770937,416294,59,5,2,3,3,4
770938,416294,1,6,1,4,1,8
770939,416294,0,7,1,4,1,8
770940,416294,0,8,2,4,1,8
771461,416390,53,1,1,3,3,4
771462,416390,51,2,2,3,3,4
771463,416390,21,3,1,2,2,3
771464,416390,19,4,2,1,3,1
797736,421981,25,1,2,1,3,1
797737,421981,26,2,1,1,3,1
797738,421981,22,3,1,1,3,1
797739,421981,54,4,2,1,3,1
800104,422531,58,1,1,3,3,4
800105,422531,56,2,2,3,3,4
800106,422531,34,3,2,1,3,1
800107,422531,25,4,2,2,2,3
800108,422531,27,5,2,2,2,3
807508,424122,23,1,1,2,3,2
807509,424122,23,2,1,3,2,3
807510,424122,24,3,1,2,3,2
807511,424122,23,4,1,2,2,3
807512,424122,23,5,1,1,3,1
815028,425706,26,1,2,3,3,4
815029,425706,8,2,2,4,1,7
815030,425706,6,3,2,4,1,7
815031,425706,2,4,1,4,1,8
815032,425706,32,5,1,3,3,4
826945,428067,57,1,1,3,3,4
826946,428067,54,2,2,3,3,4
826947,428067,15,3,1,4,1,7
826948,428067,13,4,1,4,1,7
830630,428782,44,1,1,3,3,4
830631,428782,12,2,1,4,1,7
830632,428782,11,3,2,4,1,7
830633,428782,2,4,2,4,1,8
830634,428782,43,5,2,3,3,4
831776,429010,30,1,2,3,3,4
831777,429010,16,2,1,3,1,6
831778,429010,14,3,2,4,1,7
831779,429010,3,4,1,4,1,8
844265,431526,37,1,1,3,3,4
844266,431526,32,2,2,3,3,4
844267,431526,2,3,2,4,1,8
844268,431526,0,4,1,4,1,8
844269,431526,0,5,1,4,1,8
850946,432948,41,1,2,3,3,4
850947,432948,18,2,2,3,3,4
850948,432948,15,3,2,4,1,7
850949,432948,7,4,2,4,1,7
853536,433481,39,1,2,3,3,4
853537,433481,17,2,2,3,1,6
853538,433481,16,3,2,3,1,6
853539,433481,10,4,1,4,1,7
853540,433481,9,5,1,4,1,7
856735,434207,33,1,2,3,2,3
856736,434207,38,2,1,3,3,4
856737,434207,4,3,2,4,1,8
856738,434207,1,4,1,4,1,8
858494,434571,33,1,1,3,3,4
858495,434571,5,2,1,4,1,8
858496,434571,2,3,2,4,1,8
858497,434571,30,4,2,3,3,4
866338,436188,42,1,1,3,3,4
866339,436188,40,2,2,3,3,4
866340,436188,20,3,2,3,2,3
866341,436188,15,4,2,4,1,7
866342,436188,12,5,2,4,1,7
866343,436188,12,6,1,4,1,7
880778,439126,32,1,2,3,2,3
880779,439126,13,2,2,4,1,7
880780,439126,9,3,2,4,1,7
880781,439126,8,4,1,4,1,7
885626,440130,42,1,2,3,3,4
885627,440130,16,2,2,3,1,6
885628,440130,0,3,1,4,1,8
885629,440130,36,4,1,3,3,4
886701,440364,35,1,2,1,3,1
886702,440364,16,2,2,3,1,6
886703,440364,10,3,1,4,1,7
886704,440364,48,4,1,3,3,4
891031,441364,55,1,2,3,3,4
891032,441364,10,2,1,4,1,7
891033,441364,12,3,2,4,1,7
891034,441364,18,4,2,2,1,6
891035,441364,41,5,1,3,3,4
897787,442811,40,1,1,1,3,1
897788,442811,39,2,2,3,3,4
897789,442811,12,3,1,4,1,7
897790,442811,11,4,1,4,1,7
897791,442811,6,5,2,4,1,7
899073,443097,44,1,1,1,3,1
899074,443097,39,2,2,3,3,4
899075,443097,6,3,1,4,1,7
899076,443097,3,4,1,4,1,8
902673,443879,50,1,1,3,3,4
902674,443879,38,2,2,2,3,2
902675,443879,16,3,1,3,1,6
902676,443879,15,4,1,4,1,7
902677,443879,9,5,1,4,1,7
912087,445673,48,1,1,1,3,1
912088,445673,24,2,1,3,3,4
912089,445673,14,3,2,4,1,7
912090,445673,13,4,1,4,1,7
912091,445673,11,5,1,4,1,7
912092,445673,9,6,1,4,1,7
913267,445901,43,1,2,2,3,2
913268,445901,18,2,1,3,3,4
913269,445901,19,3,2,3,3,4
913270,445901,15,4,2,4,1,7
913817,446012,37,1,1,1,3,1
913818,446012,35,2,2,3,3,4
913819,446012,9,3,2,4,1,7
913820,446012,6,4,2,4,1,7
913821,446012,4,5,2,4,1,8
919259,447113,44,1,1,1,3,1
919260,447113,47,2,2,3,3,4
919261,447113,14,3,1,4,1,7
919262,447113,12,4,2,4,1,7
919263,447113,10,5,1,4,1,7
920820,447463,40,1,1,1,3,1
920821,447463,39,2,2,3,3,4
920822,447463,17,3,2,3,1,6
920823,447463,10,4,2,4,1,7
920824,447463,3,5,1,4,1,8
925772,448511,35,1,2,1,3,1
925773,448511,16,2,2,3,1,6
925774,448511,8,3,2,4,1,7
925775,448511,4,4,1,4,1,8
941096,451581,36,1,1,2,3,2
941097,451581,33,2,2,3,3,4
941098,451581,7,3,1,4,1,7
941099,451581,4,4,2,4,1,8
941738,451725,44,1,1,1,3,1
941739,451725,41,2,2,3,3,4
941740,451725,14,3,2,4,1,7
941741,451725,9,4,1,4,1,7
948082,453097,46,1,2,2,3,2
948083,453097,50,2,1,3,3,4
948084,453097,13,3,2,4,1,7
948085,453097,10,4,1,4,1,7
948086,453097,12,5,1,4,1,7
948913,453259,36,1,1,1,3,1
948914,453259,27,2,2,3,3,4
948915,453259,14,3,2,4,1,7
948916,453259,6,4,1,4,1,7
948917,453259,4,5,1,4,1,8
948918,453259,2,6,1,4,1,8
948919,453259,4,7,1,4,1,8
950212,453516,37,1,2,1,3,1
950213,453516,40,2,1,3,3,4
950214,453516,10,3,2,4,1,7
950215,453516,7,4,1,4,1,7
954167,454361,34,1,1,2,3,2
954168,454361,33,2,2,3,3,4
954169,454361,2,3,2,4,1,8
954170,454361,0,4,1,4,1,8
968145,457220,30,1,1,3,3,4
968146,457220,28,2,2,3,3,4
968147,457220,5,3,2,4,1,8
968148,457220,3,4,2,4,1,8
968149,457220,1,5,2,4,1,8
968150,457220,25,6,1,1,3,1
968151,457220,26,7,2,3,3,4
968152,457220,1,8,1,4,1,8
977253,459079,36,1,1,1,3,1
977254,459079,26,2,2,3,3,4
977255,459079,6,3,1,4,1,7
977256,459079,0,4,2,4,1,8
1003899,464641,52,1,1,3,2,3
1003900,464641,50,2,2,3,3,4
1003901,464641,16,3,1,3,1,6
1003902,464641,29,4,2,2,2,3
1012129,466452,30,1,2,2,3,2
1012130,466452,10,2,2,4,1,7
1012131,466452,7,3,1,4,1,7
1012132,466452,1,4,2,4,1,8
1039982,472190,33,1,1,3,3,4
1039983,472190,26,2,2,2,3,2
1039984,472190,8,3,2,4,1,7
1039985,472190,1,4,1,4,1,8
1039986,472190,44,5,2,3,3,4
1046643,473601,34,1,1,1,3,1
1046644,473601,32,2,2,3,3,4
1046645,473601,6,3,2,4,1,7
1046646,473601,4,4,2,4,1,8
1050222,474335,41,1,1,1,3,1
1050223,474335,39,2,2,1,3,1
1050224,474335,17,3,2,3,1,6
1050225,474335,15,4,2,4,1,7
1050226,474335,3,5,1,4,1,8
1051437,474581,39,1,1,2,3,2
1051438,474581,36,2,2,2,3,2
1051439,474581,6,3,1,4,1,7
1051440,474581,3,4,1,4,1,8
1061727,476548,56,1,1,2,3,2
1061728,476548,37,2,2,3,3,4
1061729,476548,17,3,2,3,1,6
1061730,476548,15,4,1,4,1,7
1061731,476548,14,5,2,4,1,7
1061732,476548,11,6,2,4,1,7
1061733,476548,7,7,1,4,1,7
1061734,476548,19,8,1,1,3,1
1070689,478175,41,1,1,1,3,1
1070690,478175,36,2,2,2,3,2
1070691,478175,12,3,2,4,1,7
1070692,478175,12,4,2,4,1,7
1072978,478634,44,1,1,1,3,1
1072979,478634,40,2,2,1,3,1
1072980,478634,13,3,2,4,1,7
1072981,478634,9,4,2,4,1,7
1072982,478634,7,5,1,4,1,7
1072983,478634,2,6,1,4,1,8
1076247,479298,47,1,2,1,3,1
1076248,479298,47,2,1,1,3,1
1076249,479298,18,3,2,3,3,4
1076250,479298,17,4,2,3,1,6
1076251,479298,15,5,2,4,1,7
1076252,479298,14,6,2,4,1,7
1076253,479298,12,7,1,4,1,7
1076254,479298,10,8,1,4,1,7
1091493,482368,43,1,1,1,3,1
1091494,482368,40,2,2,2,3,2
1091495,482368,11,3,2,4,1,7
1091496,482368,9,4,2,4,1,7
1092573,482575,42,1,2,2,3,2
1092574,482575,18,2,1,2,1,6
1092575,482575,15,3,2,4,1,7
1092576,482575,17,4,1,3,1,6
1093474,482760,28,1,1,1,3,1
1093475,482760,24,2,2,1,3,1
1093476,482760,8,3,1,4,1,7
1093477,482760,5,4,2,4,1,8
1093478,482760,0,5,1,4,1,8
1094025,482877,32,1,1,1,3,1
1094026,482877,35,2,2,1,3,1
1094027,482877,8,3,1,4,1,7
1094028,482877,6,4,1,4,1,7
1094029,482877,0,5,1,4,1,8
1098718,483833,41,1,2,2,3,2
1098719,483833,13,2,1,4,1,7
1098720,483833,9,3,2,4,1,7
1098721,483833,18,4,1,2,1,6
1099713,484016,47,1,1,1,3,1
1099714,484016,43,2,2,2,2,3
1099715,484016,7,3,1,4,1,7
1099716,484016,4,4,1,4,1,8
1099717,484016,4,5,1,4,1,8
1128852,490061,44,1,1,1,3,1
1128853,490061,38,2,2,1,3,1
1128854,490061,8,3,1,4,1,7
1128855,490061,12,4,2,4,1,7
1128856,490061,10,5,1,4,1,7
1142630,492961,44,1,2,2,3,2
1142631,492961,16,2,2,3,1,6
1142632,492961,6,3,2,4,1,7
1142633,492961,24,4,2,1,3,1
1170669,498085,33,1,2,1,3,1
1170670,498085,17,2,2,3,3,4
1170671,498085,19,3,1,2,3,2
1170672,498085,1,4,2,4,1,8
1170673,498085,28,5,1,3,3,4
1170674,498085,2,6,1,4,1,8
1170675,498085,38,7,2,3,3,4
1170676,498085,24,8,1,1,3,1
1170677,498085,0,9,1,4,1,8
1170678,498085,1,10,1,4,1,8
1177606,499339,39,1,1,1,3,1
1177607,499339,37,2,2,1,3,1
1177608,499339,18,3,2,1,3,1
1177609,499339,16,4,1,3,1,6
1177610,499339,14,5,2,4,1,7
1177611,499339,13,6,2,4,1,7
1178279,499469,58,1,1,1,3,1
1178280,499469,21,2,1,2,3,2
1178281,499469,20,3,1,2,3,2
1178282,499469,14,4,2,4,1,7
1179802,499751,56,1,1,2,3,2
1179803,499751,51,2,2,1,3,1
1179804,499751,18,3,1,2,2,3
1179805,499751,14,4,2,4,1,7
1192852,502073,27,1,1,1,3,1
1192853,502073,25,2,2,3,3,4
1192854,502073,31,3,1,1,3,1
1192855,502073,6,4,2,4,1,7
1192856,502073,16,5,1,3,1,6
1192857,502073,11,6,1,4,1,7
1192858,502073,13,7,2,4,1,7
1192859,502073,19,8,1,1,3,1
1201567,504454,75,1,2,3,3,5
1202479,505366,69,1,1,3,3,5
1204849,507736,89,1,1,3,3,5
1205039,507926,76,1,2,3,3,5
1207872,510759,81,1,2,3,3,5
1208790,511677,71,1,1,3,3,5
1209479,512366,81,1,2,3,3,5
1211704,514591,65,1,2,3,2,3
