Description,Expression,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_ALLTRN,WALK_PRMTRN,PNR_ALLTRN,PNR_PRMTRN,KNR_ALLTRN,KNR_PRMTRN,SCHOOL_BUS
SOVPAY - Unavailable for persons with age < 16,is_predrive == True,,-999,,,,,,,,,,,,,
SOVPAY - Unavailable for work subtour if didn't drive to work,is_atwork_subtour & ~work_tour_is_SOV,,-999,,,,,,,,,,,,,
SOVPAY - In-vehicle time,@coef_ivt*(odt_skims['SOV_TOLL_TIME']+dot_skims['SOV_TOLL_TIME']) * (df.SOV_PAY_Available),,1,,,,,,,,,,,,,
SOVPAY - Operating cost,@df.coef_cost*(costPerMile*(odt_skims['SOV_TOLL_DISTANCE']+dot_skims['SOV_TOLL_DISTANCE'])+100*odt_skims['SOV_TOLL_TOLL']+100*dot_skims['SOV_TOLL_TOLL']) * (df.SOV_PAY_Available),,1,,,,,,,,,,,,,
SOVPAY - Parking cost (Need to apply CT RAMP Filter - (@freeParking==2)),@df.pay_to_park * df.coef_cost * cost_parking * df.PARKRATE * 100 * (df.SOV_PAY_Available),,1,,,,,,,,,,,,,
SOVPAY - Constant,@coef_ivt*0*(df.SOV_PAY_Available),,1,,,,,,,,,,,,,
SOVPAY - Person's age 16-22,@coef_da_age1622 * df.is_age1622,,1,,,,,,,,,,,,,
SOVPAY - Person is homemaker,@coef_da_hmmake * df.is_nonworker_adult,,1,,,,,,,,,,,,,
SOVPAY - Person's age 16-17,@coef_da_age1617 * df.is_age1617,,1,,,,,,,,,,,,,
SOVPAY - University (CTRAMP expression looks odd to me - see Row 160 on University Tab),(auto_ownership == 0) & (is_predrive),,1,,,,,,,,,,,,,
SOVPAY - Person is worker,@coef_da_worker * df.is_worker,,1,,,,,,,,,,,,,
SOVPAY - Person's age 40-59,@coef_da_age4059 * df.is_age4059,,1,,,,,,,,,,,,,
SOVPAY - Person's age 60-79,@coef_da_age6079 * df.is_age6079,,1,,,,,,,,,,,,,
SOVPAY - Person is non-working adult,@coef_da_nonWrkAdlt * df.is_nonworker_adult,,1,,,,,,,,,,,,,
SOVPAY - Od distance < 5 miles ('FREE' distance was used in Drive Alone Pay as well),@coef_da_odDistLess5Mile * (odt_skims['SOV_FREE_DISTANCE']<5) * (dot_skims['SOV_FREE_DISTANCE']<5),,1,,,,,,,,,,,,,
SOVPAY - Joint tour and number of participants == 2,is_joint & (number_of_participants == 2),,-999,,,,,,,,,,,,,
SOVPAY - Joint tour and number of participants > 2,is_joint & (number_of_participants > 2),,-999,,,,,,,,,,,,,
SOVPAY - Tour purpose is shopping,@coef_da_tourPur_Shp * (df.is_shopping),,1,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# HOV2FREE,,,,,,,,,,,,,,,,
HOV2FREE - In-vehicle time,@coef_ivt*(odt_skims['HOV2_FREE_TIME']+dot_skims['HOV2_FREE_TIME']),,,1,,,,,,,,,,,,
HOV2FREE - Operating cost,@df.coef_cost*(costPerMile*(odt_skims['HOV2_FREE_DISTANCE']+dot_skims['HOV2_FREE_DISTANCE'])+100*odt_skims['HOV2_FREE_TOLL']+100*dot_skims['HOV2_FREE_TOLL']),,,1,,,,,,,,,,,,
HOV2FREE - Parking cost  (Need to apply CT RAMP Filter - (@freeParking==2)),@df.pay_to_park * df.coef_cost * cost_parking * df.PARKRATE * 100,,,1,,,,,,,,,,,,
HOV2FREE - 1 Person household,@coef_hov_hhsize1 * df.is_hhsize1,,,1,,,,,,,,,,,,
HOV2FREE - Child under 16 in the household,@coef_hov_ChU16 * df.is_hh_with_child_less16,,,1,,,,,,,,,,,,
HOV2FREE - Male with children under 16,@coef_hov_mlChU16 * ((df.is_male) & (df.is_hh_with_child_less16)),,,1,,,,,,,,,,,,
HOV2FREE - Female with children under 16,@coef_hov_fmlChU16 * ((df.is_female) & (df.is_hh_with_child_less16)),,,1,,,,,,,,,,,,
HOV2FREE - Male with children age 16+,@coef_hov_mlCh16P * ((df.is_male) & (df.is_hh_with_child_16plus)),,,1,,,,,,,,,,,,
HOV2FREE - Female with children age 16+,@coef_hov_fmlCh16P * ((df.is_female) & (df.is_hh_with_child_16plus)),,,1,,,,,,,,,,,,
HOV2FREE - Tour purpose is escort,@coef_hov_tourPur_Esc * df.is_escort,,,1,,,,,,,,,,,,
HOV2FREE - Joint tour and number of participants == 2,is_joint & (number_of_participants == 2),,,1.068,,,,,,,,,,,,
HOV2FREE - Joint tour and number of participants > 2,is_joint & (number_of_participants > 2),,,-999,,,,,,,,,,,,
HOV2FREE - Tour purpose is eatout,@coef_hov_tourPur_Eat * df.is_eatout,,,1,,,,,,,,,,,,
HOV2FREE - Male adult with children age under 16 in household (see row 181 on non-mandatory),@coef_hov_mlAdChU16 * ((df.is_male) & (df.is_adult) & (df.is_hh_with_child_less16)),,,1,,,,,,,,,,,,
HOV2FREE - Female adult with children age under 16 in household (see row 182 on non-mandatory),@coef_hov_fmlAdChU16 * ((df.is_female) & (df.is_adult) & (df.is_hh_with_child_less16)),,,1,,,,,,,,,,,,
HOV2FREE - Other female adults,@coef_hov_OthfmlAd * ((df.is_female) & (df.is_adult) & (df.is_hh_with_child_less16 == False)),,,1,,,,,,,,,,,,
HOV2FREE - Depart from home before 6 AM (work),@(coef_hov_dep_wk_bef_6) * (df.dep_wk_before_6_am),,,1,,,,,,,,,,,,
HOV2FREE - Depart from home after 4 PM (work),@(coef_hov_dep_wk_after_4) * (df.dep_wk_after_4_pm),,,1,,,,,,,,,,,,
HOV2FREE - Tour depart before 4 PM (non mandatory and at-work),@(coef_hov_dep_after_4) * (df.dep_after_4_pm),,,1,,,,,,,,,,,,
HOV2FREE - Tour arrive after 7 PM (non-mandatory and at-work),@(coef_hov_arr_after_7) * (df.arr_after_7_pm),,,1,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#HOV2PAY,,,,,,,,,,,,,,,,
HOV2PAY - Unavailable if toll distance = 0,HOV2_PAY_Available==False,,,,-999,,,,,,,,,,,
HOV2PAY -  In-vehicle time,@coef_ivt*(odt_skims['HOV2_TOLL_TIME']+dot_skims['HOV2_TOLL_TIME']) * (df.HOV2_PAY_Available),,,,1,,,,,,,,,,,
HOV2PAY - Operating cost,@df.coef_cost*(costPerMile*(odt_skims['HOV2_TOLL_DISTANCE']+dot_skims['HOV2_TOLL_DISTANCE'])+100*odt_skims['HOV2_TOLL_TOLL']+100*dot_skims['HOV2_TOLL_TOLL']) * (df.HOV2_PAY_Available),,,,1,,,,,,,,,,,
HOV2PAY - Parking cost,@df.coef_cost * cost_parking * df.PARKRATE * 100 * (df.HOV2_PAY_Available==True),,,,1,,,,,,,,,,,
HOV2PAY - Constant,@coef_ivt*0* (df.HOV2_PAY_Available==True),,,,1,,,,,,,,,,,
HOV2PAY - 1 Person household,@coef_hov_hhsize1 * df.is_hhsize1,,,,1,,,,,,,,,,,
HOV2PAY - Child under 16 in the household,@coef_hov_ChU16 * df.is_hh_with_child_less16,,,,1,,,,,,,,,,,
HOV2PAY - Male with children age under 16,@coef_hov_mlChU16 * ((df.is_male) & (df.is_hh_with_child_less16)),,,,1,,,,,,,,,,,
HOV2PAY - Female with children age under 16,@coef_hov_fmlChU16 * ((df.is_female) & (df.is_hh_with_child_less16)),,,,1,,,,,,,,,,,
HOV2PAY - Male with children age age 16+,@coef_hov_mlCh16P * ((df.is_male) & (df.is_hh_with_child_16plus)),,,,1,,,,,,,,,,,
HOV2PAY - Female with children age age 16+,@coef_hov_fmlCh16P * ((df.is_female) & (df.is_hh_with_child_16plus)),,,,1,,,,,,,,,,,
HOV2PAY - Tour purpose is escort,@coef_hov_tourPur_Esc * df.is_escort,,,,1,,,,,,,,,,,
HOV2PAY - Joint tour and number of participants == 2,is_joint & (number_of_participants == 2),,,,1.068,,,,,,,,,,,
HOV2PAY - Joint tour and number of participants > 2,is_joint & (number_of_participants > 2),,,,-999,,,,,,,,,,,
HOV2PAY - Tour purpose is eatout,@coef_hov_tourPur_Eat * df.is_eatout,,,,1,,,,,,,,,,,
HOV2PAY - Male adult with children age under 16 in household (see row 181 on non-mandatory),@coef_hov_mlAdChU16 * ((df.is_male) & (df.is_adult) & (df.is_hh_with_child_less16)),,,,1,,,,,,,,,,,
HOV2PAY - Female adult with children age under 16 in household (see row 182 on non-mandatory),@coef_hov_fmlAdChU16 * ((df.is_female) & (df.is_adult) & (df.is_hh_with_child_less16)),,,,1,,,,,,,,,,,
HOV2PAY - Other female adults,@coef_hov_OthfmlAd * ((df.is_female) & (df.is_adult) & (df.is_hh_with_child_less16 == False)),,,,1,,,,,,,,,,,
HOV2PAY - Depart from home before 6 AM (work),@(coef_hov_dep_wk_bef_6) * (df.dep_wk_before_6_am),,,,1,,,,,,,,,,,
HOV2PAY - Depart from home after 4 PM (work),@(coef_hov_dep_wk_after_4) * (df.dep_wk_after_4_pm),,,,1,,,,,,,,,,,
HOV2FREE - Tour depart before 4 PM (non mandatory and at-work),@(coef_hov_dep_after_4) * (df.dep_after_4_pm),,,,1,,,,,,,,,,,
HOV2FREE - Tour arrive after 7 PM (non-mandatory and at-work),@(coef_hov_arr_after_7) * (df.arr_after_7_pm),,,,1,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#HOV3+FREE,,,,,,,,,,,,,,,,
HOV3+FREE - In-vehicle time,@coef_ivt*(odt_skims['HOV3_FREE_TIME']+dot_skims['HOV3_FREE_TIME']),,,,,1,,,,,,,,,,
HOV3+FREE - Operating cost,@df.coef_cost*(costPerMile*(odt_skims['HOV3_FREE_DISTANCE']+dot_skims['HOV3_FREE_DISTANCE'])+100*odt_skims['HOV3_FREE_TOLL']+100*dot_skims['HOV3_FREE_TOLL']),,,,,1,,,,,,,,,,
HOV3+FREE - Parking cost,@df.coef_cost * cost_parking * df.PARKRATE * 100,,,,,1,,,,,,,,,,
HOV3+FREE - 1 Person household,@coef_hov_hhsize1 * df.is_hhsize1,,,,,1,,,,,,,,,,
HOV3+FREE - Child under 16 in the household,@coef_hov_ChU16 * df.is_hh_with_child_less16,,,,,1,,,,,,,,,,
HOV3+FREE - Male with children age under 16,@coef_hov_mlChU16 * ((df.is_male) & (df.is_hh_with_child_less16)),,,,,1,,,,,,,,,,
HOV3+FREE - Female with children age under 16,@coef_hov_fmlChU16 * ((df.is_female) & (df.is_hh_with_child_less16)),,,,,1,,,,,,,,,,
HOV3+FREE - Male with children age 16+,@coef_hov_mlCh16P * ((df.is_male) & (df.is_hh_with_child_16plus)),,,,,1,,,,,,,,,,
HOV3+FREE - Female with children age 16+,@coef_hov_fmlCh16P * ((df.is_female) & (df.is_hh_with_child_16plus)),,,,,1,,,,,,,,,,
HOV3+FREE - Tour purpose is escort,@coef_hov_tourPur_Esc * df.is_escort,,,,,1,,,,,,,,,,
HOV3+FREE- Tour purpose is eatout,@coef_hov_tourPur_Eat * df.is_eatout,,,,,1,,,,,,,,,,
HOV3+FREE - Male adult with person under 16 in household,@coef_hov_mlAdChU16 * ((df.is_male) & (df.is_adult) & (df.is_hh_with_child_less16)),,,,,1,,,,,,,,,,
HOV3+FREE - Female adult with person under 16 in household,@coef_hov_fmlAdChU16 * ((df.is_female) & (df.is_adult) & (df.is_hh_with_child_less16)),,,,,1,,,,,,,,,,
HOV3+FREE - Other female adults,@coef_hov_OthfmlAd * ((df.is_adult) & (df.is_adult) & (df.is_hh_with_child_less16 == False)),,,,,1,,,,,,,,,,
HOV3+FREE - Depart from home before 6 AM (work),@(coef_hov_dep_wk_bef_6) * (df.dep_wk_before_6_am),,,,,1,,,,,,,,,,
HOV3+FREE - Depart from home after 4 PM (work),@(coef_hov_dep_wk_after_4) * (df.dep_wk_after_4_pm),,,,,1,,,,,,,,,,
HOV3FREE - Tour depart before 4 PM (non mandatory and at-work),@(coef_hov_dep_after_4) * (df.dep_after_4_pm),,,,,1,,,,,,,,,,
HOV3FREE - Tour arrive after 7 PM (non-mandatory and at-work),@(coef_hov_arr_after_7) * (df.arr_after_7_pm),,,,,1,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#HOV3+PAY,,,,,,,,,,,,,,,,
#HOV3_PAY_Available,,,,,,,,,,,,,,,,
HOV3+PAY - Unavailable if toll distance = 0,HOV3_PAY_Available==False,,,,,,-999,,,,,,,,,
HOV3+PAY - In-vehicle time,@coef_ivt*(odt_skims['HOV3_TOLL_TIME']+dot_skims['HOV3_TOLL_TIME']) * (df.HOV3_PAY_Available),,,,,,1,,,,,,,,,
HOV3+PAY - Operating cost,@df.coef_cost*(costPerMile*(odt_skims['HOV3_TOLL_DISTANCE']+dot_skims['HOV3_TOLL_DISTANCE'])+100*odt_skims['HOV3_TOLL_TOLL']+100*dot_skims['HOV3_TOLL_TOLL']) * (df.HOV3_PAY_Available),,,,,,1,,,,,,,,,
HOV3+PAY - Parking cost,@df.coef_cost * cost_parking * df.PARKRATE * 100 * (df.HOV3_PAY_Available),,,,,,1,,,,,,,,,
HOV3+PAY - Pay constant,@coef_ivt * 0 * (df.HOV3_PAY_Available==True),,,,,,1,,,,,,,,,
HOV3+PAY - 1 person household,@coef_hov_hhsize1 * df.is_hhsize1,,,,,,1,,,,,,,,,
HOV3+PAY - Child under 16 in the household,@coef_hov_ChU16 * df.is_hh_with_child_less16,,,,,,1,,,,,,,,,
HOV3+PAY - Male with children age under 16,@coef_hov_mlChU16 * ((df.is_male) & (df.is_hh_with_child_less16)),,,,,,1,,,,,,,,,
HOV3+PAY - Female with children age under 16,@coef_hov_fmlChU16 * ((df.is_female) & (df.is_hh_with_child_less16)),,,,,,1,,,,,,,,,
HOV3+PAY - Male with children age 16+,@coef_hov_mlCh16P * ((df.is_male) & (df.is_hh_with_child_16plus)),,,,,,1,,,,,,,,,
HOV3+PAY - Female with children age 16+,@coef_hov_fmlCh16P * ((df.is_female) & (df.is_hh_with_child_16plus)),,,,,,1,,,,,,,,,
HOV3+PAY - Tour purpose is escort,@coef_hov_tourPur_Esc * df.is_escort,,,,,,1,,,,,,,,,
HOV3+PAY - Tour purpose is eatout,@coef_hov_tourPur_Eat * df.is_eatout,,,,,,1,,,,,,,,,
HOV3+PAY - Male adult with children age under 16 in household,@coef_hov_mlAdChU16 * ((df.is_male) & (df.is_adult) & (df.is_hh_with_child_less16)),,,,,,1,,,,,,,,,
HOV3+PAY - Female adult withchildren age under 16 in household,@coef_hov_fmlAdChU16 * ((df.is_female) & (df.is_adult) & (df.is_hh_with_child_less16)),,,,,,1,,,,,,,,,
HOV3+PAY - Other female adults,@coef_hov_OthfmlAd * ((df.is_female) & (df.is_adult) & (df.is_hh_with_child_less16 == False)),,,,,,1,,,,,,,,,
HOV3+PAY - Depart from home before 6 AM (work),@(coef_hov_dep_wk_bef_6) * (df.dep_wk_before_6_am),,,,,,1,,,,,,,,,
HOV3+PAY - Depart from home after 4 PM (work),@(coef_hov_dep_wk_after_4) * (df.dep_wk_after_4_pm),,,,,,1,,,,,,,,,
HOV3+PAY - Tour depart before 4 PM (non mandatory and at-work),@(coef_hov_dep_after_4) * (df.dep_after_4_pm),,,,,,1,,,,,,,,,
HOV3+PAY - Tour arrive after 7 PM (non-mandatory and at-work),@(coef_hov_arr_after_7) * (df.arr_after_7_pm),,,,,,1,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Walk,,,,,,,,,,,,,,,,
WALK -  Unavailable,WalkModeAvailable==False,,,,,,,-999,,,,,,,,
WALK - Time -- up to 2/3 mile,"@coef_walkTimeShort*np.minimum(((odt_skims['SOV_FREE_DISTANCE']+dot_skims['SOV_FREE_DISTANCE'])*60/walkSpeed),(walkThresh*60/walkSpeed*2))*(df.WalkModeAvailable)",,,,,,,1,,,,,,,,
WALK - Time -- beyond 2/3 mile,"@coef_walkTimeLong*np.maximum(((odt_skims['SOV_FREE_DISTANCE']+dot_skims['SOV_FREE_DISTANCE'])*60/walkSpeed - walkThresh*60/walkSpeed*2),0)*(df.WalkModeAvailable)",,,,,,,1,,,,,,,,
WALK - Person's age less than 40,@coef_nm_U40 * (df.is_ageless40),,,,,,,1,,,,,,,,
WALK - Person is male,@coef_nm_male * df.is_male,,,,,,,1,,,,,,,,
WALK - Person is university student,@coef_nm_UnvStudent * df.is_university,,,,,,,1,,,,,,,,
WALK - Household income is less than 50K,@coef_nm_incLess50K * df.is_income_less50K,,,,,,,1,,,,,,,,
WALK - Very high household income,@coef_nm_incVeryhigh * df.is_very_high_income,,,,,,,1,,,,,,,,
WALK - No income reported,@coef_nm_noIncome * df.is_no_income,,,,,,,1,,,,,,,,
WALK - Person's age 60+,@coef_nm_60plus * df.is_age60plus,,,,,,,1,,,,,,,,
"WALK - Tour purpose is eatout, social or other discretionary",@coef_nm_torPurEatSocODis * (df.is_eatout) + coef_nm_torPurEatSocODis * (df.is_social) + coef_nm_torPurEatSocODis * (df.is_othdiscr),,,,,,,1,,,,,,,,
WALK - Intrazonal,@coef_nm_intrazonal * (df.is_intrazonal),,,,,,,1,,,,,,,,
#,,,,,,,,,,,,,,,,
#Bike,,,,,,,,,,,,,,,,
BIKE - Unavailable,BikeModeAvailable==False,,,,,,,,-999,,,,,,,
BIKE - Time,@coef_bikeTime*(odt_skims['SOV_FREE_DISTANCE']+dot_skims['SOV_FREE_DISTANCE'])*60/bikeSpeed * (df.BikeModeAvailable),,,,,,,,1,,,,,,,
BIKE - Person's age lesss than 40,@coef_nm_U40 * (df.is_ageless40),,,,,,,,1,,,,,,,
BIKE - Person is male,@coef_nm_male * df.is_male,,,,,,,,1,,,,,,,
BIKE -  Person is university student,@coef_nm_UnvStudent * df.is_university,,,,,,,,1,,,,,,,
BIKE - Household income is less than 50K,@coef_nm_incLess50K * df.is_income_less50K,,,,,,,,1,,,,,,,
BIKE - Very high household income,@coef_nm_incVeryhigh * df.is_very_high_income,,,,,,,,1,,,,,,,
BIKE - No income reported,@coef_nm_noIncome * df.is_no_income,,,,,,,,1,,,,,,,
BIKE - Person's age 60+,@coef_nm_60plus * df.is_age60plus,,,,,,,,1,,,,,,,
"BIKE - Tour purpose is eatout, social or recreational",@coef_nm_torPurEatSocODis * (df.is_eatout) + coef_nm_torPurEatSocODis * (df.is_social) + coef_nm_torPurEatSocODis * (df.is_othdiscr),,,,,,,,1,,,,,,,
BIKE - Intrazonal,@coef_nm_intrazonal * (df.is_intrazonal),,,,,,,,1,,,,,,,
#,,,,,,,,,,,,,,,,
# Walk to Non-premium Transit,,,,,,,,,,,,,,,,
WLKALL - Unavailable,WalkAllTransitAvailable==False,,,,,,,,,-999,,,,,,
WLKALL - In-vehicle time,@coef_ivt * (df.WalkAllTotalIVT_out+df.WalkAllTotalIVT_ret)*(df.WalkAllTransitAvailable),,,,,,,,,1,,,,,,
WLKALL - First wait time -- up to 7.5 minutes,"@coef_firstWaitShort*np.minimum((odt_skims['WLK_ALLTRN_WLK_IWAIT']+dot_skims['WLK_ALLTRN_WLK_IWAIT']),firstWaitThresh*2)*(df.WalkAllTransitAvailable)",,,,,,,,,1,,,,,,
WLKALL - First wait time -- in excess of 7.5 minutes,"@coef_firstWaitLong*np.maximum(((odt_skims['WLK_ALLTRN_WLK_IWAIT']+dot_skims['WLK_ALLTRN_WLK_IWAIT']) - firstWaitThresh*2),0)*(df.WalkAllTransitAvailable)",,,,,,,,,1,,,,,,
WLKALL - Transfer wait time,@coef_xferWait*(odt_skims['WLK_ALLTRN_WLK_XWAIT']+dot_skims['WLK_ALLTRN_WLK_XWAIT']+odt_skims['WLK_ALLTRN_WLK_XPEN']+dot_skims['WLK_ALLTRN_WLK_XPEN'])*(df.WalkAllTransitAvailable),,,,,,,,,1,,,,,,
WLKALL - Walk time -- up to 2/3 mile,"@coef_walkTimeShort * np.minimum ((odt_skims['WLK_ALLTRN_WLK_WALK']+dot_skims['WLK_ALLTRN_WLK_WALK']), walkThresh*60/walkSpeed*2)*(df.WalkAllTransitAvailable)",,,,,,,,,1,,,,,,
WLKALL - Walk time -- beyond 2/3 mile,"@coef_walkTimeLong * np.maximum(((odt_skims['WLK_ALLTRN_WLK_WALK']+dot_skims['WLK_ALLTRN_WLK_WALK'])- walkThresh*60/walkSpeed*2),0) *(df.WalkAllTransitAvailable)",,,,,,,,,1,,,,,,
WLKALL - Fare,@df.coef_cost*(odt_skims['WLK_ALLTRN_WLK_FARE']+dot_skims['WLK_ALLTRN_WLK_FARE'])*100*(df.WalkAllTransitAvailable),,,,,,,,,1,,,,,,
WLKALL - Income less than 50k,@coef_wlkTran_incLess50K * df.is_income_less50K,,,,,,,,,1,,,,,,
WLKALL - University student,@coef_wlkTran_UnvStudent * df.is_university,,,,,,,,,1,,,,,,
WLKALL - Nonworking adult,@coef_wlkTran_nonWrkAdlt * df.is_nonworker_adult,,,,,,,,,1,,,,,,
WLKALL - Person's age 60+,@coef_wlkTran_age60 * df.is_age60plus,,,,,,,,,1,,,,,,
WLKALL - MARTA constant,"@coef_ivt*np.minimum((odt_skims['WLK_ALLTRN_WLK_HRT']+dot_skims['WLK_ALLTRN_WLK_HRT']),30)*(-1)*(0.1)",,,,,,,,,1,,,,,,
WLKALL - Transit short distance disutility,"@coef_ivt*np.minimum(np.maximum((-3*odt_skims['SOV_FREE_DISTANCE']+40)*2,0),30*2)",,,,,,,,,1,,,,,,
#,,,,,,,,,,,,,,,,
#Walk to Premium Transit,,,,,,,,,,,,,,,,
WLKPRM - Unavailable,WalkPrmTransitAvailable==False,,,,,,,,,,-999,,,,,
WLKPRM - In-vehicle time,@coef_ivt*(df.WalkPrmTotalIVT_out+df.WalkPrmTotalIVT_ret)*(df.WalkPrmTransitAvailable),,,,,,,,,,1,,,,,
WLKPRM - First wait time -- up to 7.5 minutes,"@coef_firstWaitShort*np.minimum((odt_skims['WLK_PRMTRN_WLK_IWAIT']+dot_skims['WLK_PRMTRN_WLK_IWAIT']),firstWaitThresh*2)*(df.WalkPrmTransitAvailable)",,,,,,,,,,1,,,,,
WLKPRM - First wait time -- in excess of 7.5 minutes,"@coef_firstWaitLong*np.maximum(((odt_skims['WLK_PRMTRN_WLK_IWAIT']+dot_skims['WLK_PRMTRN_WLK_IWAIT']) - firstWaitThresh*2),0)*(df.WalkPrmTransitAvailable)",,,,,,,,,,1,,,,,
WLKPRM - Transfer wait time,@coef_xferWait*(odt_skims['WLK_PRMTRN_WLK_XWAIT']+dot_skims['WLK_PRMTRN_WLK_XWAIT']+odt_skims['WLK_PRMTRN_WLK_XPEN']+dot_skims['WLK_PRMTRN_WLK_XPEN'])*(df.WalkPrmTransitAvailable),,,,,,,,,,1,,,,,
WLKPRM - Walk time -- up to 2/3 mile,"@coef_walkTimeShort * np.minimum ((odt_skims['WLK_PRMTRN_WLK_WALK']+dot_skims['WLK_PRMTRN_WLK_WALK']), walkThresh*60/walkSpeed*2)*(df.WalkPrmTransitAvailable)",,,,,,,,,,1,,,,,
WLKPRM - Walk time -- beyond 2/3 mile,"@coef_walkTimeLong * np.maximum (((odt_skims['WLK_PRMTRN_WLK_WALK']+dot_skims['WLK_PRMTRN_WLK_WALK'])- walkThresh*60/walkSpeed*2),0)*(df.WalkPrmTransitAvailable)",,,,,,,,,,1,,,,,
WLKPRM - Fare,@df.coef_cost*(odt_skims['WLK_PRMTRN_WLK_FARE']+dot_skims['WLK_PRMTRN_WLK_FARE'])*100*(df.WalkPrmTransitAvailable),,,,,,,,,,1,,,,,
WLKPRM  - Income less than 50k,@coef_wlkTran_incLess50K * df.is_income_less50K,,,,,,,,,,1,,,,,
WLKPRM  - University student,@coef_wlkTran_UnvStudent * df.is_university,,,,,,,,,,1,,,,,
WLKPRM  - Nonworking adult,@coef_wlkTran_nonWrkAdlt * df.is_nonworker_adult,,,,,,,,,,1,,,,,
WLKPRM - Person age 60+,@coef_wlkTran_age60 * df.is_age60plus,,,,,,,,,,1,,,,,
WLKPRM - MARTA constant,"@coef_ivt*np.minimum((odt_skims['WLK_PRMTRN_WLK_HRT']+dot_skims['WLK_PRMTRN_WLK_HRT']), 30)*(-1)*(0.1)",,,,,,,,,,1,,,,,
WLKPRM - Transit short distance disutility,"@coef_ivt*np.minimum(np.maximum((-3*odt_skims['SOV_FREE_DISTANCE']+40)*2,0),30*2)",,,,,,,,,,1,,,,,
#,,,,,,,,,,,,,,,,
#PNR to Non-premium Transit,,,,,,,,,,,,,,,,
PNRALL - Unavailable,PNRAllTransitAvailable==False,,,,,,,,,,,-999,,,,
PNRALL - In-vehicle time,@coef_ivt * (df.PNRALLTotalIVT)*(df.PNRAllTransitAvailable),,,,,,,,,,,1,,,,
PNRALL - First wait time -- up to 7.5 minutes,"@coef_firstWaitShort*np.minimum((odt_skims['PNR_ALLTRN_WLK_IWAIT']+dot_skims['WLK_ALLTRN_PNR_IWAIT']),firstWaitThresh*2)*(df.PNRAllTransitAvailable)",,,,,,,,,,,1,,,,
