Description,Expression,work,univ,school,escort,shopping,eatout,othmaint,social,othdiscr,atwork
UNIVERSITY - Distance squared,"@((np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)) ** 2)",,0.0026,,,,,,,,
UNIVERSITY - Distance cubed,"@((np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)) ** 3)",,-0.0000109,,,,,,,,
UNIVERSITY - Log of distance,"@np.log(np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,-0.3218,,,,,,,,
UNIVERSITY - Distance - return half tour,"@(~df.outbound) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,0.00873,,,,,,,,
UNIVERSITY - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,-0.00269,,,,,,,,
UNIVERSITY - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,-0.01045,,,,,,,,
UNIVERSITY - Distance - shared ride tour,"@((df.tour_mode_is_shared_ride) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,0.002442,,,,,,,,
UNIVERSITY - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,-0.01308,,,,,,,,
UNIVERSITY - Distance - transit tour,"@((df.tour_mode_is_transit) *(np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,0,,,,,,,,
UNIVERSITY - Distance - work stop purpose,"@((df.purpose == 'work') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,-0.195,,,,,,,,
UNIVERSITY - Distance - escort stop purpose,"@((df.purpose == 'escort') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,-0.2596,,,,,,,,
UNIVERSITY - Distance - shopping stop purpose,"@((df.purpose == 'shopping') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,-0.286,,,,,,,,
UNIVERSITY - Distance - eat out stop purpose,"@((df.purpose == 'eatout') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,-0.2927,,,,,,,,
UNIVERSITY - Distance - other maintenance stop purpose,"@((df.purpose == 'othmaint') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,-0.2196,,,,,,,,
UNIVERSITY - Distance - social/visiting stop purpose,"@((df.purpose == 'social') *  (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,-0.3061,,,,,,,,
UNIVERSITY - Distance - other discretionary stop purpose,"@((df.purpose == 'othdiscr') *  (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,-0.2999,,,,,,,,
UNIVERSITY - distance (calibration adjustment),"@(np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,0,,,,,,,,
UNIVERSITY - constant for transit tours (stop w/in walking distance of home,"@(np.where(((~df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0))",,-3,,,,,,,,
UNIVERSITY - constant for transit tours (stop w/in walking distance of prim dest,"@(np.where(((df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0))",,-5,,,,,,,,
UNIVERSITY - OOD Distance,"@np.where (np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 10) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10), 0)",,0.1843125,,,,,,,,
UNIVERSITY - OOD Distance squared,"@np.where (np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 10) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10)) ** 2, 0)",,-0.1722496,,,,,,,,
UNIVERSITY - OOD Distance cubed,"@np.where (np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 10) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10)) ** 3, 0)",,0.0096203,,,,,,,,
UNIVERSITY - Log of OOD distance,"@np.where(np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",,0,,,,,,,,
UNIVERSITY - Negative OOD,"@np.where(np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 10) < 0, 1, 0)",,1.71461471,,,,,,,,
# SCHOOL,,,,,,,,,,,
SCHOOL - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",,,0.0026,,,,,,,
SCHOOL - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",,,-0.0000109,,,,,,,
SCHOOL - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,-0.3218,,,,,,,
SCHOOL - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,0.00873,,,,,,,
SCHOOL - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.00269,,,,,,,
SCHOOL - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.01045,,,,,,,
SCHOOL - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,0.002442,,,,,,,
SCHOOL - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,-0.01308,,,,,,,
SCHOOL - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",,,0,,,,,,,
SCHOOL - Distance - work stop purpose,"@(df.purpose == 'work') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.195,,,,,,,
SCHOOL - Distance - escort stop purpose,"@(df.purpose == 'escort') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.2596,,,,,,,
SCHOOL - Distance - shopping stop purpose,"@(df.purpose == 'shopping') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.286,,,,,,,
SCHOOL - Distance - eat out stop purpose,"@(df.purpose == 'eatout') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.2927,,,,,,,
SCHOOL - Distance - other maintenance stop purpose,"@(df.purpose == 'othmaint') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.2196,,,,,,,
SCHOOL - Distance - social/visiting stop purpose,"@(df.purpose == 'social') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.3061,,,,,,,
SCHOOL - Distance - other discretionary stop purpose,"@(df.purpose == 'othdiscr') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,-0.2999,,,,,,,
SCHOOL - distance (calibration adjustment),"@(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,0,,,,,,,
SCHOOL - constant for transit tours (stop w/in walking distance of home,"@np.where(((~df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,-3,,,,,,,
SCHOOL - constant for transit tours (stop w/in walking distance of prim dest,"@np.where(((df.outbound) & (df.trip_num==1) & (dp_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,-5,,,,,,,
SCHOOL - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9), 0)",,,1.7008853,,,,,,,
SCHOOL - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 2, 0)",,,-0.3098545,,,,,,,
SCHOOL - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 3, 0)",,,0.0155371,,,,,,,
SCHOOL - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",,,-0.5,,,,,,,
SCHOOL - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10) < 0, 1, 0)",,,1.462194456,,,,,,,
SCHOOL - Negative propensity for OOD > 8 miles,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50) > 8, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50), 0)",,,0,,,,,,,
SCHOOL - OOD bin 0 to 1 mile,"@np.where((np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) >= 0) & (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 1), 1, 0)",,,0.1,,,,,,,
# ESCORT,,,,,,,,,,,
ESCORT - Distance squared,"@((np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)) ** 2)",,,,0.0026,,,,,,
ESCORT - Distance cubed,"@((np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)) ** 3)",,,,-0.0000109,,,,,,
ESCORT - Log of distance,"@np.log(np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,,,-0.3218,,,,,,
ESCORT - Distance - return half tour,"@(~df.outbound) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,,,0.00873,,,,,,
ESCORT - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,,,-0.00269,,,,,,
ESCORT - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,,,-0.01045,,,,,,
ESCORT - Distance - shared ride tour,"@((df.tour_mode_is_shared_ride) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,0.002442,,,,,,
ESCORT - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,,,-0.01308,,,,,,
ESCORT - Distance - transit tour,"@((df.tour_mode_is_transit) *(np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,0,,,,,,
ESCORT - Distance - work stop purpose,"@((df.purpose == 'work') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,-0.195,,,,,,
ESCORT - Distance - escort stop purpose,"@((df.purpose == 'escort') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,-0.2596,,,,,,
ESCORT - Distance - shopping stop purpose,"@((df.purpose == 'shopping') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,-0.286,,,,,,
ESCORT - Distance - eat out stop purpose,"@((df.purpose == 'eatout') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,-0.2927,,,,,,
ESCORT - Distance - other maintenance stop purpose,"@((df.purpose == 'othmaint') * (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,-0.2196,,,,,,
ESCORT - Distance - social/visiting stop purpose,"@((df.purpose == 'social') *  (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,-0.3061,,,,,,
ESCORT - Distance - other discretionary stop purpose,"@((df.purpose == 'othdiscr') *  (np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8)))",,,,-0.2999,,,,,,
ESCORT - distance (calibration adjustment),"@(np.minimum((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 8))",,,,0,,,,,,
ESCORT - constant for transit tours (stop w/in walking distance of home,"@(np.where(((~df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0))",,,,-3,,,,,,
ESCORT - constant for transit tours (stop w/in walking distance of prim dest,"@(np.where(((df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0))",,,,-5,,,,,,
ESCORT - OOD Distance,"@np.where (np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 11) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 11), 0)",,,,1.55,,,,,,
ESCORT - OOD Distance squared,"@np.where (np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 11) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 11)) ** 2, 0)",,,,-0.2751715,,,,,,
ESCORT - OOD Distance cubed,"@np.where (np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 11) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 11)) ** 3, 0)",,,,0.0146333,,,,,,
ESCORT - Log of OOD distance,"@np.where(np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",,,,-0.8910575,,,,,,
ESCORT - Negative OOD,"@np.where(np.minimum((np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 8) - _od_distance), 10) < 0, 1, 0)",,,,2.854201327,,,,,,
ESCORT - Logarithm term applied to all distances,"@np.where(((_org_to_stop_dist + _stop_to_dest_dist) > 8), np.log(np.minimum((_org_to_stop_dist + _stop_to_dest_dist), 50)), 0)",,,,-0.3218,,,,,,
# SHOPPING,,,,,,,,,,,
SHOPPING - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",,,,,0.0026,,,,,
SHOPPING - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",,,,,-0.0000109,,,,,
SHOPPING - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,-0.3218,,,,,
SHOPPING - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,0.00873,,,,,
SHOPPING - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,-0.00269,,,,,
SHOPPING - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,-0.01045,,,,,
SHOPPING - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,0.002442,,,,,
SHOPPING - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,-0.01308,,,,,
SHOPPING - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",,,,,0,,,,,
SHOPPING - indiv tour distance - work stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.195,,,,,
SHOPPING - indiv tour distance - escort stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2596,,,,,
SHOPPING - indiv tour distance - shopping stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.286,,,,,
