coefficient_name,work,univ,school,shopping,othmaint,othdiscr,eatout,social,escort,atwork
coef_hov_ChU16,coef_hov_ChU16_work,coef_hov_ChU16_univ,coef_hov_ChU16_school,coef_hov_ChU16_nonmandatory,coef_hov_ChU16_nonmandatory,coef_hov_ChU16_nonmandatory,coef_hov_ChU16_nonmandatory,coef_hov_ChU16_nonmandatory,coef_hov_ChU16_nonmandatory,coef_hov_ChU16_atwork
coef_hov_mlChU16,coef_hov_mlChU16_work,coef_hov_mlChU16_univ,coef_hov_mlChU16_school,coef_hov_mlChU16_nonmandatory,coef_hov_mlChU16_nonmandatory,coef_hov_mlChU16_nonmandatory,coef_hov_mlChU16_nonmandatory,coef_hov_mlChU16_nonmandatory,coef_hov_mlChU16_nonmandatory,coef_hov_mlChU16_atwork
coef_hov_fmlChU16,coef_hov_fmlChU16_work,coef_hov_fmlChU16_univ,coef_hov_fmlChU16_school,coef_hov_fmlChU16_nonmandatory,coef_hov_fmlChU16_nonmandatory,coef_hov_fmlChU16_nonmandatory,coef_hov_fmlChU16_nonmandatory,coef_hov_fmlChU16_nonmandatory,coef_hov_fmlChU16_nonmandatory,coef_hov_fmlChU16_atwork
coef_hov_mlCh16P,coef_hov_mlCh16P_work,coef_hov_mlCh16P_univ,coef_hov_mlCh16P_school,coef_hov_mlCh16P_nonmandatory,coef_hov_mlCh16P_nonmandatory,coef_hov_mlCh16P_nonmandatory,coef_hov_mlCh16P_nonmandatory,coef_hov_mlCh16P_nonmandatory,coef_hov_mlCh16P_nonmandatory,coef_hov_mlCh16P_atwork
coef_hov_fmlCh16P,coef_hov_fmlCh16P_work,coef_hov_fmlCh16P_univ,coef_hov_fmlCh16P_school,coef_hov_fmlCh16P_nonmandatory,coef_hov_fmlCh16P_nonmandatory,coef_hov_fmlCh16P_nonmandatory,coef_hov_fmlCh16P_nonmandatory,coef_hov_fmlCh16P_nonmandatory,coef_hov_fmlCh16P_nonmandatory,coef_hov_fmlCh16P_atwork
coef_hov_mlAdChU16,coef_hov_mlAdChU16_work,coef_hov_mlAdChU16_univ,coef_hov_mlAdChU16_school,coef_hov_mlAdChU16_nonmandatory,coef_hov_mlAdChU16_nonmandatory,coef_hov_mlAdChU16_nonmandatory,coef_hov_mlAdChU16_nonmandatory,coef_hov_mlAdChU16_nonmandatory,coef_hov_mlAdChU16_nonmandatory,coef_hov_mlAdChU16_atwork
coef_hov_fmlAdChU16,coef_hov_fmlAdChU16_work,coef_hov_fmlAdChU16_univ,coef_hov_fmlAdChU16_school,coef_hov_fmlAdChU16_nonmandatory,coef_hov_fmlAdChU16_nonmandatory,coef_hov_fmlAdChU16_nonmandatory,coef_hov_fmlAdChU16_nonmandatory,coef_hov_fmlAdChU16_nonmandatory,coef_hov_fmlAdChU16_nonmandatory,coef_hov_fmlAdChU16_atwork
coef_hov_OthfmlAd,coef_hov_OthfmlAd_work,coef_hov_OthfmlAd_univ,coef_hov_OthfmlAd_school,coef_hov_OthfmlAd_nonmandatory,coef_hov_OthfmlAd_nonmandatory,coef_hov_OthfmlAd_nonmandatory,coef_hov_OthfmlAd_nonmandatory,coef_hov_OthfmlAd_nonmandatory,coef_hov_OthfmlAd_nonmandatory,coef_hov_OthfmlAd_atwork
coef_hov_tourPur_Esc,coef_hov_tourPur_Esc_work,coef_hov_tourPur_Esc_univ,coef_hov_tourPur_Esc_school,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_atwork
coef_hov_tourPur_Eat,coef_hov_tourPur_Eat_work,coef_hov_tourPur_Eat_univ,coef_hov_tourPur_Eat_school,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_atwork
coef_hov_dep_wk_bef_6,coef_hov_dep_wk_bef_6_work,coef_hov_dep_wk_bef_6_univ,coef_hov_dep_wk_bef_6_school,coef_hov_dep_wk_bef_6_nonmandatory,coef_hov_dep_wk_bef_6_nonmandatory,coef_hov_dep_wk_bef_6_nonmandatory,coef_hov_dep_wk_bef_6_nonmandatory,coef_hov_dep_wk_bef_6_nonmandatory,coef_hov_dep_wk_bef_6_nonmandatory,coef_hov_dep_wk_bef_6_atwork
coef_hov_dep_wk_after_4,coef_hov_dep_wk_after_4_work,coef_hov_dep_wk_after_4_univ,coef_hov_dep_wk_after_4_school,coef_hov_dep_wk_after_4_nonmandatory,coef_hov_dep_wk_after_4_nonmandatory,coef_hov_dep_wk_after_4_nonmandatory,coef_hov_dep_wk_after_4_nonmandatory,coef_hov_dep_wk_after_4_nonmandatory,coef_hov_dep_wk_after_4_nonmandatory,coef_hov_dep_wk_after_4_atwork
coef_hov_dep_after_4,coef_hov_dep_after_4_work,coef_hov_dep_after_4_univ,coef_hov_dep_after_4_school,coef_hov_dep_after_4_nonmandatory,coef_hov_dep_after_4_nonmandatory,coef_hov_dep_after_4_nonmandatory,coef_hov_dep_after_4_nonmandatory,coef_hov_dep_after_4_nonmandatory,coef_hov_dep_after_4_nonmandatory,coef_hov_dep_after_4_atwork
coef_hov_arr_after_7,coef_hov_arr_after_7_work,coef_hov_arr_after_7_univ,coef_hov_arr_after_7_school,coef_hov_arr_after_7_nonmandatory,coef_hov_arr_after_7_nonmandatory,coef_hov_arr_after_7_nonmandatory,coef_hov_arr_after_7_nonmandatory,coef_hov_arr_after_7_nonmandatory,coef_hov_arr_after_7_nonmandatory,coef_hov_arr_after_7_atwork
coef_nm_U40,coef_nm_U40_work,coef_nm_U40_univ,coef_nm_U40_school,coef_nm_U40_nonmandatory,coef_nm_U40_nonmandatory,coef_nm_U40_nonmandatory,coef_nm_U40_nonmandatory,coef_nm_U40_nonmandatory,coef_nm_U40_nonmandatory,coef_nm_U40_atwork
coef_nm_male,coef_nm_male_work,coef_nm_male_univ,coef_nm_male_school,coef_nm_male_nonmandatory,coef_nm_male_nonmandatory,coef_nm_male_nonmandatory,coef_nm_male_nonmandatory,coef_nm_male_nonmandatory,coef_nm_male_nonmandatory,coef_nm_male_atwork
coef_nm_UnvStudent,coef_nm_UnvStudent_work,coef_nm_UnvStudent_univ,coef_nm_UnvStudent_school,coef_nm_UnvStudent_nonmandatory,coef_nm_UnvStudent_nonmandatory,coef_nm_UnvStudent_nonmandatory,coef_nm_UnvStudent_nonmandatory,coef_nm_UnvStudent_nonmandatory,coef_nm_UnvStudent_nonmandatory,coef_nm_UnvStudent_atwork
coef_nm_incLess50K,coef_nm_incLess50K_work,coef_nm_incLess50K_univ,coef_nm_incLess50K_school,coef_nm_incLess50K_nonmandatory,coef_nm_incLess50K_nonmandatory,coef_nm_incLess50K_nonmandatory,coef_nm_incLess50K_nonmandatory,coef_nm_incLess50K_nonmandatory,coef_nm_incLess50K_nonmandatory,coef_nm_incLess50K_atwork
coef_nm_60plus,coef_nm_60plus_work,coef_nm_60plus_univ,coef_nm_60plus_school,coef_nm_60plus_nonmandatory,coef_nm_60plus_nonmandatory,coef_nm_60plus_nonmandatory,coef_nm_60plus_nonmandatory,coef_nm_60plus_nonmandatory,coef_nm_60plus_nonmandatory,coef_nm_60plus_atwork
coef_nm_incVeryhigh,coef_nm_incVeryhigh_work,coef_nm_incVeryhigh_univ,coef_nm_incVeryhigh_school,coef_nm_incVeryhigh_nonmandatory,coef_nm_incVeryhigh_nonmandatory,coef_nm_incVeryhigh_nonmandatory,coef_nm_incVeryhigh_nonmandatory,coef_nm_incVeryhigh_nonmandatory,coef_nm_incVeryhigh_nonmandatory,coef_nm_incVeryhigh_atwork
coef_nm_noIncome,coef_nm_noIncome_work,coef_nm_noIncome_univ,coef_nm_noIncome_school,coef_nm_noIncome_nonmandatory,coef_nm_noIncome_nonmandatory,coef_nm_noIncome_nonmandatory,coef_nm_noIncome_nonmandatory,coef_nm_noIncome_nonmandatory,coef_nm_noIncome_nonmandatory,coef_nm_noIncome_atwork
coef_nm_torPurEatSocODis,coef_nm_torPurEatSocODis_work,coef_nm_torPurEatSocODis_univ,coef_nm_torPurEatSocODis_school,coef_nm_torPurEatSocODis_nonmandatory,coef_nm_torPurEatSocODis_nonmandatory,coef_nm_torPurEatSocODis_nonmandatory,coef_nm_torPurEatSocODis_nonmandatory,coef_nm_torPurEatSocODis_nonmandatory,coef_nm_torPurEatSocODis_nonmandatory,coef_nm_torPurEatSocODis_atwork
coef_nm_intrazonal,coef_nm_intrazonal_work,coef_nm_intrazonal_univ,coef_nm_intrazonal_school,coef_nm_intrazonal_nonmandatory,coef_nm_intrazonal_nonmandatory,coef_nm_intrazonal_nonmandatory,coef_nm_intrazonal_nonmandatory,coef_nm_intrazonal_nonmandatory,coef_nm_intrazonal_nonmandatory,coef_nm_intrazonal_atwork
coef_wlkTran_incLess50K,coef_wlkTran_incLess50K_work,coef_wlkTran_incLess50K_univ,coef_wlkTran_incLess50K_school,coef_wlkTran_incLess50K_nonmandatory,coef_wlkTran_incLess50K_nonmandatory,coef_wlkTran_incLess50K_nonmandatory,coef_wlkTran_incLess50K_nonmandatory,coef_wlkTran_incLess50K_nonmandatory,coef_wlkTran_incLess50K_nonmandatory,coef_wlkTran_incLess50K_atwork
coef_wlkTran_UnvStudent,coef_wlkTran_UnvStudent_work,coef_wlkTran_UnvStudent_univ,coef_wlkTran_UnvStudent_school,coef_wlkTran_UnvStudent_nonmandatory,coef_wlkTran_UnvStudent_nonmandatory,coef_wlkTran_UnvStudent_nonmandatory,coef_wlkTran_UnvStudent_nonmandatory,coef_wlkTran_UnvStudent_nonmandatory,coef_wlkTran_UnvStudent_nonmandatory,coef_wlkTran_UnvStudent_atwork
coef_wlkTran_nonWrkAdlt,coef_wlkTran_nonWrkAdlt_work,coef_wlkTran_nonWrkAdlt_univ,coef_wlkTran_nonWrkAdlt_school,coef_wlkTran_nonWrkAdlt_nonmandatory,coef_wlkTran_nonWrkAdlt_nonmandatory,coef_wlkTran_nonWrkAdlt_nonmandatory,coef_wlkTran_nonWrkAdlt_nonmandatory,coef_wlkTran_nonWrkAdlt_nonmandatory,coef_wlkTran_nonWrkAdlt_nonmandatory,coef_wlkTran_nonWrkAdlt_atwork
coef_wlkTran_age60,coef_wlkTran_age60_work,coef_wlkTran_age60_univ,coef_wlkTran_age60_school,coef_wlkTran_age60_nonmandatory,coef_wlkTran_age60_nonmandatory,coef_wlkTran_age60_nonmandatory,coef_wlkTran_age60_nonmandatory,coef_wlkTran_age60_nonmandatory,coef_wlkTran_age60_nonmandatory,coef_wlkTran_age60_atwork
coef_drvTran_nonWrkAdlt,coef_drvTran_nonWrkAdlt_work,coef_drvTran_nonWrkAdlt_univ,coef_drvTran_nonWrkAdlt_school,coef_drvTran_nonWrkAdlt_nonmandatory,coef_drvTran_nonWrkAdlt_nonmandatory,coef_drvTran_nonWrkAdlt_nonmandatory,coef_drvTran_nonWrkAdlt_nonmandatory,coef_drvTran_nonWrkAdlt_nonmandatory,coef_drvTran_nonWrkAdlt_nonmandatory,coef_drvTran_nonWrkAdlt_atwork
coef_schBus_PreDriver,coef_schBus_PreDriver_work,coef_schBus_PreDriver_univ,coef_schBus_PreDriver_school,coef_schBus_PreDriver_nonmandatory,coef_schBus_PreDriver_nonmandatory,coef_schBus_PreDriver_nonmandatory,coef_schBus_PreDriver_nonmandatory,coef_schBus_PreDriver_nonmandatory,coef_schBus_PreDriver_nonmandatory,coef_schBus_PreDriver_atwork
coef_schBus_Driver,coef_schBus_Driver_work,coef_schBus_Driver_univ,coef_schBus_Driver_school,coef_schBus_Driver_nonmandatory,coef_schBus_Driver_nonmandatory,coef_schBus_Driver_nonmandatory,coef_schBus_Driver_nonmandatory,coef_schBus_Driver_nonmandatory,coef_schBus_Driver_nonmandatory,coef_schBus_Driver_atwork
coef_schBus_Rural,coef_schBus_Rural_work,coef_schBus_Rural_univ,coef_schBus_Rural_school,coef_schBus_Rural_nonmandatory,coef_schBus_Rural_nonmandatory,coef_schBus_Rural_nonmandatory,coef_schBus_Rural_nonmandatory,coef_schBus_Rural_nonmandatory,coef_schBus_Rural_nonmandatory,coef_schBus_Rural_atwork
coef_schBus_odDistgre10Mile,coef_schBus_odDistgre10Mile_work,coef_schBus_odDistgre10Mile_univ,coef_schBus_odDistgre10Mile_school,coef_schBus_odDistgre10Mile_nonmandatory,coef_schBus_odDistgre10Mile_nonmandatory,coef_schBus_odDistgre10Mile_nonmandatory,coef_schBus_odDistgre10Mile_nonmandatory,coef_schBus_odDistgre10Mile_nonmandatory,coef_schBus_odDistgre10Mile_nonmandatory,coef_schBus_odDistgre10Mile_atwork
coef_schBus_departBef8am,coef_schBus_departBef8am_work,coef_schBus_departBef8am_univ,coef_schBus_departBef8am_school,coef_schBus_departBef8am_nonmandatory,coef_schBus_departBef8am_nonmandatory,coef_schBus_departBef8am_nonmandatory,coef_schBus_departBef8am_nonmandatory,coef_schBus_departBef8am_nonmandatory,coef_schBus_departBef8am_nonmandatory,coef_schBus_departBef8am_atwork
coef_schBus_returnBef5pm,coef_schBus_returnBef5pm_work,coef_schBus_returnBef5pm_univ,coef_schBus_returnBef5pm_school,coef_schBus_returnBef5pm_nonmandatory,coef_schBus_returnBef5pm_nonmandatory,coef_schBus_returnBef5pm_nonmandatory,coef_schBus_returnBef5pm_nonmandatory,coef_schBus_returnBef5pm_nonmandatory,coef_schBus_returnBef5pm_nonmandatory,coef_schBus_returnBef5pm_atwork
# coef_hov_tourPur_Esc,coef_hov_tourPur_Esc_work,coef_hov_tourPur_Esc_univ,coef_hov_tourPur_Esc_school,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_nonmandatory,coef_hov_tourPur_Esc_atwork
# coef_hov_tourPur_Eat,coef_hov_tourPur_Eat_work,coef_hov_tourPur_Eat_univ,coef_hov_tourPur_Eat_school,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_nonmandatory,coef_hov_tourPur_Eat_atwork
