Label                          ,Description                                                 ,Expression                                                                   ,AUTO_1YR,AUTO_2YR                  ,AUTO_3YR                  ,AUTO_4YR                  ,AUTO_5YR                  ,AUTO_6YR                  ,AUTO_7YR                  ,AUTO_8YR                  ,AUTO_9YR                  ,AUTO_10YR                 ,AUTO_11YR                 ,AUTO_12YR                 ,AUTO_13YR                 ,AUTO_14YR                 ,AUTO_15YR                 ,AUTO_16YR                 ,AUTO_17YR                 ,AUTO_18YR                 ,AUTO_19YR                 ,AUTO_20PLUSYR             ,VAN_1YR                 ,VAN_2YR                   ,VAN_3YR                   ,VAN_4YR                   ,VAN_5YR                   ,VAN_6YR                   ,VAN_7YR                   ,VAN_8YR                   ,VAN_9YR                   ,VAN_10YR                  ,VAN_11YR                  ,VAN_12YR                  ,VAN_13YR                  ,VAN_14YR                  ,VAN_15YR                  ,VAN_16YR                  ,VAN_17YR                  ,VAN_18YR                  ,VAN_19YR                  ,VAN_20PLUSYR              ,SUV_1YR                 ,SUV_2YR                   ,SUV_3YR                   ,SUV_4YR                   ,SUV_5YR                   ,SUV_6YR                   ,SUV_7YR                   ,SUV_8YR                   ,SUV_9YR                   ,SUV_10YR                  ,SUV_11YR                  ,SUV_12YR                  ,SUV_13YR                  ,SUV_14YR                  ,SUV_15YR                  ,SUV_16YR                  ,SUV_17YR                  ,SUV_18YR                  ,SUV_19YR                  ,SUV_20PLUSYR              ,TRUCK_1YR                 ,TRUCK_2YR                 ,TRUCK_3YR                 ,TRUCK_4YR                 ,TRUCK_5YR                 ,TRUCK_6YR                 ,TRUCK_7YR                 ,TRUCK_8YR                 ,TRUCK_9YR                 ,TRUCK_10YR                ,TRUCK_11YR                ,TRUCK_12YR                ,TRUCK_13YR                ,TRUCK_14YR                ,TRUCK_15YR                ,TRUCK_16YR                ,TRUCK_17YR                ,TRUCK_18YR                ,TRUCK_19YR                ,TRUCK_20PLUSYR            ,MOTORCYCLE_1YR           ,MOTORCYCLE_2YR            ,MOTORCYCLE_3YR            ,MOTORCYCLE_4YR            ,MOTORCYCLE_5YR            ,MOTORCYCLE_6YR            ,MOTORCYCLE_7YR            ,MOTORCYCLE_8YR            ,MOTORCYCLE_9YR            ,MOTORCYCLE_10YR           ,MOTORCYCLE_11YR           ,MOTORCYCLE_12YR           ,MOTORCYCLE_13YR           ,MOTORCYCLE_14YR           ,MOTORCYCLE_15YR           ,MOTORCYCLE_16YR           ,MOTORCYCLE_17YR           ,MOTORCYCLE_18YR           ,MOTORCYCLE_19YR           ,MOTORCYCLE_20PLUSYR       
util_hh_rural_2YR              ,household income missing x 2YR age                          ,((income.isna()) | (income < 0)) * 2                                         ,        ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_3YR              ,household income missing x 3YR age                          ,((income.isna()) | (income < 0)) * 3                                         ,        ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_4YR              ,household income missing x 4YR age                          ,((income.isna()) | (income < 0)) * 4                                         ,        ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_5YR              ,household income missing x 5YR age                          ,((income.isna()) | (income < 0)) * 5                                         ,        ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_6YR              ,household income missing x 6YR age                          ,((income.isna()) | (income < 0)) * 6                                         ,        ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_7YR              ,household income missing x 7YR age                          ,((income.isna()) | (income < 0)) * 7                                         ,        ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_8YR              ,household income missing x 8YR age                          ,((income.isna()) | (income < 0)) * 8                                         ,        ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_9YR              ,household income missing x 9YR age                          ,((income.isna()) | (income < 0)) * 9                                         ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_10YR             ,household income missing x 10YR age                         ,((income.isna()) | (income < 0)) * 10                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_11YR             ,household income missing x 11YR age                         ,((income.isna()) | (income < 0)) * 11                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_12YR             ,household income missing x 12YR age                         ,((income.isna()) | (income < 0)) * 12                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_13YR             ,household income missing x 13YR age                         ,((income.isna()) | (income < 0)) * 13                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_14YR             ,household income missing x 14YR age                         ,((income.isna()) | (income < 0)) * 14                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          
util_hh_rural_15YR             ,household income missing x 15YR age                         ,((income.isna()) | (income < 0)) * 15                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          
util_hh_rural_16YR             ,household income missing x 16YR age                         ,((income.isna()) | (income < 0)) * 16                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          
util_hh_rural_17YR             ,household income missing x 17YR age                         ,((income.isna()) | (income < 0)) * 17                                        ,        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                        ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          ,                         ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,                          ,coef_hh_rural_AGE         ,                          ,                          ,                          
