Description,Expression,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
SHARED2PAY - One person household,@c_hhsize1_sr * (df.hhsize == 1),,,,1,,,,,,,,,,,,,,,,,
SHARED2PAY - Two person household,@c_hhsize2_sr * (df.hhsize == 2),,,,1,,,,,,,,,,,,,,,,,
SHARED2PAY - Person is 16 years old or older,@c_age16p_sr * (df.age >= 16),,,,1,,,,,,,,,,,,,,,,,
#Shared ride 3+,,,,,,,,,,,,,,,,,,,,,,
SHARED3FREE - Unavailable,hov3_available == False,,,,,-999,,,,,,,,,,,,,,,,
SHARED3FREE - In-vehicle time,@c_ivt * odt_skims['HOV3_TIME'],,,,,1,,,,,,,,,,,,,,,,
SHARED3FREE - Terminal time,@c_walktimeshort * df.total_terminal_time,,,,,1,,,,,,,,,,,,,,,,
SHARED3FREE - Operating cost,@df.c_cost * costPerMile * odt_skims['HOV3_DIST'],,,,,1,,,,,,,,,,,,,,,,
SHARED3FREE - Parking cost,@df.c_cost *  df.total_parking_cost / costShareSr3,,,,,1,,,,,,,,,,,,,,,,
SHARED3FREE - Bridge toll,@df.c_cost * odt_skims['HOV3_BTOLL'] / costShareSr3,,,,,1,,,,,,,,,,,,,,,,
SHARED3FREE - One person household,@c_hhsize1_sr * (df.hhsize == 1),,,,,1,,,,,,,,,,,,,,,,
SHARED3FREE - Two person household,@c_hhsize2_sr * (df.hhsize == 2),,,,,1,,,,,,,,,,,,,,,,
SHARED3FREE - Person is 16 years old or older,@c_age16p_sr * (df.age >= 16),,,,,1,,,,,,,,,,,,,,,,
#Shared ride 3+ toll,,,,,,,,,,,,,,,,,,,,,,
SHARED3PAY - Unavailable,hov3toll_available == False,,,,,,-999,,,,,,,,,,,,,,,
SHARED3PAY - In-vehicle time,@c_ivt * odt_skims['HOV3TOLL_TIME'],,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - Terminal time,@c_walktimeshort * df.total_terminal_time,,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - Operating cost,@df.c_cost * costPerMile * odt_skims['HOV3TOLL_DIST'],,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - Parking cost,@df.c_cost * df.total_parking_cost / costShareSr3,,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - Bridge toll,@df.c_cost * odt_skims['HOV3TOLL_BTOLL'] / costShareSr3,,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - Value toll,@df.c_cost * odt_skims['HOV3TOLL_VTOLL'] / costShareSr3,,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - One person household,@c_hhsize1_sr * (df.hhsize == 1),,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - Two person household,@c_hhsize2_sr * (df.hhsize == 2),,,,,,1,,,,,,,,,,,,,,,
SHARED3PAY - Person is 16 years old or older,@c_age16p_sr * (df.age >= 16),,,,,,1,,,,,,,,,,,,,,,
#Walk,,,,,,,,,,,,,,,,,,,,,,
WALK - Time up to 2 miles,@c_walktimeshort * od_skims['DISTWALK'].clip(upper=walkThresh) * 60/walkSpeed,,,,,,,1,,,,,,,,,,,,,,
WALK - Time beyond 2 of a miles,@c_walktimelong * (od_skims['DISTWALK'] - walkThresh).clip(lower=0) * 60/walkSpeed,,,,,,,1,,,,,,,,,,,,,,
WALK - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,1,,,,,,,,,,,,,,
WALK - Topology,@c_topology_walk * df.trip_topology,,,,,,,1,,,,,,,,,,,,,,
#Bike,,,,,,,,,,,,,,,,,,,,,,
BIKE - Unavailable if didn't bike to work,is_atwork_subtour & ~work_tour_is_bike,,,,,,,,-999,,,,,,,,,,,,,
BIKE - Time up to 6 miles,@c_biketimeshort * od_skims['DISTBIKE'].clip(upper=bikeThresh)*60/bikeSpeed,,,,,,,,1,,,,,,,,,,,,,
BIKE - Time beyond 6 of a miles,@c_biketimelong * (od_skims['DISTBIKE']-bikeThresh).clip(lower=0)*60/bikeSpeed,,,,,,,,1,,,,,,,,,,,,,
BIKE - Destination zone densityIndex,@c_density_index*df.density_index,,,,,,,,1,,,,,,,,,,,,,
BIKE - Topology,@c_topology_bike * df.trip_topology,,,,,,,,1,,,,,,,,,,,,,
#Walk to Local,,,,,,,,,,,,,,,,,,,,,,
WALK_LOC - Unavailable,walk_local_available == False,,,,,,,,,-999,,,,,,,,,,,,
WALK_LOC - In-vehicle time,@c_ivt * odt_skims['WLK_LOC_WLK_TOTIVT']/100,,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Short iwait time,@c_short_i_wait * (odt_skims['WLK_LOC_WLK_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Long iwait time,@c_long_i_wait * (odt_skims['WLK_LOC_WLK_IWAIT']/100-waitThresh).clip(0),,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - transfer wait time,@c_xwait * odt_skims['WLK_LOC_WLK_XWAIT']/100,,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - number of transfers,@c_xfers_wlk * (odt_skims['WLK_LOC_WLK_BOARDS']-1).clip(0),,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Walk access time,@c_wacc * df.origin_walk_time,,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Walk egress time,@c_wegr * df.destination_walk_time,,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Walk other time,@c_waux * odt_skims['WLK_LOC_WLK_WAUX']/100,,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Fare,@df.c_cost * odt_skims['WLK_LOC_WLK_FAR'],,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Topology,@c_topology_trn * df.trip_topology,,,,,,,,,1,,,,,,,,,,,,
WALK_LOC - Person is less than 10 years old,@c_age010_trn * (df.age <= 10),,,,,,,,,1,,,,,,,,,,,,
#Walk to Light rail/Ferry,,,,,,,,,,,,,,,,,,,,,,
WALK_LRF - Unavailable,walk_lrf_available == False,,,,,,,,,,-999,,,,,,,,,,,
WALK_LRF - In-vehicle time,@c_ivt * odt_skims['WLK_LRF_WLK_TOTIVT']/100,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - In-vehicle time on Light Rail (incremental w/ ivt),@(c_ivt_lrt-c_ivt) * odt_skims['WLK_LRF_WLK_KEYIVT']/100,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - In-vehicle time on Ferry (incremental w/keyivt),@(c_ivt_ferry-c_ivt_lrt) * odt_skims['WLK_LRF_WLK_FERRYIVT']/100,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Short iwait time,@c_short_i_wait * (odt_skims['WLK_LRF_WLK_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Long iwait time,@c_long_i_wait * (odt_skims['WLK_LRF_WLK_IWAIT']/100-waitThresh).clip(0),,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - transfer wait time,@c_xwait * odt_skims['WLK_LRF_WLK_XWAIT']/100,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - number of transfers,@c_xfers_wlk * (odt_skims['WLK_LRF_WLK_BOARDS']-1).clip(0),,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Walk access time,@c_wacc * df.origin_walk_time,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Walk egress time,@c_wegr * df.destination_walk_time,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Walk otherLight rail/Ferry time,@c_waux * odt_skims['WLK_LRF_WLK_WAUX']/100,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Fare,@df.c_cost * odt_skims['WLK_LRF_WLK_FAR'],,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Topology,@c_topology_trn * df.trip_topology,,,,,,,,,,1,,,,,,,,,,,
WALK_LRF - Person is less than 10 years old,@c_age010_trn * (df.age <= 10),,,,,,,,,,1,,,,,,,,,,,
#Walk to Express bus,,,,,,,,,,,,,,,,,,,,,,
WALK_EXP - Unavailable,walk_express_available == False,,,,,,,,,,,-999,,,,,,,,,,
WALK_EXP - In-vehicle time,@c_ivt * odt_skims['WLK_EXP_WLK_TOTIVT']/100,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - In-vehicle time on Express bus (incremental w/ ivt),@(c_ivt_exp-c_ivt) * odt_skims['WLK_EXP_WLK_KEYIVT']/100,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Short iwait time,@c_short_i_wait * (odt_skims['WLK_EXP_WLK_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Long iwait time,@c_long_i_wait * (odt_skims['WLK_EXP_WLK_IWAIT']/100-waitThresh).clip(0),,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - transfer wait time,@c_xwait * odt_skims['WLK_EXP_WLK_XWAIT']/100,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - number of transfers,@c_xfers_wlk * (odt_skims['WLK_EXP_WLK_BOARDS']-1).clip(0),,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Walk access time,@c_wacc * df.origin_walk_time,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Walk egress time,@c_wegr * df.destination_walk_time,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Walk other time,@c_waux * odt_skims['WLK_EXP_WLK_WAUX']/100,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Fare,@df.c_cost * odt_skims['WLK_EXP_WLK_FAR'],,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Topology,@c_topology_trn * df.trip_topology,,,,,,,,,,,1,,,,,,,,,,
WALK_EXP - Person is less than 10 years old,@c_age010_trn * (df.age <= 10),,,,,,,,,,,1,,,,,,,,,,
#Walk to Heavy Rail,,,,,,,,,,,,,,,,,,,,,,
WALK_HVY - Unavailable,walk_heavyrail_available == False,,,,,,,,,,,,-999,,,,,,,,,
WALK_HVY - In-vehicle time,@c_ivt * odt_skims['WLK_HVY_WLK_TOTIVT']/100,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - In-vehicle time on heavy rail (incremental w/ ivt),@(c_ivt_hvy-c_ivt) * odt_skims['WLK_HVY_WLK_KEYIVT']/100,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Short iwait time,@c_short_i_wait * (odt_skims['WLK_HVY_WLK_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Long iwait time,@c_long_i_wait * (odt_skims['WLK_HVY_WLK_IWAIT']/100-waitThresh).clip(0),,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - transfer wait time,@c_xwait * odt_skims['WLK_HVY_WLK_XWAIT']/100,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - number of transfers,@c_xfers_wlk * (odt_skims['WLK_HVY_WLK_BOARDS']-1).clip(0),,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Walk access time,@c_wacc * df.origin_walk_time,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Walk egress time,@c_wegr * df.destination_walk_time,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Walk other time,@c_waux * odt_skims['WLK_HVY_WLK_WAUX']/100,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Fare,@df.c_cost * odt_skims['WLK_HVY_WLK_FAR'],,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Topology,@c_topology_trn * df.trip_topology,,,,,,,,,,,,1,,,,,,,,,
WALK_HVY - Person is less than 10 years old,@c_age010_trn * (df.age <= 10),,,,,,,,,,,,1,,,,,,,,,
#Walk to Commuter rail,,,,,,,,,,,,,,,,,,,,,,
WALK_COM - Unavailable,walk_commuter_available == False,,,,,,,,,,,,,-999,,,,,,,,
WALK_COM - In-vehicle time,@c_ivt * odt_skims['WLK_COM_WLK_TOTIVT']/100,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - In-vehicle time on commuter rail (incremental w/ ivt),@(c_ivt_com-c_ivt) * odt_skims['WLK_COM_WLK_KEYIVT']/100,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Short iwait time,@c_short_i_wait * (odt_skims['WLK_COM_WLK_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Long iwait time,@c_long_i_wait * (odt_skims['WLK_COM_WLK_IWAIT']/100-waitThresh).clip(0),,,,,,,,,,,,,1,,,,,,,,
WALK_COM - transfer wait time,@c_xwait * odt_skims['WLK_COM_WLK_XWAIT']/100,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - number of transfers,@c_xfers_wlk * (odt_skims['WLK_COM_WLK_BOARDS']-1).clip(0),,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Walk access time,@c_wacc * df.origin_walk_time,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Walk egress time,@c_wegr * df.destination_walk_time,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Walk other time,@c_waux * odt_skims['WLK_COM_WLK_WAUX']/100,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Fare,@df.c_cost * odt_skims['WLK_COM_WLK_FAR'],,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Topology,@c_topology_trn * df.trip_topology,,,,,,,,,,,,,1,,,,,,,,
WALK_COM - Person is less than 10 years old,@c_age010_trn * (df.age < 10),,,,,,,,,,,,,1,,,,,,,,
#Drive to Local,,,,,,,,,,,,,,,,,,,,,,
DRIVE_LOC - Unavailable for zero auto households,auto_ownership == 0,,,,,,,,,,,,,,-999,,,,,,,
DRIVE_LOC - Unavailable for persons less than 16,age < 16,,,,,,,,,,,,,,-999,,,,,,,
DRIVE_LOC - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC - Topology,@c_topology_trn * df.trip_topology,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC - Person is less than 10 years old,@c_age010_trn * (df.age < 10),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Unavailable,outbound & ~drive_local_available_outbound,,,,,,,,,,,,,,-999,,,,,,,
DRIVE_LOC outbound - In-vehicle time,@df.outbound * c_ivt * odt_skims['DRV_LOC_WLK_TOTIVT']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Short iwait time,@df.outbound * c_short_i_wait * (odt_skims['DRV_LOC_WLK_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Long iwait time,@df.outbound * c_long_i_wait * (odt_skims['DRV_LOC_WLK_IWAIT']/100-waitThresh).clip(0),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - transfer wait time,@df.outbound * c_xwait * odt_skims['DRV_LOC_WLK_XWAIT']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - number of transfers,@df.outbound * c_xfers_wlk * (odt_skims['DRV_LOC_WLK_BOARDS']-1).clip(0),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Drive time,@df.outbound * c_dtim * odt_skims['DRV_LOC_WLK_DTIM']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Walk egress time,@df.outbound * c_wegr * df.destination_walk_time,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Walk other time,@df.outbound * c_waux * odt_skims['DRV_LOC_WLK_WAUX']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Fare and operating cost,@df.outbound * df.c_cost * (odt_skims['DRV_LOC_WLK_FAR'] + costPerMile*odt_skims['DRV_LOC_WLK_DDIST']/100),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC outbound - Ratio of drive access distance to OD distance,@df.outbound * c_dacc_ratio * (odt_skims['DRV_LOC_WLK_DDIST']/100)/ (od_skims['DIST']),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Unavailable,inbound & ~drive_local_available_inbound,,,,,,,,,,,,,,-999,,,,,,,
DRIVE_LOC inbound - In-vehicle time,@df.inbound * c_ivt * odt_skims['WLK_LOC_DRV_TOTIVT']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Short iwait time,@df.inbound * c_short_i_wait * (odt_skims['WLK_LOC_DRV_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Long iwait time,@df.inbound * c_long_i_wait * (odt_skims['WLK_LOC_DRV_IWAIT']/100-waitThresh).clip(0),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - transfer wait time,@df.inbound * c_xwait * odt_skims['WLK_LOC_DRV_XWAIT']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - number of transfers,@df.inbound * c_xfers_wlk * (odt_skims['WLK_LOC_DRV_BOARDS']-1).clip(0),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Drive time,@df.inbound * c_dtim * odt_skims['WLK_LOC_DRV_DTIM']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Walk access time,@df.inbound * c_wacc * df.origin_walk_time,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Walk other time,@df.inbound * c_waux * odt_skims['WLK_LOC_DRV_WAUX']/100,,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Fare and operating cost,@df.inbound * df.c_cost * (odt_skims['WLK_LOC_DRV_FAR'] + costPerMile*odt_skims['WLK_LOC_DRV_DDIST']/100),,,,,,,,,,,,,,1,,,,,,,
DRIVE_LOC inbound - Ratio of drive access distance to OD distance,@df.outbound * c_dacc_ratio * (odt_skims['WLK_LOC_DRV_DDIST']/100)/ (od_skims['DIST']),,,,,,,,,,,,,,1,,,,,,,
#Drive to Light Rail/Ferry,,,,,,,,,,,,,,,,,,,,,,
DRIVE_LRF - Unavailable for zero auto households,auto_ownership == 0,,,,,,,,,,,,,,,-999,,,,,,
DRIVE_LRF - Unavailable for persons less than 16,age < 16,,,,,,,,,,,,,,,-999,,,,,,
DRIVE_LRF  - Destination zone densityIndex,@c_density_index * df.density_index,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF  - Topology,@c_topology_trn * df.trip_topology,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF  - Person is less than 10 years old,@c_age010_trn * (df.age < 10),,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Unavailable,outbound & ~drive_lrf_available_outbound,,,,,,,,,,,,,,,-999,,,,,,
DRIVE_LRF outbound - In-vehicle time,@df.outbound * c_ivt * odt_skims['DRV_LRF_WLK_TOTIVT']/100,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - In-vehicle time on Light Rail (incremental w/ ivt),@df.outbound * (c_ivt_lrt-c_ivt)*odt_skims['DRV_LRF_WLK_KEYIVT']/100,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - In-vehicle time on Ferry (incremental w/ keyivt),@df.outbound * (c_ivt_ferry-c_ivt_lrt)*odt_skims['DRV_LRF_WLK_FERRYIVT']/100,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Short iwait time,@df.outbound * c_short_i_wait * (odt_skims['DRV_LRF_WLK_IWAIT']/100).clip(upper=waitThresh),,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Long iwait time,@df.outbound * c_long_i_wait * (odt_skims['DRV_LRF_WLK_IWAIT']/100-waitThresh).clip(0),,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - transfer wait time,@df.outbound * c_xwait * odt_skims['DRV_LRF_WLK_XWAIT']/100,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - number of transfers,@df.outbound * c_xfers_drv * (odt_skims['DRV_LRF_WLK_BOARDS']-1).clip(0),,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Drive time,@df.outbound * c_dtim * odt_skims['DRV_LRF_WLK_DTIM']/100,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Walk egress time,@df.outbound * c_wegr * df.destination_walk_time,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Walk other time,@df.outbound * c_waux * odt_skims['DRV_LRF_WLK_WAUX']/100,,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Fare and operating cost,@df.outbound * df.c_cost * (odt_skims['DRV_LRF_WLK_FAR'] + costPerMile * odt_skims['DRV_LRF_WLK_DDIST']/100),,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF outbound - Ratio of drive access distance to OD distance,@df.outbound * c_dacc_ratio * (odt_skims['DRV_LRF_WLK_DDIST']/100) / od_skims['DIST'],,,,,,,,,,,,,,,1,,,,,,
DRIVE_LRF inbound - Unavailable,inbound & ~drive_lrf_available_inbound,,,,,,,,,,,,,,,-999,,,,,,
DRIVE_LRF inbound - In-vehicle time,@df.inbound * c_ivt * odt_skims['WLK_LRF_DRV_TOTIVT']/100,,,,,,,,,,,,,,,1,,,,,,
