household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,joint_tour_frequency
1451106,73,60500,1,4,1,1,0_tours
678273,176,12100,2,3,0,0,0_tours
26041,7,8200,1,4,0,0,0_tours
1410936,114,96000,1,6,1,1,0_tours
357495,189,2500,3,3,1,0,0_tours
2225007,21,220000,2,7,0,2,0_tours
375,105,0,1,6,1,0,0_tours
2507194,62,123000,4,7,4,4,0_tours
1450325,64,62000,1,4,2,1,0_tours
2346494,68,113000,3,5,0,3,0_tours
506600,136,6000,1,6,0,0,0_tours
1174193,147,44000,7,1,2,0,0_tours
2233205,69,338000,2,1,1,2,0_tours
109677,10,25000,1,4,0,1,0_tours
2285382,119,144400,3,2,2,1,0_tours
2053141,65,133000,1,6,0,1,0_tours
771890,61,55000,1,4,0,1,0_tours
2229571,45,414000,2,1,1,2,0_tours
948964,83,34400,2,1,1,2,0_tours
1300145,127,30600,1,4,0,1,0_tours
2863464,5,0,1,0,1,0,0_tours
1120269,33,40020,3,1,1,2,0_tours
2447325,162,175850,9,1,4,4,0_tours
1787367,178,62530,5,1,2,3,0_tours
1348035,187,39200,2,7,0,1,0_tours
73555,136,20900,1,4,1,1,0_tours
834685,80,35000,1,6,1,1,0_tours
496670,149,26600,11,3,3,6,0_tours
2706500,140,207600,2,1,2,1,0_tours
950621,184,48800,2,2,1,2,0_tours
772548,114,32500,1,4,0,1,0_tours
2820876,8,0,1,0,0,1,0_tours
2236335,87,483000,2,1,2,2,0_tours
1748781,85,90400,3,2,0,2,0_tours
1595426,27,96800,2,1,1,2,0_tours
989570,109,57500,2,5,0,2,0_tours
2508169,98,113400,4,3,2,3,0_tours
830273,49,55000,1,6,1,1,0_tours
1266400,71,35800,1,6,1,0,0_tours
1455166,114,70000,1,6,0,1,0_tours
581162,74,6200,1,6,0,0,0_tours
1847579,130,83000,4,1,2,2,0_tours
1685770,168,69000,3,7,3,3,0_tours
1603930,96,63340,2,5,0,2,0_tours
2449266,186,308000,4,1,3,4,0_tours
370646,36,21660,3,1,0,1,0_tours
2366802,46,326700,3,1,1,1,1_Disc
1266930,129,39400,1,6,1,0,0_tours
949015,91,36000,2,1,1,2,0_tours
1749225,106,74000,3,3,1,2,0_tours
1525965,167,63800,2,2,0,2,0_tours
1602900,89,60100,2,7,1,2,0_tours
2767797,124,0,1,0,1,0,0_tours
1595154,17,80000,2,1,1,2,0_tours
1374124,40,36220,2,3,0,2,0_tours
432092,31,28320,5,1,0,0,1_Disc
2100502,128,117000,2,7,2,1,0_tours
1526810,185,65650,2,1,2,2,0_tours
126126,116,22000,1,6,1,1,0_tours
119666,80,28000,1,4,1,1,0_tours
2550346,58,157200,4,1,2,2,1_Main
2763604,53,0,1,0,0,0,0_tours
2050502,34,100100,1,4,0,1,0_tours
2345816,45,120000,3,5,0,3,1_Eat
577775,49,24800,1,6,1,0,0_tours
773585,151,59000,1,6,1,1,0_tours
287504,6,13600,2,3,0,0,0_tours
2823069,81,0,1,0,0,1,0_tours
1748388,65,79500,3,1,1,2,0_tours
2837331,188,0,1,0,1,0,0_tours
703657,31,28800,2,3,0,0,0_tours
1908792,177,77300,4,1,0,3,0_tours
504695,91,16500,1,6,1,0,0_tours
2235848,85,200000,2,1,1,2,0_tours
123704,105,29580,1,4,1,1,0_tours
408369,165,28000,4,1,1,2,0_tours
1089134,183,47400,3,1,2,1,1_Main
1099727,27,49000,3,3,1,1,0_tours
660035,34,26640,1,4,1,1,0_tours
728563,25,12290,2,1,1,1,0_tours
2837449,188,0,1,0,1,0,0_tours
1266922,129,45000,1,6,0,0,0_tours
115428,42,25000,1,4,2,1,0_tours
984375,42,55000,2,5,1,2,0_tours
119329,79,21720,1,6,0,1,0_tours
382927,85,28810,3,1,1,2,0_tours
2345578,40,152500,3,7,0,3,0_tours
30783,41,7100,1,4,0,0,0_tours
2051378,42,325020,1,4,2,1,0_tours
933752,101,35000,2,1,1,1,0_tours
2049934,29,177000,1,6,1,1,0_tours
2409516,46,264500,3,1,2,2,0_tours
2285395,128,141000,3,7,2,1,0_tours
117068,55,24500,1,6,1,1,0_tours
1748721,81,74000,3,3,2,2,0_tours
458435,157,1900,7,1,2,1,0_tours
1598016,46,81200,2,5,1,2,0_tours
575910,43,6200,1,6,0,0,0_tours
125395,110,6000,1,4,1,1,0_tours
2762640,29,0,1,0,0,0,0_tours
2347056,84,123700,3,5,0,3,0_tours
1489088,167,90300,2,1,3,1,0_tours
581341,74,26600,1,6,0,0,0_tours
986144,75,53800,2,5,0,2,0_tours
1604001,96,95000,2,5,0,2,0_tours
2410615,90,118000,3,1,1,2,0_tours
474583,181,20250,4,1,3,2,1_Shop
985567,65,31800,2,1,2,2,0_tours
2239238,103,116000,2,1,2,2,0_tours
2055256,101,145450,1,4,0,1,0_tours
1407614,102,72000,1,6,1,0,0_tours
1348024,187,51500,2,3,1,1,0_tours
585049,91,13000,1,6,2,0,0_tours
2551946,138,119800,6,1,2,2,1_Disc
2741083,28,115440,3,5,1,3,0_tours
1444935,17,90000,1,4,1,1,0_tours
440961,162,5000,4,3,1,1,0_tours
2764291,74,0,1,0,1,0,0_tours
2223264,10,209600,2,5,1,2,0_tours
2355595,164,105000,3,2,2,1,0_tours
2411097,173,105000,3,1,1,2,0_tours
1993546,38,99000,2,1,1,2,0_tours
984469,44,59200,2,7,1,2,0_tours
36957,151,4790,1,6,1,0,0_tours
2446419,140,131750,5,3,3,3,0_tours
949144,114,56920,2,1,1,2,0_tours
585555,99,6000,1,6,1,0,0_tours
457500,116,8400,7,1,2,1,2_SS
2228771,43,167030,2,7,1,2,0_tours
934077,125,35000,2,5,2,1,0_tours
486243,155,21110,4,1,2,2,1_Disc
2106516,71,105800,2,1,1,2,0_tours
2761883,17,0,1,0,0,0,0_tours
986648,81,47000,2,5,0,2,0_tours
1235836,175,39900,4,1,1,2,1_Disc
2099743,77,109000,2,7,1,1,0_tours
933401,85,47900,2,1,0,1,0_tours
2821485,8,0,1,0,0,1,0_tours
1274,166,200,1,4,0,0,0_tours
328987,145,3700,3,3,0,0,0_tours
2054596,90,266000,1,4,0,1,0_tours
1513012,189,79680,2,7,2,1,1_Disc
2718035,30,117000,2,1,0,1,0_tours
1289608,74,53700,1,4,1,0,0_tours
1407813,175,90400,1,4,0,0,0_tours
2230176,47,140300,2,5,0,2,0_tours
29291,16,9000,1,4,0,0,0_tours
718823,132,21300,2,3,2,1,0_tours
987338,86,49990,2,5,1,2,0_tours
1446698,33,70570,1,6,0,1,0_tours
119413,79,9600,1,6,0,1,0_tours
2107917,114,112180,2,5,0,2,0_tours
508794,183,25000,1,4,1,0,0_tours
1454098,100,90000,1,4,0,1,0_tours
822074,6,48130,1,4,0,1,0_tours
2507906,88,142200,6,3,2,6,0_tours
578210,51,17400,1,6,1,0,0_tours
506603,136,11400,1,6,1,0,0_tours
1511809,59,65300,2,2,1,1,0_tours
1119837,9,39400,3,3,1,2,0_tours
827359,38,33000,1,6,1,1,0_tours
1452086,83,71100,1,4,1,1,0_tours
1347153,132,36600,2,3,2,1,0_tours
1100613,162,54300,3,1,2,1,0_tours
576574,45,8300,1,6,0,0,0_tours
587494,109,15300,1,4,1,0,0_tours
1909086,183,68900,5,2,3,3,0_tours
2765222,89,0,1,0,0,0,0_tours
2052341,47,105100,1,6,0,1,0_tours
33015,86,15000,1,4,1,0,0_tours
1452638,87,74000,1,6,0,1,0_tours
1290549,102,46400,1,6,1,0,0_tours
2848963,87,0,1,0,0,0,0_tours
2107392,98,430000,2,1,0,2,0_tours
1135571,160,42900,4,3,3,1,1_Main
949338,127,57140,2,5,2,2,0_tours
2766110,92,0,1,0,1,0,0_tours
112220,16,18000,1,4,1,1,0_tours
1400367,20,54500,6,1,1,2,1_Visit
112260,16,21540,1,6,0,1,0_tours
718813,131,23800,2,3,2,1,0_tours
1234047,10,38930,4,1,0,2,0_tours
1526064,168,98600,2,1,2,2,0_tours
1849188,181,76000,4,2,2,2,0_tours
831086,55,35900,1,6,1,1,0_tours
118076,68,-1850,1,4,0,1,0_tours
1267760,185,32300,1,6,1,0,0_tours
2236506,88,112600,2,5,1,2,0_tours
844194,185,37184,1,6,1,1,0_tours
2242772,157,210000,2,1,3,2,0_tours
2054878,93,201000,1,4,1,1,0_tours
1770295,182,85840,4,3,3,2,0_tours
2228035,40,211000,2,5,1,2,0_tours
1100139,73,59030,3,1,1,1,0_tours
357205,124,10110,3,3,0,0,0_tours
2346127,58,214600,3,7,4,3,1_Disc
1407365,60,65000,1,6,1,0,0_tours
2833863,69,0,1,0,0,0,0_tours
500248,79,28800,6,1,1,3,0_tours
441220,185,15400,4,1,0,1,0_tours
408362,164,26500,4,1,3,2,0_tours
932372,11,55000,2,5,0,1,0_tours
458611,185,19200,4,1,3,1,0_tours
1456099,175,73110,1,6,1,1,0_tours
1488634,127,71440,2,1,2,1,0_tours
1447151,37,60000,1,6,0,1,0_tours
1953237,40,75800,1,4,1,1,0_tours
1266979,131,43900,1,6,1,0,0_tours
2348250,103,137000,3,5,0,3,0_tours
1666442,173,69510,3,3,2,2,0_tours
774390,173,38000,1,4,1,1,0_tours
1568,173,1200,1,4,0,0,0_tours
121987,93,9000,1,6,1,1,0_tours
2410403,80,310700,3,1,1,2,0_tours
1602319,86,83900,2,3,2,2,0_tours
328793,42,6200,3,3,1,0,0_tours
934420,178,51000,2,5,2,1,1_Main
773812,161,35000,1,6,1,1,0_tours
2110753,172,174200,2,1,2,2,0_tours
2100507,128,112000,2,7,2,1,0_tours
988000,91,30700,2,5,1,2,0_tours
2108481,125,161700,2,1,2,2,0_tours
2110720,172,502500,2,1,1,2,0_tours
932427,18,52900,2,1,1,1,0_tours
2111541,184,106000,2,1,2,2,0_tours
1946294,36,60800,1,6,1,0,0_tours
256622,10,18520,2,3,0,2,0_tours
2236055,86,176000,2,5,0,2,0_tours
1100550,138,45520,3,1,2,1,0_tours
257435,16,26000,2,5,0,2,0_tours
213291,183,1160,2,7,1,1,1_Disc
2848436,18,0,1,0,0,0,0_tours
840284,105,45000,1,4,0,1,0_tours
120932,86,21600,1,4,1,1,0_tours
2010222,59,68200,4,1,2,1,1_Disc
2849363,92,0,1,0,0,0,0_tours
1932246,58,95610,5,1,2,5,0_tours
844141,182,50000,1,6,1,1,0_tours
1954083,131,75200,1,4,2,1,0_tours
2369985,102,112000,3,2,1,2,0_tours
1374603,70,59000,2,3,1,2,0_tours
1427,168,0,1,4,0,0,0_tours
2766679,107,0,1,0,1,0,0_tours
1967918,8,65300,2,2,1,0,0_tours
1176886,77,39700,4,1,0,1,0_tours
34731,106,20500,1,4,1,0,0_tours
1452741,88,77000,1,4,1,1,0_tours
1524252,101,87200,2,1,2,2,1_Shop
933432,86,41000,2,3,2,1,0_tours
1702071,174,80300,3,7,4,3,0_tours
2056178,123,325060,1,4,0,1,0_tours
256695,13,27800,2,5,1,2,0_tours
121131,87,20900,1,6,1,1,0_tours
2848276,18,0,1,0,1,0,0_tours
1290421,94,37000,1,6,1,0,0_tours
773820,162,45000,1,4,1,1,0_tours
2072712,159,127400,2,5,1,1,1_Visit
113218,26,16800,1,4,0,1,0_tours
2055717,109,137000,1,6,0,1,0_tours
1235924,183,55600,4,3,1,2,0_tours
113462,29,12000,1,4,1,1,0_tours
984493,44,41700,2,3,1,2,0_tours
2683831,183,209400,1,6,1,0,0_tours
508332,177,13100,1,4,1,0,0_tours
2307727,180,141000,3,1,1,2,0_tours
2111071,178,283800,2,3,2,2,0_tours
2273619,47,212000,2,3,0,1,0_tours
648944,177,21640,1,6,1,1,0_tours
660365,38,14200,1,4,0,1,0_tours
1786868,164,67600,6,1,1,4,0_tours
1287939,40,32000,1,6,0,0,0_tours
1597829,45,77000,2,7,1,2,0_tours
1176836,59,39700,4,1,3,1,0_tours
2764448,75,0,1,0,0,0,0_tours
260516,110,15600,2,7,0,2,0_tours
1602,177,24000,1,4,1,0,0_tours
1946770,69,74900,1,6,1,0,0_tours
2549896,27,245000,5,3,2,2,0_tours
1452489,86,75000,1,4,1,1,0_tours
1486958,54,85000,2,5,2,0,0_tours
2049723,23,100000,1,4,1,1,0_tours
2311349,134,188200,3,1,2,3,0_tours
824,139,8700,1,6,1,0,0_tours
1081716,50,45950,3,1,1,3,0_tours
580482,71,10000,1,4,0,0,0_tours
590664,189,3100,1,6,0,0,0_tours
1644326,133,74000,2,3,1,0,0_tours
2750003,165,144200,4,1,2,3,0_tours
568464,16,9104,1,4,1,0,0_tours
124132,107,18000,1,4,1,1,0_tours
991166,173,39000,2,7,1,2,0_tours
1454869,109,65300,1,4,1,1,0_tours
337205,117,23000,3,3,0,1,0_tours
1787115,166,96100,10,1,3,5,0_tours
1036223,102,47500,2,3,1,1,0_tours
2820496,8,0,1,0,0,1,0_tours
503831,54,0,1,6,0,0,0_tours
909919,151,34000,2,3,1,1,0_tours
33392,89,19400,1,4,1,0,0_tours
748491,184,10800,4,1,1,1,0_tours
30777,41,550,1,4,0,0,0_tours
111448,16,22200,1,6,0,1,0_tours
125118,110,15000,1,4,0,1,0_tours
986405,80,50000,2,5,2,2,0_tours
118144,69,20000,1,4,0,1,0_tours
2765770,92,0,1,0,1,0,0_tours
1722434,139,96000,3,1,2,2,0_tours
408494,183,10090,4,3,1,2,0_tours
677227,125,28970,2,1,2,0,0_tours
2029635,113,100500,1,4,1,1,0_tours
2054729,93,253500,1,4,1,1,0_tours
112787,19,0,1,4,1,1,0_tours
1932181,39,69280,8,1,1,3,0_tours
34317,104,7700,1,4,1,0,0_tours
844149,182,30000,1,4,2,1,0_tours
584511,87,9000,1,6,1,0,0_tours
565708,7,9200,1,6,0,0,0_tours
2552374,165,185800,4,1,2,2,0_tours
121413,89,15500,1,4,1,1,0_tours
2050733,35,101000,1,4,0,1,0_tours
678413,178,19300,2,1,1,0,0_tours
125111,110,14000,1,4,1,1,0_tours
2347823,95,129000,3,7,1,3,0_tours
662374,77,29350,1,6,1,1,0_tours
841841,124,32800,1,6,1,1,0_tours
932613,33,57800,2,5,0,1,0_tours
1525190,137,65650,2,1,2,2,0_tours
701726,5,14800,2,1,1,0,0_tours
1848010,138,82040,6,1,2,2,0_tours
2409351,40,480000,3,1,1,2,0_tours
2050371,33,105000,1,4,1,1,0_tours
2687672,30,247000,1,6,1,0,0_tours
1932064,30,92500,9,1,1,6,0_tours
1447858,43,69000,1,4,1,1,0_tours
2409869,58,125000,3,3,2,2,0_tours
262535,177,14000,2,7,2,2,0_tours
227760,47,26000,2,1,0,1,0_tours
2222474,6,230000,2,1,0,2,0_tours
986812,82,56450,2,5,1,2,0_tours
2050140,31,109000,1,6,1,1,0_tours
1822481,141,76000,5,1,2,1,0_tours
73493,133,18050,1,6,1,1,0_tours
484744,29,14000,4,1,0,2,0_tours
706266,102,26100,2,1,0,0,0_tours
2836329,188,0,1,0,1,0,0_tours
1722448,140,90000,3,3,3,2,0_tours
118346,72,24000,1,4,1,1,0_tours
2345004,16,127950,3,7,0,3,0_tours
1450174,62,72500,1,4,1,1,0_tours
2822521,19,0,1,0,1,1,0_tours
1266249,59,30000,1,4,2,0,0_tours
1952817,17,61900,1,4,1,1,0_tours
1287348,32,32000,1,4,1,0,0_tours
72241,17,9990,1,4,1,1,0_tours
2310826,112,262000,3,7,1,3,0_tours
1842855,132,82000,5,1,2,1,1_Disc
1454163,102,74300,1,4,1,1,0_tours
387485,102,27900,3,2,1,2,0_tours
2106390,67,396000,2,1,2,2,0_tours
257944,30,13960,2,5,0,2,0_tours
1341891,88,40700,2,1,1,0,0_tours
827606,39,44000,1,6,1,1,0_tours
835119,81,32800,1,6,0,1,0_tours
166,71,9000,1,6,0,0,0_tours
1849147,180,82410,5,1,3,2,0_tours
2760798,9,0,1,0,1,0,0_tours
2822574,21,0,1,0,0,1,0_tours
2108052,117,112000,2,5,1,2,0_tours
835556,84,52000,1,6,0,1,0_tours
2100049,93,153160,2,5,2,1,0_tours
508682,182,8700,1,6,0,0,0_tours
2348436,105,177000,3,5,1,3,0_tours
2688637,106,141600,1,6,0,0,0_tours
337746,189,27100,3,1,3,1,0_tours
1260432,117,50200,5,1,1,3,0_tours
727976,10,24600,2,1,1,1,0_tours
1455978,174,60000,1,4,1,1,0_tours
2100266,105,210050,2,7,1,1,1_Disc
1749620,185,76600,3,3,2,2,1_Eat
2231501,51,650000,2,1,2,2,1_Disc
2553476,184,109520,4,1,2,2,0_tours
1932530,85,79600,5,1,1,4,0_tours
772597,117,37600,1,6,1,1,0_tours
260207,110,16000,2,3,1,2,0_tours
73144,125,18000,1,6,0,1,0_tours
1968395,85,66380,2,5,1,0,1_Eat
736752,93,5800,3,3,0,0,0_tours
2410784,102,127000,3,1,1,2,0_tours
1932257,59,64800,6,1,3,3,0_tours
2348128,100,101500,3,5,1,3,0_tours
2630786,186,426440,5,1,2,4,0_tours
2448941,183,202110,6,1,3,5,0_tours
2518275,36,108000,4,3,1,0,0_tours
1599203,60,74000,2,7,1,2,0_tours
1651309,11,73500,2,2,0,1,0_tours
841230,113,30000,1,6,1,1,0_tours
2449137,185,285830,5,1,2,4,0_tours
1983921,47,81900,2,3,1,1,0_tours
1685246,97,78500,3,7,0,3,0_tours
420759,42,14400,4,7,4,4,0_tours
1373978,32,54800,2,1,0,2,0_tours
2621886,36,650000,4,1,0,2,0_tours
1700326,52,91400,3,1,3,3,0_tours
2744529,177,177600,4,1,2,2,1_Main
2763897,71,0,1,0,1,0,0_tours
743125,41,8000,3,1,1,1,0_tours
32747,82,12000,1,4,0,0,0_tours
2447423,164,327400,4,1,4,4,0_tours
258594,61,13000,2,1,0,2,0_tours
1598135,46,81800,2,1,0,2,0_tours
2509132,153,1968504,5,3,2,5,0_tours
115661,42,25000,1,6,1,1,0_tours
985318,61,53000,2,1,2,2,0_tours
1308952,51,55700,1,6,0,1,0_tours
2050707,35,328000,1,4,1,1,0_tours
1511839,62,75200,2,1,0,1,0_tours
2694602,74,216700,1,6,1,1,0_tours
189786,138,25010,2,3,1,0,0_tours
1207615,157,53100,5,1,3,2,1_Visit
258075,37,21800,2,7,1,2,0_tours
257020,16,10500,2,1,0,2,0_tours
2763433,46,0,1,0,1,0,0_tours
658574,9,26050,1,6,0,1,0_tours
1598205,46,96000,2,5,0,2,0_tours
2345516,38,405000,3,5,1,3,0_tours
1177943,182,40000,5,1,2,1,0_tours
261873,149,27650,2,3,2,2,0_tours
659726,29,26640,1,4,0,1,0_tours
1523774,57,68930,2,1,0,2,0_tours
825129,29,34000,1,4,0,1,0_tours
113517,29,0,1,4,0,1,0_tours
831889,62,51000,1,4,1,1,0_tours
2369304,43,377000,3,1,1,2,0_tours
1446664,33,65020,1,6,0,1,0_tours
567271,9,4600,1,4,0,0,0_tours
1700896,86,73000,3,7,2,3,0_tours
1035566,61,30000,2,3,0,1,0_tours
595,128,8500,1,4,0,0,0_tours
2409526,46,143500,3,2,0,2,0_tours
2224612,17,141000,2,7,0,2,0_tours
1608174,178,76200,2,1,1,2,0_tours
1446464,32,60000,1,6,0,1,0_tours
1645960,187,80000,2,3,1,1,0_tours
906367,26,55000,2,5,1,0,0_tours
507402,166,19400,1,4,1,0,0_tours
2029041,17,110000,1,6,0,1,0_tours
906353,10,37000,2,5,0,0,0_tours
2048470,7,100000,1,4,0,1,0_tours
764927,81,50100,1,4,0,0,0_tours
2628117,70,855500,5,1,1,5,0_tours
112502,17,22000,1,4,0,1,0_tours
1447363,38,80000,1,6,1,1,0_tours
587051,108,8000,1,4,1,0,0_tours
2683674,96,260200,1,6,0,0,0_tours
2222855,9,102160,2,5,1,2,0_tours
2029489,95,133800,1,6,1,1,0_tours
1511472,30,80000,2,1,0,1,0_tours
1652280,179,70000,2,3,2,1,1_Main
1701673,117,86000,3,7,2,3,0_tours
2286665,170,104500,3,5,1,2,0_tours
306632,149,17000,2,3,1,1,0_tours
1848890,170,85800,5,1,3,2,0_tours
27096,9,20000,1,6,0,0,0_tours
33032,86,0,1,4,0,0,0_tours
121677,90,23000,1,4,1,1,0_tours
1290957,180,50600,1,6,1,0,0_tours
948981,86,48020,2,7,1,2,0_tours
830584,50,32000,1,4,0,1,0_tours
827383,38,40740,1,4,1,1,0_tours
577762,49,8300,1,6,1,0,0_tours
1082284,110,44900,3,5,0,3,0_tours
226919,10,25000,2,2,0,1,0_tours
2766067,92,0,1,0,0,0,0_tours
1025463,132,53000,2,3,0,1,0_tours
1847048,54,97120,6,1,2,2,1_Main
418588,149,24010,5,7,2,3,1_Main
580275,70,11300,1,6,0,0,0_tours
580646,72,6900,1,6,0,0,0_tours
2311909,179,111500,3,1,2,3,1_Shop
1260326,111,47100,5,3,3,3,0_tours
2821134,8,0,1,0,0,1,0_tours
126234,118,24900,1,4,1,1,0_tours
2758909,47,113600,5,1,1,5,0_tours
2280363,185,163500,3,3,4,1,0_tours
1036062,90,38000,2,3,0,1,0_tours
1453417,93,62400,1,6,1,1,0_tours
1309623,93,39200,1,6,2,1,0_tours
1249851,156,39200,4,1,2,3,0_tours
1708030,103,97000,3,3,2,1,0_tours
228142,76,21800,2,1,0,1,0_tours
2228253,41,131000,2,7,0,2,0_tours
701967,8,14400,2,1,1,0,0_tours
2273801,177,100000,2,3,2,1,0_tours
774289,171,44000,1,4,1,1,0_tours
754928,131,44700,1,6,1,0,0_tours
568694,16,11000,1,6,1,0,0_tours
2762296,21,0,1,0,1,0,0_tours
910730,185,31500,2,2,2,1,0_tours
825702,31,50000,1,4,0,1,0_tours
578468,57,8300,1,6,1,0,0_tours
2053883,80,102000,1,4,1,1,0_tours
123507,105,20000,1,6,1,1,0_tours
2507598,83,569000,4,5,4,4,1_Disc
2506998,52,373550,4,5,3,4,0_tours
2409486,45,186600,3,1,1,2,0_tours
2243114,176,107000,2,1,1,2,0_tours
2677099,6,188500,12,1,1,6,0_tours
1456436,189,64600,1,4,1,1,0_tours
440449,134,20100,4,1,0,1,0_tours
1717051,58,83410,3,1,0,1,0_tours
2232412,62,213900,2,5,1,2,0_tours
2741763,140,121600,4,1,4,1,0_tours
2832602,38,0,1,0,0,0,0_tours
