tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
4624757,46247570,112798,112798,work,mandatory,159.0,19.0,5.0,16.0,DRIVEALONEFREE,,,,11,no_subtours,0out_0in
4627176,46271760,112857,112857,work,mandatory,150.0,19.0,6.0,16.0,DRIVEALONEFREE,,,,29,eat,0out_0in
4651981,46519810,113462,113462,work,mandatory,117.0,29.0,7.0,18.0,DRIVEALONEFREE,,,,48,no_subtours,0out_0in
4652760,46527600,113481,113481,work,mandatory,30.0,29.0,5.0,13.0,TNC_SINGLE,,,,8,no_subtours,0out_0in
4654236,46542360,113517,113517,work,mandatory,93.0,29.0,7.0,16.0,WALK_LRF,,,,46,no_subtours,0out_0in
4656901,46569010,113582,113582,work,mandatory,176.0,30.0,9.0,17.0,DRIVEALONEFREE,,,,78,eat,0out_0in
4680435,46804350,114156,114156,work,mandatory,93.0,31.0,7.0,18.0,DRIVEALONEFREE,,,,48,no_subtours,0out_0in
4683879,46838790,114240,114240,work,mandatory,26.0,32.0,7.0,17.0,WALK,,,,47,no_subtours,0out_0in
4685314,46853140,114275,114275,work,mandatory,2.0,32.0,6.0,13.0,WALK_LOC,,,,26,no_subtours,0out_0in
4688102,46881020,114343,114343,work,mandatory,21.0,33.0,6.0,14.0,WALK,,,,27,no_subtours,0out_0in
4718442,47184420,115083,115083,work,mandatory,97.0,40.0,7.0,20.0,WALK_LRF,,,,50,no_subtours,0out_0in
4723772,47237720,115213,115213,work,mandatory,36.0,40.0,7.0,18.0,SHARED3FREE,,,,48,no_subtours,0out_0in
4723773,47237730,115213,115213,work,mandatory,36.0,40.0,18.0,19.0,WALK_LOC,,,,170,no_subtours,0out_0in
4730332,47303320,115373,115373,work,mandatory,20.0,42.0,7.0,20.0,DRIVEALONEFREE,,,,50,no_subtours,1out_0in
4742140,47421400,115661,115661,work,mandatory,7.0,42.0,6.0,17.0,WALK_HVY,,,,30,no_subtours,1out_3in
4748454,47484540,115815,115815,work,mandatory,110.0,44.0,8.0,13.0,WALK_LOC,,,,59,no_subtours,0out_1in
4751078,47510780,115879,115879,work,mandatory,113.0,44.0,7.0,18.0,DRIVEALONEFREE,,,,48,no_subtours,0out_0in
4757843,47578430,116044,116044,work,mandatory,100.0,45.0,7.0,18.0,SHARED2FREE,,,,48,no_subtours,3out_0in
4757966,47579660,116047,116047,work,mandatory,63.0,45.0,8.0,17.0,DRIVEALONEFREE,,,,63,no_subtours,0out_2in
4771783,47717830,116384,116384,work,mandatory,95.0,46.0,6.0,22.0,BIKE,,,,35,no_subtours,0out_0in
4785108,47851080,116709,116709,work,mandatory,4.0,49.0,13.0,17.0,WALK_LOC,,,,128,eat,0out_2in
4786830,47868300,116751,116751,work,mandatory,87.0,49.0,7.0,19.0,BIKE,,,,49,no_subtours,0out_0in
4797408,47974080,117009,117009,work,mandatory,79.0,54.0,8.0,11.0,DRIVEALONEFREE,,,,57,no_subtours,0out_0in
4799827,47998270,117068,117068,work,mandatory,99.0,55.0,8.0,18.0,DRIVEALONEFREE,,,,64,no_subtours,0out_0in
4811020,48110200,117341,117341,work,mandatory,175.0,60.0,7.0,10.0,DRIVEALONEFREE,,,,40,no_subtours,1out_0in
4811021,48110210,117341,117341,work,mandatory,175.0,60.0,10.0,10.0,DRIVEALONEFREE,,,,85,no_subtours,1out_0in
4818605,48186050,117526,117526,work,mandatory,185.0,62.0,11.0,21.0,BIKE,,,,109,no_subtours,0out_0in
4841155,48411550,118076,118076,work,mandatory,74.0,68.0,6.0,16.0,BIKE,,,,29,no_subtours,0out_0in
4850339,48503390,118300,118300,work,mandatory,84.0,71.0,6.0,15.0,BIKE,,,,28,no_subtours,0out_0in
4852225,48522250,118346,118346,work,mandatory,51.0,72.0,9.0,18.0,DRIVEALONEFREE,,,,79,no_subtours,0out_0in
4871987,48719870,118828,118828,work,mandatory,2.0,78.0,9.0,19.0,WALK_LOC,,,,80,no_subtours,0out_2in
4892528,48925280,119329,119329,work,mandatory,74.0,79.0,5.0,14.0,WALK,,,,9,maint,0out_0in
4895972,48959720,119413,119413,work,mandatory,105.0,79.0,5.0,18.0,WALK,,,,13,no_subtours,0out_0in
4906345,49063450,119666,119666,work,mandatory,142.0,80.0,8.0,17.0,WALK_LRF,,,,63,no_subtours,0out_0in
4913438,49134380,119839,119839,work,mandatory,38.0,81.0,7.0,17.0,BIKE,,,,47,no_subtours,0out_0in
4916390,49163900,119911,119911,work,mandatory,100.0,81.0,8.0,15.0,DRIVEALONEFREE,,,,61,no_subtours,1out_0in
4929059,49290590,120220,120220,work,mandatory,90.0,81.0,8.0,17.0,WALK_LRF,,,,63,eat,0out_2in
4932093,49320930,120294,120294,work,mandatory,91.0,81.0,18.0,21.0,WALK_LRF,,,,172,no_subtours,0out_0in
4939104,49391040,120465,120465,work,mandatory,143.0,82.0,7.0,17.0,WALK_LRF,,,,47,no_subtours,0out_0in
4958251,49582510,120932,120932,work,mandatory,125.0,86.0,6.0,13.0,DRIVEALONEFREE,,,,26,no_subtours,0out_0in
4970305,49703050,121226,121226,work,mandatory,122.0,88.0,8.0,21.0,TNC_SINGLE,,,,67,no_subtours,1out_1in
4977972,49779720,121413,121413,work,mandatory,154.0,89.0,8.0,18.0,DRIVEALONEFREE,,,,64,no_subtours,0out_0in
4988796,49887960,121677,121677,work,mandatory,108.0,90.0,10.0,14.0,WALK_LRF,,,,89,no_subtours,0out_0in
4989001,49890010,121682,121682,work,mandatory,179.0,90.0,7.0,20.0,DRIVEALONEFREE,,,,50,eat,2out_1in
5001875,50018750,121996,121996,work,mandatory,168.0,93.0,8.0,19.0,DRIVEALONEFREE,,,,65,no_subtours,1out_0in
5019136,50191360,122417,122417,work,mandatory,158.0,97.0,8.0,17.0,DRIVEALONEFREE,,,,63,no_subtours,1out_3in
5021637,50216370,122478,122478,work,mandatory,106.0,98.0,7.0,17.0,WALK_LRF,,,,47,no_subtours,0out_0in
5034962,50349620,122803,122803,work,mandatory,36.0,100.0,8.0,18.0,DRIVEALONEFREE,,,,64,no_subtours,0out_1in
5058414,50584140,123375,123375,work,mandatory,143.0,104.0,5.0,15.0,DRIVEALONEFREE,,,,10,no_subtours,0out_3in
5059890,50598900,123411,123411,work,mandatory,119.0,104.0,8.0,10.0,WALK,,,,56,no_subtours,0out_1in
5059891,50598910,123411,123411,work,mandatory,119.0,104.0,11.0,20.0,DRIVEALONEFREE,,,,108,no_subtours,0out_1in
5063826,50638260,123507,123507,work,mandatory,89.0,105.0,5.0,19.0,WALK_LRF,,,,14,no_subtours,0out_0in
5071903,50719030,123704,123704,work,mandatory,129.0,105.0,6.0,20.0,DRIVEALONEFREE,,,,33,no_subtours,0out_1in
5075634,50756340,123795,123795,work,mandatory,175.0,106.0,8.0,11.0,WALK_LRF,,,,57,no_subtours,1out_0in
5089451,50894510,124132,124132,work,mandatory,32.0,107.0,6.0,19.0,WALK_LOC,,,,32,no_subtours,0out_0in
5093100,50931000,124221,124221,work,mandatory,106.0,108.0,8.0,16.0,WALK_LOC,,,,62,no_subtours,0out_0in
5112862,51128620,124703,124703,work,mandatory,142.0,109.0,10.0,21.0,WALK_LRF,,,,96,no_subtours,0out_2in
5129877,51298770,125118,125118,work,mandatory,164.0,110.0,8.0,20.0,WALK_LOC,,,,66,no_subtours,3out_0in
5139348,51393480,125349,125349,work,mandatory,9.0,110.0,7.0,18.0,WALK_LRF,,,,48,no_subtours,0out_0in
5139758,51397580,125359,125359,work,mandatory,147.0,110.0,9.0,18.0,WALK_LRF,,,,79,no_subtours,0out_0in
5141234,51412340,125395,125395,work,mandatory,1.0,110.0,9.0,17.0,WALK_LRF,,,,78,no_subtours,1out_0in
5159684,51596840,125845,125845,work,mandatory,43.0,112.0,7.0,16.0,SHARED3FREE,,,,46,no_subtours,0out_0in
5159766,51597660,125847,125847,work,mandatory,127.0,112.0,15.0,19.0,DRIVEALONEFREE,,,,149,no_subtours,0out_2in
5161365,51613650,125886,125886,work,mandatory,131.0,113.0,6.0,21.0,WALK_LRF,,,,34,no_subtours,0out_0in
5171205,51712050,126126,126126,work,mandatory,105.0,116.0,8.0,18.0,WALK_LOC,,,,64,no_subtours,0out_1in
5175633,51756330,126234,126234,work,mandatory,24.0,118.0,8.0,15.0,WALK_HVY,,,,61,no_subtours,0out_1in
5184325,51843250,126446,126446,work,mandatory,61.0,123.0,12.0,19.0,DRIVEALONEFREE,,,,119,business1,2out_1in
5205604,52056040,126965,126965,work,mandatory,22.0,130.0,7.0,23.0,WALK_HVY,,,,53,eat,0out_0in
5220446,52204460,127327,127327,work,mandatory,103.0,145.0,5.0,18.0,DRIVEALONEFREE,,,,13,no_subtours,0out_2in
5224997,52249970,127438,127438,work,mandatory,172.0,147.0,6.0,18.0,SHARED2FREE,,,,31,eat,1out_3in
5243406,52434060,127887,127887,work,mandatory,43.0,151.0,11.0,18.0,WALK_LOC,,,,106,eat,0out_0in
5267883,52678830,128484,128484,work,mandatory,163.0,177.0,7.0,23.0,WALK_LOC,,,,53,no_subtours,0out_0in
5276903,52769030,128704,128704,work,mandatory,127.0,179.0,12.0,21.0,WALK_LOC,,,,121,no_subtours,0out_0in
5290515,52905150,129036,129036,work,mandatory,50.0,185.0,7.0,15.0,BIKE,,,,45,no_subtours,0out_0in
5293590,52935900,129111,129111,work,mandatory,118.0,188.0,16.0,20.0,DRIVEALONEFREE,,,,158,no_subtours,2out_0in
5294451,52944510,129132,129132,work,mandatory,152.0,189.0,7.0,16.0,SHARED2FREE,,,,46,no_subtours,0out_0in
7785316,77853160,189885,189758,school,mandatory,101.0,135.0,7.0,10.0,WALK_LOC,,,,40,,0out_0in
7785357,77853570,189886,189758,school,mandatory,12.0,135.0,8.0,15.0,WALK_HVY,,,,61,,0out_2in
7787653,77876530,189942,189786,school,mandatory,10.0,138.0,18.0,18.0,DRIVEALONEFREE,,,,169,,0out_0in
7790277,77902770,190006,189818,school,mandatory,112.0,139.0,7.0,10.0,WALK_LOC,,,,40,,1out_0in
8708472,87084720,212401,201016,school,mandatory,9.0,8.0,11.0,15.0,WALK_LOC,,,,103,,0out_0in
8708513,87085130,212402,201016,school,mandatory,107.0,8.0,12.0,12.0,WALK_LOC,,,,112,,0out_0in
8746110,87461100,213319,201475,school,mandatory,13.0,42.0,18.0,19.0,DRIVE_LOC,,,,170,,0out_0in
8746151,87461510,213320,201475,school,mandatory,14.0,42.0,18.0,19.0,WALK_LOC,,,,170,,0out_0in
8751153,87511530,213442,201536,school,mandatory,112.0,42.0,13.0,17.0,DRIVEALONEFREE,,,,128,,0out_0in
8772883,87728830,213972,201801,school,mandatory,133.0,84.0,8.0,10.0,DRIVEALONEFREE,,,,56,,0out_0in
8779279,87792790,214128,201879,school,mandatory,13.0,99.0,9.0,15.0,WALK_HVY,,,,76,,0out_1in
9626388,96263880,234789,212210,work,mandatory,23.0,63.0,7.0,17.0,DRIVEALONEFREE,,,,47,no_subtours,0out_0in
9657138,96571380,235539,212585,work,mandatory,63.0,141.0,7.0,18.0,DRIVEALONEFREE,,,,48,no_subtours,0out_0in
9668536,96685360,235817,212724,work,mandatory,96.0,153.0,9.0,21.0,WALK_LOC,,,,82,no_subtours,0out_0in
9684034,96840340,236195,212913,work,mandatory,80.0,165.0,5.0,17.0,WALK_LOC,,,,12,no_subtours,0out_3in
9692644,96926440,236405,213018,work,mandatory,112.0,168.0,10.0,14.0,SHARED2FREE,,,,89,no_subtours,1out_1in
9715022,97150220,236951,213291,school,mandatory,5.0,183.0,8.0,9.0,WALK_LRF,,,,55,,0out_0in
9720770,97207700,237091,213361,work,mandatory,136.0,185.0,5.0,14.0,DRIVEALONEFREE,,,,9,no_subtours,0out_0in
10832526,108325260,264207,226919,work,mandatory,115.0,10.0,9.0,15.0,WALK_LOC,,,,76,no_subtours,0out_0in
10832527,108325270,264207,226919,work,mandatory,115.0,10.0,16.0,17.0,TNC_SINGLE,,,,155,no_subtours,0out_1in
10877913,108779130,265314,227472,work,mandatory,160.0,34.0,7.0,17.0,WALK_LOC,,,,47,no_subtours,0out_0in
10881111,108811110,265392,227511,work,mandatory,88.0,36.0,7.0,16.0,DRIVEALONEFREE,,,,46,no_subtours,0out_0in
10901488,109014880,265889,227760,work,mandatory,99.0,47.0,7.0,20.0,TNC_SINGLE,,,,50,no_subtours,0out_0in
10901521,109015210,265890,227760,school,mandatory,5.0,47.0,9.0,13.0,WALK_LOC,,,,74,,0out_0in
10911287,109112870,266128,227879,work,mandatory,11.0,59.0,15.0,23.0,SHARED2FREE,,,,153,no_subtours,2out_2in
10929524,109295240,266573,228102,school,mandatory,37.0,73.0,16.0,19.0,WALK_LOC,,,,157,,0out_0in
10929573,109295730,266574,228102,work,mandatory,47.0,73.0,10.0,21.0,TNC_SINGLE,,,,96,no_subtours,0out_0in
10932812,109328120,266653,228142,work,mandatory,41.0,76.0,7.0,16.0,TNC_SINGLE,,,,46,no_subtours,0out_0in
10943267,109432670,266908,228269,work,mandatory,173.0,78.0,6.0,17.0,DRIVEALONEFREE,,,,30,no_subtours,0out_1in
10957740,109577400,267261,228446,work,mandatory,78.0,80.0,11.0,18.0,WALK,,,,106,no_subtours,0out_0in
10981348,109813480,267837,228734,school,mandatory,12.0,101.0,16.0,16.0,WALK_HVY,,,,154,,0out_0in
10990950,109909500,268071,228851,work,mandatory,29.0,107.0,7.0,10.0,TNC_SINGLE,,,,40,no_subtours,0out_0in
10990951,109909510,268071,228851,work,mandatory,29.0,107.0,16.0,18.0,WALK_LOC,,,,156,no_subtours,1out_2in
11080822,110808220,270263,229947,work,mandatory,24.0,165.0,8.0,15.0,WALK_LRF,,,,61,no_subtours,0out_0in
11080855,110808550,270264,229947,school,mandatory,9.0,165.0,7.0,16.0,WALK_HVY,,,,46,,0out_3in
11089178,110891780,270467,230049,school,mandatory,188.0,177.0,8.0,13.0,DRIVEALONEFREE,,,,59,,0out_0in
11089227,110892270,270468,230049,work,mandatory,131.0,177.0,5.0,15.0,DRIVEALONEFREE,,,,10,no_subtours,0out_0in
11093860,110938600,270581,230106,work,mandatory,92.0,180.0,6.0,14.0,DRIVEALONEFREE,,,,27,no_subtours,0out_0in
11093893,110938930,270582,230106,school,mandatory,185.0,180.0,18.0,18.0,DRIVEALONEFREE,,,,169,,0out_1in
11122429,111224290,271278,230454,school,mandatory,9.0,189.0,16.0,21.0,WALK_LRF,,,,159,,0out_0in
12506966,125069660,305047,247339,work,mandatory,60.0,177.0,12.0,16.0,SHARED3FREE,,,,116,no_subtours,0out_0in
12507007,125070070,305048,247339,work,mandatory,142.0,177.0,8.0,18.0,SHARED3FREE,,,,64,no_subtours,1out_1in
12513936,125139360,305217,247424,work,mandatory,189.0,185.0,6.0,15.0,BIKE,,,,28,no_subtours,0out_0in
12513977,125139770,305218,247424,work,mandatory,154.0,185.0,5.0,12.0,SHARED2FREE,,,,7,no_subtours,1out_3in
13259398,132593980,323399,256515,work,mandatory,154.0,10.0,8.0,18.0,WALK_LOC,,,,64,no_subtours,0out_0in
13259439,132594390,323400,256515,work,mandatory,187.0,10.0,6.0,16.0,WALK_LRF,,,,29,no_subtours,0out_0in
13265917,132659170,323558,256594,work,mandatory,33.0,10.0,9.0,21.0,WALK,,,,82,no_subtours,0out_0in
13268172,132681720,323613,256622,work,mandatory,34.0,10.0,8.0,19.0,WALK_LOC,,,,65,no_subtours,3out_0in
13274199,132741990,323760,256695,work,mandatory,83.0,13.0,8.0,17.0,WALK_LRF,,,,63,no_subtours,0out_0in
13282440,132824400,323961,256796,work,mandatory,188.0,16.0,7.0,17.0,WALK_LRF,,,,47,no_subtours,0out_0in
13282481,132824810,323962,256796,work,mandatory,162.0,16.0,6.0,15.0,DRIVEALONEFREE,,,,28,no_subtours,0out_0in
13300808,133008080,324409,257020,work,mandatory,62.0,16.0,6.0,16.0,WALK_LOC,,,,29,no_subtours,0out_0in
13300849,133008490,324410,257020,work,mandatory,97.0,16.0,9.0,15.0,WALK_LRF,,,,76,no_subtours,1out_0in
13302448,133024480,324449,257040,work,mandatory,113.0,16.0,8.0,16.0,TAXI,,,,62,no_subtours,0out_0in
13302489,133024890,324450,257040,work,mandatory,84.0,16.0,9.0,18.0,TNC_SINGLE,,,,79,no_subtours,0out_0in
13311960,133119600,324681,257156,work,mandatory,31.0,16.0,6.0,19.0,WALK_LOC,,,,32,no_subtours,0out_1in
13312001,133120010,324682,257156,work,mandatory,66.0,16.0,8.0,17.0,BIKE,,,,63,maint,0out_0in
13332542,133325420,325183,257407,work,mandatory,33.0,16.0,7.0,20.0,WALK,,,,50,eat,0out_0in
13332583,133325830,325184,257407,work,mandatory,190.0,16.0,5.0,14.0,WALK_LRF,,,,9,no_subtours,0out_1in
13334838,133348380,325239,257435,work,mandatory,128.0,16.0,11.0,21.0,WALK_HVY,,,,109,no_subtours,1out_1in
13334879,133348790,325240,257435,work,mandatory,71.0,16.0,8.0,16.0,TNC_SINGLE,,,,62,no_subtours,1out_1in
13345293,133452930,325494,257562,work,mandatory,85.0,16.0,13.0,18.0,TNC_SINGLE,,,,129,no_subtours,0out_1in
13359028,133590280,325829,257730,work,mandatory,148.0,17.0,8.0,18.0,WALK_LRF,,,,64,no_subtours,0out_0in
13359069,133590690,325830,257730,work,mandatory,134.0,17.0,7.0,14.0,WALK_HVY,,,,44,no_subtours,0out_0in
13371000,133710000,326121,257876,work,mandatory,99.0,26.0,8.0,17.0,SHARED2FREE,,,,63,no_subtours,0out_0in
13376617,133766170,326258,257944,work,mandatory,25.0,30.0,10.0,20.0,WALK_LOC,,,,95,no_subtours,1out_0in
13387318,133873180,326519,258075,work,mandatory,15.0,37.0,9.0,18.0,WALK_LRF,,,,79,no_subtours,0out_0in
13387359,133873590,326520,258075,work,mandatory,46.0,37.0,11.0,20.0,WALK,,,,108,no_subtours,3out_1in
13399864,133998640,326825,258228,work,mandatory,188.0,42.0,11.0,18.0,DRIVEALONEFREE,,,,106,eat,1out_1in
13399905,133999050,326826,258228,work,mandatory,57.0,42.0,7.0,14.0,SHARED2FREE,,,,44,no_subtours,1out_1in
13407572,134075720,327013,258322,work,mandatory,68.0,45.0,7.0,17.0,DRIVEALONEFREE,,,,47,no_subtours,0out_0in
13408966,134089660,327047,258339,work,mandatory,152.0,45.0,8.0,16.0,WALK_LOC,,,,62,no_subtours,0out_0in
13409007,134090070,327048,258339,work,mandatory,27.0,45.0,11.0,20.0,WALK,,,,108,no_subtours,0out_1in
13427334,134273340,327495,258563,work,mandatory,18.0,59.0,7.0,21.0,WALK_LOC,,,,51,maint,0out_0in
13427375,134273750,327496,258563,work,mandatory,183.0,59.0,7.0,18.0,WALK_LOC,,,,48,no_subtours,0out_0in
13427826,134278260,327507,258569,work,mandatory,51.0,59.0,7.0,16.0,DRIVEALONEFREE,,,,46,no_subtours,0out_0in
13427867,134278670,327508,258569,work,mandatory,176.0,59.0,14.0,21.0,DRIVEALONEFREE,,,,142,no_subtours,0out_0in
13427868,134278680,327508,258569,work,mandatory,176.0,59.0,21.0,21.0,SHARED3FREE,,,,184,no_subtours,0out_0in
13429876,134298760,327557,258594,work,mandatory,30.0,61.0,6.0,17.0,WALK_LOC,,,,30,no_subtours,1out_1in
13429917,134299170,327558,258594,work,mandatory,180.0,61.0,8.0,19.0,BIKE,,,,65,no_subtours,0out_0in
13431106,134311060,327587,258609,work,mandatory,181.0,61.0,6.0,15.0,TNC_SINGLE,,,,28,no_subtours,0out_0in
13431147,134311470,327588,258609,work,mandatory,165.0,61.0,8.0,18.0,TNC_SINGLE,,,,64,no_subtours,0out_0in
13432418,134324180,327619,258625,work,mandatory,137.0,61.0,5.0,16.0,DRIVEALONEFREE,,,,11,no_subtours,1out_0in
13432459,134324590,327620,258625,work,mandatory,168.0,61.0,7.0,17.0,SHARED3FREE,,,,47,no_subtours,0out_0in
13439142,134391420,327783,258707,work,mandatory,87.0,66.0,8.0,14.0,WALK_LOC,,,,60,no_subtours,0out_0in
13439143,134391430,327783,258707,work,mandatory,87.0,66.0,14.0,18.0,SHARED2FREE,,,,139,no_subtours,0out_1in
13439183,134391830,327784,258707,work,mandatory,24.0,66.0,11.0,17.0,WALK_LOC,,,,105,no_subtours,0out_1in
13509662,135096620,329503,259567,work,mandatory,146.0,107.0,8.0,14.0,WALK_LOC,,,,60,eat,1out_0in
13509703,135097030,329504,259567,work,mandatory,17.0,107.0,9.0,22.0,BIKE,,,,83,eat,2out_0in
13518600,135186000,329721,259676,work,mandatory,111.0,108.0,5.0,11.0,DRIVEALONEFREE,,,,6,no_subtours,1out_0in
13518601,135186010,329721,259676,work,mandatory,111.0,108.0,12.0,17.0,DRIVEALONEFREE,,,,117,no_subtours,2out_0in
13518641,135186410,329722,259676,work,mandatory,46.0,108.0,8.0,17.0,BIKE,,,,63,no_subtours,1out_2in
13532622,135326220,330063,259847,work,mandatory,39.0,108.0,21.0,23.0,DRIVEALONEFREE,,,,186,no_subtours,0out_0in
13532663,135326630,330064,259847,work,mandatory,165.0,108.0,9.0,17.0,DRIVEALONEFREE,,,,78,no_subtours,0out_2in
13562142,135621420,330783,260207,work,mandatory,167.0,110.0,7.0,16.0,WALK_LRF,,,,46,no_subtours,0out_0in
13562183,135621830,330784,260207,work,mandatory,112.0,110.0,7.0,18.0,DRIVEALONEFREE,,,,48,eat,0out_0in
13562716,135627160,330797,260214,work,mandatory,69.0,110.0,7.0,18.0,WALK_LRF,,,,48,no_subtours,0out_2in
13562757,135627570,330798,260214,work,mandatory,50.0,110.0,5.0,13.0,WALK_LOC,,,,8,no_subtours,0out_0in
13648078,136480780,332879,261255,work,mandatory,85.0,146.0,9.0,18.0,SHARED2FREE,,,,79,no_subtours,0out_2in
13648119,136481190,332880,261255,work,mandatory,15.0,146.0,16.0,21.0,SHARED3FREE,,,,159,no_subtours,1out_0in
13651850,136518500,332971,261301,work,mandatory,52.0,149.0,7.0,16.0,SHARED3FREE,,,,46,no_subtours,0out_0in
13651891,136518910,332972,261301,work,mandatory,176.0,149.0,7.0,17.0,SHARED3FREE,,,,47,no_subtours,0out_0in
13698754,136987540,334115,261873,work,mandatory,130.0,149.0,7.0,16.0,DRIVEALONEFREE,,,,46,no_subtours,0out_1in
13698795,136987950,334116,261873,work,mandatory,86.0,149.0,13.0,18.0,DRIVEALONEFREE,,,,129,no_subtours,0out_0in
13700558,137005580,334159,261895,work,mandatory,109.0,149.0,6.0,18.0,WALK_LRF,,,,31,no_subtours,0out_0in
