tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
4624306,112787,112787,work,mandatory,107.0,19.0,9.0,21.0,WALK,
4624757,112798,112798,work,mandatory,13.0,19.0,5.0,20.0,WALK_LOC,
4627176,112857,112857,work,mandatory,91.0,19.0,6.0,18.0,DRIVEALONEFREE,
4651981,113462,113462,work,mandatory,15.0,29.0,7.0,17.0,DRIVEALONEFREE,
4652760,113481,113481,work,mandatory,40.0,29.0,5.0,12.0,TNC_SINGLE,
4654236,113517,113517,work,mandatory,29.0,29.0,7.0,10.0,WALK,
4654237,113517,113517,work,mandatory,29.0,29.0,10.0,10.0,WALK,
4656901,113582,113582,work,mandatory,22.0,30.0,9.0,21.0,DRIVEALONEFREE,
4680435,114156,114156,work,mandatory,15.0,31.0,7.0,19.0,WALK,
4683879,114240,114240,work,mandatory,115.0,32.0,7.0,17.0,BIKE,
4685314,114275,114275,work,mandatory,35.0,32.0,6.0,15.0,WALK_LOC,
4688102,114343,114343,work,mandatory,41.0,33.0,5.0,21.0,WALK,
4718442,115083,115083,work,mandatory,16.0,40.0,8.0,15.0,WALK_LRF,
4723772,115213,115213,work,mandatory,13.0,40.0,8.0,11.0,DRIVEALONEFREE,
4723773,115213,115213,work,mandatory,13.0,40.0,11.0,18.0,WALK_LRF,
4730332,115373,115373,work,mandatory,14.0,42.0,7.0,21.0,SHARED2FREE,
4742140,115661,115661,work,mandatory,109.0,42.0,6.0,16.0,WALK_LRF,
4748454,115815,115815,work,mandatory,18.0,44.0,8.0,16.0,WALK_LOC,
4751078,115879,115879,work,mandatory,31.0,44.0,8.0,15.0,WALK,
4757843,116044,116044,work,mandatory,22.0,45.0,7.0,18.0,WALK_LOC,
4757966,116047,116047,work,mandatory,26.0,45.0,8.0,19.0,BIKE,
4771783,116384,116384,work,mandatory,7.0,46.0,6.0,21.0,WALK,
4785108,116709,116709,work,mandatory,70.0,49.0,14.0,18.0,WALK,
4786830,116751,116751,work,mandatory,71.0,49.0,7.0,18.0,WALK,
4797408,117009,117009,work,mandatory,142.0,54.0,7.0,19.0,DRIVEALONEFREE,
4799827,117068,117068,work,mandatory,14.0,55.0,8.0,20.0,SHARED3FREE,
4811020,117341,117341,work,mandatory,115.0,60.0,7.0,17.0,DRIVEALONEFREE,
4818605,117526,117526,work,mandatory,32.0,62.0,11.0,20.0,WALK_LOC,
4841155,118076,118076,work,mandatory,16.0,68.0,6.0,16.0,WALK_LOC,
4850339,118300,118300,work,mandatory,9.0,71.0,6.0,15.0,WALK_LOC,
4852225,118346,118346,work,mandatory,189.0,72.0,8.0,22.0,DRIVEALONEFREE,
4871987,118828,118828,work,mandatory,14.0,78.0,9.0,19.0,WALK_LOC,
4892528,119329,119329,work,mandatory,41.0,79.0,5.0,14.0,WALK_LOC,
4895972,119413,119413,work,mandatory,92.0,79.0,5.0,17.0,WALK_LRF,
4906345,119666,119666,work,mandatory,79.0,80.0,8.0,18.0,WALK_LOC,
4913438,119839,119839,work,mandatory,92.0,81.0,7.0,17.0,DRIVEALONEFREE,
4916390,119911,119911,work,mandatory,11.0,81.0,8.0,17.0,BIKE,
4929059,120220,120220,work,mandatory,2.0,81.0,8.0,17.0,WALK_LRF,
4932093,120294,120294,work,mandatory,6.0,81.0,18.0,21.0,BIKE,
4939104,120465,120465,work,mandatory,9.0,82.0,7.0,18.0,WALK_LRF,
4958251,120932,120932,work,mandatory,13.0,86.0,6.0,16.0,WALK_LOC,
4970305,121226,121226,work,mandatory,92.0,88.0,9.0,18.0,TNC_SINGLE,
4977972,121413,121413,work,mandatory,186.0,89.0,8.0,18.0,DRIVEALONEFREE,
4988796,121677,121677,work,mandatory,46.0,90.0,10.0,20.0,WALK_LRF,
4989001,121682,121682,work,mandatory,5.0,90.0,7.0,22.0,WALK_LRF,
5001875,121996,121996,work,mandatory,122.0,93.0,8.0,19.0,DRIVEALONEFREE,
5019136,122417,122417,work,mandatory,13.0,97.0,8.0,17.0,WALK_LRF,
5021637,122478,122478,work,mandatory,13.0,98.0,7.0,17.0,WALK_LRF,
5034962,122803,122803,work,mandatory,1.0,100.0,8.0,18.0,SHARED2FREE,
5058414,123375,123375,work,mandatory,76.0,104.0,5.0,15.0,WALK_LRF,
5059890,123411,123411,work,mandatory,10.0,104.0,8.0,14.0,WALK_LRF,
5059891,123411,123411,work,mandatory,10.0,104.0,15.0,18.0,WALK,
5063826,123507,123507,work,mandatory,69.0,105.0,5.0,18.0,WALK_HVY,
5071903,123704,123704,work,mandatory,9.0,105.0,7.0,16.0,SHARED3FREE,
5075634,123795,123795,work,mandatory,2.0,106.0,8.0,16.0,WALK_HVY,
5089451,124132,124132,work,mandatory,20.0,107.0,6.0,17.0,WALK_HVY,
5093100,124221,124221,work,mandatory,110.0,108.0,8.0,13.0,TNC_SINGLE,
5112862,124703,124703,work,mandatory,19.0,109.0,11.0,21.0,WALK_LOC,
5129877,125118,125118,work,mandatory,18.0,110.0,9.0,17.0,WALK_LRF,
5139348,125349,125349,work,mandatory,9.0,110.0,7.0,18.0,WALK_LRF,
5139758,125359,125359,work,mandatory,2.0,110.0,9.0,19.0,WALK_LRF,
5141234,125395,125395,work,mandatory,92.0,110.0,8.0,19.0,DRIVEALONEFREE,
5159684,125845,125845,work,mandatory,22.0,112.0,7.0,17.0,WALK_HVY,
5159766,125847,125847,work,mandatory,107.0,112.0,16.0,20.0,DRIVEALONEFREE,
5161365,125886,125886,work,mandatory,133.0,113.0,6.0,22.0,WALK_LRF,
5171205,126126,126126,work,mandatory,105.0,116.0,8.0,18.0,WALK_LOC,
5175633,126234,126234,work,mandatory,9.0,118.0,8.0,17.0,WALK_HVY,
5184325,126446,126446,work,mandatory,12.0,123.0,12.0,23.0,DRIVEALONEFREE,
5205604,126965,126965,work,mandatory,13.0,130.0,8.0,14.0,SHARED2FREE,
5220446,127327,127327,work,mandatory,115.0,145.0,6.0,15.0,DRIVEALONEFREE,
5224997,127438,127438,work,mandatory,113.0,147.0,6.0,18.0,SHARED2FREE,
5243406,127887,127887,work,mandatory,1.0,151.0,11.0,21.0,WALK_LRF,
5267883,128484,128484,work,mandatory,87.0,177.0,7.0,20.0,WALK_LOC,
5276903,128704,128704,work,mandatory,11.0,179.0,12.0,22.0,WALK_LRF,
5290515,129036,129036,work,mandatory,91.0,185.0,7.0,10.0,BIKE,
5290516,129036,129036,work,mandatory,91.0,185.0,11.0,15.0,WALK_LOC,
5293590,129111,129111,work,mandatory,92.0,188.0,16.0,21.0,DRIVEALONEFREE,
5294451,129132,129132,work,mandatory,2.0,189.0,7.0,17.0,WALK_LRF,
7785316,189885,189758,school,mandatory,133.0,135.0,7.0,10.0,WALK_LOC,
7785357,189886,189758,school,mandatory,133.0,135.0,14.0,20.0,WALK_LOC,
7787653,189942,189786,school,mandatory,133.0,138.0,16.0,21.0,DRIVEALONEFREE,
7790277,190006,189818,school,mandatory,133.0,139.0,7.0,10.0,WALK_LOC,
8708472,212401,201016,school,mandatory,13.0,8.0,12.0,15.0,WALK_LRF,
8708513,212402,201016,school,mandatory,9.0,8.0,16.0,17.0,WALK_LOC,
8746110,213319,201475,school,mandatory,13.0,42.0,18.0,19.0,WALK_LOC,
8746151,213320,201475,school,mandatory,13.0,42.0,18.0,19.0,SHARED3FREE,
8751153,213442,201536,school,mandatory,107.0,42.0,16.0,18.0,SHARED3FREE,
8772883,213972,201801,school,mandatory,107.0,84.0,8.0,15.0,SHARED3FREE,
8779279,214128,201879,school,mandatory,133.0,99.0,9.0,16.0,WALK_LRF,
9626388,234789,212210,work,mandatory,92.0,63.0,7.0,17.0,DRIVEALONEFREE,
9657138,235539,212585,work,mandatory,144.0,141.0,7.0,18.0,DRIVEALONEFREE,
9668536,235817,212724,work,mandatory,23.0,153.0,9.0,20.0,WALK_LRF,
9684034,236195,212913,work,mandatory,92.0,165.0,5.0,16.0,DRIVEALONEFREE,
9692644,236405,213018,work,mandatory,69.0,168.0,9.0,19.0,DRIVEALONEFREE,
9715022,236951,213291,school,mandatory,91.0,183.0,8.0,8.0,WALK_LRF,
9720770,237091,213361,work,mandatory,186.0,185.0,5.0,14.0,SHARED3FREE,
10832526,264207,226919,work,mandatory,20.0,10.0,9.0,16.0,WALK,
10832527,264207,226919,work,mandatory,20.0,10.0,16.0,22.0,TNC_SINGLE,
10877913,265314,227472,work,mandatory,69.0,34.0,7.0,17.0,WALK_LOC,
10881111,265392,227511,work,mandatory,2.0,36.0,7.0,17.0,WALK,
10901488,265889,227760,work,mandatory,29.0,47.0,7.0,23.0,TNC_SINGLE,
10901521,265890,227760,school,mandatory,12.0,47.0,8.0,16.0,WALK_LOC,
10911287,266128,227879,work,mandatory,15.0,59.0,16.0,19.0,SHARED2FREE,
10929524,266573,228102,school,mandatory,69.0,73.0,16.0,19.0,WALK_LOC,
10929573,266574,228102,work,mandatory,5.0,73.0,10.0,18.0,TNC_SINGLE,
10932812,266653,228142,work,mandatory,5.0,76.0,7.0,15.0,TNC_SINGLE,
10943267,266908,228269,work,mandatory,71.0,78.0,6.0,17.0,DRIVEALONEFREE,
10957740,267261,228446,work,mandatory,74.0,80.0,11.0,18.0,BIKE,
10981348,267837,228734,school,mandatory,101.0,101.0,16.0,18.0,WALK,
10990950,268071,228851,work,mandatory,14.0,107.0,8.0,11.0,WALK_HVY,
10990951,268071,228851,work,mandatory,14.0,107.0,16.0,21.0,WALK_LRF,
11080822,270263,229947,work,mandatory,12.0,165.0,8.0,16.0,WALK_HVY,
11080855,270264,229947,school,mandatory,91.0,165.0,7.0,16.0,WALK_LOC,
11089178,270467,230049,school,mandatory,133.0,177.0,8.0,13.0,DRIVEALONEFREE,
11089227,270468,230049,work,mandatory,69.0,177.0,5.0,15.0,DRIVEALONEFREE,
11093860,270581,230106,work,mandatory,138.0,180.0,6.0,12.0,DRIVEALONEFREE,
11093893,270582,230106,school,mandatory,188.0,180.0,18.0,18.0,DRIVEALONEFREE,
11122429,271278,230454,school,mandatory,188.0,189.0,16.0,21.0,SHARED3FREE,
12506966,305047,247339,work,mandatory,4.0,177.0,11.0,15.0,WALK_LRF,
12507007,305048,247339,work,mandatory,184.0,177.0,8.0,18.0,WALK,
12513936,305217,247424,work,mandatory,185.0,185.0,6.0,14.0,WALK,
12513977,305218,247424,work,mandatory,9.0,185.0,5.0,14.0,WALK_LRF,
13259398,323399,256515,work,mandatory,7.0,10.0,9.0,16.0,WALK,
13259439,323400,256515,work,mandatory,22.0,10.0,6.0,17.0,WALK_LRF,
13265917,323558,256594,work,mandatory,9.0,10.0,10.0,18.0,WALK,
13268172,323613,256622,work,mandatory,9.0,10.0,8.0,19.0,WALK_LOC,
13274199,323760,256695,work,mandatory,107.0,13.0,8.0,18.0,WALK_HVY,
13282440,323961,256796,work,mandatory,12.0,16.0,7.0,17.0,WALK,
13282481,323962,256796,work,mandatory,2.0,16.0,6.0,17.0,WALK,
13300808,324409,257020,work,mandatory,53.0,16.0,6.0,15.0,WALK_LOC,
13300849,324410,257020,work,mandatory,115.0,16.0,8.0,20.0,WALK_LOC,
13302448,324449,257040,work,mandatory,24.0,16.0,8.0,17.0,WALK_LOC,
13302489,324450,257040,work,mandatory,5.0,16.0,10.0,17.0,TNC_SINGLE,
13311960,324681,257156,work,mandatory,24.0,16.0,6.0,19.0,WALK,
13312001,324682,257156,work,mandatory,79.0,16.0,8.0,18.0,WALK_LRF,
13332542,325183,257407,work,mandatory,76.0,16.0,7.0,18.0,WALK,
13332583,325184,257407,work,mandatory,10.0,16.0,5.0,14.0,WALK_HVY,
13334838,325239,257435,work,mandatory,5.0,16.0,12.0,18.0,WALK_LOC,
13334879,325240,257435,work,mandatory,24.0,16.0,8.0,17.0,WALK_LOC,
13345293,325494,257562,work,mandatory,111.0,16.0,13.0,19.0,TNC_SINGLE,
13359028,325829,257730,work,mandatory,107.0,17.0,8.0,19.0,WALK_LRF,
13359069,325830,257730,work,mandatory,29.0,17.0,7.0,15.0,BIKE,
13371000,326121,257876,work,mandatory,7.0,26.0,8.0,17.0,WALK,
13376617,326258,257944,work,mandatory,30.0,30.0,11.0,17.0,WALK,
13387318,326519,258075,work,mandatory,12.0,37.0,9.0,18.0,WALK,
13387359,326520,258075,work,mandatory,76.0,37.0,11.0,19.0,SHARED2FREE,
13399864,326825,258228,work,mandatory,4.0,42.0,13.0,16.0,DRIVEALONEFREE,
13399905,326826,258228,work,mandatory,36.0,42.0,7.0,17.0,WALK_LOC,
13407572,327013,258322,work,mandatory,22.0,45.0,7.0,18.0,BIKE,
13408966,327047,258339,work,mandatory,2.0,45.0,8.0,18.0,WALK_LOC,
13409007,327048,258339,work,mandatory,74.0,45.0,11.0,21.0,WALK_LOC,
13427334,327495,258563,work,mandatory,1.0,59.0,7.0,20.0,WALK_LOC,
13427375,327496,258563,work,mandatory,9.0,59.0,7.0,18.0,WALK_LOC,
13427826,327507,258569,work,mandatory,138.0,59.0,7.0,15.0,DRIVEALONEFREE,
13427867,327508,258569,work,mandatory,22.0,59.0,15.0,20.0,WALK_LOC,
13427868,327508,258569,work,mandatory,22.0,59.0,20.0,23.0,WALK_LOC,
13429876,327557,258594,work,mandatory,106.0,61.0,6.0,15.0,WALK_LRF,
13429917,327558,258594,work,mandatory,53.0,61.0,8.0,20.0,WALK,
13431106,327587,258609,work,mandatory,115.0,61.0,6.0,17.0,TNC_SINGLE,
13431147,327588,258609,work,mandatory,90.0,61.0,8.0,19.0,TNC_SINGLE,
13432418,327619,258625,work,mandatory,150.0,61.0,5.0,17.0,DRIVEALONEFREE,
13432459,327620,258625,work,mandatory,12.0,61.0,7.0,18.0,WALK_LOC,
13439142,327783,258707,work,mandatory,58.0,66.0,8.0,14.0,WALK_LOC,
13439143,327783,258707,work,mandatory,58.0,66.0,14.0,18.0,WALK,
13439183,327784,258707,work,mandatory,17.0,66.0,10.0,17.0,WALK_LRF,
13509662,329503,259567,work,mandatory,107.0,107.0,8.0,17.0,WALK,
13509703,329504,259567,work,mandatory,7.0,107.0,9.0,19.0,WALK,
13518600,329721,259676,work,mandatory,110.0,108.0,5.0,11.0,DRIVEALONEFREE,
13518601,329721,259676,work,mandatory,110.0,108.0,12.0,17.0,DRIVEALONEFREE,
13518641,329722,259676,work,mandatory,32.0,108.0,8.0,17.0,WALK_LOC,
13532622,330063,259847,work,mandatory,102.0,108.0,21.0,23.0,DRIVEALONEFREE,
13532663,330064,259847,work,mandatory,5.0,108.0,9.0,17.0,BIKE,
13562142,330783,260207,work,mandatory,2.0,110.0,7.0,10.0,WALK_LRF,
13562143,330783,260207,work,mandatory,2.0,110.0,12.0,16.0,BIKE,
13562183,330784,260207,work,mandatory,47.0,110.0,7.0,18.0,DRIVEALONEFREE,
13562716,330797,260214,work,mandatory,2.0,110.0,7.0,21.0,WALK_LRF,
13562757,330798,260214,work,mandatory,13.0,110.0,5.0,14.0,WALK_LRF,
13648078,332879,261255,work,mandatory,124.0,146.0,9.0,15.0,DRIVEALONEFREE,
13648119,332880,261255,work,mandatory,18.0,146.0,16.0,20.0,DRIVEALONEFREE,
13651850,332971,261301,work,mandatory,168.0,149.0,7.0,16.0,WALK_LRF,
13651891,332972,261301,work,mandatory,123.0,149.0,7.0,18.0,WALK_LOC,
13698754,334115,261873,work,mandatory,144.0,149.0,7.0,16.0,DRIVEALONEFREE,
13698795,334116,261873,work,mandatory,133.0,149.0,13.0,23.0,DRIVEALONEFREE,
13700558,334159,261895,work,mandatory,2.0,149.0,7.0,10.0,WALK_LRF,
13700599,334160,261895,work,mandatory,106.0,149.0,7.0,19.0,WALK_HVY,
13753038,335439,262535,work,mandatory,9.0,177.0,7.0,20.0,WALK_LRF,
13753079,335440,262535,work,mandatory,9.0,177.0,6.0,16.0,WALK_LRF,
15812460,385669,287650,school,mandatory,9.0,8.0,10.0,15.0,WALK_LOC,
15812501,385670,287650,school,mandatory,177.0,8.0,7.0,14.0,WALK_LRF,
15854649,386698,288164,school,mandatory,10.0,49.0,7.0,17.0,WALK_LOC,
15884784,387433,288532,school,mandatory,101.0,116.0,7.0,15.0,WALK_LOC,
15884825,387434,288532,school,mandatory,121.0,116.0,9.0,10.0,WALK_LOC,
16623120,405441,297536,work,mandatory,7.0,144.0,7.0,18.0,TNC_SINGLE,
16623153,405442,297536,school,mandatory,179.0,144.0,7.0,17.0,WALK_LRF,
16623448,405449,297540,work,mandatory,115.0,145.0,7.0,18.0,WALK_LOC,
16625334,405495,297563,work,mandatory,22.0,154.0,8.0,18.0,DRIVEALONEFREE,
16625367,405496,297563,school,mandatory,147.0,154.0,6.0,14.0,SHARED2FREE,
17224590,420111,304871,work,mandatory,3.0,44.0,5.0,18.0,BIKE,
17224623,420112,304871,school,mandatory,41.0,44.0,7.0,17.0,WALK,
17239022,420463,305047,work,mandatory,17.0,58.0,6.0,21.0,BIKE,
17239055,420464,305047,school,mandatory,61.0,58.0,15.0,21.0,WALK,
17285270,421591,305611,work,mandatory,22.0,77.0,12.0,19.0,WALK_LOC,
17285303,421592,305611,school,mandatory,188.0,77.0,14.0,17.0,WALK_LRF,
17307410,422131,305881,work,mandatory,9.0,89.0,9.0,15.0,TNC_SINGLE,
17307443,422132,305881,school,mandatory,109.0,89.0,7.0,15.0,WALK_LRF,
17333486,422767,306199,work,mandatory,109.0,110.0,7.0,18.0,WALK_LRF,
17368992,423633,306632,work,mandatory,97.0,149.0,5.0,14.0,DRIVEALONEFREE,
17369025,423634,306632,school,mandatory,148.0,149.0,16.0,16.0,WALK_LRF,
17395798,424287,306959,school,mandatory,91.0,179.0,7.0,15.0,WALK_LRF,
17395839,424288,306959,school,mandatory,183.0,179.0,7.0,14.0,WALK,
17397036,424317,306974,work,mandatory,92.0,185.0,12.0,21.0,DRIVEALONEFREE,
17397069,424318,306974,school,mandatory,170.0,185.0,8.0,16.0,SHARED3FREE,
18984999,463048,326285,school,mandatory,188.0,167.0,12.0,14.0,DRIVEALONEFREE,
18985081,463050,326285,school,mandatory,188.0,167.0,13.0,14.0,DRIVEALONEFREE,
19317386,471155,328987,school,mandatory,101.0,145.0,8.0,15.0,WALK_LOC,
19718538,480939,332248,work,mandatory,14.0,186.0,9.0,20.0,WALK_LRF,
20328167,495808,337205,work,mandatory,29.0,117.0,8.0,19.0,TNC_SINGLE,
20334842,495971,337259,school,mandatory,150.0,140.0,7.0,15.0,SHARED2FREE,
20334891,495972,337259,work,mandatory,178.0,140.0,8.0,18.0,DRIVEALONEFREE,
20368388,496789,337532,work,mandatory,79.0,172.0,8.0,18.0,WALK_LRF,
20368421,496790,337532,school,mandatory,21.0,172.0,8.0,16.0,WALK_LRF,
20368462,496791,337532,school,mandatory,188.0,172.0,12.0,15.0,DRIVEALONEFREE,
20368463,496791,337532,school,mandatory,188.0,172.0,17.0,17.0,SHARED3FREE,
20377113,497002,337603,school,mandatory,188.0,180.0,7.0,10.0,DRIVEALONEFREE,
20377154,497003,337603,school,mandatory,91.0,180.0,9.0,13.0,WALK_LRF,
20377203,497004,337603,work,mandatory,172.0,180.0,7.0,18.0,SHARED2FREE,
20394792,497433,337746,work,mandatory,171.0,189.0,5.0,15.0,SHARED2FREE,
20932417,510546,342117,school,mandatory,155.0,138.0,8.0,17.0,WALK,
20939846,510727,342178,work,mandatory,138.0,152.0,6.0,21.0,BIKE,
20939887,510728,342178,work,mandatory,142.0,152.0,8.0,19.0,WALK_LRF,
20939920,510729,342178,school,mandatory,137.0,152.0,8.0,17.0,TNC_SHARED,
20951941,511022,342276,work,mandatory,15.0,165.0,11.0,18.0,WALK_HVY,
20951974,511023,342276,school,mandatory,133.0,165.0,8.0,14.0,SHARED3FREE,
21329428,520229,345345,work,mandatory,7.0,42.0,7.0,17.0,SHARED2FREE,
21329469,520230,345345,work,mandatory,74.0,42.0,5.0,18.0,DRIVEALONEFREE,
21355250,520859,345555,school,mandatory,188.0,189.0,14.0,15.0,WALK_LOC,
21355299,520860,345555,work,mandatory,2.0,189.0,9.0,18.0,WALK_LRF,
21939221,535102,350303,work,mandatory,113.0,19.0,8.0,17.0,WALK,
21939262,535103,350303,work,mandatory,9.0,19.0,7.0,17.0,WALK,
21948610,535331,350379,work,mandatory,76.0,42.0,8.0,13.0,WALK_LOC,
22004903,536704,350837,work,mandatory,106.0,110.0,9.0,18.0,TNC_SINGLE,
22004944,536705,350837,work,mandatory,24.0,110.0,18.0,22.0,WALK_LRF,
22004985,536706,350837,work,mandatory,115.0,110.0,6.0,20.0,WALK_LOC,
22303334,543983,353263,school,mandatory,8.0,129.0,8.0,13.0,WALK_LRF,
22734367,554496,356767,school,mandatory,117.0,9.0,7.0,18.0,WALK_HVY,
22788241,555810,357205,school,mandatory,13.0,124.0,8.0,16.0,WALK_LRF,
22823870,556679,357495,school,mandatory,167.0,189.0,7.0,15.0,WALK_LRF,
22823911,556680,357495,school,mandatory,181.0,189.0,8.0,16.0,SHARED3FREE,
23375984,570145,361984,work,mandatory,9.0,32.0,8.0,17.0,BIKE,
23404102,570831,362212,school,mandatory,133.0,133.0,8.0,16.0,WALK,
24378803,594604,370137,work,mandatory,13.0,6.0,7.0,23.0,WALK,
24378836,594605,370137,school,mandatory,35.0,6.0,7.0,16.0,WALK,
24378877,594606,370137,school,mandatory,69.0,6.0,8.0,8.0,WALK_LOC,
24441410,596131,370646,work,mandatory,2.0,36.0,9.0,20.0,WALK_LOC,
24461582,596623,370810,work,mandatory,46.0,59.0,8.0,23.0,WALK_LOC,
24461656,596625,370810,school,mandatory,69.0,59.0,18.0,18.0,WALK_LOC,
24489749,597310,371039,work,mandatory,47.0,78.0,7.0,16.0,DRIVEALONEFREE,
24489782,597311,371039,school,mandatory,30.0,78.0,7.0,15.0,WALK,
24489823,597312,371039,school,mandatory,105.0,78.0,8.0,17.0,WALK,
24566624,599185,371664,work,mandatory,90.0,145.0,7.0,18.0,WALK_LOC,
24566657,599186,371664,school,mandatory,141.0,145.0,8.0,13.0,SHARED2FREE,
24566698,599187,371664,school,mandatory,145.0,145.0,8.0,9.0,WALK,
24570929,599290,371699,work,mandatory,92.0,146.0,8.0,18.0,DRIVEALONEFREE,
24570962,599291,371699,school,mandatory,146.0,146.0,8.0,21.0,SHARED3FREE,
24571003,599292,371699,school,mandatory,146.0,146.0,8.0,15.0,SHARED3FREE,
24641162,601003,372270,work,mandatory,165.0,189.0,7.0,15.0,DRIVEALONEFREE,
24641195,601004,372270,school,mandatory,189.0,189.0,8.0,17.0,WALK,
24641236,601005,372270,school,mandatory,133.0,189.0,9.0,14.0,SHARED3FREE,
25951973,632974,382927,work,mandatory,85.0,85.0,7.0,18.0,WALK,
25952014,632975,382927,work,mandatory,23.0,85.0,12.0,17.0,WALK_LOC,
26441390,644911,386906,work,mandatory,69.0,31.0,14.0,21.0,DRIVEALONEFREE,
26441431,644912,386906,work,mandatory,2.0,31.0,8.0,17.0,WALK_LOC,
26441464,644913,386906,school,mandatory,117.0,31.0,8.0,19.0,WALK_LOC,
26530852,647093,387633,work,mandatory,9.0,113.0,7.0,17.0,DRIVEALONEFREE,
26536182,647223,387676,work,mandatory,142.0,117.0,8.0,21.0,DRIVEALONEFREE,
26545325,647446,387751,work,mandatory,5.0,133.0,6.0,6.0,WALK_HVY,
26545326,647446,387751,work,mandatory,5.0,133.0,12.0,15.0,WALK_HVY,
26545399,647448,387751,school,mandatory,171.0,133.0,16.0,22.0,SHARED3FREE,
26575952,648193,388000,work,mandatory,115.0,149.0,7.0,18.0,WALK_LOC,
26576026,648195,388000,school,mandatory,149.0,149.0,8.0,14.0,WALK,
26588129,648490,388099,work,mandatory,19.0,149.0,8.0,17.0,DRIVEALONEFREE,
26588170,648491,388099,work,mandatory,17.0,149.0,6.0,18.0,WALK_LRF,
26588203,648492,388099,school,mandatory,150.0,149.0,8.0,15.0,SHARED2FREE,
27368023,667512,394431,school,mandatory,133.0,132.0,15.0,18.0,WALK,
27368146,667515,394431,school,mandatory,166.0,132.0,7.0,14.0,WALK,
28602533,697622,400792,school,mandatory,133.0,150.0,6.0,10.0,DRIVEALONEFREE,
28602615,697624,400792,school,mandatory,91.0,150.0,7.0,14.0,WALK_LRF,
30076442,733571,408300,school,mandatory,134.0,141.0,8.0,17.0,SHARED3FREE,
30076483,733572,408300,school,mandatory,150.0,141.0,8.0,13.0,BIKE,
30093096,733977,408362,work,mandatory,100.0,164.0,13.0,16.0,DRIVEALONEFREE,
