puma_geoid,TAZ,household_id,per_num,AGEP,SEX,WKHP,WKW,ESR,RAC1P,HISP,SCHG,MIL,NAICSP,INDP,person_id
1100105,11,24,2,52,1,45,1,1,2,1,-9,4,481,6070.0,2402
1100105,11,25,1,27,1,50,1,1,1,1,-9,4,5416,7390.0,2501
1100105,11,25,2,32,2,40,4,1,3,1,-9,4,6214,8090.0,2502
1100105,11,26,1,24,2,40,1,1,6,1,-9,4,813M,9170.0,2601
1100105,11,26,2,24,2,40,1,1,1,1,-9,4,5416,7390.0,2602
1100105,11,27,1,22,2,40,1,1,1,1,-9,4,5416,7390.0,2701
1100105,11,27,2,22,2,45,1,1,1,1,16,4,722Z,8680.0,2702
1100105,11,28,1,30,2,40,1,1,1,1,-9,4,51912,6770.0,2801
1100105,11,28,2,32,1,40,1,1,1,1,-9,4,5415,7380.0,2802
1100105,11,29,1,33,1,40,1,1,1,1,16,4,6111,7860.0,2901
1100105,11,29,2,29,1,40,1,1,1,1,-9,4,813M,9170.0,2902
1100105,11,30,1,33,1,60,1,1,1,23,-9,4,5417,7460.0,3001
1100105,11,30,2,34,2,50,1,1,1,1,-9,4,5416,7390.0,3002
1100105,11,31,1,21,1,40,1,1,1,1,-9,4,722Z,8680.0,3101
1100105,11,31,2,21,1,40,1,1,1,1,-9,4,52M1,6870.0,3102
1100105,11,32,1,23,2,45,1,1,1,1,-9,4,454110,5593.0,3201
1100105,11,32,2,23,2,45,6,1,8,3,-9,4,5111Z,6480.0,3202
1100105,11,33,1,84,2,-9,-9,6,2,1,-9,4,0,0.0,3301
1100105,11,33,2,47,1,40,1,1,2,1,-9,4,722Z,8680.0,3302
1100105,11,34,1,82,1,-9,-9,6,2,1,-9,4,0,0.0,3401
1100105,11,34,2,73,2,-9,-9,6,2,1,-9,4,44511,4971.0,3402
1100105,11,35,1,44,1,60,1,1,1,1,-9,2,5416,7390.0,3501
1100105,11,36,1,51,1,80,1,1,2,1,-9,4,522M,6890.0,3601
1100105,11,37,1,40,2,40,1,1,1,1,-9,4,813M,9170.0,3701
1100105,11,38,1,26,2,55,1,1,1,1,-9,4,5411,7270.0,3801
1100105,11,39,1,69,2,40,1,1,2,1,-9,4,611M1,7870.0,3901
1100105,11,40,1,44,2,40,1,1,9,1,-9,4,813M,9170.0,4001
1100105,11,41,1,58,2,40,1,1,6,1,-9,4,531M,7071.0,4101
1100105,11,42,1,35,2,50,1,1,2,1,-9,4,5416,7390.0,4201
1100105,11,43,1,52,2,50,1,1,1,1,-9,4,5419Z,7490.0,4301
1100105,11,44,1,48,2,40,1,1,1,1,15,4,334M2,3390.0,4401
1100105,11,45,1,40,1,40,1,1,1,1,-9,4,923,9480.0,4501
1100105,11,46,1,37,1,50,1,4,1,1,-9,1,928110P2,9680.0,4601
1100105,11,47,1,46,2,50,1,1,1,1,-9,4,92113,9380.0,4701
1100105,11,48,1,37,2,50,1,1,1,1,-9,4,5417,7460.0,4801
1100105,11,49,1,48,1,50,1,1,1,2,-9,4,8139Z,9190.0,4901
1100105,11,50,1,28,2,45,1,1,1,1,-9,4,5411,7270.0,5001
1100105,11,51,1,32,1,45,3,1,1,1,-9,4,5413,7290.0,5101
1100105,11,52,1,26,1,40,1,1,1,1,-9,4,52M2,6970.0,5201
1100105,11,53,1,78,1,-9,-9,6,1,1,-9,2,0,0.0,5301
1100105,11,54,1,65,1,40,1,1,2,1,-9,2,92119,9390.0,5401
1100105,11,55,1,77,2,30,1,1,1,1,-9,4,5416,7390.0,5501
1100105,11,56,1,45,2,60,1,1,6,1,-9,4,5414,7370.0,5601
1100105,11,57,1,48,1,40,1,1,2,1,-9,4,722Z,8680.0,5701
1100105,11,58,1,36,1,50,1,1,1,1,-9,4,517311,6680.0,5801
1100105,11,59,1,49,2,15,3,1,1,1,-9,4,5614,7590.0,5901
1100105,11,60,1,40,2,40,1,1,1,21,-9,4,813M,9170.0,6001
1100105,11,61,1,29,2,45,1,1,9,1,-9,4,51111,6470.0,6101
1100105,11,62,1,22,2,70,1,1,6,1,-9,4,5416,7390.0,6201
1100105,11,63,1,31,1,45,2,1,2,1,-9,4,5416,7390.0,6301
1100105,11,64,1,31,2,55,1,1,1,1,-9,4,6111,7860.0,6401
1100105,11,65,1,33,2,40,4,1,1,1,-9,4,8139Z,9190.0,6501
1100105,11,66,1,28,2,35,1,1,1,1,-9,4,6216,8170.0,6601
1100105,11,67,1,30,2,40,1,1,1,1,-9,4,443142,4795.0,6701
1100105,11,68,1,29,1,30,1,2,1,2,-9,4,711M,8563.0,6801
1100105,11,69,1,80,2,-9,-9,6,2,1,-9,4,0,0.0,6901
1100105,11,70,1,71,2,20,4,6,1,1,-9,4,5111Z,6480.0,7001
1100105,11,71,1,70,2,5,6,1,2,1,-9,4,5613,7580.0,7101
1100105,11,72,1,41,1,40,1,1,2,1,-9,4,5414,7370.0,7201
1100105,11,73,1,28,2,50,1,1,1,1,16,4,611M1,7870.0,7301
1100105,11,74,1,75,2,-9,-9,6,2,1,-9,4,0,0.0,7401
1100105,11,75,1,67,2,-9,-9,6,1,1,-9,4,5415,7380.0,7501
1100105,11,76,1,69,2,-9,-9,6,2,1,-9,4,0,0.0,7601
1100105,11,77,1,59,2,-9,-9,6,2,1,-9,4,0,0.0,7701
1100105,17,78,1,35,2,41,1,1,6,1,-9,4,5416,7390.0,7801
1100105,17,78,2,38,1,40,1,1,9,1,-9,4,928P,9590.0,7802
1100105,17,78,3,7,2,-9,-9,-9,9,1,4,-9,0,0.0,7803
1100105,17,78,4,2,1,-9,-9,-9,9,1,-9,-9,0,0.0,7804
1100105,17,79,1,51,1,-9,-9,6,8,11,-9,4,0,0.0,7901
1100105,17,79,2,50,2,20,5,1,8,11,-9,4,5617Z,7690.0,7902
1100105,17,79,3,23,1,40,3,1,8,11,-9,4,722Z,8680.0,7903
1100105,17,79,4,18,1,-9,-9,6,8,11,-9,4,0,0.0,7904
1100105,17,80,1,30,1,40,1,1,1,1,-9,4,92M1,9490.0,8001
1100105,17,80,2,35,1,40,1,1,6,1,-9,3,5419Z,7490.0,8002
1100105,17,80,3,29,2,30,1,1,1,1,-9,4,8139Z,9190.0,8003
1100105,17,81,1,29,2,45,1,1,1,1,16,4,9211MP,9370.0,8101
1100105,17,81,2,29,1,40,1,1,1,1,-9,4,5416,7390.0,8102
1100105,17,81,3,25,1,45,1,1,1,1,-9,4,5417,7460.0,8103
1100105,17,82,1,26,2,45,1,1,1,1,-9,4,813M,9170.0,8201
1100105,17,82,2,26,2,45,1,1,1,1,-9,4,813M,9170.0,8202
1100105,17,82,3,26,2,40,1,1,1,1,-9,4,5121,6570.0,8203
1100105,17,83,1,24,2,40,1,1,9,1,-9,4,4244,4470.0,8301
1100105,17,83,2,22,2,50,1,1,1,3,-9,4,522M,6890.0,8302
1100105,17,83,3,26,2,40,1,1,6,1,-9,4,722Z,8680.0,8303
1100105,17,84,1,28,2,40,1,1,2,1,-9,4,928P,9590.0,8401
1100105,17,84,2,25,2,20,4,1,1,2,16,4,114,280.0,8402
1100105,17,84,3,24,1,42,1,2,1,1,-9,4,52M1,6870.0,8403
1100105,17,85,1,27,2,-9,-9,6,1,4,16,4,0,0.0,8501
1100105,17,85,2,32,2,40,1,1,1,1,-9,4,923,9480.0,8502
1100105,17,85,3,25,2,-9,-9,6,2,1,16,4,0,0.0,8503
1100105,17,86,1,33,2,13,6,1,2,1,-9,4,622M,8191.0,8601
1100105,17,86,2,17,2,-9,-9,6,3,1,12,4,0,0.0,8602
1100105,17,86,3,6,1,-9,-9,-9,2,1,3,-9,0,0.0,8603
1100105,17,87,1,53,2,-9,-9,6,2,1,-9,4,0,0.0,8701
1100105,17,87,2,19,1,-9,-9,6,2,1,14,4,6244,8470.0,8702
1100105,17,87,3,14,2,-9,-9,-9,2,1,11,-9,0,0.0,8703
1100105,17,88,1,50,1,40,1,1,1,1,-9,4,9211MP,9370.0,8801
1100105,17,88,2,52,1,45,1,1,1,1,-9,4,92M2,9570.0,8802
1100105,17,89,1,35,1,85,1,1,1,1,-9,4,5411,7270.0,8901
1100105,17,89,2,34,2,50,1,1,1,1,-9,4,3254,2190.0,8902
1100105,17,90,1,27,2,40,3,1,6,1,-9,4,443142,4795.0,9001
1100105,17,90,2,31,1,60,1,1,6,1,-9,4,813M,9170.0,9002
1100105,17,91,1,30,2,40,1,1,1,1,-9,4,5417,7460.0,9101
1100105,17,91,2,31,1,40,1,1,6,1,-9,4,6214,8090.0,9102
1100105,17,92,1,33,1,55,1,1,1,1,-9,4,5415,7380.0,9201
1100105,17,92,2,31,1,45,1,1,1,1,-9,4,928P,9590.0,9202
1100105,17,93,1,34,1,40,1,1,1,1,-9,4,928P,9590.0,9301
1100105,17,93,2,34,2,50,1,1,1,1,-9,4,928P,9590.0,9302
1100105,17,94,1,28,2,45,1,1,1,1,-9,4,8139Z,9190.0,9401
1100105,17,94,2,27,1,45,1,1,1,1,-9,4,5416,7390.0,9402
1100105,17,95,1,38,1,50,1,1,9,1,-9,4,5417,7460.0,9501
1100105,17,95,2,34,1,40,1,1,1,1,-9,4,6111,7860.0,9502
1100105,17,96,1,32,1,41,1,1,1,1,-9,4,5121,6570.0,9601
1100105,17,96,2,32,2,42,1,1,6,1,-9,4,515,6670.0,9602
1100105,17,97,1,30,2,50,1,1,1,1,-9,4,6241,8370.0,9701
1100105,17,97,2,29,1,45,1,1,1,1,-9,4,5415,7380.0,9702
1100105,17,98,1,30,1,40,1,1,1,1,-9,4,4234,4170.0,9801
1100105,17,98,2,29,2,40,1,1,1,1,-9,4,6111,7860.0,9802
1100105,17,99,1,31,1,50,1,1,8,2,-9,4,928P,9590.0,9901
1100105,17,99,2,52,1,45,1,1,2,1,-9,4,481,6070.0,9902
1100105,17,100,1,27,2,40,1,1,9,1,-9,4,928P,9590.0,10001
1100105,17,100,2,28,2,50,1,1,1,1,-9,4,928P,9590.0,10002
1100105,17,101,1,26,2,50,1,1,1,1,-9,4,5416,7390.0,10101
1100105,17,101,2,25,2,40,4,1,6,1,-9,4,813M,9170.0,10102
1100105,17,102,1,30,2,40,1,1,1,1,-9,4,8139Z,9190.0,10201
1100105,17,102,2,29,2,48,1,1,1,1,-9,4,813M,9170.0,10202
1100105,17,103,1,28,1,45,1,1,1,1,16,4,92119,9390.0,10301
1100105,17,103,2,29,2,45,1,1,1,1,-9,4,5191ZM,6780.0,10302
1100105,17,104,1,32,1,50,1,1,1,1,16,4,8139Z,9190.0,10401
1100105,17,104,2,27,1,40,1,1,1,1,-9,4,5417,7460.0,10402
1100105,17,105,1,28,1,40,2,1,1,1,-9,4,5419Z,7490.0,10501
1100105,17,105,2,26,2,40,4,6,1,1,16,4,6111,7860.0,10502
1100105,17,106,1,29,1,40,3,1,2,1,-9,4,5417,7460.0,10601
1100105,17,106,2,27,1,40,1,1,6,1,-9,4,722Z,8680.0,10602
1100105,17,107,1,27,2,48,2,1,1,1,-9,4,6111,7860.0,10701
1100105,17,107,2,30,1,90,4,1,1,1,-9,4,611M3,7890.0,10702
1100105,17,108,1,29,1,40,1,1,6,1,-9,4,5416,7390.0,10801
1100105,17,108,2,30,2,35,6,6,1,1,-9,4,8139Z,9190.0,10802
1100105,17,109,1,25,1,40,1,1,1,1,-9,4,5313,7072.0,10901
1100105,17,109,2,25,2,35,6,6,1,1,16,4,8139Z,9190.0,10902
1100105,17,110,1,25,2,40,6,1,6,1,16,4,611M1,7870.0,11001
1100105,17,110,2,24,2,-9,-9,6,6,1,16,4,0,0.0,11002
1100105,17,111,1,81,2,-9,-9,6,2,1,-9,4,0,0.0,11101
1100105,17,111,2,62,2,-9,-9,6,2,1,-9,4,813M,9170.0,11102
1100105,17,112,1,22,2,45,6,6,1,1,-9,4,531M,7071.0,11201
1100105,17,112,2,22,2,40,4,3,1,1,-9,4,5614,7590.0,11202
1100105,17,113,1,36,1,40,1,1,1,1,-9,4,6211,7970.0,11301
1100105,17,114,1,38,2,40,1,1,1,1,-9,4,5411,7270.0,11401
1100105,17,115,1,33,1,45,1,1,1,1,-9,4,6212,7980.0,11501
1100105,17,116,1,38,1,40,1,1,2,1,-9,4,522M,6890.0,11601
1100105,17,117,1,60,2,60,1,1,1,1,-9,4,813M,9170.0,11701
1100105,17,118,1,30,1,60,1,1,1,1,-9,4,5415,7380.0,11801
1100105,17,119,1,39,2,50,1,1,9,1,-9,4,813M,9170.0,11901
1100105,17,120,1,38,1,50,1,1,6,1,-9,4,5415,7380.0,12001
1100105,17,121,1,59,1,40,1,1,2,1,-9,4,92M2,9570.0,12101
1100105,17,122,1,43,2,47,1,1,1,1,-9,4,928P,9590.0,12201
1100105,17,123,1,51,1,40,1,1,1,1,-9,4,923,9480.0,12301
1100105,17,124,1,58,1,50,1,1,1,1,-9,4,722Z,8680.0,12401
1100105,17,125,1,36,1,50,1,1,1,1,-9,4,928P,9590.0,12501
1100105,17,126,1,39,2,50,3,1,8,2,-9,4,6241,8370.0,12601
1100105,17,127,1,28,1,55,1,1,6,1,-9,4,5416,7390.0,12701
1100105,17,128,1,32,2,55,1,1,1,1,-9,4,928P,9590.0,12801
1100105,17,129,1,31,2,40,1,1,1,1,-9,4,923,9480.0,12901
1100105,17,130,1,33,1,40,1,1,1,1,-9,4,9211MP,9370.0,13001
1100105,17,131,1,32,2,50,1,1,1,1,-9,4,52M2,6970.0,13101
1100105,17,132,1,29,2,40,1,1,1,1,-9,4,5411,7270.0,13201
1100105,17,133,1,44,2,45,1,1,6,1,-9,4,813M,9170.0,13301
1100105,17,134,1,38,2,30,1,1,2,1,-9,4,5111Z,6480.0,13401
1100105,17,135,1,49,2,15,3,1,1,1,-9,4,5614,7590.0,13501
1100105,17,136,1,37,1,35,1,1,1,1,-9,4,6111,7860.0,13601
1100105,17,137,1,31,2,40,1,1,8,1,-9,4,5418,7470.0,13701
1100105,17,138,1,32,1,80,1,1,6,1,-9,4,622M,8191.0,13801
1100105,17,139,1,30,2,50,1,1,2,1,-9,4,622M,8191.0,13901
1100105,17,140,1,29,1,50,1,1,1,1,-9,4,3116,1180.0,14001
1100105,17,141,1,25,2,40,1,1,1,1,-9,4,51913,6672.0,14101
1100105,17,142,1,30,2,40,1,1,1,1,-9,4,7211,8660.0,14201
1100105,17,143,1,25,1,38,1,1,1,1,-9,4,5411,7270.0,14301
1100105,17,144,1,27,2,37,1,1,1,1,-9,4,622M,8191.0,14401
1100105,17,145,1,28,2,48,2,1,1,1,-9,4,928P,9590.0,14501
1100105,17,146,1,30,2,37,1,1,1,3,-9,4,81393,9180.0,14601
1100105,17,147,1,75,2,-9,-9,6,2,1,-9,4,8131,9160.0,14701
1100105,17,148,1,68,1,-9,-9,6,1,1,-9,4,0,0.0,14801
1100105,17,149,1,41,1,40,1,1,2,1,-9,4,5414,7370.0,14901
1100105,17,150,1,39,1,65,1,1,1,1,-9,4,722Z,8680.0,15001
1100105,17,151,1,28,2,45,4,1,1,1,-9,4,92MP,9470.0,15101
1100105,17,152,1,74,2,-9,-9,6,2,1,-9,4,0,0.0,15201
1100105,17,153,1,53,1,-9,-9,6,2,1,-9,4,0,0.0,15301
1100105,17,154,1,54,2,12,5,1,2,1,-9,4,6214,8090.0,15401
1100105,17,155,1,25,2,40,6,1,2,1,16,4,928P,9590.0,15501
1100105,17,156,1,25,1,35,1,1,1,1,16,4,813M,9170.0,15601
1100105,17,157,1,77,1,-9,-9,6,2,1,-9,4,0,0.0,15701
1100105,17,158,1,73,1,-9,-9,6,2,1,-9,4,0,0.0,15801
1100105,17,159,1,80,2,-9,-9,6,2,1,-9,4,0,0.0,15901
1100105,17,160,1,53,1,-9,-9,6,2,1,-9,4,0,0.0,16001
1100105,17,161,1,56,1,-9,-9,6,2,1,-9,4,0,0.0,16101
1100105,17,162,1,60,1,-9,-9,6,2,1,-9,4,4853,6190.0,16201
1100105,17,163,1,38,1,10,5,3,2,1,-9,4,5416,7390.0,16301
1100105,17,164,1,63,2,-9,-9,6,2,1,-9,4,0,0.0,16401
1100105,17,165,1,40,1,-9,-9,6,1,1,-9,4,5411,7270.0,16501
1100105,17,166,1,35,2,-9,-9,6,1,1,16,4,5415,7380.0,16601
1100105,17,167,1,50,2,-9,-9,6,2,3,-9,4,0,0.0,16701
1100105,17,168,1,27,2,-9,-9,6,6,1,16,4,622M,8191.0,16801
1100105,17,169,1,24,2,30,4,6,1,1,16,4,611M1,7870.0,16901
1100105,17,170,1,21,2,12,6,6,1,1,16,4,611M1,7870.0,17001
1100105,17,171,1,22,2,8,5,6,1,19,16,4,611M1,7870.0,17101
1100105,18,172,1,34,2,50,1,1,1,1,-9,4,5415,7380.0,17201
1100105,18,172,2,23,2,35,5,3,1,1,-9,4,5417,7460.0,17202
1100105,18,173,1,33,2,40,1,1,1,1,-9,4,611M3,7890.0,17301
1100105,19,174,1,45,1,40,1,1,1,1,-9,4,522M,6890.0,17401
1100105,19,174,2,39,2,-9,-9,6,1,13,-9,4,0,0.0,17402
1100105,19,174,3,8,2,-9,-9,-9,1,13,4,-9,0,0.0,17403
1100105,19,174,4,6,2,-9,-9,-9,1,13,2,-9,0,0.0,17404
1100105,19,174,5,3,1,-9,-9,-9,1,13,1,-9,0,0.0,17405
1100105,19,175,1,40,1,45,1,1,8,1,-9,4,621M,8180.0,17501
1100105,19,175,2,42,2,50,1,1,6,1,-9,4,722Z,8680.0,17502
1100105,19,175,3,9,2,-9,-9,-9,8,1,5,-9,0,0.0,17503
1100105,19,175,4,7,2,-9,-9,-9,8,1,4,-9,0,0.0,17504
1100105,19,175,5,5,2,-9,-9,-9,8,1,2,-9,0,0.0,17505
1100105,19,176,1,40,1,45,1,1,8,1,-9,4,621M,8180.0,17601
1100105,19,176,2,42,2,50,1,1,6,1,-9,4,722Z,8680.0,17602
1100105,19,176,3,9,2,-9,-9,-9,8,1,5,-9,0,0.0,17603
1100105,19,176,4,7,2,-9,-9,-9,8,1,4,-9,0,0.0,17604
1100105,19,176,5,5,2,-9,-9,-9,8,1,2,-9,0,0.0,17605
1100105,19,177,1,32,2,40,1,1,1,11,-9,4,722Z,8680.0,17701
1100105,19,177,2,16,2,-9,-9,6,1,11,13,-9,0,0.0,17702
1100105,19,177,3,13,1,-9,-9,-9,1,11,9,-9,0,0.0,17703
1100105,19,177,4,6,1,-9,-9,-9,1,11,3,-9,0,0.0,17704
1100105,19,177,5,35,1,40,1,1,1,11,-9,4,4MS,5790.0,17705
1100105,19,178,1,40,2,-9,-9,6,8,11,-9,4,0,0.0,17801
1100105,19,178,2,20,1,-9,-9,6,8,11,-9,4,0,0.0,17802
1100105,19,178,3,19,1,-9,-9,6,8,11,-9,4,0,0.0,17803
1100105,19,178,4,36,2,-9,-9,6,8,11,-9,4,0,0.0,17804
1100105,19,178,5,18,2,-9,-9,6,8,11,12,4,0,0.0,17805
1100105,19,179,1,40,2,-9,-9,6,8,11,-9,4,0,0.0,17901
1100105,19,179,2,20,1,-9,-9,6,8,11,-9,4,0,0.0,17902
1100105,19,179,3,19,1,-9,-9,6,8,11,-9,4,0,0.0,17903
1100105,19,179,4,36,2,-9,-9,6,8,11,-9,4,0,0.0,17904
1100105,19,179,5,18,2,-9,-9,6,8,11,12,4,0,0.0,17905
1100105,19,180,1,36,1,40,1,1,1,1,-9,4,6111,7860.0,18001
1100105,19,180,2,39,1,40,1,1,1,1,16,4,4441Z,4870.0,18002
1100105,19,180,3,33,1,40,1,1,1,1,15,4,3399ZM,3980.0,18003
1100105,19,181,1,53,2,40,1,1,1,1,-9,4,928P,9590.0,18101
1100105,19,181,2,54,1,40,1,1,1,1,-9,4,928P,9590.0,18102
1100105,19,181,3,21,1,-9,-9,6,1,1,-9,4,722Z,8680.0,18103
1100105,19,182,1,53,2,40,1,1,1,1,-9,4,928P,9590.0,18201
1100105,19,182,2,54,1,40,1,1,1,1,-9,4,928P,9590.0,18202
1100105,19,182,3,21,1,-9,-9,6,1,1,-9,4,722Z,8680.0,18203
1100105,19,183,1,55,2,40,1,1,9,1,-9,4,52M2,6970.0,18301
1100105,19,183,2,65,1,50,1,1,1,1,-9,4,44511,4971.0,18302
1100105,19,183,3,15,2,-9,-9,-9,6,1,12,-9,0,0.0,18303
1100105,19,184,1,41,1,50,1,1,1,1,-9,4,611M1,7870.0,18401
1100105,19,184,2,42,2,40,1,1,6,1,-9,4,611M1,7870.0,18402
1100105,19,184,3,6,2,-9,-9,-9,9,1,2,-9,0,0.0,18403
1100105,19,185,1,48,1,50,1,1,1,1,-9,4,92MP,9470.0,18501
1100105,19,185,2,47,2,50,1,1,1,1,-9,4,92MP,9470.0,18502
1100105,19,185,3,8,2,-9,-9,-9,1,1,4,-9,0,0.0,18503
1100105,19,186,1,50,1,40,1,1,1,1,-9,4,454110,5593.0,18601
1100105,19,186,2,48,2,40,1,1,1,1,-9,4,5413,7290.0,18602
1100105,19,186,3,15,2,-9,-9,-9,1,2,12,-9,0,0.0,18603
1100105,19,187,1,37,1,50,1,1,1,1,-9,4,5416,7390.0,18701
1100105,19,187,2,35,2,50,1,1,6,1,-9,4,5416,7390.0,18702
1100105,19,187,3,1,2,-9,-9,-9,9,1,-9,-9,0,0.0,18703
1100105,19,188,1,37,1,50,1,1,1,1,-9,4,5416,7390.0,18801
1100105,19,188,2,35,2,50,1,1,6,1,-9,4,5416,7390.0,18802
1100105,19,188,3,1,2,-9,-9,-9,9,1,-9,-9,0,0.0,18803
1100105,19,189,1,45,1,40,1,1,1,1,-9,4,515,6670.0,18901
1100105,19,189,2,42,2,40,1,1,6,1,-9,4,515,6670.0,18902
1100105,19,189,3,2,1,-9,-9,-9,8,1,-9,-9,0,0.0,18903
1100105,19,190,1,43,1,50,1,1,1,1,-9,4,485M,6180.0,19001
1100105,19,190,2,35,2,40,1,1,9,1,-9,4,92M1,9490.0,19002
1100105,19,190,3,0,2,-9,-9,-9,1,1,-9,-9,0,0.0,19003
1100105,19,191,1,38,1,40,1,1,1,1,-9,4,8139Z,9190.0,19101
1100105,19,191,2,35,2,50,1,1,6,1,-9,4,92MP,9470.0,19102
1100105,19,191,3,1,1,-9,-9,-9,1,1,-9,-9,0,0.0,19103
1100105,19,192,1,42,1,40,3,1,1,1,-9,4,928P,9590.0,19201
1100105,19,192,2,42,2,40,1,1,1,1,-9,4,5417,7460.0,19202
1100105,19,192,3,4,2,-9,-9,-9,1,1,1,-9,0,0.0,19203
1100105,19,193,1,42,1,40,3,1,1,1,-9,4,928P,9590.0,19301
1100105,19,193,2,42,2,40,1,1,1,1,-9,4,5417,7460.0,19302
1100105,19,193,3,4,2,-9,-9,-9,1,1,1,-9,0,0.0,19303
1100105,19,194,1,37,2,40,1,1,1,1,-9,4,5616,7680.0,19401
1100105,19,194,2,0,1,-9,-9,-9,1,1,-9,-9,0,0.0,19402
1100105,19,194,3,37,1,50,1,1,1,1,-9,4,611M1,7870.0,19403
1100105,19,195,1,40,2,45,1,1,1,1,-9,4,928P,9590.0,19501
1100105,19,195,2,42,1,45,1,1,1,1,-9,4,9211MP,9370.0,19502
