person_id,TAZ,school_segment,household_id,model_choice,override_choice
1050716,164,2,474437,166,103
1050717,164,2,474437,132,185
1050718,164,1,474437,126,163
1051665,183,2,474629,9,185
1051666,183,1,474629,25,183
1103297,30,2,484754,72,76
1103298,30,1,484754,119,73
1103299,30,2,484754,76,76
1103444,33,1,484786,123,90
1103445,33,1,484786,22,69
1104635,42,1,485051,29,52
1104636,42,1,485051,111,117
1105611,73,3,485265,107,13
1105613,73,1,485265,8,9
1105614,73,1,485265,30,75
1105898,86,3,485331,37,69
1105899,86,1,485331,132,103
1105900,86,1,485331,84,29
1105963,87,2,485346,88,88
1105964,87,1,485346,19,69
1109323,149,3,486047,91,133
1109325,149,1,486047,19,140
1109326,149,3,486047,91,133
1109718,149,1,486127,149,150
1109719,149,1,486127,157,155
1109721,149,1,486127,104,166
1109722,149,1,486127,67,161
1109724,149,1,486127,111,138
1109725,149,2,486127,166,152
1160322,124,1,496405,24,128
1160323,124,1,496405,64,134
1160326,124,1,496405,95,125
1160327,124,1,496405,123,80
1162172,149,1,496674,153,141
1162173,149,1,496674,9,165
1162174,149,1,496674,15,149
1162177,149,1,496674,111,149
1162179,149,2,496674,59,152
1162821,149,1,496768,12,149
1162822,149,1,496768,4,149
1162823,149,1,496768,122,148
1163599,149,3,496890,12,188
1163600,149,2,496890,9,152
1163601,149,1,496890,14,155
1179431,42,2,499689,188,152
1179432,42,2,499689,139,76
1179433,42,2,499689,59,103
1182191,78,1,500224,118,30
1182192,78,3,500224,5,69
1205576,179,3,508463,133,69
1272143,39,3,575030,14,12
1273180,43,3,576067,37,69
1273869,45,3,576756,13,12
1275142,50,3,578029,5,69
1276889,66,3,579776,13,13
1277722,72,3,580609,5,69
1279586,78,3,582473,133,69
1375352,133,2,677460,69,165
1425980,20,3,702774,10,108
1433932,149,3,706750,133,188
1479968,176,3,729768,185,188
1542375,21,1,750381,3,12
1542376,21,1,750381,185,162
1542504,138,1,750410,21,169
1542505,138,1,750410,176,157
1542699,149,3,750453,133,9
1542700,149,3,750453,107,133
1542701,149,3,750453,133,188
1561895,54,3,754455,133,188
1561897,54,1,754455,98,64
1561898,54,3,754455,185,188
1572743,7,3,763963,12,13
1573752,84,3,764972,91,14
1574262,127,3,765482,37,133
1650501,122,3,841721,5,13
1722487,8,3,906258,39,12
1723339,180,3,906684,91,9
1723340,180,3,906684,91,188
1730942,181,3,910485,188,133
1774994,29,3,932511,5,13
1775164,31,3,932596,91,9
1775818,58,3,932923,185,133
1777106,93,3,933567,12,10
1777398,101,3,933713,133,101
1808064,94,3,949046,14,188
1877632,33,3,983830,185,12
1883050,81,3,986539,37,9
1885728,89,3,987878,14,91
1885917,90,3,987973,5,91
1886645,97,3,988337,108,91
1887109,99,3,988569,9,101
1888596,106,3,989312,14,9
1892568,175,3,991298,9,188
1892929,178,3,991479,101,185
1892965,178,3,991497,107,185
1894081,190,3,992055,5,188
1894082,190,3,992055,188,188
1956666,181,2,1023347,169,188
1958528,7,1,1024278,111,68
1958866,97,1,1024447,153,122
1960894,132,2,1025461,48,76
1961240,179,1,1025634,58,179
1979618,9,1,1034823,84,33
1979660,10,1,1034844,171,30
1981994,89,2,1036011,9,130
1982512,102,2,1036270,188,185
1983158,122,1,1036593,42,117
1983224,128,2,1036626,99,139
2005124,79,2,1047576,13,130
2034476,180,3,1058099,185,91
2034477,180,3,1058099,10,188
2034478,180,3,1058099,185,91
2045454,184,1,1061758,62,186
2071693,77,2,1070504,72,69
2072823,173,3,1070881,10,69
2072824,173,3,1070881,69,188
2072954,182,3,1070925,133,188
2072955,182,3,1070925,9,133
2073013,189,2,1070944,79,188
2090476,167,3,1076765,14,133
2090723,185,3,1076848,91,185
2090724,185,3,1076848,185,185
2107085,112,3,1082302,101,108
2121643,11,1,1087154,178,8
2121897,101,1,1087239,168,9
2121973,122,1,1087264,81,152
2126518,131,2,1088779,88,188
2126614,137,1,1088811,91,152
2126617,137,2,1088812,152,130
2127594,184,1,1089138,185,188
2127595,184,1,1089138,60,183
2159557,37,1,1099792,113,27
2159917,57,1,1099912,155,58
2160229,62,1,1100016,85,29
2182768,44,1,1107529,87,118
2183326,134,1,1107715,156,134
2184162,165,1,1107994,164,161
2219845,11,1,1119888,187,94
2220402,21,3,1120074,107,12
2220403,21,1,1120074,117,8
2220676,30,1,1120165,76,9
2220712,30,1,1120177,9,9
2220775,30,1,1120198,50,9
2220868,30,1,1120229,3,72
2221455,41,3,1120425,133,39
2221456,41,2,1120425,13,40
2223706,113,1,1121175,135,144
2223739,113,1,1121186,121,150
2224293,149,1,1121371,182,149
2254410,7,2,1131410,166,13
2254467,20,2,1131429,9,79
2255053,109,2,1131624,9,139
2255620,110,2,1131813,49,76
2271376,137,3,1135395,9,133
2271377,137,2,1135395,40,76
2297236,147,1,1140916,50,178
2297699,166,3,1141022,9,91
2297700,166,3,1141022,188,133
2297701,166,3,1141022,91,133
2297702,166,2,1141022,9,165
2311788,140,3,1144103,12,133
2311789,140,3,1144103,10,188
2312530,161,1,1144264,153,165
2312944,166,1,1144351,14,164
2313544,169,3,1144479,188,188
2356118,101,3,1153050,101,101
2356119,101,1,1153050,129,100
2356120,101,1,1153050,147,116
2356121,101,1,1153050,111,99
2376197,149,1,1157481,175,147
2377185,161,3,1157669,133,133
2377186,161,3,1157669,91,133
2377986,167,3,1157829,10,133
2415905,84,2,1165384,89,165
2415917,86,3,1165387,185,69
2415918,86,3,1165387,9,69
2415919,86,3,1165387,107,69
2415920,86,3,1165387,185,69
2415922,86,3,1165387,107,69
2417469,149,3,1165721,112,133
2441601,165,3,1170554,101,188
2441602,165,1,1170554,94,188
2441692,167,1,1170570,154,161
2441693,167,2,1170570,48,130
2441694,167,2,1170570,166,165
2441695,167,1,1170570,142,102
2458673,25,2,1173944,48,76
2458674,25,2,1173944,40,13
2459937,150,1,1174200,20,149
2459938,150,1,1174200,22,9
2459939,150,1,1174200,114,138
2459940,150,1,1174200,157,148
2459941,150,1,1174200,145,9
2473297,59,1,1176832,138,59
2473298,59,1,1176832,66,59
2473554,77,1,1176884,122,70
2473555,77,1,1176884,88,78
2473556,77,1,1176884,75,30
2475818,144,3,1177332,9,133
2475820,144,2,1177332,132,139
2475821,144,1,1177332,16,6
2477296,163,1,1177603,66,187
2477297,163,1,1177603,93,161
2477298,163,1,1177603,128,163
2477300,163,1,1177603,171,163
2477302,163,1,1177603,136,135
2477970,168,1,1177740,105,167
2478208,173,1,1177790,160,170
2478209,173,1,1177790,174,167
2478210,173,1,1177790,117,179
2478550,179,2,1177865,89,165
2478551,179,1,1177865,77,185
2478568,179,1,1177869,58,179
2478569,179,1,1177869,14,179
2478570,179,1,1177869,173,184
2479320,184,3,1178033,133,188
2479321,184,1,1178033,104,141
2479322,184,1,1178033,111,181
2479364,184,3,1178042,5,185
2479366,184,1,1178042,16,184
2479367,184,1,1178042,60,185
2479623,185,1,1178098,92,166
2479624,185,1,1178098,58,182
2566674,21,1,1196293,156,100
2566675,21,1,1196293,139,21
2566679,21,3,1196293,13,13
2567799,61,1,1196530,64,58
2567800,61,1,1196530,43,58
2567938,62,3,1196561,91,188
2567939,62,1,1196561,132,66
2568145,67,2,1196607,9,88
2568146,67,1,1196607,23,99
2568147,67,1,1196607,183,177
2568390,84,3,1196661,12,69
2568392,84,1,1196661,166,113
2568393,84,1,1196661,171,128
2568574,99,1,1196701,181,64
2568575,99,1,1196701,82,118
2568576,99,1,1196701,29,135
2570393,163,2,1197077,99,185
2570517,166,1,1197106,169,104
2570518,166,1,1197106,96,166
2570928,183,1,1197201,55,182
2570929,183,1,1197201,182,183
2615801,55,3,1206702,13,133
2615802,55,3,1206702,108,69
2615803,55,2,1206702,99,59
2615804,55,2,1206702,103,185
2615805,55,1,1206702,71,59
2615931,59,1,1206727,64,54
2615932,59,1,1206727,181,59
2615935,59,3,1206728,69,69
2615936,59,2,1206728,139,59
2615937,59,1,1206728,188,64
2617593,135,2,1207059,132,165
2617594,135,1,1207059,136,135
2617595,135,1,1207059,142,184
2618251,138,1,1207185,78,162
2618252,138,1,1207185,114,138
2618651,140,1,1207265,43,9
2618652,140,1,1207265,132,126
2619767,153,3,1207480,10,133
2619768,153,2,1207480,9,188
2619769,153,1,1207480,188,130
2619770,153,1,1207480,25,164
2619771,153,1,1207480,152,149
2622273,168,2,1207969,48,188
2622274,168,1,1207969,65,96
2622770,174,1,1208073,103,184
2623847,185,1,1208315,174,186
2623848,185,1,1208315,127,182
2746718,10,3,1234077,13,13
2746719,10,2,1234077,69,76
2746720,10,1,1234077,61,10
2748349,34,2,1234409,48,40
2748350,34,1,1234409,129,9
2751604,87,2,1235090,13,69
2751605,87,1,1235090,52,54
2754876,165,1,1235779,7,165
2754877,165,1,1235779,130,131
2755205,176,1,1235856,26,96
2755206,176,1,1235856,174,176
2821501,133,1,1249626,99,165
2821502,133,1,1249626,144,133
2821505,133,1,1249626,17,166
2821506,133,1,1249626,101,126
2821883,134,3,1249678,133,133
2821884,134,3,1249678,39,133
2821885,134,1,1249678,33,155
2821887,134,1,1249678,105,160
2822432,139,1,1249764,145,150
2822442,139,3,1249766,12,133
2822443,139,2,1249766,139,139
2822444,139,2,1249766,139,166
2822445,139,1,1249766,133,139
2824818,179,2,1250143,59,130
2824819,179,3,1250143,91,69
2878750,44,1,1259598,70,134
2878751,44,3,1259598,69,69
2879273,58,1,1259691,59,58
2879274,58,1,1259691,5,70
2879277,58,2,1259691,59,59
2880204,70,2,1259871,59,72
2880205,70,1,1259871,138,64
2881675,102,3,1260122,13,101
2881676,102,2,1260122,165,183
2881917,108,1,1260162,110,100
2881918,108,1,1260162,113,108
2881919,108,1,1260162,68,31
2881920,108,1,1260162,120,150
2885130,149,2,1260667,139,48
2885131,149,2,1260667,89,139
2916404,39,3,1266113,188,13
2940230,83,3,1289939,9,91
2950432,125,3,1300141,69,133
3018532,76,3,1341786,5,9
3018533,76,3,1341786,5,9
3061964,26,3,1363502,9,12
3089321,170,3,1377103,10,188
3089322,170,1,1377103,152,170
3113247,49,2,1385078,69,49
3113277,58,1,1385088,184,67
3138098,25,3,1392611,9,12
3138099,25,1,1392611,109,37
3138414,178,1,1392660,186,89
3138415,178,1,1392660,66,64
3138416,178,2,1392660,79,40
3160630,134,1,1397342,117,134
3160631,134,3,1397342,133,133
3160632,134,3,1397342,101,133
3160633,134,3,1397342,108,133
3161458,169,3,1397507,37,188
3175212,21,1,1400385,50,29
3175213,21,1,1400385,177,8
3175552,58,3,1400452,69,185
3175554,58,1,1400452,88,58
3175555,58,1,1400452,177,177
3181807,59,3,1401768,112,9
3181808,59,3,1401768,185,188
3181809,59,3,1401768,12,188
3188874,38,1,1403012,36,32
3188875,38,1,1403012,5,30
3195421,19,3,1407181,112,108
3280270,172,3,1487085,14,13
3329109,31,3,1511504,69,9
3496153,16,3,1595026,9,14
3497617,29,3,1595758,13,39
3507580,73,3,1600740,69,69
3512999,93,3,1603449,185,188
3514299,98,3,1604099,13,188
3520117,128,3,1607008,91,9
3522669,180,3,1608284,91,69
3596043,6,1,1644971,21,36
3597913,174,2,1645906,79,185
3597939,179,2,1645919,169,183
3608297,7,2,1651098,49,76
3608883,21,1,1651391,165,65
3609067,30,1,1651483,126,106
3609697,44,1,1651798,108,39
3609901,46,1,1651900,68,30
3610151,51,2,1652025,69,47
3626342,168,3,1659213,12,188
3642305,17,1,1664534,139,16
3647890,168,3,1666396,5,188
3647891,168,3,1666396,10,188
3648162,179,3,1666487,10,91
3691413,157,3,1680904,101,133
3753042,109,3,1701447,101,12
3754580,149,3,1701959,14,133
3800066,62,1,1717121,59,61
3800725,106,2,1717341,13,103
3800726,106,2,1717341,9,103
3800878,123,2,1717392,132,152
3800879,123,2,1717392,89,132
3813782,25,2,1721693,59,40
3814364,60,1,1721887,60,173
3814572,89,3,1721957,188,107
3814573,89,1,1721957,104,8
3814670,92,1,1721989,3,175
3814739,98,1,1722012,172,99
3815294,126,1,1722197,185,126
3816080,143,1,1722459,84,145
3817049,171,1,1722782,119,169
3817064,171,2,1722787,139,188
3817172,172,1,1722823,10,93
3817214,173,1,1722837,48,173
3890980,11,2,1747426,9,40
3890981,11,1,1747426,1,21
3891194,17,1,1747497,25,55
3893540,61,1,1748279,64,60
3896420,106,1,1749239,143,8
3896519,109,1,1749272,109,8
3896522,109,1,1749273,116,113
3920177,171,2,1757158,79,130
3928796,69,2,1760031,165,76
3928996,73,2,1760098,185,47
3928997,73,3,1760098,5,69
3932005,168,2,1761063,47,188
3944988,140,1,1763650,153,140
3945886,183,3,1763863,13,91
3945887,183,3,1763863,9,188
3945888,183,2,1763863,79,185
3967587,177,3,1768343,185,133
3967590,177,1,1768343,53,8
3974441,147,1,1769810,126,145
3974442,147,1,1769810,168,167
4036164,189,1,1782914,67,179
4050885,137,3,1786133,5,133
4050887,137,1,1786133,57,124
4051677,140,1,1786272,36,141
4051678,140,1,1786272,101,107
4057714,178,2,1787388,88,185
4057715,178,3,1787388,91,188
4057716,178,1,1787388,118,182
4058678,183,3,1787570,10,188
4172135,52,3,1810105,5,69
4172136,52,3,1810105,5,39
4172914,76,3,1810281,12,13
4172915,76,3,1810281,112,9
4175456,118,3,1810761,12,12
4175460,118,2,1810761,72,99
4175792,119,3,1810812,107,13
4175793,119,3,1810812,14,101
4178062,175,3,1811235,5,91
4178064,175,3,1811235,37,101
4178065,175,3,1811235,14,91
4178067,175,3,1811235,13,91
4178068,175,3,1811235,9,13
4234441,59,1,1822165,91,138
4234442,59,1,1822165,65,59
4235452,135,3,1822385,69,133
4235453,135,3,1822385,188,133
4235454,135,2,1822385,169,165
4236667,155,1,1822630,105,154
4236668,155,1,1822630,165,149
4236706,157,2,1822638,139,152
4236707,157,3,1822638,107,133
4237747,173,1,1822850,178,108
4237748,173,1,1822850,138,172
4238624,187,1,1823041,153,187
4238625,187,1,1823041,172,187
4329094,106,1,1842792,34,8
4329095,106,1,1842792,95,105
4329480,135,2,1842867,59,152
4329481,135,2,1842867,47,165
4349431,55,1,1847101,8,178
4349432,55,1,1847101,164,62
4350758,93,1,1847389,93,107
4350759,93,1,1847389,100,88
4351794,131,1,1847616,107,106
4351795,131,1,1847616,128,183
4351796,131,1,1847616,45,135
4352036,131,1,1847668,135,134
4352037,131,1,1847668,83,95
4353541,138,2,1847978,59,152
4353542,138,1,1847978,98,178
4353729,138,1,1848014,134,101
4353732,138,1,1848014,127,161
4354035,139,2,1848072,183,166
4354036,139,1,1848072,130,154
4354569,147,2,1848171,47,139
4354570,147,1,1848171,126,117
4354571,147,1,1848171,139,140
4355137,150,1,1848276,176,148
4357941,168,1,1848840,77,166
4358701,174,2,1849006,183,103
4358702,174,1,1849006,51,177
4360811,185,1,1849456,9,108
4360812,185,1,1849456,174,186
4361321,186,1,1849565,181,185
4361322,186,1,1849565,182,187
4578389,66,1,1897409,176,161
4579186,88,1,1897596,98,73
4579187,88,1,1897596,52,82
4580702,165,2,1897924,130,165
4580703,165,1,1897924,12,161
4580704,165,1,1897924,120,138
4626387,90,2,1907574,9,88
4626388,90,1,1907574,26,63
4626935,116,3,1907654,10,101
4626936,116,1,1907654,186,136
4626937,116,1,1907654,141,117
4627154,118,1,1907677,174,128
4627155,118,1,1907677,85,118
4627156,118,1,1907677,106,118
4627157,118,1,1907677,147,145
4627158,118,1,1907677,121,116
4627159,118,1,1907677,31,17
4627160,118,1,1907677,22,16
4627161,118,1,1907677,120,9
4627390,120,2,1907703,99,152
4627391,120,1,1907703,10,115
4627392,120,1,1907703,31,132
4627393,120,1,1907703,4,118
4631614,158,1,1908368,3,147
4633383,168,1,1908644,127,168
4633386,168,1,1908644,41,169
4633515,169,1,1908665,168,167
4633519,169,1,1908665,127,159
4635746,182,2,1909065,9,40
4635747,182,1,1909065,59,120
4762603,16,3,1931894,133,14
4762605,16,1,1931894,9,35
4765153,39,3,1932186,188,39
4765155,39,2,1932186,165,40
4765571,59,3,1932256,133,69
4765573,59,1,1932256,165,59
4765574,59,3,1932256,10,133
4766009,67,2,1932340,72,152
4766010,67,3,1932340,69,69
4766253,70,2,1932387,76,185
4766254,70,1,1932387,93,168
4766483,76,3,1932432,9,9
4766485,76,1,1932432,17,129
4766486,76,3,1932432,37,9
4770535,109,3,1933000,10,13
4770536,109,1,1933000,11,113
4770540,109,1,1933000,32,106
4771636,116,2,1933125,99,152
4771638,116,3,1933125,5,101
4771640,116,1,1933125,105,28
4771641,116,1,1933125,10,116
4771643,116,1,1933125,16,122
4771795,117,1,1933141,36,110
4771796,117,2,1933141,99,76
4771797,117,1,1933141,116,117
4772920,122,1,1933270,7,150
4772921,122,3,1933270,188,133
4772922,122,3,1933270,188,101
4773419,135,1,1933350,5,140
4852158,75,3,1968374,185,10
4852159,75,3,1968374,5,9
4882736,36,3,1983663,10,69
4902347,35,3,1993468,13,13
4903483,69,3,1994036,69,69
4911216,133,3,1997273,10,133
4912386,187,3,1997663,108,188
4970193,162,1,2013996,158,134
4970396,165,2,2014036,139,188
4970807,185,1,2014111,91,184
5002351,96,3,2020494,9,91
5030244,26,3,2025336,39,13
5030245,26,2,2025336,169,40
5031009,48,3,2025458,5,69
5031010,48,2,2025458,9,59
5085022,31,3,2071657,107,9
5088287,187,3,2073289,14,188
5142667,127,3,2100479,133,133
5387145,9,3,2222718,39,12
5488991,51,2,2273641,47,48
5496389,32,1,2277340,24,10
5497109,51,1,2277700,77,7
5520885,54,3,2286152,69,12
5521097,101,2,2286222,103,152
5521841,148,3,2286470,37,108
5585570,179,3,2307713,91,188
5728502,66,1,2355357,128,78
5728886,98,1,2355485,140,108
5729519,179,1,2355696,120,60
5762186,34,1,2366585,39,46
5763550,115,1,2367040,65,120
5763623,122,1,2367064,20,48
5770268,32,1,2369279,76,46
5773622,131,1,2370397,21,131
5774192,136,1,2370587,152,174
5774765,163,1,2370778,92,163
5775254,170,1,2370941,157,169
5775503,173,2,2371024,185,188
5775623,174,2,2371064,165,130
5776072,179,1,2371214,108,179
5776706,189,1,2371425,167,189
5889694,32,2,2409088,99,103
5889977,33,1,2409182,99,188
5890367,38,1,2409312,79,39
5891377,48,1,2409649,113,80
5892971,70,1,2410180,86,71
5893265,71,1,2410278,115,71
5893394,73,1,2410321,23,29
5893460,77,2,2410343,69,48
5893658,80,1,2410409,85,86
5894255,90,1,2410608,7,84
5894870,102,1,2410813,43,102
5894923,102,1,2410831,85,105
5956799,86,3,2427277,5,69
5957154,180,3,2427363,107,188
5960701,138,1,2428142,118,136
5960705,138,1,2428142,46,138
6039554,43,3,2444932,188,39
6043789,134,3,2445828,12,133
6044184,134,3,2445902,69,133
6045169,137,3,2446070,37,133
6045170,137,3,2446070,107,133
6048463,150,1,2446634,108,150
6049228,153,1,2446765,147,147
6049230,153,1,2446765,67,145
6049231,153,1,2446765,61,10
6049232,153,1,2446765,4,165
6049234,153,1,2446765,83,109
6049382,153,3,2446791,108,133
6049383,153,2,2446791,188,165
6049818,154,3,2446865,69,133
6049819,154,3,2446865,101,91
6050536,156,3,2446988,185,133
6050537,156,2,2446988,9,152
6051331,160,3,2447123,9,133
6051333,160,3,2447123,37,188
6051338,160,3,2447123,5,133
6053210,164,3,2447443,133,133
6054773,166,3,2447743,12,133
6055487,166,3,2447879,107,133
6055489,166,3,2447879,10,188
6055759,167,3,2447932,133,188
6055760,167,1,2447932,12,166
6055764,167,1,2447932,99,189
6056136,167,2,2448003,130,185
6057331,169,3,2448232,14,188
6060250,182,3,2448829,133,133
6060746,183,3,2448934,188,69
6061364,184,3,2449064,12,185
6061366,184,3,2449064,12,188
6062291,186,3,2449257,14,188
6361730,42,3,2506842,91,9
6363050,60,3,2507145,5,69
6365101,84,3,2507622,108,69
6369048,107,3,2508469,10,9
6369051,107,3,2508469,188,10
6371748,147,3,2508943,133,13
6371755,147,1,2508943,4,146
6371757,147,1,2508943,32,152
6372279,149,3,2509010,69,133
6372280,149,3,2509010,112,13
6372281,149,3,2509010,185,133
6424197,43,1,2518620,46,140
6424198,43,1,2518620,183,86
6424199,43,1,2518620,113,10
6424348,54,1,2518655,13,61
6424349,54,1,2518655,58,44
6424436,57,1,2518676,145,57
6424437,57,1,2518676,107,182
6424438,57,1,2518676,63,57
6425084,73,1,2518828,189,105
6425085,73,1,2518828,28,117
6425720,113,2,2518961,188,183
6425721,113,1,2518961,162,139
6425722,113,2,2518961,188,139
6426445,132,1,2519111,14,166
6426446,132,1,2519111,118,133
6428611,180,1,2519590,145,118
6428612,180,1,2519590,59,81
6428697,183,1,2519609,180,179
6428698,183,1,2519609,94,183
6554869,42,1,2547432,163,110
6554870,42,1,2547432,141,189
6554881,43,1,2547435,138,49
6554882,43,1,2547435,18,38
6555600,105,1,2547612,159,41
6555601,105,1,2547612,185,106
6555602,105,1,2547612,10,33
6565648,18,1,2549861,111,147
6565649,18,1,2549861,49,86
6567080,54,1,2550199,3,155
6568033,61,1,2550421,68,184
6568034,61,1,2550421,48,139
6568035,61,1,2550421,111,61
6570348,95,3,2550948,10,188
6570349,95,1,2550948,72,89
6570511,96,2,2550983,72,139
6570512,96,1,2550983,115,165
6570513,96,1,2550983,139,159
6571210,112,1,2551138,128,111
6571211,112,1,2551138,163,36
6572444,126,1,2551405,174,146
6572447,126,1,2551405,168,134
6572449,126,1,2551405,179,135
