PERID,household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ
952446,317909,89,2,1,3,3,5,9
952455,317911,45,1,2,1,3,1,9
952456,317911,34,2,1,3,3,4,13
952457,317911,5,3,2,4,1,8,1
952460,317913,17,1,2,3,1,6,1
952461,317913,17,2,2,3,1,6,1
952462,317913,53,3,2,1,3,1,9
952463,317913,62,4,1,1,3,1,13
952464,317914,81,1,1,3,3,5,13
952474,317918,22,1,2,2,3,2,9
952475,317918,17,2,2,3,1,6,1
952476,317918,11,3,1,4,1,7,1
952477,317918,37,4,2,1,2,1,13
952478,317918,33,5,1,1,3,1,13
952485,317922,27,1,1,1,3,1,9
952486,317922,40,2,1,1,3,1,13
952487,317922,49,3,2,1,3,1,13
952488,317923,84,1,2,3,3,5,1
952489,317924,74,1,1,3,3,5,13
952490,317924,60,2,1,3,3,4,9
952491,317925,64,1,2,3,3,4,9
952492,317925,54,2,2,1,3,1,13
952493,317926,34,1,2,1,3,1,13
952494,317926,77,2,2,3,3,5,1
952495,317926,2,3,1,4,3,8,1
952496,317926,0,4,1,4,3,8,1
952497,317927,12,1,2,4,1,7,1
952498,317927,35,2,2,1,3,1,13
952499,317927,35,3,1,1,3,1,13
952500,317927,3,4,1,4,3,8,1
952517,317932,62,1,2,3,3,4,9
952518,317932,65,2,1,1,3,1,9
952519,317933,7,1,2,4,1,7,1
952520,317933,33,2,2,3,3,4,9
952521,317933,45,3,1,1,3,1,1
952522,317933,1,4,1,4,3,8,1
952526,317935,10,1,2,4,1,7,1
952527,317935,31,2,2,3,3,4,13
952528,317935,46,3,1,2,3,2,9
952529,317935,4,4,2,4,3,8,1
952530,317935,3,5,2,4,3,8,1
952537,317939,77,1,2,3,3,5,9
952538,317939,54,2,2,3,3,4,9
952539,317939,52,3,1,2,3,2,9
952543,317941,20,1,2,2,2,3,9
952544,317941,17,2,2,3,1,6,1
952545,317941,55,3,2,1,3,1,13
952552,317943,68,1,1,3,3,5,9
952553,317943,78,2,2,3,3,5,9
952554,317944,24,1,1,2,3,2,9
952555,317944,69,2,1,3,3,5,13
952556,317944,74,3,2,3,3,5,13
952567,317948,30,1,2,2,3,2,9
952568,317948,49,2,1,1,3,1,13
952569,317948,34,3,1,1,3,1,13
952570,317949,21,1,2,3,3,4,9
952571,317949,18,2,2,3,1,6,1
952572,317949,54,3,2,1,3,1,9
952573,317949,54,4,1,1,3,1,13
952574,317949,0,5,2,4,3,8,1
952594,317954,33,1,2,1,3,1,9
952595,317954,54,2,2,2,3,2,9
952596,317954,50,3,1,2,3,2,9
952604,317957,59,1,2,3,3,4,9
952605,317957,48,2,2,2,3,2,9
952611,317959,52,1,1,3,3,4,9
952612,317959,79,2,1,3,3,5,1
952613,317959,47,3,2,2,3,2,1
952614,317960,62,1,1,3,3,4,9
952615,317960,73,2,2,3,3,5,1
952625,317964,50,1,1,2,3,2,9
952626,317964,54,2,2,1,3,1,1
952627,317964,47,3,2,1,3,1,13
952628,317964,39,4,2,1,3,1,13
952638,317968,22,1,1,2,2,3,9
952639,317968,64,2,2,1,3,1,13
952640,317968,80,3,1,3,3,5,9
952641,317969,14,1,1,4,1,7,1
952642,317969,40,2,2,1,3,1,1
952643,317969,6,3,1,4,1,7,1
952655,317974,47,1,1,1,3,1,1
952656,317974,31,2,2,3,3,4,1
952657,317974,5,3,2,4,1,8,1
952660,317976,63,1,1,2,3,2,1
952661,317976,52,2,2,1,3,1,1
952668,317978,16,1,2,3,1,6,1
952669,317978,41,2,1,1,3,1,13
952670,317978,39,3,2,1,3,1,9
952671,317978,5,4,1,4,1,8,1
952672,317979,9,1,2,4,1,7,1
952673,317979,7,2,1,4,1,7,1
952674,317979,12,3,2,4,1,7,1
952675,317979,33,4,1,1,3,1,9
952676,317979,45,5,2,1,3,1,13
952684,317983,62,1,1,1,3,1,13
952685,317983,59,2,2,1,3,1,9
952708,317989,41,1,1,1,3,1,13
952709,317989,34,2,2,1,3,1,9
952710,317990,46,1,1,1,3,1,1
952711,317990,53,2,1,1,3,1,9
952715,317992,50,1,2,3,3,4,13
952716,317992,47,2,1,1,3,1,9
952737,317999,23,1,2,3,3,4,9
952738,317999,16,2,1,3,1,6,1
952739,317999,62,3,2,3,3,4,1
952740,317999,50,4,1,1,3,1,13
952741,318000,21,1,1,1,3,1,9
952742,318000,16,2,2,3,1,6,1
952743,318000,67,3,1,1,3,1,9
952748,318002,51,1,1,1,3,1,1
952749,318002,59,2,2,2,3,2,13
952750,318003,7,1,2,4,1,7,1
952751,318003,39,2,2,3,3,4,9
952752,318003,85,3,2,3,3,5,9
952757,318006,45,1,1,1,3,1,1
952758,318006,79,2,2,3,3,5,9
952775,318012,66,1,2,3,3,5,9
952776,318012,42,2,2,2,3,2,9
952777,318012,75,3,1,1,3,1,9
952781,318014,46,1,1,1,3,1,9
952782,318014,56,2,2,3,3,4,9
952783,318015,68,1,1,3,3,5,9
952784,318015,45,2,1,1,3,1,9
952785,318015,32,3,2,1,3,1,9
952786,318015,52,4,2,2,3,2,13
952789,318017,47,1,1,1,3,1,1
952790,318017,46,2,1,2,3,2,9
952806,318023,12,1,2,4,1,7,1
952807,318023,13,2,2,4,1,7,1
952808,318023,50,3,2,1,3,1,13
952809,318023,78,4,1,3,3,5,9
952810,318023,78,5,2,3,3,5,13
952811,318024,7,1,1,4,1,7,1
952812,318024,35,2,2,1,3,1,13
952813,318024,35,3,1,1,3,1,1
952814,318025,12,1,2,4,1,7,1
952815,318025,14,2,2,4,1,7,1
952816,318025,47,3,2,1,3,1,13
952817,318025,36,4,1,1,3,1,13
952827,318028,17,1,1,3,1,6,1
952828,318028,53,2,2,1,3,1,9
952829,318028,82,3,2,3,3,5,13
952830,318028,75,4,1,2,3,2,9
952835,318030,12,1,1,4,1,7,1
952836,318030,62,2,2,2,3,2,13
952837,318030,76,3,2,3,3,5,9
952838,318030,71,4,1,1,3,1,9
952839,318031,93,1,2,3,3,5,9
952840,318031,86,2,1,3,3,5,13
952860,318036,76,1,2,3,3,5,9
952867,318040,7,1,2,4,1,7,1
952868,318040,9,2,1,4,1,7,1
952869,318040,26,3,2,1,2,1,13
952870,318040,35,4,1,3,3,4,9
952884,318046,62,1,1,3,3,4,13
952885,318046,75,2,2,3,3,5,1
952900,318051,23,1,1,2,2,3,9
952901,318051,19,2,1,3,3,4,9
952902,318051,47,3,2,1,3,1,9
952903,318051,65,4,1,1,3,1,9
952904,318051,4,5,1,4,3,8,1
952919,318055,84,1,1,3,3,5,13
952920,318055,51,2,2,1,3,1,13
952923,318057,56,1,2,3,3,4,13
952924,318057,58,2,1,1,3,1,1
952929,318059,14,1,1,4,1,7,1
952930,318059,7,2,1,4,3,7,1
952931,318059,34,3,1,1,3,1,1
952932,318059,45,4,2,2,3,2,9
952933,318059,4,5,1,4,3,8,1
952936,318061,40,1,1,2,3,2,9
952937,318061,32,2,2,2,3,2,13
952938,318062,56,1,2,3,3,4,9
952939,318062,33,2,2,2,3,2,13
952940,318062,74,3,1,3,3,5,1
952941,318062,6,4,2,4,1,7,1
952942,318063,20,1,2,1,2,1,9
952943,318063,42,2,2,3,3,4,13
952944,318063,50,3,1,1,3,1,13
952945,318064,44,1,2,3,3,4,1
952946,318064,75,2,2,3,3,5,9
952947,318064,68,3,1,3,3,5,13
952959,318070,19,1,1,2,2,3,9
952960,318070,61,2,2,1,3,1,13
952961,318070,63,3,1,2,3,2,13
952962,318071,35,1,1,1,3,1,9
952963,318071,50,2,1,2,3,2,13
952964,318071,76,3,2,3,3,5,13
952974,318076,88,1,1,3,3,5,13
952975,318076,46,2,1,1,3,1,9
952976,318076,64,3,2,3,3,4,9
952977,318076,86,4,2,3,3,5,9
952978,318077,40,1,1,1,3,1,13
952979,318077,47,2,2,1,3,1,13
952980,318077,62,3,1,1,3,1,9
952981,318078,76,1,2,3,3,5,1
952982,318078,51,2,2,1,3,1,13
952983,318078,59,3,1,3,3,4,13
952984,318079,51,1,2,1,3,1,9
952985,318079,49,2,1,1,3,1,9
952988,318081,22,1,2,2,2,3,9
952989,318081,61,2,2,2,3,2,9
952990,318081,57,3,1,1,3,1,9
952991,318082,10,1,1,4,1,7,1
952992,318082,42,2,2,3,3,4,9
952993,318082,60,3,1,3,3,4,9
953003,318086,17,1,1,3,1,6,1
953004,318086,20,2,2,3,2,3,9
953005,318086,63,3,2,1,3,1,9
953006,318087,86,1,1,3,3,5,9
953007,318087,67,2,2,3,3,5,1
953008,318088,20,1,2,3,3,4,13
953009,318088,42,2,2,1,3,1,13
953010,318088,33,3,2,2,3,2,13
953011,318088,35,4,1,1,2,1,9
953012,318088,58,5,1,1,3,1,9
953019,318091,18,1,1,3,2,3,9
953020,318091,7,2,1,4,1,7,1
953021,318091,21,3,1,2,2,3,9
953022,318091,24,4,2,1,3,1,9
953023,318091,56,5,1,2,3,2,9
953024,318091,44,6,2,3,3,4,1
953033,318095,58,1,2,1,3,1,1
953034,318095,68,2,1,3,3,5,13
953035,318096,15,1,2,4,1,7,1
953036,318096,11,2,2,4,3,7,1
953037,318096,14,3,1,4,1,7,1
953038,318096,46,4,2,3,3,4,1
953039,318097,43,1,1,1,3,1,13
953040,318097,44,2,2,3,3,4,9
953045,318100,62,1,1,3,3,4,13
953046,318100,55,2,2,1,3,1,9
953047,318100,66,3,1,3,3,5,9
953048,318100,83,4,2,3,3,5,9
953055,318102,17,1,2,3,1,6,1
953056,318102,9,2,1,4,1,7,1
953057,318102,67,3,2,3,3,5,13
953058,318102,48,4,1,1,3,1,13
953059,318103,48,1,1,3,3,4,9
953060,318103,86,2,2,3,3,5,1
953061,318103,56,3,2,3,3,4,13
953062,318103,56,4,2,3,3,4,9
953063,318103,60,5,2,1,3,1,13
953067,318105,48,1,2,2,3,2,13
953068,318105,41,2,1,3,3,4,9
953069,318105,77,3,2,3,3,5,9
953072,318107,58,1,1,1,3,1,9
953073,318107,55,2,2,3,3,4,9
953089,318112,32,1,2,3,3,4,9
953090,318112,44,2,1,1,3,1,1
953091,318112,6,3,1,4,1,7,1
953092,318113,44,1,2,3,3,4,9
953093,318113,47,2,1,1,3,1,13
953097,318115,10,1,2,4,1,7,1
953098,318115,15,2,1,4,1,7,1
953099,318115,48,3,2,1,3,1,13
953100,318115,78,4,2,3,3,5,1
953101,318115,46,5,1,1,3,1,9
953107,318117,10,1,2,4,1,7,1
953108,318117,14,2,2,4,1,7,1
953109,318117,35,3,2,3,3,4,9
953110,318117,41,4,1,1,3,1,9
953111,318118,62,1,1,1,3,1,13
953112,318118,62,2,2,1,3,1,13
953113,318119,88,1,2,3,3,5,1
953114,318119,63,2,2,3,3,4,9
953124,318123,66,1,2,3,3,5,13
953149,318132,19,1,2,1,2,1,9
953150,318132,23,2,2,2,2,3,9
953151,318132,21,3,2,2,2,3,9
953152,318132,57,4,2,1,3,1,1
953153,318132,57,5,1,1,3,1,9
953160,318136,51,1,2,2,3,2,9
953161,318136,55,2,1,1,3,1,9
953162,318136,51,3,1,1,3,1,13
953163,318137,77,1,2,3,3,5,1
953164,318137,71,2,1,1,3,1,13
953165,318138,42,1,1,1,3,1,13
953166,318138,38,2,2,3,2,3,9
953167,318139,40,1,1,1,3,1,9
953168,318139,75,2,1,2,3,2,13
953169,318139,44,3,2,1,3,1,13
953170,318140,60,1,1,1,3,1,13
953171,318140,67,2,2,3,3,5,9
953178,318144,21,1,1,1,2,1,9
953179,318144,55,2,2,1,3,1,9
953190,318148,36,1,1,1,3,1,9
953191,318148,40,2,1,3,3,4,13
953192,318149,12,1,1,4,1,7,1
953193,318149,14,2,1,4,1,7,1
953194,318149,38,3,1,1,3,1,9
953195,318149,44,4,2,3,3,4,1
953201,318151,10,1,2,4,1,7,1
953202,318151,33,2,1,2,3,2,9
953203,318151,44,3,2,1,3,1,13
953204,318152,43,1,2,2,3,2,9
953205,318152,48,2,1,3,3,4,9
953206,318152,5,3,2,4,1,8,1
953215,318156,78,1,2,3,3,5,9
953216,318156,68,2,1,3,3,5,13
953217,318157,41,1,1,3,3,4,13
953218,318157,39,2,1,2,3,2,9
953221,318159,11,1,1,4,1,7,1
953222,318159,35,2,2,3,2,3,13
953223,318159,3,3,2,4,3,8,1
953233,318162,61,1,2,1,3,1,13
953234,318162,54,2,1,1,3,1,9
953239,318164,17,1,2,3,1,6,1
953240,318164,44,2,2,3,3,4,9
953241,318164,38,3,1,1,2,1,9
953244,318166,45,1,2,1,3,1,1
953245,318166,37,2,1,2,2,3,13
953246,318166,61,3,2,2,3,2,9
953247,318166,54,4,1,1,3,1,1
953253,318168,72,1,2,3,3,5,9
953254,318168,57,2,2,3,3,4,9
953261,318171,67,1,2,3,3,5,9
953262,318171,78,2,2,3,3,5,13
953267,318173,42,1,1,1,3,1,13
953268,318173,66,2,2,3,3,5,9
953269,318173,48,3,1,1,3,1,9
953270,318173,84,4,1,3,3,5,13
953274,318175,54,1,2,1,3,1,13
953275,318175,67,2,1,3,3,5,9
953276,318176,20,1,1,2,2,3,9
953277,318176,57,2,1,1,3,1,13
953278,318176,51,3,2,1,3,1,13
953289,318179,13,1,1,4,1,7,1
953290,318179,13,2,1,4,1,7,1
953291,318179,53,3,1,1,3,1,9
953292,318179,36,4,2,3,3,4,1
953293,318179,5,5,1,4,1,8,1
953310,318185,59,1,1,1,3,1,9
953311,318185,33,2,2,3,3,4,13
953316,318187,7,1,1,4,1,7,1
953317,318187,38,2,1,3,2,3,9
953318,318187,31,3,2,3,3,4,9
953319,318187,1,4,1,4,3,8,1
953325,318190,21,1,1,2,2,3,9
953326,318190,20,2,2,3,2,3,9
953327,318190,76,3,2,3,3,5,9
953328,318190,36,4,1,1,3,1,9
953329,318190,67,5,2,3,3,5,9
953330,318190,56,6,1,2,3,2,13
953345,318194,28,1,1,3,3,4,9
953346,318194,42,2,2,2,3,2,13
953347,318195,58,1,2,1,3,1,9
953348,318195,50,2,1,1,3,1,13
953351,318197,64,1,2,3,3,4,9
953352,318197,77,2,1,3,3,5,9
953375,318204,9,1,2,4,1,7,1
953376,318204,10,2,2,4,1,7,1
953377,318204,35,3,1,1,3,1,9
953378,318204,33,4,2,3,3,4,9
953379,318205,22,1,2,2,2,3,9
953380,318205,56,2,1,1,3,1,9
953391,318208,36,1,2,3,2,3,13
953392,318208,39,2,2,1,2,1,13
953393,318208,42,3,2,1,3,1,9
953394,318208,64,4,1,2,3,2,9
953395,318208,6,5,2,4,1,7,1
953404,318211,40,1,1,1,3,1,9
953405,318211,45,2,2,3,3,4,9
953406,318212,16,1,1,3,1,6,1
953407,318212,19,2,1,3,2,3,9
953408,318212,36,3,2,2,3,2,9
953409,318212,35,4,1,1,2,1,9
953410,318212,2,5,2,4,3,8,1
953411,318212,0,6,2,4,3,8,1
953420,318215,75,1,2,3,3,5,1
953421,318216,51,1,1,3,3,4,9
953422,318216,65,2,2,1,3,1,13
953423,318217,21,1,2,3,2,3,9
953424,318217,10,2,2,4,3,7,1
953425,318217,13,3,1,4,1,7,1
953426,318217,45,4,2,1,3,1,9
953427,318217,5,5,2,4,1,8,1
953428,318218,33,1,2,3,3,4,1
953429,318218,52,2,2,1,3,1,9
953430,318218,5,3,1,4,3,8,1
953431,318218,2,4,1,4,3,8,1
953432,318219,22,1,1,1,3,1,13
953433,318219,24,2,2,2,2,3,9
953434,318219,66,3,2,3,3,5,1
953435,318219,50,4,1,1,3,1,13
953436,318219,1,5,2,4,3,8,1
953437,318219,0,6,2,4,3,8,1
953438,318220,34,1,2,1,3,1,13
953439,318220,47,2,1,1,3,1,9
953443,318222,46,1,1,3,3,4,13
953444,318222,85,2,2,3,3,5,1
953450,318224,53,1,2,2,3,2,9
953469,318233,49,1,1,1,3,1,9
953470,318233,81,2,1,3,3,5,13
953477,318236,17,1,2,3,1,6,1
953478,318236,54,2,1,2,3,2,9
953481,318238,17,1,1,3,1,6,1
953482,318238,55,2,2,3,3,4,9
953483,318238,60,3,1,1,3,1,9
953484,318239,11,1,1,4,1,7,1
953485,318239,13,2,2,4,1,7,1
953486,318239,49,3,2,1,3,1,9
953487,318239,60,4,1,2,3,2,13
953497,318243,17,1,2,3,1,6,1
953498,318243,54,2,2,1,3,1,13
953499,318243,52,3,1,1,3,1,13
953500,318244,65,1,2,3,3,5,13
953501,318244,59,2,1,1,3,1,9
953515,318249,40,1,1,1,3,1,13
953516,318249,45,2,1,2,3,2,9
953520,318251,63,1,1,2,3,2,13
953521,318251,61,2,2,1,3,1,9
953528,318255,90,1,1,3,3,5,9
953529,318255,53,2,2,2,3,2,9
953530,318256,54,1,1,1,3,1,9
953531,318256,38,2,2,1,3,1,9
953532,318256,5,3,2,4,1,8,1
953542,318259,18,1,2,3,2,3,9
953543,318259,54,2,2,1,3,1,13
953544,318260,55,1,1,1,3,1,13
953545,318260,61,2,2,3,3,4,9
953555,318264,16,1,2,3,1,6,1
953556,318264,77,2,2,3,3,5,1
953557,318264,78,3,1,3,3,5,9
953558,318265,72,1,2,3,3,5,13
953559,318265,68,2,1,3,3,5,13
953571,318270,65,1,2,2,3,2,13
953572,318270,55,2,1,1,3,1,9
953576,318272,10,1,2,4,1,7,1
953577,318272,37,2,1,3,3,4,13
953578,318272,45,3,2,1,3,1,9
953595,318279,12,1,1,4,1,7,1
953596,318279,50,2,1,1,3,1,9
953597,318280,61,1,2,3,3,4,9
953598,318281,36,1,2,2,3,2,9
953599,318281,69,2,1,3,3,5,9
953604,318284,84,1,2,3,3,5,9
953614,318288,64,1,2,3,3,4,9
953615,318288,68,2,1,3,3,5,13
953616,318289,7,1,2,4,1,7,1
953617,318289,14,2,2,4,1,7,1
953618,318289,21,3,2,2,2,3,9
953619,318289,40,4,2,3,3,4,9
953620,318289,46,5,1,1,3,1,9
953621,318289,5,6,1,4,1,8,1
953622,318289,1,7,1,4,3,8,1
953623,318290,63,1,1,1,3,1,9
953624,318290,52,2,2,1,3,1,13
953625,318291,53,1,2,2,3,2,9
953626,318291,69,2,1,3,3,5,9
953628,318293,12,1,2,4,3,7,1
953629,318293,22,2,1,1,3,1,9
953630,318293,19,3,1,3,2,3,9
953631,318293,9,4,1,4,1,7,1
953632,318293,38,5,2,2,3,2,9
953633,318293,40,6,1,1,3,1,9
953634,318294,65,1,2,2,3,2,13
953635,318294,68,2,2,3,3,5,9
953636,318295,29,1,2,3,3,4,9
953637,318295,41,2,1,1,3,1,13
953638,318296,55,1,2,2,3,2,13
953639,318296,61,2,1,3,3,4,9
953643,318298,46,1,2,3,3,4,1
953644,318298,75,2,2,3,3,5,9
953645,318299,46,1,2,3,3,4,1
953646,318299,50,2,1,3,3,4,9
953647,318300,40,1,2,3,3,4,13
953648,318300,31,2,1,2,3,2,9
953649,318301,22,1,1,1,3,1,1
953650,318301,18,2,2,3,2,3,9
953651,318301,66,3,1,1,3,1,9
953652,318301,43,4,2,1,3,1,1
953653,318301,82,5,2,3,3,5,9
953654,318302,20,1,2,3,2,3,9
953655,318302,62,2,1,2,3,2,13
953656,318303,46,1,1,1,3,1,9
953657,318303,64,2,2,3,3,4,9
953658,318303,73,3,2,3,3,5,9
953659,318303,69,4,1,3,3,5,13
953680,318311,21,1,1,1,3,1,9
953681,318311,51,2,2,1,3,1,9
953687,318314,44,1,2,3,3,4,13
953688,318314,53,2,1,1,3,1,9
953698,318318,11,1,1,4,1,7,1
953699,318318,37,2,2,2,3,2,13
953707,318321,83,1,2,3,3,5,9
953708,318321,89,2,1,3,3,5,13
953711,318323,20,1,2,2,2,3,9
953712,318323,17,2,2,3,1,6,1
953713,318323,18,3,2,3,2,3,9
953714,318323,63,4,2,3,3,4,9
953715,318323,75,5,1,1,3,1,9
953718,318325,45,1,2,3,3,4,13
953719,318325,64,2,1,1,3,1,9
953730,318328,44,1,1,1,3,1,9
953731,318328,54,2,1,1,3,1,9
953739,318331,55,1,1,1,3,1,9
953740,318331,44,2,1,1,3,1,13
953748,318335,17,1,1,3,1,6,1
953749,318335,18,2,1,3,2,3,9
953750,318335,45,3,1,3,3,4,13
953751,318335,54,4,2,3,3,4,1
953754,318337,85,1,1,3,3,5,9
953755,318337,63,2,2,1,3,1,9
953756,318338,10,1,2,4,1,7,1
953757,318338,8,2,1,4,1,7,1
953758,318338,37,3,1,1,3,1,13
953759,318338,45,4,2,2,3,2,13
953763,318340,20,1,1,1,2,1,9
953764,318340,50,2,2,3,3,4,9
953765,318340,58,3,2,1,3,1,9
953776,318344,8,1,2,4,1,7,1
953777,318344,50,2,2,2,3,2,9
