BLDGSZ,HHID,HHT,MAZ,NOC,PERSONS,PUMA5,SERIALNO,TENURE,UNITTYPE,VEHICL,bucketBin,h0511,h1215,h1617,h1824,h2534,h3549,h5064,h6579,h80up,hNOCcat,hadkids,hadnwst,hadwpst,hinccat1,hinccat2,hmultiunit,hownrent,hsizecat,htypdwel,hunittype,hwrkrcat,income,workers
2.0,250370,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250371,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250372,4.0,19681,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250373,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250374,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250375,4.0,29643,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250376,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250377,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250378,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250379,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250380,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250381,4.0,29643,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250382,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250383,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250384,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250385,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250386,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250387,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250388,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250389,4.0,15385,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250390,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250391,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250392,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250393,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250394,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250395,4.0,15385,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250396,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250397,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250398,4.0,29642,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250399,4.0,29643,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250400,4.0,29642,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250401,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250402,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250403,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250404,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250405,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250406,4.0,26709,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250407,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250408,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250409,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250410,4.0,29642,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250411,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250412,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250413,4.0,19447,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250414,4.0,19681,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250415,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250416,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250417,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250418,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250419,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250420,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250421,4.0,29643,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250422,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250423,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250424,4.0,29643,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250425,4.0,19447,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250426,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250427,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250428,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250429,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250430,4.0,19447,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250431,4.0,29642,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250432,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250433,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250434,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250435,4.0,19681,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250436,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250437,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250438,4.0,15385,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250439,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250440,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250441,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250442,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250443,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250444,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250445,4.0,15385,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250446,4.0,18801,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250447,4.0,29642,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250448,4.0,4866,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250449,4.0,29643,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250450,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250451,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250452,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250453,4.0,29643,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250454,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250455,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250456,4.0,15668,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250457,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250458,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250459,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250460,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
7.0,250461,6.0,4863,0.0,1,11603,2016000800804,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,9.0,1,2,1,2.0,1,0.0,467000,1.0
9.0,250462,6.0,4691,0.0,1,11603,2014000237067,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,1,2,1,2.0,1,0.0,70000,1.0
9.0,250463,6.0,4863,0.0,1,11603,2013001437253,3.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,8.0,1,2,1,2.0,1,0.0,95020,1.0
6.0,250464,6.0,4691,0.0,1,11603,2013000531827,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,1,2,1,2.0,1,0.0,60050,1.0
9.0,250465,6.0,18601,0.0,1,11603,2015000935901,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,50000,1.0
7.0,250466,6.0,4866,0.0,1,11603,2017001299018,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,60000,1.0
8.0,250467,6.0,29643,0.0,1,11603,2013000444690,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,45000,1.0
9.0,250468,6.0,4863,0.0,1,11603,2017001368652,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,47000,1.0
6.0,250469,6.0,13923,0.0,1,11603,2017000073933,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,52000,1.0
8.0,250470,6.0,4866,0.0,1,11603,2015001209154,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,1,2,1,2.0,1,0.0,35000,1.0
9.0,250471,6.0,29642,0.0,1,11603,2013000032022,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,49540,1.0
9.0,250472,6.0,4691,0.0,1,11603,2013000084445,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,55000,1.0
9.0,250473,6.0,29642,0.0,1,11603,2017001305242,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,48000,1.0
5.0,250474,6.0,19681,0.0,1,11603,2015001422393,3.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,45000,1.0
6.0,250475,6.0,4863,0.0,1,11603,2013000550780,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,55000,1.0
5.0,250476,6.0,18601,0.0,1,11603,2014001037847,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,1,2,1,2.0,1,0.0,36000,1.0
9.0,250477,6.0,29642,0.0,1,11603,2013000788758,3.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,51300,1.0
7.0,250478,6.0,18801,0.0,1,11603,2013000404884,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,42000,1.0
5.0,250479,6.0,29643,0.0,1,11603,2014000810597,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,59000,1.0
8.0,250480,6.0,18601,0.0,1,11603,2013001139913,4.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,9,1,2.0,1,0.0,50000,1.0
5.0,250481,6.0,4691,0.0,1,11603,2013001363200,3.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,53000,1.0
5.0,250482,6.0,13923,0.0,1,11603,2015000823198,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,46000,1.0
5.0,250483,6.0,4866,0.0,1,11603,2014001037847,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,1,2,1,2.0,1,0.0,36000,1.0
8.0,250484,6.0,29642,0.0,1,11603,2015000778184,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,1,2,1,2.0,1,0.0,40000,1.0
9.0,250485,6.0,18601,0.0,1,11603,2014000187378,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,58000,1.0
8.0,250486,6.0,4866,0.0,1,11603,2015000778184,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,1,2,1,2.0,1,0.0,40000,1.0
5.0,250487,6.0,29642,0.0,1,11603,2013001363200,3.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,53000,1.0
7.0,250488,6.0,18601,0.0,1,11603,2013000404884,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,42000,1.0
5.0,250489,6.0,4863,0.0,1,11603,2015000823198,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,46000,1.0
7.0,250490,6.0,29642,0.0,1,11603,2015001455498,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,45000,1.0
9.0,250491,6.0,18601,0.0,1,11603,2015001205311,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,50000,1.0
5.0,250492,6.0,15385,0.0,1,11603,2013001363200,3.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,53000,1.0
7.0,250493,6.0,29643,0.0,1,11603,2013000404884,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,42000,1.0
9.0,250494,6.0,4691,0.0,1,11603,2013000850283,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,48000,1.0
6.0,250495,6.0,13923,0.0,1,11603,2013000604744,3.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,6.0,1,2,1,2.0,1,0.0,53000,1.0
5.0,250496,6.0,4863,0.0,1,11603,2015000823198,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,1,2,1,2.0,1,0.0,46000,1.0
5.0,250497,6.0,18601,0.0,1,11603,2014001037847,3.0,1,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,4.0,1,2,1,2.0,1,0.0,36000,1.0
