#c_cost,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.6*ivt) / valueOfTime
c_dacc_ratio,0,0,0,0,0,0,0,0,0,0
c_topology_walk,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt
c_topology_bike,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt
c_topology_trn,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt
c_density_index,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0
c_origin_density_index,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3
c_origin_density_index_max,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15
origin_density_applied,False,False,False,True,True,True,True,True,True,True
c_age1619_da,0,0,0,0,0,0,0,0,0,0
c_age010_trn,0,0,0,0,0,0,0,0,0,0
c_age16p_sr,0,0,0,0,0,0,0,0,0,0
c_hhsize1_sr,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346
c_hhsize2_sr,0,0,0,0,0,0,0,0,0,0
#free_parking_allowed,1,0,0,0,0,0,0,0,0,0
#indiv tour ASCs,,,,,,,,,,
sov_ASC_sr2,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
sov_ASC_sr3p,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
sov_ASC_walk,-1.5792782968324877,-0.3290781949740797,-3.0,-0.40775476464362187,-1.8843547646436225,-1.1293572790428554,-1.7070547646436218,-1.5927572790428557,-1.3357572790428551,-3.0340807834553853
#sr2_ASC_sr2 - reference mode,0,0,0,0,0,0,0,0,0,0
sr2_ASC_sov,-0.512991050041268,-1.0589425529617411,-0.29358817312793983,-0.5364982216218682,-0.5364982216218682,-0.8498086476948487,-0.5364982216218682,-0.8498086476948487,-0.8498086476948487,-0.6016040006708439
sr2_ASC_walk,-0.4073850393790288,0.16698433841804375,-0.17341137513290372,-3.4669368585615485,-1.5258368585615474,-0.7398190846487671,-2.013036858561549,-1.4601190846487668,-0.6937190846487672,-4.398412985525359
sr3p_ASC_sov,-0.2295166944873816,-1.1420359009435297,-1.8605363586423205,-1.1115456358815738,-1.1115456358815738,-1.5928801670390054,-1.1115456358815738,-1.5928801670390054,-1.5928801670390054,-0.9153838488093408
sr3p_ASC_sr2,-0.3334102448344269,-0.7959456883669828,-1.09564365603906,-0.6562287939398239,-0.4661287939398242,-0.7482265559118922,-0.6838287939398241,-0.5860265559118925,-1.0446265559118924,-0.7510871801661652
#sr3p_ASC_sr3p - reference mode,0,0,0,0,0,0,0,0,0,0
sr3p_ASC_walk,-0.7284450401939693,0.02193196588591275,-0.7064118703304251,-2.3620255572649405,-1.86242555726494,-0.1469948782710122,-1.31232555726494,-0.41699487827101217,-0.6307948782710123,-3.8925816735328977
bike_ASC_walk,-2.8333,-2.49405068,-3.238666604,-15.5203,-3.0245,-3.699,-2.5706,-14.2384,-2.3577,-5.0532
#walktransit_ASC_walktransit - reference mode,0,0,0,0,0,0,0,0,0,0
walktransit_ASC_sr2,-3.7059715334404735,-4.132166342200151,-3.1867434459698383,-3.1396739442261423,-3.1396739442261423,-3.6967709236305577,-3.1396739442261423,-3.6967709236305577,-3.6967709236305577,-4.0
walktransit_ASC_sr3p,-3.578423306067476,-5.496253926895809,-3.595736857701258,-6.1980398352928665,-6.1980398352928665,-3.4555371281684337,-6.1980398352928665,-3.4555371281684337,-3.4555371281684337,-1.1568250478408622
walktransit_ASC_walk,2.2897918854586368,0.7427803982258763,-0.4583213330652848,1.976505237003828,1.976505237003828,2.544557043538197,1.976505237003828,2.544557043538197,2.544557043538197,1.0383277958420796
#pnr_ASC_pnr - reference mode,0,0,0,0,0,0,0,0,0,0
#knr_ASC_knr - reference mode,0,0,0,0,0,0,0,0,0,0
#joint tour ASCs,,,,,,,,,,
#joint_sr2_ASC_sr2 - reference mode,0,0,0,0,0,0,0,0,0,0
joint_sr2_ASC_walk,0.0,0.0,0.0,-2.620466384339975,-2.620466384339975,-2.620466384339975,-2.620466384339975,-2.620466384339975,-2.620466384339975,0.0
#joint_sr3p_ASC_sr3p - reference mode,0,0,0,0,0,0,0,0,0,0
joint_sr3p_ASC_sr2,0.0,0.0,0.0,1.5763174440858891,1.5763174440858891,1.5763174440858891,1.5763174440858891,1.5763174440858891,1.5763174440858891,0.0
joint_sr3p_ASC_walk,0.0,0.0,0.0,-1.238904557023363,-1.238904557023363,-1.238904557023363,-1.238904557023363,-1.238904557023363,-1.238904557023363,0.0
joint_bike_ASC_walk,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
#joint_walktransit_ASC_walktransit - reference mode,0,0,0,0,0,0,0,0,0,0
joint_walktransit_ASC_sr2,0.0,0.0,0.0,-2.3129029415955698,-2.3129029415955698,-2.3129029415955698,-2.3129029415955698,-2.3129029415955698,-2.3129029415955698,0.0
joint_walktransit_ASC_sr3p,0.0,0.0,0.0,-3.8777685193067013,-3.8777685193067013,-3.8777685193067013,-3.8777685193067013,-3.8777685193067013,-3.8777685193067013,0.0
joint_walktransit_ASC_walk,0.0,0.0,0.0,1.5768234235430478,1.5768234235430478,1.5768234235430478,1.5768234235430478,1.5768234235430478,1.5768234235430478,0.0
#joint_pnr_ASC_pnr - reference mode,0,0,0,0,0,0,0,0,0,0
#joint_knr_ASC_knr - reference mode,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,
schoolbus_ASC_sr2,0.0,0.0,-3.2890692762180707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schoolbus_ASC_sr3p,0.0,0.0,-3.217740128665061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schoolbus_ASC_walk,0.0,0.0,-2.277998613273528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#c_walk_express_penalty,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt
local_ASC,0,0,0,0,0,0,0,0,0,0
premium_ASC,0,0,0,0,0,0,0,0,0,0
mix_ASC,0,0,0,0,0,0,0,0,0,0
