TAZ,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
11,1,1,1,2902,4998,5163,2865,10,2923,1427,627,461,387,81.0,12.58862,38.0,0.14800000000000002,10581,148,456,2241,1819,499,2267,2971,2736,2351,2,254,116.0,259.0,0,0.0,0.0,0.0,3,4.647390000000001,0,2902,11,165
12,1,1,1,793,1197,1207,897,0,984,212,284,160,137,53.3,1.0,16.0,0.09,15184,10,15,713,412,57,537,5932,4702,3699,13,301,203.38792,893.98761,0,0.0,3434.2146,2376.73853,3,5.46202,0,793,12,10
13,1,1,1,102,156,166,60,0,119,99,2,0,1,26.5,1.0,19.79609,0.09,20289,1,2,98,57,8,792,15418,2402,1485,5,187,202.04991,888.1063800000001,0,348.71741000000003,1719.16077,3824.83545,3,5.51319,0,102,13,10
14,1,1,1,476,722,728,523,0,552,178,84,87,127,30.6,1.0,27.39873,0.09,28433,8,8,429,249,34,216,19167,2702,4286,14,2048,237.35252000000003,981.7764300000001,0,0.0,851.33472,251.48717000000002,3,5.52147,0,476,14,6
15,1,1,1,279,422,470,330,0,319,44,60,69,106,28.5,3.0,14.0,0.09,16111,4,6,277,161,22,151,11256,2005,2175,9,515,262.41342000000003,1085.43726,0,0.0,0.0,0.0,3,5.5902400000000005,0,279,15,48
16,1,1,1,6164,10143,10272,8094,15,6720,4492,480,499,693,123.4,13.732470000000001,72.0,0.076,23407,218,279,6658,2697,420,2791,11982,4588,3569,65,412,164.00706,532.0228900000001,0,0.0,0.0,0.0,2,4.75017,0,6164,16,129
17,1,1,1,4075,6702,7119,5422,25,4532,1298,668,774,1335,152.3,23.84518,36.0,0.076,9077,151,193,4615,1869,291,287,3374,1494,3691,5,226,109.0,477.0,1,0.0,0.0,0.0,1,4.58156,0,4075,17,417
18,1,1,1,1034,1705,2069,1266,56,1087,179,241,230,384,107.3,2.0994099999999998,50.0,0.055999999999999994,6772,36,137,1390,449,57,326,2273,1250,2431,25,467,95.0,273.0,1,0.0,0.0,0.0,3,4.1701,0,1034,18,364
19,1,1,1,843,1387,1608,1023,22,863,498,112,96,137,125.4,14.19946,74.0,0.055999999999999994,10248,28,106,1080,349,45,929,2892,1130,4388,0,909,82.00709,225.01944,1,0.0,0.0,0.0,3,4.1848,0,843,19,221
20,1,1,1,2006,3346,3691,1668,97,2019,1087,400,267,252,98.3,15.353589999999999,35.0,0.39399999999999996,3610,82,210,1250,913,1236,274,995,1046,903,0,392,82.0,225.0,1,0.0,0.0,0.0,3,3.9902699999999998,0,2006,20,345
21,1,1,1,3472,5793,6203,2782,117,3520,2215,518,349,390,78.9,15.189429999999998,44.0,0.39399999999999996,7211,138,352,2101,1534,2078,381,2802,1840,1975,0,213,123.0,355.0,1,0.0,0.0,0.0,3,4.29617,0,3472,21,410
22,1,1,1,1195,1906,1925,1137,98,1291,231,337,244,383,87.7,9.0,46.0,0.317,19848,30,40,527,861,467,310,13956,3965,1218,10,389,191.0,525.0,0,0.0,0.0,0.0,3,4.93813,0,1195,22,19
23,1,1,1,565,900,906,543,43,628,189,139,95,142,90.8,4.413,20.0,0.317,11296,14,19,248,405,220,230,5968,1799,1870,2,1427,164.0,409.0,1,0.0,0.0,0.0,1,5.11702,0,565,23,6
24,1,1,1,604,972,979,355,0,669,284,144,80,96,39.0,2.0,20.403579999999998,0.369,16572,32,47,214,397,289,202,10872,2074,2825,13,586,242.73199,784.69391,0,0.0,0.0,0.0,1,5.35851,0,604,24,7
25,1,1,1,1551,3410,3416,1239,131,1553,712,401,215,223,21.0,4.0,4.0,0.41,1608,119,435,672,1011,1179,302,369,630,220,0,87,232.0,341.0,0,0.0,0.0,0.0,1,4.89113,0,1551,25,6
