MAZ,TAZ,hs,hs_sf,hs_mf,hs_mh,hh,hh_sf,hh_mf,hh_mh,gq_civ,gq_mil,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,hhs,pop,hhp,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,emp_total,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,adultschenrl,ech_dist,hch_dist,pseudomsa,parkarea,hstallsoth,hstallssam,hparkcost,numfreehrs,dstallsoth,dstallssam,dparkcost,mstallsoth,mstallssam,mparkcost,zip09,parkactive,openspaceparkpreserve,beachactive,budgetroom,economyroom,luxuryroom,midpriceroom,upscaleroom,hotelroomtotal,luz_id,truckregiontype,district27,milestocoast,acres,effective_acres,land_acres,MicroAccessTime,remoteAVParking,refueling_stations,totint,duden,empden,popden,retempden,totintbin,empdenbin,dudenbin,PopEmpDenPerMi,poe_id,original_MAZ,external_TAZ,external_MAZ,colonia_pop_accessibility,std_wait_1,std_wait_2,std_wait_3,std_wait_4,std_wait_5,std_wait_6,std_wait_7,std_wait_8,std_wait_9,std_wait_10,std_wait_11,std_wait_12,std_wait_13,std_wait_14,std_wait_15,std_wait_16,std_wait_17,std_wait_18,std_wait_19,std_wait_20,std_wait_21,std_wait_22,std_wait_23,std_wait_24,std_wait_25,std_wait_26,std_wait_27,std_wait_28,std_wait_29,std_wait_30,std_wait_31,std_wait_32,std_wait_33,std_wait_34,std_wait_35,std_wait_36,std_wait_37,std_wait_38,std_wait_39,std_wait_40,std_wait_41,std_wait_42,std_wait_43,std_wait_44,std_wait_45,std_wait_46,std_wait_47,std_wait_48,sentri_wait_1,sentri_wait_2,sentri_wait_3,sentri_wait_4,sentri_wait_5,sentri_wait_6,sentri_wait_7,sentri_wait_8,sentri_wait_9,sentri_wait_10,sentri_wait_11,sentri_wait_12,sentri_wait_13,sentri_wait_14,sentri_wait_15,sentri_wait_16,sentri_wait_17,sentri_wait_18,sentri_wait_19,sentri_wait_20,sentri_wait_21,sentri_wait_22,sentri_wait_23,sentri_wait_24,sentri_wait_25,sentri_wait_26,sentri_wait_27,sentri_wait_28,sentri_wait_29,sentri_wait_30,sentri_wait_31,sentri_wait_32,sentri_wait_33,sentri_wait_34,sentri_wait_35,sentri_wait_36,sentri_wait_37,sentri_wait_38,sentri_wait_39,sentri_wait_40,sentri_wait_41,sentri_wait_42,sentri_wait_43,sentri_wait_44,sentri_wait_45,sentri_wait_46,sentri_wait_47,sentri_wait_48,ped_wait_1,ped_wait_2,ped_wait_3,ped_wait_4,ped_wait_5,ped_wait_6,ped_wait_7,ped_wait_8,ped_wait_9,ped_wait_10,ped_wait_11,ped_wait_12,ped_wait_13,ped_wait_14,ped_wait_15,ped_wait_16,ped_wait_17,ped_wait_18,ped_wait_19,ped_wait_20,ped_wait_21,ped_wait_22,ped_wait_23,ped_wait_24,ped_wait_25,ped_wait_26,ped_wait_27,ped_wait_28,ped_wait_29,ped_wait_30,ped_wait_31,ped_wait_32,ped_wait_33,ped_wait_34,ped_wait_35,ped_wait_36,ped_wait_37,ped_wait_38,ped_wait_39,ped_wait_40,ped_wait_41,ped_wait_42,ped_wait_43,ped_wait_44,ped_wait_45,ped_wait_46,ped_wait_47,ped_wait_48,ready_wait_1,ready_wait_2,ready_wait_3,ready_wait_4,ready_wait_5,ready_wait_6,ready_wait_7,ready_wait_8,ready_wait_9,ready_wait_10,ready_wait_11,ready_wait_12,ready_wait_13,ready_wait_14,ready_wait_15,ready_wait_16,ready_wait_17,ready_wait_18,ready_wait_19,ready_wait_20,ready_wait_21,ready_wait_22,ready_wait_23,ready_wait_24,ready_wait_25,ready_wait_26,ready_wait_27,ready_wait_28,ready_wait_29,ready_wait_30,ready_wait_31,ready_wait_32,ready_wait_33,ready_wait_34,ready_wait_35,ready_wait_36,ready_wait_37,ready_wait_38,ready_wait_39,ready_wait_40,ready_wait_41,ready_wait_42,ready_wait_43,ready_wait_44,ready_wait_45,ready_wait_46,ready_wait_47,ready_wait_48
100510,3396,135,26,109,0,133,25,108,0,11,0,26,30,25,16,14,4,6,4,5,3,2.556,351,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,88,1,8,5.9399,4.7093,4.7093,4.7093,10,0,0,228.0,13.9388,5.8936,35.1043,2.2714,3,1,3,26238.6159,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100511,3396,77,20,57,0,74,19,55,0,0,0,10,21,16,9,6,3,5,1,2,1,2.284,169,169,0,0,0,0,0,0,0,0,0,0,0,15,8,7,0,0,3,2,0,0,17,3,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,88,1,8,5.9091,4.2796,4.2796,4.2796,10,0,0,246.0,13.0621,7.2967,33.1989,3.6351,3,1,3,25917.2066,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100512,3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,88,1,8,5.9459,1.6712,1.6712,1.6712,10,0,0,237.0,13.8551,7.1428,35.6076,3.2257,3,1,3,27360.2367,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100513,3395,39,7,32,0,36,5,31,0,0,0,2,13,7,7,3,1,0,2,1,0,2.444,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,432801,432801,2,1,2,4,1,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,93,1,8,6.0576,2.5572,2.5572,2.5572,10,0,0,247.0,15.235,8.7948,35.4172,4.0154,3,1,3,28295.7065,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100514,3395,181,24,157,0,176,24,152,0,0,0,27,45,33,25,15,9,7,3,4,8,2.545,448,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,93,1,8,5.974,6.232,6.232,6.232,10,0,0,248.0,14.5165,7.9538,34.3518,3.7767,3,1,3,27075.6008,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100515,3395,161,30,131,0,161,30,131,0,0,0,34,42,32,19,7,5,7,2,10,3,2.323,374,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,93,1,8,5.8692,5.9379,5.9379,5.9379,10,0,0,252.0,13.4436,8.7291,32.1778,4.1115,3,1,3,26180.3822,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100516,3395,71,28,43,0,69,28,41,0,0,0,9,19,8,8,7,9,6,2,1,0,2.319,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,93,1,8,5.8996,4.5075,4.5075,4.5075,10,0,0,230.0,13.4084,8.1302,32.5581,3.9237,3,1,3,26040.5283,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100517,3395,97,32,65,0,97,32,65,0,0,0,14,27,21,9,9,7,4,2,4,0,2.66,258,258,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,3,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,93,1,8,5.8228,7.8641,7.8641,7.8641,10,0,2,267.0,12.8297,7.8295,31.1999,3.578,3,1,3,24978.7663,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100518,3395,180,12,168,0,123,12,111,0,0,0,18,30,25,14,7,10,5,6,3,5,2.732,336,336,0,1,0,0,0,12,5,0,0,0,0,0,20,10,0,0,124,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,93,1,8,5.7653,6.023,6.023,6.023,10,0,0,277.0,13.0642,8.8992,30.8937,3.7597,3,1,3,25467.4278,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100519,3315,98,51,47,0,95,50,45,0,0,0,14,18,27,7,9,7,9,2,2,0,2.221,211,211,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,432801,432801,2,4,0,0,0,0,0,0,0,0,0,0,92104,0.0,0.0,0.0,0,0,0,0,0,0,90,1,8,6.4281,6.832,6.832,6.832,10,0,0,236.0,13.9173,4.6632,35.63,1.7479,3,1,3,25787.6278,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
