periods_left_min,periods_left_max,outbound,tour_purpose_grouped,half_tour_stops_remaining_grouped,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,All
4,4,True,non_mand,1,0.3743770992053098,0.5727827563748306,0.05252770967230497,0.00031243474755708465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4,True,mand,0,0.4391344468565407,0.4730858153439597,0.08579467818492309,0.001985059614577168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,4,True,mand,1,0.17374342144703583,0.705501446138433,0.12075513241453113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,5,True,non_mand,0,0.24443687276143128,0.48727017005994244,0.24105582258752195,0.027237134591092966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,5,True,non_mand,1,0.3498737043600855,0.5468850124616544,0.0957015471401984,0.002142098611144654,0.0053976374269204585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,5,True,mand,0,0.4140440879091029,0.4627566659226456,0.10589932963919767,0.014346985277468863,0.0029529312515844176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,5,True,mand,1,0.5359817354115067,0.40328213098074,0.037043756388711026,0.023692377219042413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,6,True,non_mand,0,0.2243718573226493,0.4740049987478467,0.2185942840913799,0.07387248869388857,0.008608771317053272,0.0005475998271755717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,6,True,non_mand,1,0.2947249323070468,0.520484919863231,0.16267063104650237,0.021821311374649363,0.00029820540857341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,6,True,mand,0,0.34571265959006825,0.45183505047762074,0.11547038429330879,0.08043856620520728,0.006543339433795003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,6,True,mand,1,0.46036107799104353,0.3701917482866324,0.14122662957933466,0.028220544142989194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,7,True,non_mand,0,0.227621158038117,0.417953229518577,0.19141787402389457,0.12197351063472531,0.024548137961874116,0.016486089822811145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,7,True,non_mand,1,0.2832486215408319,0.5166096440702325,0.14826728166817885,0.03482546263765433,0.017048990083102438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,7,True,mand,0,0.361803588610528,0.418900938560931,0.14154525076540292,0.06743958274104898,0.006099978058599388,0.004210661263489495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,7,True,mand,1,0.4127559556392927,0.4462328382983683,0.1195063008397756,0.012231152152406215,0.009273753070157131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,8,True,non_mand,0,0.19426921480484255,0.40592917871708584,0.19011533368438208,0.15982429426585337,0.040643179164081826,0.006644362842185375,0.002011822208828069,0.0005626143127424159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,8,True,non_mand,1,0.23006768855966434,0.4951325777522361,0.16375321837246617,0.09014636059161886,0.012948244048729797,0.007951910675286304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,8,True,mand,0,0.3404793706490589,0.4564428277054562,0.14909890279509022,0.024535359848871188,0.007981254754395728,0.020513594855995246,0.0,0.0009486893911321145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,8,True,mand,1,0.399341249303726,0.41517942529414553,0.1028491817940402,0.04745891472898081,0.03517122887910787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,9,True,non_mand,0,0.19874760126421334,0.3630228482412267,0.1444748881448116,0.16435014395285896,0.10036289384754772,0.017397511428007644,0.008202316900872985,0.0031073806650114963,0.0003344155554514234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,9,True,non_mand,1,0.22748125907091696,0.4891138773218324,0.21855171544454474,0.04724707111068227,0.016939736746825574,0.00045246712463884055,0.000213873180559771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,9,True,mand,0,0.37368001529264117,0.40060534327725444,0.11191565670765437,0.06782772701563022,0.03125402744106718,0.011589870883400537,0.001558362508815955,0.0015689968735345759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,9,True,mand,1,0.2567315234988767,0.5572074890664362,0.10628235358815401,0.07427082306966946,0.002083433027377295,0.003424377749486876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10,True,non_mand,0,0.18414136513468135,0.3197692844976048,0.19719338356553304,0.16620135022943144,0.06960029735040153,0.03703358451667586,0.014494298970866393,0.0068016927998264445,0.004764742934979405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10,True,non_mand,1,0.22820299437971506,0.48795761528080067,0.1549340394408621,0.09519810801564392,0.02664096931437101,0.0038191046031214,0.0027576448173758537,0.0004895241481095858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10,True,mand,0,0.2924258078226892,0.46366769271762154,0.11886521424960046,0.06217986582313677,0.025764091367057613,0.016078005167636363,0.0017215479420771597,0.019297774910179692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,10,True,mand,1,0.22445327282351105,0.3869668718823247,0.18146111316276614,0.1899539000261889,0.016646553939701842,0.0,0.0005182881655077271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,11,True,non_mand,0,0.1838047344313972,0.4451769992587658,0.152991609518764,0.10039166250104836,0.06367584589757627,0.03151581147531881,0.008585327734442478,0.009924884136955484,0.0012902203336801305,0.00251568701530955,0.00012721769674307987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,11,True,non_mand,1,0.22323053576220492,0.43792687319101775,0.17149150600844593,0.08992672587419363,0.06021379863217045,0.011341895844761014,0.002924004745341519,0.0029446599418644186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,11,True,mand,0,0.2549729920032347,0.3846638483858408,0.1585996489799274,0.07048148043675959,0.0610612844984867,0.02950967271600184,0.009390882720852532,0.019671473627125007,0.011648716631770929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,11,True,mand,1,0.31950618996163216,0.370416105116807,0.12957808333436566,0.038771889005981476,0.07973400907657878,0.008259064901326241,0.04502512717413414,0.0,0.0,0.00870953142917452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,12,True,non_mand,0,0.15538064701402524,0.34010855114672783,0.15756329624436757,0.130761080225149,0.08058876296099016,0.037166670112688684,0.05321282457870319,0.011684514315131676,0.008420820875982287,0.022760982646872548,0.002351849879359441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,12,True,non_mand,1,0.18615603339448467,0.4442747128851546,0.16119531212501342,0.1660481650340877,0.01822419609095152,0.014405133011713384,0.0012287665864568532,0.00810044705472734,0.0,0.00036723381740970943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,12,True,mand,0,0.2833186435388759,0.4473279201816816,0.0839513747492686,0.08780578472571127,0.048675906218727354,0.018950473118234137,0.029969897467500405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,12,True,mand,1,0.3716081395440234,0.24335198225727428,0.15817450794815305,0.1152128686656522,0.09842277539670218,0.0,0.012825429182031002,0.0,0.0004042970061645304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,13,True,non_mand,0,0.1280486077306424,0.39007727678250526,0.14429472032308305,0.12987881052290906,0.05673434374115411,0.04374230904631316,0.03370924463183397,0.022796437331145697,0.005698472187466286,0.03744492108087016,0.007574856622076875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,13,True,non_mand,1,0.16420817620589498,0.3959652826942212,0.21269414158675182,0.10510649107393175,0.062059223793042705,0.03832758967086638,0.01031829635321654,0.007272614386214486,0.0038487289764247883,0.00019945525943466293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,13,True,mand,0,0.2833739707820797,0.3472246351141721,0.12472684460184481,0.1087803737635112,0.04158238860256562,0.02102549542839796,0.004873270302794455,0.05209115241161954,0.0,0.0,0.01632186899301426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,13,True,mand,1,0.20066138301721598,0.3252681760134406,0.06612907451937301,0.1197886582841732,0.22936068409786692,0.03448374665640273,0.0068774276923423625,0.0007760790887603079,0.016654770630425347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,14,True,non_mand,0,0.21736634651976025,0.2911804898239222,0.14177795654611225,0.07388892050301235,0.08781548032944456,0.044928908010177494,0.0792545723131907,0.021645018917800064,0.02019552748207418,0.009467311676119831,0.004536650962516739,0.007398198338740162,0.0005446185771287058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,14,True,non_mand,1,0.2343054288430577,0.3037047693015579,0.18586258067809125,0.14484685683240442,0.06798436270712183,0.04598952809490658,0.00407148418725873,0.003288198365222629,0.0,0.0018933319504502446,0.007492591087270938,0.0005608679526570394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,14,True,mand,0,0.3454886512576222,0.38014428702430497,0.13782651573334836,0.044263018546040186,0.055676392088022865,0.010906524177868795,0.0072979890708083925,0.007361983152376035,0.0,0.001430578916990835,0.009604060032617677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,14,True,mand,1,0.4852409017501698,0.2684239060123367,0.15637469849088115,0.04917106696035559,0.01712199313248224,0.014788285966204288,0.0066105570512929685,0.0,0.0022685906362778065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,15,True,non_mand,0,0.25269778070190596,0.2968540782999024,0.11023455674822831,0.05623827230855225,0.06597186788243106,0.1253009893013266,0.01271029987709566,0.052921232042414855,0.006233945238574574,0.0012759056875845305,0.01162477209683355,0.0037846301847631685,0.0020877532596896746,0.00206391637069746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,15,True,non_mand,1,0.17865337321760114,0.49598387546653,0.17985004316104092,0.0834123491136488,0.02861982991731569,0.01507389127479415,0.0019319769530352945,0.015088099515112047,0.0,0.0,0.0013865613809220093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,15,True,mand,0,0.5092314635021563,0.2909852832285074,0.1007263601936202,0.05369042418623467,0.015831820236393533,0.00696398701811726,0.009594759834484176,0.005897226236671945,0.0016561807514684653,0.0028240915770827166,0.0025984032352619696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,15,True,mand,1,0.3065494168965283,0.3171690632857757,0.15389037912080228,0.08157827533204816,0.05578445762327045,0.025762048043104755,0.024355412276719727,0.0021433410196588184,0.004404725115949303,0.0,0.0,0.028362881286142977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,16,True,non_mand,0,0.23933291204976098,0.33470032117477017,0.16347743110076973,0.07443734333026066,0.03793288215034974,0.057132956981553754,0.005334799175762797,0.01899323978978337,0.00043592297563987335,0.03487186028711262,0.01541730805407518,0.010943184082674567,0.0015278355776893143,0.005462003269796668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,16,True,non_mand,1,0.16005321326665203,0.37632691905494753,0.15394957154631203,0.1304548210249311,0.10940790296800768,0.02500721732909631,0.013135655612855335,0.017070125977595278,0.0007067958022550534,0.013887777417347766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,16,True,mand,0,0.3848194266722145,0.37134484471331375,0.0850662068736148,0.05017749283620628,0.017003906169515512,0.021747227413822744,0.008386061255936564,0.011286918024608511,0.010448753616855348,0.0,0.0,0.0012353190869387998,0.0016269833209067346,0.0,0.036856860016065106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,16,True,mand,1,0.2275194752607601,0.25017235420678974,0.11692008159168814,0.2070096816790754,0.14023010283480625,0.009814183791811608,0.01979234880065379,0.0,0.009783746942694935,0.0,0.016295555427818544,0.0024624694639021833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,17,True,non_mand,0,0.2526702328957933,0.27447465838212554,0.09213362766425133,0.21312793523475992,0.06524452915763224,0.026394837256766328,0.028183453538624264,0.00591378437050656,0.016211185354215143,0.0013689285176775245,0.0024881369773125427,0.0,0.011475536248101093,0.003433553098931867,0.0040596569100583325,0.0028199443932443616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,17,True,non_mand,1,0.17523974786396865,0.3585193462713332,0.2049836229835515,0.050516166565969176,0.07709240067318539,0.08181910721392045,0.012684940794303552,0.013453983030564066,0.003034514575602301,0.020700169867956354,0.0019560001596443948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,17,True,mand,0,0.4114491047000963,0.4134305296546959,0.06043576184993309,0.05546620254054133,0.014232550856757764,0.009566984849911121,0.010921244427410532,0.0065069883496819666,0.005398249675380565,0.00545950083354648,0.006220799751873012,0.0003236540673956202,0.0,0.0,0.000588428442776014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,17,True,mand,1,0.29483908954012533,0.4126571783996355,0.1282010951680747,0.07767698088397365,0.03921799675702734,0.009704164761495144,0.016349316407632902,0.01982939678355619,0.0,0.0,0.0,0.001524781298478771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
