Description,value,coefficient_name
Calibrated coefficient for stops 3 out and 0 in,1.422429266,coef_calibration_for_3out_0in
Calibrated coefficient for stops 3 out and 1 in,2.390980042,coef_calibration_for_3out_1in
Calibrated coefficient for stops 3 out and 2 in,0.863350747,coef_calibration_for_3out_2in
Calibrated coefficient for stops 3 out and 3 in,1.268073696,coef_calibration_for_3out_3in
,-0.126,coef_telecommute1_2
,-0.301,coef_telecommute1_3
,-0.301,coef_telecommute1_4
,-0.126,coef_telecommute1_5
,-0.301,coef_telecommute1_6
,-0.301,coef_telecommute1_7
,-0.611,coef_telecommute1_8
,-0.301,coef_telecommute1_9
,-0.301,coef_telecommute1_10
,-0.611,coef_telecommute1_11
,-0.611,coef_telecommute1_12
,-0.301,coef_telecommute1_13
,-0.611,coef_telecommute1_14
,-0.611,coef_telecommute1_15
,-0.611,coef_telecommute1_16
,-0.149,coef_telecommute23_2
,-0.768,coef_telecommute23_3
,-0.768,coef_telecommute23_4
,-0.768,coef_telecommute23_5
,-0.768,coef_telecommute23_6
,-0.768,coef_telecommute23_7
,-0.909,coef_telecommute23_8
,-0.768,coef_telecommute23_9
,-0.768,coef_telecommute23_10
,-0.909,coef_telecommute23_11
,-0.909,coef_telecommute23_12
,-0.768,coef_telecommute23_13
,-0.909,coef_telecommute23_14
,-0.909,coef_telecommute23_15
,-0.909,coef_telecommute23_16
,-0.158,coef_telecommute4p_2
,-0.473,coef_telecommute4p_3
,-0.473,coef_telecommute4p_4
,-0.473,coef_telecommute4p_5
,-0.473,coef_telecommute4p_6
,-0.473,coef_telecommute4p_7
,-1.47,coef_telecommute4p_8
,-0.473,coef_telecommute4p_9
,-0.473,coef_telecommute4p_10
,-1.47,coef_telecommute4p_11
,-1.47,coef_telecommute4p_12
,-0.473,coef_telecommute4p_13
,-1.47,coef_telecommute4p_14
,-1.47,coef_telecommute4p_15
,-1.47,coef_telecommute4p_16
