person_id,legacy_person_id,race_id,age,relate,member_id,legacy_household_id,sex,ESR,WKHP,WKW,SCHG,MIL,household_id
3031883,1630140443,2,35,1,2,1630051325,1,1.0,45.0,1.0,-9.0,4.0,1216146
3031884,1630140439,2,18,2,3,1630051325,2,6.0,-9.0,-9.0,15.0,4.0,1216146
3031885,1630140441,2,16,2,4,1630051325,1,1.0,25.0,6.0,11.0,-9.0,1216146
3031886,1630140445,2,14,2,5,1630051325,2,-9.0,-9.0,-9.0,10.0,-9.0,1216146
3031887,1630140447,2,9,2,6,1630051325,2,-9.0,-9.0,-9.0,5.0,-9.0,1216146
3031888,1630140038,2,40,0,1,1630051326,1,2.0,25.0,1.0,15.0,4.0,1216147
3031889,1630140036,2,40,1,2,1630051326,2,1.0,40.0,1.0,16.0,4.0,1216147
3031890,1630140040,2,19,2,3,1630051326,1,6.0,25.0,5.0,15.0,4.0,1216147
3031891,1630140327,2,44,0,1,1630051327,2,1.0,20.0,1.0,15.0,4.0,1216148
3031892,1630140329,2,50,1,2,1630051327,1,1.0,60.0,1.0,-9.0,4.0,1216148
3031893,1630140328,2,14,2,3,1630051327,1,-9.0,-9.0,-9.0,11.0,-9.0,1216148
3031894,1630140222,2,37,0,1,1630051328,2,1.0,40.0,1.0,-9.0,4.0,1216149
3031895,1630140223,2,22,2,2,1630051328,1,2.0,30.0,6.0,-9.0,4.0,1216149
3031896,1630140240,2,42,0,1,1630051329,2,1.0,40.0,1.0,-9.0,4.0,1216150
3031897,1630140241,2,20,2,2,1630051329,2,1.0,40.0,4.0,-9.0,4.0,1216150
3031898,1630140243,2,17,2,3,1630051329,2,3.0,-9.0,-9.0,-9.0,4.0,1216150
3031899,1630140242,2,10,2,4,1630051329,1,-9.0,-9.0,-9.0,5.0,-9.0,1216150
3031900,1630140146,2,35,0,1,1630051330,2,1.0,41.0,1.0,-9.0,4.0,1216151
3031901,1630140150,2,38,1,2,1630051330,1,1.0,40.0,1.0,-9.0,4.0,1216151
3031902,1630140152,2,8,2,3,1630051330,2,-9.0,-9.0,-9.0,4.0,-9.0,1216151
3031903,1630140148,2,1,2,4,1630051330,1,-9.0,-9.0,-9.0,-9.0,-9.0,1216151
3031904,1630140147,2,35,0,1,1630051331,2,1.0,41.0,1.0,-9.0,4.0,1216152
3031905,1630140151,2,38,1,2,1630051331,1,1.0,40.0,1.0,-9.0,4.0,1216152
3031906,1630140153,2,8,2,3,1630051331,2,-9.0,-9.0,-9.0,4.0,-9.0,1216152
3031907,1630140149,2,1,2,4,1630051331,1,-9.0,-9.0,-9.0,-9.0,-9.0,1216152
3031908,1630140569,2,33,0,1,1630051332,1,1.0,40.0,1.0,-9.0,4.0,1216153
3031909,1630140568,2,11,2,2,1630051332,1,-9.0,-9.0,-9.0,8.0,-9.0,1216153
3031910,1630140570,2,26,5,3,1630051332,1,1.0,55.0,1.0,15.0,4.0,1216153
3031911,1630140547,2,41,0,1,1630051333,1,1.0,40.0,1.0,-9.0,2.0,1216154
3031912,1630140545,2,43,1,2,1630051333,2,1.0,30.0,1.0,-9.0,4.0,1216154
3031913,1630140546,2,17,2,3,1630051333,1,6.0,-9.0,-9.0,14.0,4.0,1216154
3031914,1630140554,2,35,0,1,1630051334,2,6.0,-9.0,-9.0,-9.0,4.0,1216155
3031915,1630140556,2,12,2,2,1630051334,2,-9.0,-9.0,-9.0,8.0,-9.0,1216155
3031916,1630140555,2,9,2,3,1630051334,1,-9.0,-9.0,-9.0,5.0,-9.0,1216155
3031917,1630140557,2,5,2,4,1630051334,2,-9.0,-9.0,-9.0,-9.0,-9.0,1216155
3031918,1630140195,2,36,0,1,1630051335,2,6.0,-9.0,-9.0,15.0,4.0,1216156
3031919,1630140201,2,17,2,2,1630051335,2,6.0,-9.0,-9.0,14.0,4.0,1216156
3031920,1630140198,2,13,2,3,1630051335,1,-9.0,-9.0,-9.0,9.0,-9.0,1216156
3031921,1630140204,2,11,2,4,1630051335,2,-9.0,-9.0,-9.0,7.0,-9.0,1216156
3031922,1630140196,2,36,0,1,1630051336,2,6.0,-9.0,-9.0,15.0,4.0,1216157
3031923,1630140202,2,17,2,2,1630051336,2,6.0,-9.0,-9.0,14.0,4.0,1216157
3031924,1630140199,2,13,2,3,1630051336,1,-9.0,-9.0,-9.0,9.0,-9.0,1216157
3031925,1630140205,2,11,2,4,1630051336,2,-9.0,-9.0,-9.0,7.0,-9.0,1216157
3031926,1630140614,2,34,0,1,1630051337,1,6.0,-9.0,-9.0,-9.0,4.0,1216158
3031927,1630140594,2,30,0,1,1630051338,1,3.0,36.0,5.0,-9.0,4.0,1216159
3031928,1630140474,2,31,0,1,1630051339,2,6.0,-9.0,-9.0,-9.0,4.0,1216160
3031929,1630140207,2,32,0,1,1630051340,2,6.0,40.0,5.0,16.0,4.0,1216161
3031930,1630140209,2,31,1,2,1630051340,2,6.0,40.0,5.0,-9.0,4.0,1216161
3031931,1630140211,2,5,2,3,1630051340,2,-9.0,-9.0,-9.0,2.0,-9.0,1216161
3031932,1630140208,2,32,0,1,1630051341,2,6.0,40.0,5.0,16.0,4.0,1216162
3031933,1630140210,2,31,1,2,1630051341,2,6.0,40.0,5.0,-9.0,4.0,1216162
3031934,1630140212,2,5,2,3,1630051341,2,-9.0,-9.0,-9.0,2.0,-9.0,1216162
3031935,1630139945,2,44,0,1,1630051342,2,1.0,29.0,1.0,-9.0,4.0,1216163
3031936,1630139943,1,41,1,2,1630051342,1,3.0,-9.0,-9.0,-9.0,4.0,1216163
3031937,1630139947,4,16,2,3,1630051342,2,6.0,-9.0,-9.0,13.0,-9.0,1216163
3031938,1630140525,2,36,0,1,1630051343,2,1.0,40.0,3.0,-9.0,4.0,1216164
3031939,1630140529,2,43,15,2,1630051343,1,1.0,40.0,6.0,-9.0,4.0,1216164
3031940,1630140527,2,4,15,3,1630051343,1,-9.0,-9.0,-9.0,2.0,-9.0,1216164
3031941,1630140124,2,31,0,1,1630051344,1,1.0,40.0,1.0,-9.0,4.0,1216165
3031942,1630140123,2,31,1,2,1630051344,2,1.0,40.0,6.0,-9.0,4.0,1216165
3031943,1630139998,2,36,0,1,1630051345,1,2.0,25.0,1.0,-9.0,4.0,1216166
3031944,1630139997,2,34,1,2,1630051345,2,1.0,16.0,1.0,15.0,4.0,1216166
3031945,1630139818,2,47,0,1,1630051346,1,3.0,-9.0,-9.0,-9.0,4.0,1216167
3031946,1630139819,2,17,2,2,1630051346,2,6.0,-9.0,-9.0,13.0,2.0,1216167
3031947,1630139817,2,11,2,3,1630051346,1,-9.0,-9.0,-9.0,7.0,-9.0,1216167
3031948,1630139816,2,73,8,4,1630051346,2,6.0,-9.0,-9.0,-9.0,4.0,1216167
3031949,1630140058,2,57,0,1,1630051347,1,6.0,-9.0,-9.0,-9.0,4.0,1216168
3031950,1630140057,2,22,2,2,1630051347,2,6.0,40.0,6.0,-9.0,4.0,1216168
3031951,1630140059,2,13,2,3,1630051347,2,-9.0,-9.0,-9.0,9.0,-9.0,1216168
3031952,1630139954,2,60,0,1,1630051348,2,6.0,-9.0,-9.0,-9.0,4.0,1216169
3031953,1630140277,2,55,0,1,1630051349,2,1.0,50.0,1.0,-9.0,4.0,1216170
3031954,1630140399,2,55,0,1,1630051350,1,6.0,16.0,6.0,-9.0,4.0,1216171
3031955,1630140398,2,51,1,2,1630051350,2,6.0,16.0,3.0,-9.0,4.0,1216171
3031956,1630140400,2,26,2,3,1630051350,1,1.0,40.0,2.0,-9.0,4.0,1216171
3031957,1630140218,2,60,0,1,1630051351,2,1.0,25.0,1.0,-9.0,4.0,1216172
3031958,1630140219,2,27,2,2,1630051351,2,1.0,50.0,1.0,-9.0,4.0,1216172
3031959,1630140221,2,5,7,3,1630051351,2,-9.0,-9.0,-9.0,2.0,-9.0,1216172
3031960,1630140220,2,3,7,4,1630051351,1,-9.0,-9.0,-9.0,1.0,-9.0,1216172
3031961,1630140338,2,50,0,1,1630051352,2,1.0,40.0,3.0,-9.0,3.0,1216173
3031962,1630140340,2,19,2,2,1630051352,1,1.0,22.0,5.0,-9.0,4.0,1216173
3031963,1630140342,2,16,7,3,1630051352,2,6.0,-9.0,-9.0,12.0,-9.0,1216173
3031964,1630140344,2,12,7,4,1630051352,2,-9.0,-9.0,-9.0,9.0,-9.0,1216173
3031965,1630139930,2,59,0,1,1630051353,1,6.0,-9.0,-9.0,-9.0,4.0,1216174
3031966,1630139929,1,55,1,2,1630051353,2,1.0,20.0,3.0,-9.0,4.0,1216174
3031967,1630139931,4,22,2,3,1630051353,2,1.0,40.0,6.0,15.0,4.0,1216174
3031968,1630139932,4,17,2,4,1630051353,1,6.0,-9.0,-9.0,12.0,4.0,1216174
3031969,1630140361,2,61,0,1,1630051354,1,1.0,40.0,3.0,-9.0,2.0,1216175
3031970,1630140360,2,61,1,2,1630051354,2,1.0,35.0,1.0,-9.0,4.0,1216175
3031971,1630140362,2,50,5,3,1630051354,1,6.0,-9.0,-9.0,-9.0,4.0,1216175
3031972,1630140122,2,56,0,1,1630051355,2,3.0,-9.0,-9.0,-9.0,4.0,1216176
3031973,1630140459,2,50,0,1,1630051356,2,6.0,-9.0,-9.0,-9.0,4.0,1216177
3031974,1630140064,2,60,0,1,1630051357,2,6.0,-9.0,-9.0,-9.0,4.0,1216178
3031975,1630140075,2,54,0,1,1630051358,2,3.0,30.0,5.0,15.0,4.0,1216179
3031976,1630140608,2,52,0,1,1630051359,1,6.0,-9.0,-9.0,-9.0,4.0,1216180
3031977,1630140410,2,49,0,1,1630051360,2,6.0,-9.0,-9.0,-9.0,4.0,1216181
3031978,1630140386,2,63,0,1,1630051361,2,6.0,-9.0,-9.0,-9.0,4.0,1216182
3031979,1630140423,2,60,0,1,1630051362,2,6.0,14.0,4.0,-9.0,4.0,1216183
3031980,1630140079,2,51,0,1,1630051363,2,3.0,-9.0,-9.0,-9.0,4.0,1216184
3031981,1630140482,2,50,0,1,1630051364,2,3.0,40.0,1.0,-9.0,4.0,1216185
3031982,1630140483,2,19,2,2,1630051364,1,6.0,-9.0,-9.0,15.0,4.0,1216185
3031983,1630140334,2,48,0,1,1630051365,2,6.0,20.0,1.0,15.0,4.0,1216186
3031984,1630140336,2,21,2,2,1630051365,1,6.0,-9.0,-9.0,15.0,4.0,1216186
3031985,1630140335,2,48,0,1,1630051366,2,6.0,20.0,1.0,15.0,4.0,1216187
3031986,1630140337,2,21,2,2,1630051366,1,6.0,-9.0,-9.0,15.0,4.0,1216187
3031987,1630140213,2,50,0,1,1630051367,2,1.0,40.0,1.0,-9.0,4.0,1216188
3031988,1630140114,2,51,0,1,1630051368,1,1.0,20.0,1.0,-9.0,4.0,1216189
3031989,1630140112,2,51,13,2,1630051368,2,1.0,36.0,4.0,-9.0,4.0,1216189
3031990,1630140116,2,21,15,3,1630051368,1,3.0,-9.0,-9.0,-9.0,4.0,1216189
3031991,1630140118,2,20,15,4,1630051368,1,6.0,-9.0,-9.0,13.0,4.0,1216189
3031992,1630140115,2,51,0,1,1630051369,1,1.0,20.0,1.0,-9.0,4.0,1216190
3031993,1630140113,2,51,13,2,1630051369,2,1.0,36.0,4.0,-9.0,4.0,1216190
3031994,1630140117,2,21,15,3,1630051369,1,3.0,-9.0,-9.0,-9.0,4.0,1216190
3031995,1630140119,2,20,15,4,1630051369,1,6.0,-9.0,-9.0,13.0,4.0,1216190
3031996,1630140009,2,57,0,1,1630051370,2,1.0,15.0,6.0,-9.0,4.0,1216191
3031997,1630140010,2,60,1,2,1630051370,1,6.0,-9.0,-9.0,-9.0,4.0,1216191
3031998,1630140011,2,23,2,3,1630051370,1,1.0,15.0,5.0,15.0,4.0,1216191
3031999,1630140134,2,59,0,1,1630051371,2,1.0,10.0,1.0,-9.0,4.0,1216192
3032000,1630140136,2,52,1,2,1630051371,1,1.0,5.0,1.0,15.0,4.0,1216192
3032001,1630140135,2,21,2,3,1630051371,2,1.0,4.0,1.0,-9.0,4.0,1216192
3032002,1630140615,2,48,0,1,1630051372,1,1.0,12.0,4.0,15.0,2.0,1216193
3032003,1630140616,2,48,12,2,1630051372,1,1.0,34.0,5.0,-9.0,2.0,1216193
3032004,1630139810,2,80,0,1,1630051373,2,6.0,-9.0,-9.0,-9.0,4.0,1216194
3032005,1630139813,2,80,1,2,1630051373,1,6.0,-9.0,-9.0,-9.0,4.0,1216194
3032006,1630139811,2,45,2,3,1630051373,2,6.0,-9.0,-9.0,-9.0,4.0,1216194
3032007,1630139812,2,14,7,4,1630051373,1,-9.0,-9.0,-9.0,9.0,-9.0,1216194
3032008,1630139860,2,85,0,1,1630051374,2,3.0,20.0,5.0,-9.0,4.0,1216195
3032009,1630139858,2,76,0,1,1630051375,2,6.0,-9.0,-9.0,-9.0,4.0,1216196
3032010,1630139937,2,79,0,1,1630051376,1,6.0,-9.0,-9.0,-9.0,4.0,1216197
3032011,1630139938,2,79,0,1,1630051377,1,6.0,-9.0,-9.0,-9.0,4.0,1216198
3032012,1630139936,3,60,15,2,1630051377,2,6.0,-9.0,-9.0,-9.0,4.0,1216198
3032013,1630139764,2,74,0,1,1630051378,2,6.0,-9.0,-9.0,-9.0,4.0,1216199
3032014,1630139765,2,49,2,2,1630051378,1,3.0,-9.0,-9.0,-9.0,4.0,1216199
3032015,1630139837,2,70,0,1,1630051379,2,1.0,45.0,1.0,-9.0,4.0,1216200
3032016,1630139838,2,25,7,2,1630051379,1,1.0,4.0,4.0,-9.0,4.0,1216200
3032017,1630139839,2,22,7,3,1630051379,1,1.0,24.0,6.0,-9.0,4.0,1216200
3032018,1630140046,4,67,0,1,1630051380,2,6.0,-9.0,-9.0,-9.0,4.0,1216201
3032019,1630140043,2,45,2,2,1630051380,2,6.0,-9.0,-9.0,-9.0,4.0,1216201
3032020,1630140044,2,10,7,3,1630051380,1,-9.0,-9.0,-9.0,7.0,-9.0,1216201
3032021,1630140045,2,8,7,4,1630051380,1,-9.0,-9.0,-9.0,4.0,-9.0,1216201
3032022,1630140632,2,77,0,1,1630051381,1,6.0,-9.0,-9.0,-9.0,4.0,1216202
3032023,1630139834,2,68,0,1,1630051382,2,6.0,-9.0,-9.0,-9.0,4.0,1216203
3032024,1630139835,2,94,0,1,1630051383,2,6.0,-9.0,-9.0,-9.0,4.0,1216204
3032025,1630139888,2,87,0,1,1630051384,2,6.0,-9.0,-9.0,-9.0,4.0,1216205
3032026,1630140633,2,68,0,1,1630051385,1,3.0,-9.0,-9.0,-9.0,2.0,1216206
3032027,1630139878,2,73,0,1,1630051386,2,6.0,-9.0,-9.0,-9.0,4.0,1216207
3032028,1630139831,2,70,0,1,1630051387,2,6.0,-9.0,-9.0,-9.0,4.0,1216208
3032029,1630139851,2,73,0,1,1630051388,2,6.0,-9.0,-9.0,-9.0,4.0,1216209
3032030,1630139751,2,71,0,1,1630051389,2,6.0,-9.0,-9.0,-9.0,4.0,1216210
3032031,1630139871,2,68,0,1,1630051390,2,6.0,-9.0,-9.0,-9.0,4.0,1216211
3032032,1630139809,2,87,0,1,1630051391,2,6.0,-9.0,-9.0,-9.0,4.0,1216212
3032033,1630139770,2,77,0,1,1630051392,2,6.0,-9.0,-9.0,-9.0,4.0,1216213
3032034,1630139870,2,75,0,1,1630051393,2,6.0,-9.0,-9.0,-9.0,4.0,1216214
3032035,1630139883,2,75,0,1,1630051394,2,6.0,-9.0,-9.0,-9.0,4.0,1216215
3032036,1630139836,2,94,0,1,1630051395,2,6.0,-9.0,-9.0,-9.0,4.0,1216216
3032037,1630139862,2,72,0,1,1630051396,2,6.0,-9.0,-9.0,-9.0,4.0,1216217
3032038,1630140629,4,86,0,1,1630051397,2,6.0,-9.0,-9.0,-9.0,4.0,1216218
3032039,1630140636,2,88,0,1,1630051398,1,6.0,-9.0,-9.0,-9.0,4.0,1216219
3032040,1630139761,2,65,0,1,1630051399,2,6.0,-9.0,-9.0,-9.0,4.0,1216220
3032041,1630139762,2,64,5,2,1630051399,1,6.0,-9.0,-9.0,-9.0,2.0,1216220
3032042,1630139763,2,65,11,3,1630051399,1,6.0,-9.0,-9.0,-9.0,4.0,1216220
3032043,1630139814,2,76,0,1,1630051400,2,6.0,-9.0,-9.0,-9.0,4.0,1216221
3032044,1630139815,2,34,7,2,1630051400,1,3.0,-9.0,-9.0,-9.0,4.0,1216221
3032045,1630139806,2,86,0,1,1630051401,2,6.0,-9.0,-9.0,-9.0,4.0,1216222
3032046,1630139807,2,53,2,2,1630051401,1,6.0,-9.0,-9.0,-9.0,2.0,1216222
3032047,1630139856,2,71,0,1,1630051402,2,6.0,-9.0,-9.0,-9.0,4.0,1216223
3032048,1630139857,2,87,6,2,1630051402,2,6.0,-9.0,-9.0,-9.0,4.0,1216223
3032049,1630140178,2,82,0,1,1630051403,1,6.0,-9.0,-9.0,-9.0,2.0,1216224
3032050,1630140177,2,62,1,2,1630051403,2,6.0,-9.0,-9.0,-9.0,4.0,1216224
3032051,1630140462,2,28,0,1,1630051404,2,1.0,40.0,1.0,-9.0,4.0,1216225
3032052,1630140586,2,42,0,1,1630051405,1,1.0,48.0,1.0,-9.0,4.0,1216226
3032053,1630140510,2,40,0,1,1630051406,2,1.0,35.0,1.0,-9.0,4.0,1216227
3032054,1630140512,2,46,1,2,1630051406,1,1.0,40.0,1.0,-9.0,4.0,1216227
3032055,1630140511,2,11,2,3,1630051406,1,-9.0,-9.0,-9.0,8.0,-9.0,1216227
3032056,1630140513,2,9,2,4,1630051406,2,-9.0,-9.0,-9.0,5.0,-9.0,1216227
3032057,1630140396,2,37,0,1,1630051407,1,1.0,40.0,1.0,-9.0,4.0,1216228
3032058,1630140394,2,37,1,2,1630051407,2,1.0,15.0,1.0,-9.0,4.0,1216228
3032059,1630140397,2,13,2,3,1630051407,2,-9.0,-9.0,-9.0,10.0,-9.0,1216228
3032060,1630140395,2,10,2,4,1630051407,1,-9.0,-9.0,-9.0,6.0,-9.0,1216228
3032061,1630140314,2,36,0,1,1630051408,2,1.0,40.0,1.0,-9.0,4.0,1216229
3032062,1630140317,2,14,2,2,1630051408,2,-9.0,-9.0,-9.0,11.0,-9.0,1216229
3032063,1630140316,2,36,13,3,1630051408,1,1.0,30.0,1.0,-9.0,4.0,1216229
3032064,1630140315,2,18,15,4,1630051408,2,6.0,-9.0,-9.0,-9.0,4.0,1216229
3032065,1630140567,4,41,0,1,1630051409,2,6.0,40.0,4.0,15.0,4.0,1216230
3032066,1630140565,4,38,1,2,1630051409,1,1.0,40.0,1.0,-9.0,4.0,1216230
3032067,1630140564,2,11,4,3,1630051409,1,-9.0,-9.0,-9.0,8.0,-9.0,1216230
3032068,1630140566,4,31,5,4,1630051409,1,1.0,40.0,1.0,-9.0,4.0,1216230
3032069,1630140019,2,29,0,1,1630051410,1,1.0,50.0,5.0,-9.0,4.0,1216231
3032070,1630140018,2,2,2,2,1630051410,1,-9.0,-9.0,-9.0,-9.0,-9.0,1216231
3032071,1630140017,2,27,13,3,1630051410,2,1.0,45.0,1.0,-9.0,4.0,1216231
3032072,1630140419,2,38,0,1,1630051411,2,3.0,34.0,5.0,-9.0,4.0,1216232
3032073,1630140421,2,12,2,2,1630051411,2,-9.0,-9.0,-9.0,8.0,-9.0,1216232
3032074,1630140420,2,8,2,3,1630051411,1,-9.0,-9.0,-9.0,5.0,-9.0,1216232
3032075,1630140422,2,6,2,4,1630051411,2,-9.0,-9.0,-9.0,3.0,-9.0,1216232
3032076,1630140261,2,37,0,1,1630051412,2,6.0,-9.0,-9.0,-9.0,4.0,1216233
3032077,1630140264,2,40,1,2,1630051412,1,6.0,-9.0,-9.0,-9.0,4.0,1216233
3032078,1630140262,2,8,2,3,1630051412,1,-9.0,-9.0,-9.0,3.0,-9.0,1216233
3032079,1630140263,2,5,2,4,1630051412,1,-9.0,-9.0,-9.0,2.0,-9.0,1216233
3032080,1630140169,2,29,0,1,1630051413,2,3.0,40.0,4.0,-9.0,4.0,1216234
3032081,1630140175,2,8,2,2,1630051413,2,-9.0,-9.0,-9.0,4.0,-9.0,1216234
3032082,1630140171,2,6,2,3,1630051413,1,-9.0,-9.0,-9.0,3.0,-9.0,1216234
3032083,1630140173,2,4,2,4,1630051413,1,-9.0,-9.0,-9.0,-9.0,-9.0,1216234
3032084,1630140499,2,40,0,1,1630051414,2,3.0,-9.0,-9.0,-9.0,4.0,1216235
3032085,1630140500,2,19,2,2,1630051414,2,6.0,-9.0,-9.0,15.0,4.0,1216235
3032086,1630140501,2,18,2,3,1630051414,1,6.0,-9.0,-9.0,14.0,4.0,1216235
3032087,1630140502,2,3,7,4,1630051414,2,-9.0,-9.0,-9.0,-9.0,-9.0,1216235
3032088,1630140137,2,33,0,1,1630051415,2,6.0,25.0,5.0,-9.0,4.0,1216236
3032089,1630140139,2,15,2,2,1630051415,2,-9.0,-9.0,-9.0,12.0,-9.0,1216236
3032090,1630140138,2,14,2,3,1630051415,1,-9.0,-9.0,-9.0,10.0,-9.0,1216236
3032091,1630140140,2,0,2,4,1630051415,2,-9.0,-9.0,-9.0,-9.0,-9.0,1216236
3032092,1630140460,2,30,0,1,1630051416,2,6.0,-9.0,-9.0,-9.0,4.0,1216237
3032093,1630140617,2,42,0,1,1630051417,1,3.0,-9.0,-9.0,-9.0,4.0,1216238
3032094,1630140618,2,42,0,1,1630051418,1,3.0,-9.0,-9.0,-9.0,4.0,1216239
3032095,1630140325,2,41,0,1,1630051419,2,3.0,-9.0,-9.0,-9.0,4.0,1216240
3032096,1630140486,2,42,0,1,1630051420,2,6.0,-9.0,-9.0,-9.0,4.0,1216241
3032097,1630140097,2,33,0,1,1630051421,2,3.0,-9.0,-9.0,-9.0,4.0,1216242
3032098,1630140467,2,28,0,1,1630051422,2,6.0,-9.0,-9.0,15.0,4.0,1216243
3032099,1630140326,2,41,0,1,1630051423,2,3.0,-9.0,-9.0,-9.0,4.0,1216244
3032100,1630140622,2,30,0,1,1630051424,1,3.0,36.0,4.0,-9.0,4.0,1216245
3032101,1630140488,2,25,0,1,1630051425,2,3.0,-9.0,-9.0,-9.0,4.0,1216246
3032102,1630140489,2,6,2,2,1630051425,1,-9.0,-9.0,-9.0,-9.0,-9.0,1216246
3032103,1630140492,2,5,2,3,1630051425,2,-9.0,-9.0,-9.0,-9.0,-9.0,1216246
3032104,1630140493,2,4,2,4,1630051425,2,-9.0,-9.0,-9.0,-9.0,-9.0,1216246
3032105,1630140490,2,3,2,5,1630051425,1,-9.0,-9.0,-9.0,-9.0,-9.0,1216246
3032106,1630140491,2,2,2,6,1630051425,1,-9.0,-9.0,-9.0,-9.0,-9.0,1216246
3032107,1630140024,2,28,0,1,1630051426,2,3.0,-9.0,-9.0,-9.0,4.0,1216247
3032108,1630140030,2,11,2,2,1630051426,2,-9.0,-9.0,-9.0,7.0,-9.0,1216247
3032109,1630140028,2,9,2,3,1630051426,1,-9.0,-9.0,-9.0,6.0,-9.0,1216247
3032110,1630140032,2,6,2,4,1630051426,2,-9.0,-9.0,-9.0,5.0,-9.0,1216247
3032111,1630140034,2,5,2,5,1630051426,2,-9.0,-9.0,-9.0,3.0,-9.0,1216247
3032112,1630140179,2,27,0,1,1630051427,2,6.0,-9.0,-9.0,-9.0,4.0,1216248
3032113,1630140181,2,0,2,2,1630051427,2,-9.0,-9.0,-9.0,-9.0,-9.0,1216248
3032114,1630140180,2,35,13,3,1630051427,1,6.0,-9.0,-9.0,-9.0,4.0,1216248
3032115,1630140322,2,26,0,1,1630051428,2,3.0,-9.0,-9.0,-9.0,4.0,1216249
3032116,1630140323,2,8,2,2,1630051428,1,-9.0,-9.0,-9.0,4.0,-9.0,1216249
3032117,1630140324,2,2,2,3,1630051428,2,-9.0,-9.0,-9.0,-9.0,-9.0,1216249
3032118,1630140514,2,38,0,1,1630051429,2,6.0,-9.0,-9.0,-9.0,4.0,1216250
3032119,1630140516,2,38,1,2,1630051429,1,3.0,-9.0,-9.0,-9.0,4.0,1216250
3032120,1630140518,2,16,2,3,1630051429,2,6.0,-9.0,-9.0,13.0,-9.0,1216250
3032121,1630140387,2,29,0,1,1630051430,2,3.0,40.0,5.0,-9.0,4.0,1216251
3032122,1630140389,2,15,2,2,1630051430,2,-9.0,-9.0,-9.0,10.0,-9.0,1216251
3032123,1630140388,3,6,2,3,1630051430,1,-9.0,-9.0,-9.0,2.0,-9.0,1216251
3032124,1630140515,2,38,0,1,1630051431,2,6.0,-9.0,-9.0,-9.0,4.0,1216252
3032125,1630140517,2,38,1,2,1630051431,1,3.0,-9.0,-9.0,-9.0,4.0,1216252
3032126,1630140519,2,16,2,3,1630051431,2,6.0,-9.0,-9.0,13.0,-9.0,1216252
3032127,1630140054,2,43,0,1,1630051432,2,6.0,40.0,1.0,-9.0,4.0,1216253
3032128,1630140055,2,46,12,2,1630051432,1,3.0,20.0,5.0,-9.0,4.0,1216253
3032129,1630139958,2,30,0,1,1630051433,2,3.0,-9.0,-9.0,-9.0,4.0,1216254
3032130,1630139960,2,12,2,2,1630051433,2,-9.0,-9.0,-9.0,9.0,-9.0,1216254
3032131,1630139959,2,30,0,1,1630051434,2,3.0,-9.0,-9.0,-9.0,4.0,1216255
