person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
94518,94518,35,1,2,1,3,1,-1,784,False,M,work1,0,0,0,0,0,0,0
96439,96439,60,1,2,1,3,1,-1,1146,False,M,work1,0,0,0,0,0,0,0
98281,98281,27,1,2,1,3,1,-1,1195,True,H,,0,0,0,0,0,0,0
98649,98649,53,1,2,1,3,1,-1,1197,False,M,work1,0,0,0,0,0,0,0
99858,99858,61,1,2,1,3,1,-1,1265,True,M,work1,0,0,0,0,0,0,0
100014,100014,52,1,2,1,3,1,-1,1238,False,M,work1,0,0,0,0,0,0,0
100421,100421,29,1,1,1,3,1,-1,1269,False,H,,0,0,0,0,0,0,0
100601,100601,54,1,1,1,3,1,-1,1282,True,M,work1,0,0,0,0,0,0,0
101516,101516,52,1,2,1,3,1,-1,1231,True,M,work1,0,0,0,1,0,0,1
101923,101923,54,1,2,1,3,1,-1,1306,False,M,work1,0,0,0,0,0,0,0
102333,102333,45,1,2,2,3,2,-1,1313,False,H,,0,0,0,0,0,0,0
102645,102645,56,1,1,2,3,2,-1,1298,False,H,,0,0,0,0,0,0,0
103107,103107,53,1,1,1,3,1,-1,1429,False,M,work1,0,0,0,1,0,0,1
103349,103349,57,1,2,1,3,1,-1,1335,True,M,work1,0,0,0,0,0,0,0
104277,104277,56,1,2,1,3,1,-1,1361,True,H,,0,0,0,0,0,0,0
104321,104321,20,1,1,1,3,1,-1,1359,True,M,work1,0,0,0,0,0,0,0
104644,104644,56,1,1,1,3,1,-1,1361,False,M,work1,0,0,0,0,0,0,0
105191,105191,22,1,1,1,3,1,-1,1384,False,M,work1,0,0,0,0,1,0,4
105963,105963,42,1,2,1,3,1,-1,1378,False,H,,0,0,0,0,0,0,0
106669,106669,48,1,2,2,3,2,-1,1381,False,H,,0,0,0,0,0,0,0
106947,106947,37,1,2,1,3,1,-1,1421,False,M,work1,0,0,0,0,0,0,0
109922,109922,24,1,2,1,3,1,-1,1011,False,M,work1,0,0,0,0,0,0,0
110689,110689,46,1,1,2,3,2,-1,2,False,M,work1,0,1,1,0,0,0,24
111422,111422,56,1,1,1,3,1,-1,1,False,M,work1,0,0,0,0,0,0,0
112371,112371,51,1,1,1,3,1,-1,12,False,N,,0,0,1,0,1,0,12
114180,114180,42,1,1,1,3,1,-1,75,False,M,work1,0,0,0,0,0,0,0
114340,114340,50,1,1,2,3,2,-1,106,False,M,work1,0,0,0,0,0,0,0
114749,114749,37,1,1,2,3,2,-1,2,False,N,,0,1,0,0,0,0,16
118008,118008,25,1,1,2,3,2,-1,115,False,M,work1,0,0,0,0,0,0,0
120848,120848,33,1,2,1,3,1,-1,85,False,M,work1,0,0,0,0,0,0,0
124957,124957,51,1,1,2,3,2,-1,116,False,M,work1,0,0,0,0,0,0,0
125921,125921,29,1,2,1,3,1,-1,142,False,M,work1,0,0,0,0,1,0,4
133122,133122,56,1,2,1,3,1,-1,257,False,H,,0,0,0,0,0,0,0
135222,135222,22,1,1,2,2,3,347,455,False,N,,0,1,0,0,1,0,20
136811,136811,23,1,1,1,3,1,-1,351,False,M,work1,0,0,0,0,0,0,0
136986,136986,46,1,1,2,3,2,-1,355,True,M,work1,0,0,0,0,0,0,0
140296,140296,32,1,1,1,3,1,-1,416,True,M,work1,0,0,0,0,0,0,0
141397,141397,30,1,2,1,3,1,-1,543,False,M,work1,0,0,0,0,0,0,0
143015,143015,28,1,1,1,3,1,-1,484,True,M,work1,0,0,0,0,0,0,0
143787,143787,59,1,2,1,3,1,-1,517,True,M,work1,0,0,0,0,0,0,0
145045,145045,27,1,2,2,3,2,-1,539,False,N,,0,0,0,1,0,0,1
145081,145081,40,1,1,1,3,1,-1,546,True,H,,0,0,0,0,0,0,0
145574,145574,45,1,2,2,3,2,-1,686,False,M,work1,0,0,0,0,0,0,0
148331,148331,43,1,1,1,3,1,-1,446,False,M,work2,0,0,0,0,0,0,0
148501,148501,41,1,2,1,3,1,-1,554,True,M,work1,0,0,0,0,0,0,0
148788,148788,42,1,2,1,3,1,-1,407,True,N,,0,0,0,1,0,0,1
149095,149095,28,1,2,2,3,2,-1,575,False,M,work1,0,0,0,0,0,0,0
154162,154162,28,1,1,1,3,1,-1,761,False,M,work1,0,0,0,0,0,0,0
154631,154631,32,1,2,1,3,1,-1,777,True,M,work1,0,0,0,0,0,0,0
154881,154881,44,1,1,1,3,1,-1,749,False,M,work1,0,0,0,0,0,0,0
156611,156611,22,1,2,2,3,2,-1,816,False,H,,0,0,0,0,0,0,0
159898,159898,33,1,2,1,3,1,-1,970,True,H,,0,0,0,0,0,0,0
159907,159907,39,1,2,2,3,2,-1,947,True,N,,0,1,0,0,0,0,16
160476,160476,54,1,2,2,3,2,-1,971,True,M,work1,0,1,0,1,0,0,17
164046,164046,56,1,2,1,3,1,-1,930,True,N,,0,0,0,2,0,0,1
164168,164168,59,1,2,2,3,2,-1,1083,True,M,work1,0,0,0,0,0,0,0
165085,165085,32,1,1,1,3,1,-1,979,False,M,work1,0,0,0,0,0,0,0
166786,166786,51,1,1,2,3,2,-1,973,True,M,work1,0,0,0,0,0,0,0
166993,166993,21,1,1,2,2,3,1019,1186,False,M,work1,0,0,0,0,0,0,0
168366,168366,30,1,2,1,3,1,-1,971,False,M,work1,0,1,0,0,0,0,16
168818,168818,44,1,2,1,3,1,-1,991,False,M,work1,0,0,0,0,0,0,0
172231,172231,53,1,1,1,3,1,-1,1008,False,M,work1,0,0,0,0,0,0,0
172886,172886,25,1,2,1,3,1,-1,1019,False,M,work1,0,0,0,0,0,0,0
175936,175936,34,1,2,2,2,3,1127,1096,False,N,,0,1,0,0,0,0,16
176866,176866,54,1,1,1,3,1,-1,1092,False,M,work1,0,0,0,0,0,0,0
177289,177289,22,1,2,2,2,3,1127,1144,True,M,work1,0,0,0,0,0,0,0
177670,177670,28,1,2,2,3,2,-1,1146,False,N,,0,2,0,0,1,0,20
177972,177972,23,1,2,1,3,1,-1,864,True,M,work1,0,0,0,0,0,0,0
179038,179038,45,1,2,1,3,1,-1,1025,True,M,work1,0,0,0,0,0,0,0
179611,179611,25,1,2,2,3,2,-1,1168,False,N,,0,1,0,1,0,0,17
181430,181430,31,1,1,1,3,1,-1,1243,True,M,work1,0,0,0,0,0,0,0
181579,181579,28,1,1,2,3,2,-1,13,False,M,work1,0,0,0,0,0,0,0
181803,181803,33,1,2,1,3,1,-1,1241,False,N,,0,0,1,0,0,0,8
182922,182922,20,1,2,1,3,1,-1,1272,True,M,work1,0,1,0,0,0,0,16
183264,183264,30,1,2,1,3,1,-1,1269,False,M,work1,0,0,0,0,0,0,0
185399,185399,55,1,2,2,2,3,1342,1332,True,N,,0,0,0,0,1,0,4
187252,187252,24,1,2,2,3,2,-1,1382,False,M,work1,0,0,0,0,0,0,0
188251,188251,53,1,2,1,3,1,-1,12,False,M,work1,0,0,0,0,0,0,0
189021,189021,59,1,1,2,3,2,-1,71,False,M,work1,0,0,0,0,0,0,0
189471,189471,50,1,2,1,3,1,-1,1,False,M,work1,0,0,1,0,0,0,8
190051,189841,27,1,1,3,2,3,13,-1,False,H,,0,0,0,0,0,0,0
190052,189841,24,2,2,3,2,3,12,-1,False,M,school1,0,0,0,0,0,0,0
192739,191185,59,1,1,3,3,4,-1,-1,False,N,,0,0,0,0,0,0,0
192740,191185,48,2,2,3,3,4,-1,-1,False,N,,0,0,0,0,0,0,0
196467,193049,62,1,1,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
196468,193049,59,2,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
196911,193271,49,1,1,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
196912,193271,49,2,2,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
201911,195771,23,1,1,3,2,3,821,-1,False,H,,0,0,0,0,0,0,0
201912,195771,25,2,2,3,2,3,754,-1,False,N,,0,1,0,1,1,0,21
201917,195774,61,1,2,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
201918,195774,34,2,1,3,2,3,821,-1,False,M,school1,0,0,0,0,0,0,0
207193,198412,49,1,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
207194,198412,52,2,1,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
207947,198789,57,1,2,3,2,3,1127,-1,False,M,school1,0,0,0,0,0,0,0
207948,198789,27,2,2,3,2,3,1127,-1,False,M,school1,0,0,0,0,1,0,4
210189,199910,46,1,2,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
210190,199910,19,2,2,3,2,3,1249,-1,False,M,school1,0,0,0,0,0,0,0
213881,201756,39,1,1,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
213882,201756,38,2,1,3,3,4,-1,-1,False,N,,0,0,0,0,0,0,0
214947,202289,64,1,1,3,3,4,-1,-1,False,N,,0,0,0,0,0,0,0
214948,202289,64,2,2,3,3,4,-1,-1,False,N,,1,0,0,0,0,0,32
215119,202375,27,1,2,3,2,3,188,-1,False,M,school1,0,0,0,0,0,0,0
215120,202375,20,2,2,3,2,3,188,-1,False,M,school1,0,0,0,0,0,0,0
215175,202403,56,1,1,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
215176,202403,76,2,2,3,3,5,-1,-1,False,N,,0,0,1,0,0,0,8
222883,206257,61,1,1,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
222884,206257,80,2,2,3,3,5,-1,-1,False,N,,0,0,0,1,0,0,1
225193,207412,36,1,1,3,3,4,-1,-1,False,N,,0,0,0,0,0,0,0
225194,207412,67,2,2,3,3,5,-1,-1,False,N,,0,0,0,0,0,0,0
230975,210303,58,1,2,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
230976,210303,5,2,2,4,1,8,1078,-1,False,H,,0,0,0,0,0,0,0
232531,211081,43,1,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
232532,211081,19,2,1,3,1,6,1191,-1,False,M,school1,0,0,0,0,0,0,0
235597,212614,40,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
235598,212614,46,2,1,2,3,2,-1,144,False,M,work1,0,0,0,0,0,0,0
235647,212639,62,1,1,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
235648,212639,50,2,2,2,3,2,-1,111,False,M,work1,0,0,0,0,0,0,0
243073,216352,60,1,2,2,3,2,-1,539,False,M,work1,0,0,0,0,0,0,0
243074,216352,87,2,2,3,3,5,-1,-1,False,N,,0,0,1,0,0,0,8
243333,216482,60,1,2,2,3,2,-1,435,True,N,,0,0,0,1,0,0,1
243334,216482,87,2,2,3,3,5,-1,-1,False,N,,0,0,0,1,0,0,1
243467,216549,56,1,1,1,3,1,-1,563,False,M,work1,0,0,0,0,0,0,0
243468,216549,53,2,2,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
243975,216803,39,1,2,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
243976,216803,19,2,1,1,3,1,-1,515,False,N,,0,0,0,0,0,1,2
246855,218243,56,1,1,3,3,4,-1,-1,False,N,,0,0,0,0,0,1,2
246856,218243,55,2,2,2,3,2,-1,541,True,M,work1,0,0,1,0,0,0,8
247431,218531,62,1,1,1,3,1,-1,715,True,H,,0,0,0,0,0,0,0
247432,218531,58,2,2,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
249581,219606,22,1,2,1,3,1,-1,41,False,M,work1,0,0,0,0,0,0,0
249582,219606,52,2,2,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
252115,220873,42,1,1,2,3,2,-1,16,False,H,,0,0,0,0,0,0,0
252116,220873,27,2,2,3,3,4,-1,-1,False,N,,0,1,0,1,0,0,17
253739,221685,64,1,1,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
253740,221685,63,2,2,1,3,1,-1,1066,True,M,work1,0,0,0,0,0,0,0
256015,222823,23,1,1,2,2,3,1072,1112,False,H,,0,0,0,0,0,0,0
256016,222823,76,2,2,3,3,5,-1,-1,False,H,,0,0,0,0,0,0,0
257829,223730,64,1,1,2,3,2,-1,1132,False,M,work1,0,0,0,0,0,0,0
257830,223730,61,2,2,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
265333,227482,30,1,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
265334,227482,33,2,1,2,3,2,-1,15,True,N,,0,0,1,0,0,0,8
268159,228895,45,1,1,1,3,1,-1,19,False,M,work1,0,1,0,0,0,0,16
268160,228895,28,2,2,3,3,4,-1,-1,False,N,,0,1,0,0,1,0,20
269605,229618,30,1,2,3,2,3,133,-1,False,N,,0,1,0,1,0,0,17
269606,229618,53,2,2,2,3,2,-1,22,False,M,work1,0,0,0,0,0,0,0
270975,230303,45,1,2,1,3,1,-1,115,False,N,,0,0,1,0,0,0,8
270976,230303,40,2,1,3,2,3,188,-1,False,M,school1,0,0,0,0,0,0,0
273909,231770,28,1,1,2,3,2,-1,280,False,N,,0,0,1,0,0,0,8
273910,231770,24,2,2,3,3,4,-1,-1,False,N,,1,1,0,1,0,0,49
276047,232839,23,1,1,2,2,3,347,341,True,M,work1,0,0,0,0,0,0,0
276048,232839,23,2,2,3,2,3,490,-1,False,M,school1,0,0,0,0,0,0,0
277425,233528,64,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
277426,233528,42,2,2,2,3,2,-1,696,False,N,,0,1,0,0,0,0,16
279433,234532,23,1,1,2,3,2,-1,475,False,H,,0,0,0,0,0,0,0
279434,234532,24,2,1,3,2,3,533,-1,False,M,school1,0,0,0,0,0,0,0
279515,234573,21,1,1,3,2,3,490,-1,False,M,school1,0,0,0,0,0,0,0
279516,234573,19,2,1,2,2,3,533,442,False,M,work1,0,0,0,0,0,0,0
284893,237262,31,1,1,1,3,1,-1,530,False,M,work1,0,0,0,0,0,0,0
284894,237262,33,2,2,3,3,4,-1,-1,False,N,,1,0,0,0,0,0,32
286461,238046,62,1,2,1,3,1,-1,449,True,N,,1,0,0,0,0,0,32
286462,238046,49,2,1,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
287381,238506,21,1,1,2,3,2,-1,733,True,H,,0,0,0,0,0,0,0
287382,238506,21,2,2,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
291561,240596,24,1,1,1,3,1,-1,742,False,M,work1,0,0,0,0,0,0,0
291562,240596,23,2,1,3,3,4,-1,-1,False,N,,0,0,1,0,1,0,12
299671,244651,63,1,1,1,3,1,-1,1149,True,M,work1,0,1,0,1,0,0,17
299672,244651,70,2,2,3,3,5,-1,-1,False,N,,0,0,1,0,0,0,8
300213,244922,60,1,1,3,3,4,-1,-1,False,N,,0,0,0,0,0,0,0
300214,244922,58,2,2,2,3,2,-1,1189,False,N,,0,0,0,0,0,0,0
304319,246975,29,1,1,2,3,2,-1,1427,False,M,work1,0,0,0,0,0,0,0
304320,246975,33,2,1,3,2,3,1427,-1,False,M,school1,0,0,0,0,0,0,0
307095,248363,44,1,1,2,3,2,-1,378,True,M,work1,0,0,0,1,0,0,1
307096,248363,40,2,1,1,3,1,-1,299,False,M,work1,0,0,0,0,0,0,0
308931,249281,39,1,2,1,3,1,-1,608,True,M,work1,0,0,0,0,1,0,4
308932,249281,18,2,2,2,1,6,444,530,False,M,school1,1,0,0,1,0,0,33
311687,250659,38,1,1,1,3,1,-1,960,False,M,work1,0,1,0,0,0,0,16
311688,250659,31,2,2,1,3,1,-1,769,False,M,work1,0,0,0,0,0,0,0
315199,252415,47,1,1,1,3,1,-1,110,False,M,work1,0,0,0,0,0,0,0
315200,252415,51,2,2,1,3,1,-1,918,True,M,work1,0,0,0,0,0,0,0
315321,252476,24,1,1,1,3,1,-1,79,False,H,,0,0,0,0,0,0,0
315322,252476,29,2,2,1,3,1,-1,1008,False,H,,0,0,0,0,0,0,0
318147,253889,61,1,2,2,3,2,-1,969,True,N,,0,1,0,1,0,0,17
318148,253889,37,2,1,1,3,1,-1,967,False,M,work1,0,0,0,0,0,0,0
322341,255986,57,1,2,2,3,2,-1,1381,True,M,work1,0,0,0,0,0,0,0
322342,255986,28,2,1,1,3,1,-1,1386,False,M,work1,0,0,0,0,0,0,0
333043,261337,19,1,2,1,3,1,-1,2,False,M,work1,0,0,0,0,0,0,0
333044,261337,16,2,2,2,2,3,188,1019,False,N,,1,0,0,0,0,0,32
336413,263022,22,1,2,2,3,2,-1,22,False,M,work1,0,0,0,0,0,0,0
336414,263022,24,2,1,1,3,1,-1,92,False,M,work1,0,0,0,0,0,0,0
341777,265704,25,1,1,2,2,3,415,620,False,M,work1,0,0,0,0,0,0,0
341778,265704,24,2,2,1,3,1,-1,435,False,M,work1,0,0,0,0,0,0,0
344673,267152,20,1,2,1,3,1,-1,450,True,M,work1,0,0,0,0,0,0,0
344674,267152,24,2,1,2,3,2,-1,687,False,M,work1,0,0,1,1,0,0,9
345463,267547,23,1,1,2,2,3,497,403,False,M,work1,0,0,0,0,0,0,0
345464,267547,22,2,2,2,2,3,415,418,False,N,,1,1,0,0,0,0,48
345737,267684,37,1,1,1,3,1,-1,355,True,H,,0,0,0,0,0,0,0
345738,267684,37,2,1,2,2,3,533,426,True,N,,0,1,1,0,0,0,24
345891,267761,28,1,1,1,3,1,-1,504,False,M,work1,0,0,0,0,0,0,0
345892,267761,29,2,1,1,3,1,-1,462,False,N,,0,0,0,0,1,0,4
346821,268226,22,1,2,1,3,1,-1,545,True,M,work1,0,0,0,0,1,0,4
346822,268226,25,2,1,2,3,2,-1,671,False,M,work1,0,0,0,0,0,0,0
348023,268827,32,1,2,1,3,1,-1,554,True,M,work1,0,0,0,0,0,0,0
348024,268827,35,2,1,2,3,2,-1,752,False,M,work1,0,0,0,0,1,0,4
351337,270484,38,1,1,2,2,3,557,594,True,M,work1,0,0,0,0,0,0,0
351338,270484,46,2,1,1,3,1,-1,406,True,M,work1,0,0,0,0,0,0,0
355959,272795,44,1,1,1,3,1,-1,969,False,M,work1,0,0,0,0,0,0,0
355960,272795,47,2,2,1,3,1,-1,810,False,N,,0,0,0,0,1,0,4
356055,272843,32,1,1,1,3,1,-1,832,False,M,work1,0,1,0,0,0,0,16
356056,272843,23,2,1,1,3,1,-1,355,False,M,work1,0,0,0,0,0,0,0
358097,273864,28,1,2,2,3,2,-1,972,True,M,work1,0,0,0,0,0,0,0
358098,273864,29,2,1,2,3,2,-1,1019,True,M,work1,0,0,0,0,0,0,0
360467,275049,29,1,1,2,3,2,-1,1060,False,M,work1,0,0,1,0,0,1,10
360468,275049,34,2,2,2,3,2,-1,971,False,H,,0,0,0,0,0,0,0
362927,276279,61,1,1,1,3,1,-1,895,True,M,work1,0,0,0,0,0,0,0
362928,276279,37,2,1,1,3,1,-1,973,True,M,work1,0,0,0,0,0,0,0
366213,277922,42,1,1,1,3,1,-1,1161,False,M,work1,0,0,0,0,0,0,0
366214,277922,28,2,2,1,3,1,-1,991,False,M,work1,0,0,0,0,0,0,0
366383,278007,20,1,1,2,2,3,1019,970,True,M,work1,0,0,0,0,0,0,0
366384,278007,18,2,2,2,2,3,1019,1009,False,M,work1,0,0,0,0,0,0,0
378367,283999,25,1,2,1,3,1,-1,1448,True,M,work1,0,0,0,1,0,0,1
378368,283999,28,2,1,1,3,1,-1,1429,False,M,work1,0,0,0,0,0,0,0
391191,290411,32,1,2,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
391192,290411,4,2,2,4,1,8,551,-1,False,M,school1,0,0,0,0,0,0,0
391423,290527,32,1,2,3,3,4,-1,-1,False,N,,0,1,1,0,0,0,24
391424,290527,4,2,2,4,1,8,547,-1,False,M,school1,0,0,1,0,0,0,8
400077,294854,38,1,2,3,3,4,-1,-1,False,N,,2,0,1,0,0,0,72
400078,294854,6,2,2,4,1,7,976,-1,False,N,,1,0,0,0,0,0,32
401319,295475,43,1,2,3,3,4,-1,-1,False,N,,1,1,0,0,0,0,48
401320,295475,6,2,1,4,1,7,1065,-1,False,N,,0,1,0,0,0,0,16
401715,295673,28,1,2,3,3,4,-1,-1,False,N,,1,0,0,0,0,0,32
401716,295673,10,2,2,4,1,7,1057,-1,False,M,school1,0,0,0,0,0,0,0
406499,298065,36,1,1,1,3,1,-1,652,True,M,work1,0,0,0,0,0,0,0
406500,298065,10,2,2,4,1,7,438,-1,False,M,school1,0,0,0,0,0,0,0
407751,298691,21,1,2,1,3,1,-1,715,True,M,work1,0,0,0,0,0,0,0
407752,298691,2,2,2,4,1,8,725,-1,False,M,school1,0,0,0,0,0,0,0
413285,301458,26,1,2,1,3,1,-1,1224,False,M,work1,0,0,0,0,0,0,0
413286,301458,4,2,2,4,1,8,1237,-1,False,M,school1,0,0,0,0,0,0,0
419017,304324,42,1,2,1,3,1,-1,9,False,M,work1,0,0,0,0,0,0,0
419018,304324,5,2,1,4,1,8,11,-1,False,N,,0,0,0,2,0,0,1
423135,306383,47,1,2,2,3,2,-1,133,False,M,work1,0,0,0,0,0,0,0
423136,306383,11,2,2,4,1,7,159,-1,False,M,school1,0,0,0,0,0,0,0
424599,307115,40,1,2,2,3,2,-1,133,False,M,work1,0,0,0,0,0,0,0
424600,307115,10,2,1,4,1,7,197,-1,False,M,school1,0,0,0,0,0,0,0
425969,307800,39,1,2,2,3,2,-1,335,False,H,,0,0,0,0,0,0,0
425970,307800,0,2,1,4,1,8,335,-1,False,H,,0,0,0,0,0,0,0
427305,308468,47,1,2,1,3,1,-1,412,False,M,work1,0,0,0,0,0,0,0
427306,308468,16,2,2,3,1,6,609,-1,False,M,school1,0,0,0,0,0,1,2
427413,308522,39,1,2,2,3,2,-1,408,False,N,,1,0,1,0,0,0,40
427414,308522,0,2,1,4,1,8,676,-1,False,H,,0,0,0,0,0,0,0
432767,311199,27,1,2,1,3,1,-1,564,True,M,work1,0,1,0,0,0,0,16
432768,311199,8,2,1,4,1,7,559,-1,False,M,school1,0,0,0,0,0,0,0
435105,312368,38,1,2,1,3,1,-1,740,True,M,work1,0,2,0,0,0,0,16
435106,312368,11,2,1,4,1,7,737,-1,False,M,school1,0,0,0,0,0,0,0
439147,314389,20,1,2,1,3,1,-1,998,True,M,work1,0,0,0,0,0,0,0
439148,314389,0,2,2,4,1,8,895,-1,False,N,,0,0,0,1,0,0,1
440033,314832,20,1,2,1,3,1,-1,960,False,M,work1,0,0,0,0,0,0,0
440034,314832,0,2,2,4,1,8,924,-1,False,M,school1,0,0,0,0,0,0,0
445129,317380,39,1,2,1,3,1,-1,991,True,M,work1,0,1,0,0,0,0,16
445130,317380,14,2,1,4,1,7,1057,-1,False,M,school1,0,0,0,0,0,0,0
446115,317873,37,1,2,2,3,2,-1,981,False,M,work1,0,0,0,0,0,0,0
446116,317873,9,2,2,4,1,7,991,-1,False,M,school1,0,0,0,0,1,0,4
447187,318409,36,1,2,1,3,1,-1,988,False,H,,0,0,0,0,0,0,0
447188,318409,15,2,2,4,1,7,943,-1,False,N,,1,0,0,0,0,0,32
450859,320245,43,1,2,1,3,1,-1,1152,True,N,,2,0,0,0,0,0,64
450860,320245,17,2,1,3,1,6,1137,-1,False,M,school1,0,0,0,0,0,0,0
