HHID,TAZ,SERIALNO,PUMA5,income,PERSONS,HHT,UNITTYPE,NOC,BLDGSZ,TENURE,VEHICL,hinccat1,hinccat2,hhagecat,hsizecat,hfamily,hunittype,hNOCcat,hwrkrcat,h0004,h0511,h1215,h1617,h1824,h2534,h3549,h5064,h6579,h80up,workers,hwork_f,hwork_p,huniv,hnwork,hretire,hpresch,hschpred,hschdriv,htypdwel,hownrent,hadnwst,hadwpst,hadkids,bucketBin,originalPUMA,hmultiunit
25890,7,8684979,2203,8504,1,4,0,0,9,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,6,2203,1
2222700,7,9224066,2203,109500,2,1,0,0,9,1,1,4,9,1,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,3,2203,1
2098508,5,7952669,2203,100820,2,5,0,0,4,3,0,4,9,1,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,0,0,4,2203,1
567464,9,2082833,2203,3400,1,6,0,0,9,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,5,2203,1
287508,6,1910185,2203,9600,2,3,0,1,9,3,0,1,1,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,2203,1
932223,8,3372638,2203,30000,2,5,0,0,8,3,1,2,4,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,0,0,3,2203,1
2821239,8,7796554,2204,0,1,0,2,0,0,0,0,1,1,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,5,2204,1
110711,16,7608637,2203,13900,1,4,0,0,8,3,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,9,2203,1
2820739,8,8472494,2201,0,1,0,2,0,0,0,0,3,7,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,2201,1
27668,10,402872,2203,9200,1,4,0,0,9,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,6,2203,1
2344991,16,588233,2201,233640,3,5,0,0,4,3,3,4,9,1,3,1,0,0,3,0,0,0,0,1,2,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,1,0,5,2201,1
107597,2,2723414,2203,4400,1,4,0,0,9,3,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,3,2203,1
2518598,22,245933,2202,325000,4,1,0,2,3,1,2,4,9,1,4,2,0,1,1,1,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,1,0,2,1,0,0,0,6,2202,0
565926,7,5986969,2203,11500,1,6,0,0,9,3,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,3,2203,1
1932009,21,2269498,2203,69700,11,1,0,4,4,3,1,3,7,1,5,2,0,1,3,2,2,0,0,2,4,1,0,0,0,6,1,4,1,1,0,3,1,0,2,2,0,1,2,5,2203,1
822583,8,5165174,2203,37500,1,4,0,0,9,3,1,2,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,9,2203,1
566916,9,4970888,2203,8100,1,6,0,0,7,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,7,2203,1
2223264,10,3689104,2203,209600,2,5,0,0,5,1,3,4,9,1,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,3,2203,1
728542,24,2547130,2202,27800,2,1,0,0,7,3,1,2,3,2,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,2,2,0,0,0,7,2202,1
257194,16,5705070,2202,21600,2,5,0,0,8,3,0,2,3,1,2,1,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,8,2202,1
824142,18,3254881,2203,40500,1,4,0,0,6,3,1,2,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,8,2203,1
1523611,18,3874480,2203,90700,2,5,0,0,2,3,0,3,8,1,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1,2,0,0,0,1,2203,0
112391,17,9411119,2203,12400,1,4,0,0,8,3,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,1,2203,1
822809,9,9163904,2203,37000,1,4,0,0,9,3,0,2,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,5,2203,1
1747467,16,7283578,2203,76000,3,1,0,1,9,3,0,3,8,1,3,2,0,1,2,0,1,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,1,0,2,2,0,0,0,9,2203,1
2822344,8,1636020,2305,0,1,0,2,0,0,0,0,1,2,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,2,2305,1
1119933,16,7226519,2203,39400,3,3,0,1,8,3,0,2,4,1,3,2,0,1,2,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,2,2,0,1,0,0,2203,1
27369,9,7905444,2203,0,1,4,0,0,9,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,9,2203,1
2848406,18,3154575,2203,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,4,2203,1
1595002,16,2828807,2203,79000,2,5,0,0,4,1,2,3,8,1,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,1,2203,1
728351,20,555506,2203,23510,2,1,0,0,9,3,0,2,3,2,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,2,2,0,0,0,3,2203,1
108917,10,5840972,2203,13100,1,6,0,0,8,3,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,6,2203,1
570069,21,7210780,2203,22500,1,6,0,0,9,3,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,7,2203,1
2848509,18,7173747,2203,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,7,2203,1
702018,8,2090186,2203,4310,2,1,0,0,9,3,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,4,2203,1
2821574,8,2681816,2206,0,1,0,2,0,0,0,0,1,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2206,1
932397,12,4195866,2203,50000,2,7,0,0,6,3,2,3,6,1,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,1,0,9,2203,1
109731,10,3042294,2203,20004,1,6,0,0,8,3,0,2,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2203,1
2049435,18,755302,2203,325000,1,6,0,0,9,3,1,4,9,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,2,2203,1
1444668,12,559768,2203,90000,1,4,0,0,9,3,1,3,8,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,2203,1
659481,25,6296481,2202,16500,1,4,0,0,7,3,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,9,2202,1
568917,17,6306880,2203,8100,1,6,0,0,8,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,7,2203,1
2848273,18,6197800,2203,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2203,1
2821596,8,332096,2206,0,1,0,2,0,0,0,0,1,2,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2206,1
1307250,22,5046362,2202,44680,1,4,0,0,8,4,1,2,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,6,2202,1
702890,21,4882375,2203,13500,2,1,0,0,4,3,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1,2203,1
1402915,10,3187972,2203,57600,10,3,0,0,5,3,0,3,6,2,5,2,0,0,3,2,0,0,0,0,3,1,1,3,0,3,2,1,0,2,3,2,0,0,2,2,0,0,0,2,2203,1
823119,9,1939504,2203,32000,1,4,0,0,8,3,0,2,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,5,2203,1
1443864,5,5864841,2203,75100,1,4,0,0,8,1,1,3,8,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,8,2203,1
727932,9,9039018,2203,16000,2,1,0,0,8,3,0,1,2,2,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,2,0,0,0,9,2203,1
109991,11,6508963,2203,19700,1,4,0,0,8,3,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,2203,1
108279,9,4905954,2203,19780,1,6,0,0,8,3,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,3,2203,1
701995,8,8451252,2203,14500,2,1,0,0,9,3,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1,2203,1
1594777,11,1729425,2203,94900,2,7,0,0,5,1,1,3,8,1,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,7,2203,1
503524,21,8449891,2203,24050,1,4,0,0,2,3,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,2203,0
110281,14,7316956,2203,22200,1,6,0,0,4,3,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,6,2203,1
108527,9,1402264,2203,2800,1,6,0,0,9,3,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,1,2203,1
28235,10,8543494,2203,7700,1,4,0,0,8,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,3,2203,1
26886,8,4802008,2203,9000,1,4,0,0,9,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,7,2203,1
26976,8,16306,2203,18000,1,6,0,0,9,3,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,7,2203,1
1651429,25,6645162,2202,75000,2,3,0,1,7,3,1,3,8,1,2,2,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,5,2202,1
659025,21,3974002,2203,13900,1,4,0,0,9,3,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,4,2203,1
2098666,9,7163805,2203,122500,2,1,0,0,7,3,2,4,9,1,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,0,0,2,2203,1
1445432,21,7198162,2203,69900,1,6,0,0,4,3,0,3,7,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,3,2203,1
1034802,7,1157404,2201,30000,2,3,0,1,5,4,0,2,4,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,0,0,8,2201,1
111212,16,5035548,2203,27900,1,6,0,0,8,3,0,2,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2203,1
111533,16,6508963,2203,19700,1,4,0,0,8,3,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,2203,1
227052,10,8395234,2203,11620,2,5,0,0,9,3,0,1,2,1,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,2,2,1,1,0,9,2203,1
2225042,21,8090253,2203,200000,2,1,0,0,9,3,2,4,9,1,2,2,0,0,2,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,9,2203,1
568426,15,5536401,2203,15200,1,6,0,0,8,2,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,8,2203,1
569466,20,6721424,2203,5660,1,4,0,0,9,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,5,2203,1
824275,19,7374290,2203,57500,1,6,0,0,8,3,0,3,6,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,8,2203,1
702275,9,9048800,2203,10200,2,1,0,0,9,3,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,4,2203,1
2848373,18,482500,2203,0,1,0,1,0,0,0,0,2,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,2203,1
567000,9,3027958,2203,8300,1,4,0,0,9,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,2203,1
112052,16,8206459,2203,28990,1,6,0,0,6,3,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2203,1
570537,21,8749444,2203,8400,1,6,0,0,9,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,5,2203,1
568820,17,8625040,2203,7900,1,6,0,0,9,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,2203,1
2820922,8,218549,2201,0,1,0,2,0,0,0,0,1,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,6,2201,1
25806,6,8617761,2203,14000,1,4,0,0,9,3,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,4,2203,1
568480,16,2092797,2203,6690,1,4,0,0,4,4,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,6,2203,1
1444219,9,2636555,2203,99160,1,6,0,0,8,1,1,3,8,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2203,1
257409,16,3188583,2204,25300,2,3,0,0,8,3,0,2,3,1,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,2,0,2,0,1,2204,1
29208,16,2156993,2203,0,1,4,0,0,7,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,2203,1
28025,10,3494145,2203,9300,1,4,0,0,7,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,2203,1
2748985,25,182328,2203,299200,4,1,0,0,5,1,2,4,9,2,4,2,0,0,2,0,0,0,0,1,0,1,0,2,0,2,2,0,0,1,1,0,0,0,2,1,0,0,1,5,2203,1
1594488,9,1193323,2203,66300,2,3,0,0,9,3,1,3,7,1,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,1,2203,1
1842601,10,8958905,2203,60000,4,3,0,2,8,1,1,3,7,1,4,2,0,1,1,2,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,2,0,0,2,1,1,0,0,5,2203,1
823123,9,6335560,2203,49000,1,4,0,0,9,3,0,2,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,9,2203,1
2761644,17,4016973,2203,0,1,0,2,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,2203,1
2863494,20,9464241,2203,0,1,0,1,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,4,2203,1
2821550,8,2596236,2206,0,1,0,2,0,0,0,0,1,2,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,9,2206,1
824009,17,6335560,2203,49000,1,4,0,0,9,3,0,2,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,9,2203,1
27740,10,3101725,2203,3100,1,4,0,0,9,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,8,2203,1
2224086,17,331903,2203,174500,2,5,0,0,9,3,1,4,9,1,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,8,2203,1
570347,21,5121034,2203,9000,1,6,0,0,8,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,5,2203,1
1651106,7,4566612,2205,70000,2,3,0,1,5,3,1,3,7,1,2,2,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,2205,1
2761249,9,7837079,2203,0,1,0,2,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,6,2203,1
570614,22,1392769,2202,8400,1,6,0,0,9,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,6,2202,1
111638,16,3221985,2203,0,1,6,0,0,9,4,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,6,2203,1
29911,17,6362737,2203,15500,1,4,0,0,8,3,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,7,2203,1
2224284,17,2043870,2203,140100,2,1,0,0,4,3,2,4,9,1,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,6,2203,1
303842,9,7639498,2203,9600,2,2,0,1,5,3,1,1,1,1,2,2,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,1,2203,1
1173923,8,5948221,2203,45000,4,1,0,2,5,1,1,2,5,1,4,2,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,0,0,7,2203,1
764202,9,4875147,2203,40000,1,4,0,0,8,3,0,2,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,8,2203,1
107894,7,4584854,2203,12000,1,6,0,0,9,3,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,2,2203,1
2224639,17,857602,2201,127900,2,5,0,0,6,3,1,4,9,1,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,6,2201,1
2049532,20,2097994,2203,100000,1,4,0,0,7,3,0,4,9,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,7,2203,1
2848668,19,482500,2203,0,1,0,1,0,0,0,0,2,3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,2203,1
565396,6,3170984,2203,21320,1,4,0,0,9,3,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,2203,1
1340842,8,111032,2201,33450,2,1,0,0,5,3,1,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,7,2201,1
566722,8,5986969,2203,11500,1,6,0,0,9,3,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,3,2203,1
112729,18,8121580,2203,18000,1,6,0,0,9,3,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,4,2203,1
2832093,7,2361291,2203,0,1,0,2,0,0,0,0,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,8,2203,1
2687369,20,6154331,2203,163000,1,4,0,0,9,1,1,4,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,2,2203,1
702705,20,2619174,2203,14500,2,7,0,0,9,3,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2203,1
569312,20,1240711,2203,8050,1,4,0,0,5,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,2203,1
822607,8,7337053,2203,32000,1,4,0,0,4,3,0,2,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,3,2203,1
1983298,24,1009601,2202,69800,2,5,0,0,7,3,1,3,7,2,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,2,2,0,0,0,7,2202,1
