Description,Expression,M,N,H
Pre-driving-age child who is in school interaction with fewer cars than workers,(ptype == 7) & (auto_ownership < num_workers),,,0.5862
Pre-driving-age child who is too young for school interaction with fewer cars than workers,(ptype == 8) & (auto_ownership < num_workers),,,0.5061
Full-time worker interaction with income less than $20k,(ptype == 1) & (income_in_thousands < 20),,,0.5313
Retired interaction with income less than $20k,(ptype == 5) & (income_in_thousands < 20),,,0.533
Part-time worker interaction with income less than $20k,(ptype == 2) & (income_in_thousands < 20),,,0.3232
Part-time worker interaction with income between $50k and $100k,(ptype == 2) & (income_in_thousands >= 50) & (income_in_thousands <= 100),,,-0.4032
Part-time worker interaction with income more than $100k,(ptype == 2) & (income_in_thousands >= 100),,0.4207,-0.3534
Non-working adult interaction with income between $50k and $100k,(ptype == 4) & (income_in_thousands >= 50) & (income_in_thousands <= 100),,,-0.5602
Non-working adult interaction with income more than $100k,(ptype == 4) & (income_in_thousands >= 100),,,-0.7188
Driving-age child who is in school interaction with less than $20k,(ptype == 6) & (income_in_thousands < 20),,,1.307
Driving-age child who is in school interaction income between $50k and $100k,(ptype == 6) & (income_in_thousands >= 50) & (income_in_thousands <= 100),,,-0.5031
Driving-age child who is in school interaction with income more than $100k,(ptype == 6) & (income_in_thousands >= 100),,,-2.046
Pre-driving-age child who is too young for school interaction with income between $50k and $100k,(ptype == 8) & (income_in_thousands >= 50) & (income_in_thousands <= 100),,,-0.5708
Pre-driving-age child who is too young for school interaction with income more than $100k,(ptype == 8) & (income_in_thousands >= 100),,,-0.6186
Full-time worker intraction with peak accessibility to all employment,(ptype == 1) * auPkTotal,0.1212,,
Part-time worker interaction with peak accessibility to all employment,(ptype == 2) * auPkTotal,0.2004,,
Non-working adult interaction with peak accessibility to all employment,(ptype == 4) * auPkTotal,0.2314,,
Retired interaction with peak accessibility to all employment,(ptype == 5) * auPkTotal,0.2792,,
Non-working adult interaction with off-peak accessibility to retail,(ptype == 4) * auOpRetail,,0.07207,
Retired interaction with off-peak accessibility to retail,(ptype == 5) * auOpRetail,,0.07207,
University student interaction with off-peak accessibility to retail,(ptype == 3) * auOpRetail,,0.07207,
Driving-age child who is in school interaction with off-peak accessibility to retail,(ptype == 6) * auOpRetail,,0.08233,
Pre-driving-age child who is in school interaction with off-peak accessibility to retail,(ptype == 7) * auOpRetail,,0.08233,
Pre-driving-age child who is too young for school interaction with off-peak accessibility to retail,(ptype == 8) * auOpRetail,,0.08233,
# commented out because not clear about the usual locaiton,,,,
Full-time worker interaction with usual work location is home,(ptype == 1) * usualWorkLocationIsHome,-1.758,,0.1813
Part-time worker interaction with usual work location is home,(ptype == 2) * usualWorkLocationIsHome,-1.758,,0.1813
Full-time worker interaction with no usual work location,(ptype == 1) * noUsualWorkLocation,-0.5935,,
Part-time worker interaction with no usual work location,(ptype == 2) * noUsualWorkLocation,-0.5935,,
Driving-age child who is in school interaction with no usual school location,(ptype == 6) * noUsualSchoolLocation,-0.866,,
Pre-driving age child who is in school interaction with no usual school location,(ptype == 7) * noUsualSchoolLocation,-0.866,,
Mandatory pattern unavailable for retired person,ptype == 5,-999,,
Mandatory pattern unavailable for nonworking adult person type,ptype == 4,-999,,
Mandatory pattern unavailable for preschool child not in school,(ptype == 8) & (PreSchoolStudent == 0),-999,,
Calibration: Full-time worker alternative-specific constants,ptype == 1,0.066360056,-0.10329374,
Calibration: Part-time worker alternative-specific constants,ptype == 2,0.211727345,-0.369247915,
Calibration: University student alternative-specific constants,ptype == 3,-0.416771568,0.286894666,
Calibration: Non-working adult alternative-specific constants,ptype == 4,-0.253820427,-0.384390647,
Calibration: Retired alternative-specific constants,ptype == 5,0.063534942,0.126500435,
Calibration: Driving-age child who is in school alternative-specific constants,ptype == 6,0.534491384,1.032717745,
Calibration: Pre-driving-age child who is in school alternative-specific constants,ptype == 7,0.883638292,0.75753047,
Calibration: Pre-driving-age child who is too young for school alternative-specific constants,ptype == 8,2.192655294,3.135153289,
