HHID,PERSONS,workers,VEHICL,TAZ,income,HHT,unittype,bldgsz
91643,5,2,0,2202,130326,7,0,8
91644,3,1,0,2202,53370,1,0,8
91645,1,1,0,2202,28347,4,0,8
91646,2,1,0,2202,38992,1,0,8
91648,2,2,0,2202,124268,7,0,8
91649,2,2,0,2202,88032,5,0,8
91650,3,2,0,2202,234173,3,0,8
91651,2,2,0,2202,96998,5,0,8
91653,2,1,0,2202,96153,2,0,8
91654,2,2,0,2202,162000,1,0,8
91655,2,2,0,2202,35325,7,0,8
91656,3,2,0,2202,5791,5,0,8
91657,3,3,0,2202,117497,1,0,8
91658,2,1,0,2202,178899,7,0,8
91659,2,0,0,2202,38771,1,0,8
91660,4,2,0,2202,77855,1,0,8
91661,3,2,0,2202,39103,1,0,8
91662,3,1,0,2202,229352,7,0,8
91663,2,1,0,2202,9420,5,0,8
91664,4,3,0,2202,3415,1,0,8
91665,3,2,0,2202,96491,1,0,8
91666,2,1,0,2202,56451,7,0,8
91667,3,2,0,2202,127119,1,0,8
91668,3,1,0,2202,96660,5,0,8
91669,1,0,0,2202,92773,4,0,8
91670,2,1,0,2202,258272,1,0,8
91671,2,2,0,2202,45006,5,0,3
91672,2,1,0,2202,95984,7,0,8
91673,2,1,0,2202,50026,7,0,8
91674,4,2,0,2202,54537,1,0,8
91675,2,1,0,2202,210073,5,0,8
91677,3,1,0,2202,5939,1,0,8
91678,3,2,0,2202,130683,1,0,8
91679,2,1,0,2202,12017,1,0,8
91680,2,0,0,2202,64488,7,0,8
91681,2,1,0,2202,72257,5,0,8
91687,3,3,0,2202,63148,5,0,8
91689,3,2,0,2202,121774,1,0,8
91691,4,2,0,2202,12198,1,0,8
91692,2,0,0,2202,3193,7,0,8
91697,2,2,0,2202,29857,7,0,8
91699,2,2,0,2202,96829,5,0,8
91700,3,2,0,2202,21350,7,0,8
91701,2,1,0,2202,4752,7,0,8
91702,2,2,0,2202,54920,1,0,8
91703,5,1,0,2202,18978,3,0,8
91704,3,1,0,2202,61043,7,0,8
91705,2,0,0,2202,7870,5,0,8
91706,2,2,0,2202,66210,1,0,8
91711,2,2,0,2202,10688,7,0,8
91712,3,3,0,2202,59703,7,0,8
91713,4,2,0,2202,6608,1,0,8
91715,2,1,0,2202,27844,2,0,8
91716,2,2,0,2202,123911,1,0,8
91717,5,2,0,2202,37666,7,0,8
91718,2,1,0,2202,119991,1,0,8
91719,4,2,0,2202,98012,1,0,8
91720,3,2,0,2202,10446,1,0,8
91722,5,2,0,2202,14593,1,0,8
91724,2,1,0,2202,32970,5,0,8
91725,2,2,0,2202,92267,5,0,8
91726,2,1,0,2202,131039,5,0,8
91727,2,2,0,2202,42458,5,0,8
91728,2,1,0,2202,57790,5,0,8
91729,3,2,0,2202,67549,7,0,8
91730,2,1,0,2202,101898,1,0,8
91731,2,2,0,2202,116784,7,0,8
91732,3,1,0,2202,60661,1,0,8
91733,2,2,0,2202,134603,7,0,8
91734,2,1,0,2202,93450,1,0,8
98950,4,1,0,2222,105610,1,0,2
98962,2,2,0,2222,160076,7,0,2
131154,3,2,0,2193,53330,3,0,3
131155,5,3,0,2193,28548,1,0,3
131156,4,2,0,2193,48708,1,0,3
131157,3,2,0,2193,28062,5,0,3
131158,5,2,0,2193,28952,1,0,3
131159,5,3,0,2193,29437,1,0,3
131160,4,1,0,2193,78031,1,0,3
131161,5,2,0,2193,31459,3,0,3
131162,4,2,0,2193,170493,1,0,3
131163,4,1,0,2193,220516,3,0,3
131164,6,1,0,2193,59441,1,0,3
131165,4,1,0,2193,35818,1,0,3
131166,2,1,0,2193,51943,2,0,3
131167,5,2,0,2193,24100,3,0,3
131168,3,0,0,2193,84762,1,0,3
131169,4,1,0,2193,18331,1,0,3
131170,5,3,0,2193,29195,1,0,3
131171,5,2,0,2193,50741,1,0,3
131172,6,0,0,2193,20703,3,0,3
131174,6,2,0,2193,21242,1,0,3
131175,5,1,0,2193,28305,3,0,3
131176,3,2,0,2193,32525,3,0,3
131177,3,3,0,2193,41766,2,0,2
131178,2,1,0,2193,59926,5,0,3
131179,3,2,0,2193,29275,1,0,3
131180,6,4,0,2193,26850,1,0,3
131181,5,1,0,2193,20487,1,0,2
131182,3,0,0,2193,10869,1,0,3
131183,7,2,0,2193,51296,1,0,3
131184,6,4,0,2193,45658,1,0,3
131185,8,3,0,2193,54589,2,0,3
131186,6,3,0,2193,29599,1,0,3
131187,4,1,0,2193,21997,1,0,3
131188,3,1,0,2193,85068,1,0,3
131189,5,1,0,2206,28791,1,0,3
131190,5,2,0,2193,5225,1,0,3
131191,3,3,0,2193,38096,5,0,3
131192,4,1,0,2193,25879,3,0,3
131193,6,1,0,2193,49355,2,0,3
131194,5,1,0,2193,45473,1,0,3
131195,4,1,0,2193,22967,3,0,3
131196,6,3,0,2193,46490,3,0,3
131197,4,1,0,2193,88434,1,0,3
131198,4,3,0,2193,83232,1,0,3
131199,5,1,0,2193,64778,1,0,3
131200,6,1,0,2193,30570,1,0,3
131201,5,2,0,2193,33897,3,0,3
131202,4,1,0,2193,31621,1,0,3
131203,4,3,0,2193,43276,3,0,3
131204,2,1,0,2193,27335,1,0,2
131205,2,2,0,2193,52590,2,0,3
131206,4,1,0,2193,27658,1,0,3
131207,6,3,0,2193,73134,1,0,2
131208,5,0,0,2193,30084,3,0,3
131209,2,1,0,2193,100955,1,0,2
131210,2,1,0,2193,7316,1,0,3
131211,4,1,0,2193,55801,1,0,3
131212,4,1,0,2193,79867,1,0,3
131213,4,2,0,2193,85986,1,0,3
131214,3,2,0,2193,51850,1,0,3
131215,5,2,0,2193,34172,1,0,3
131216,2,1,0,2193,64536,1,0,3
131218,6,1,0,2193,24423,7,0,3
131219,3,0,0,2193,30327,3,0,3
131220,3,1,0,2193,8012,1,0,3
131221,4,2,0,2193,53514,1,0,3
131222,6,3,0,2193,110390,3,0,2
131223,3,2,0,2193,52774,1,0,2
131224,2,1,0,2193,59198,1,0,3
131225,3,2,0,2193,231762,1,0,2
131226,5,2,0,2193,83845,3,0,3
131227,3,1,0,2193,152725,1,0,3
131228,8,1,0,2193,138512,2,0,3
131229,6,4,0,2193,27496,2,0,2
131230,3,1,0,2193,99068,1,0,2
131231,6,2,0,2193,18978,1,0,2
131232,3,2,0,2193,2787,1,0,3
131233,2,0,0,2193,27901,1,0,3
131234,3,1,0,2193,40094,1,0,3
131235,5,1,0,2193,24262,1,0,3
131236,3,1,0,2193,209270,3,0,3
131237,4,3,0,2193,112277,1,0,3
131238,3,1,0,2193,6619,1,0,3
131239,2,1,0,2193,1742,1,0,3
131240,5,2,0,2206,6271,1,0,2
131241,2,2,0,2193,77418,5,0,3
131242,5,1,0,2193,25071,3,0,3
131243,4,2,0,2193,75582,1,0,2
131244,4,2,0,2193,66962,1,0,2
131245,5,2,0,2193,26041,1,0,3
131246,4,2,0,2193,31298,1,0,3
131247,6,1,0,2193,33761,1,0,3
131248,4,1,0,2193,48153,1,0,3
131249,2,0,0,2193,37962,3,0,3
131250,4,2,0,2193,96237,1,0,3
131251,3,0,0,2193,28871,1,0,2
131252,3,1,0,2193,29680,1,0,2
131253,6,2,0,2193,67690,1,0,3
131254,3,1,0,2193,53792,1,0,3
131255,3,2,0,2193,21026,1,0,3
131256,3,2,0,2193,166940,1,0,3
131257,2,2,0,2193,259879,5,0,3
131258,3,0,0,2206,5574,3,0,2
131259,8,1,0,2193,85681,3,0,3
131260,2,2,0,2193,174046,5,0,3
131261,4,1,0,2193,50279,1,0,3
131262,4,1,0,2193,84150,1,0,3
131263,6,1,0,2193,70687,3,0,3
131264,3,1,0,2193,24746,3,0,3
131265,3,1,0,2193,69156,1,0,2
131266,4,0,0,2193,2091,1,0,2
131267,4,1,0,2193,33486,1,0,3
131268,2,2,0,2193,46027,2,0,3
131269,3,2,0,2193,214893,5,0,3
131270,5,2,0,2193,40360,1,0,3
131271,5,3,0,2193,50649,1,0,2
131272,4,3,0,2193,45750,2,0,3
131273,5,3,0,2193,70381,1,0,3
131274,4,1,0,2193,56044,1,0,3
131275,4,2,0,2193,18546,1,0,3
131276,2,1,0,2193,58713,1,0,2
131277,2,0,0,2193,53052,7,0,3
131278,6,1,0,2193,49725,3,0,3
131279,3,3,0,2193,35682,5,0,2
131280,3,2,0,2193,86292,1,0,3
131281,8,4,0,2193,80784,2,0,3
131282,4,2,0,2193,192400,1,0,3
131283,2,1,0,2193,49540,1,0,3
131284,3,1,0,2193,8709,1,0,3
131285,2,2,0,2193,60411,5,0,3
131286,5,1,0,2193,46397,1,0,3
131287,2,0,0,2193,130611,7,0,3
131288,5,2,0,2193,50094,1,0,2
131289,3,3,0,2193,287995,1,0,3
131290,5,2,0,2193,69462,1,0,3
131291,5,0,0,2193,23776,1,0,3
131292,4,2,0,2193,45381,1,0,3
131293,4,0,0,2193,58228,1,0,2
131294,4,0,0,2193,56530,3,0,3
131295,3,1,0,2193,76500,1,0,3
131296,3,0,0,2193,198023,1,0,3
131297,3,2,0,2193,276749,1,0,2
131298,5,3,0,2193,32251,1,0,3
131299,5,1,0,2193,254255,1,0,3
131300,4,1,0,2193,78336,1,0,2
131301,6,2,0,2193,85375,1,0,3
131302,4,1,0,2193,21350,1,0,3
131303,3,2,0,2193,57257,1,0,3
131304,2,2,0,2193,304865,1,0,3
131305,4,2,0,2193,57985,1,0,3
131306,4,3,0,2193,68238,1,0,3
145909,3,1,0,2217,12732,1,0,2
148348,4,4,0,2219,75197,1,0,2
153585,4,2,0,2202,101561,7,0,8
175778,2,1,0,2202,64297,7,0,8
243314,3,1,0,2238,100846,1,0,2
243423,3,1,0,2238,13935,1,0,2
243553,5,2,0,2238,82252,1,0,3
243556,2,0,0,2238,89448,1,0,3
243584,2,2,0,2237,97900,2,0,2
243621,5,2,0,2238,143579,1,0,2
243626,5,0,0,2238,57538,1,0,2
243897,2,0,0,2238,58520,1,0,2
243898,2,1,0,2237,20164,2,0,2
243918,3,2,0,2238,106149,1,0,2
243999,1,1,0,2237,28999,6,0,2
244731,3,2,0,2226,90519,1,0,2
244732,2,2,0,2226,120137,1,0,2
244735,4,2,0,2226,114332,1,0,2
244736,2,1,0,2226,87796,1,0,2
244740,2,2,0,2226,118778,1,0,8
244744,3,1,0,2226,39507,2,0,8
244746,2,1,0,2226,130636,3,0,2
244748,3,2,0,2226,107932,3,0,2
244751,4,3,0,2226,302727,1,0,8
244761,2,1,0,2226,117790,1,0,8
244763,2,1,0,2226,140928,1,0,8
244765,2,2,0,2226,106885,1,0,8
244766,3,1,0,2226,167139,1,0,8
244772,2,2,0,2226,155720,1,0,8
244781,2,0,0,2226,60304,1,0,8
244789,5,1,0,2226,110356,1,0,8
244790,2,2,0,2226,98510,3,0,2
244797,2,2,0,2226,95756,5,0,8
244804,6,1,0,2226,36159,1,0,8
244806,6,2,0,2226,150400,1,0,2
244807,3,2,0,2226,94709,1,0,2
244812,3,2,0,2226,77466,1,0,2
244814,3,2,0,2226,115444,1,0,2
244816,3,2,0,2226,126560,1,0,2
244817,3,1,0,2226,130018,3,0,8
244819,2,1,0,2226,73210,1,0,2
244822,3,2,0,2226,9209,1,0,8
244824,2,1,0,2226,31454,1,0,8
244830,4,1,0,2226,34362,1,0,8
244836,2,2,0,2226,110245,1,0,8
244837,2,0,0,2226,163895,1,0,2
244838,5,1,0,2226,27917,1,0,8
244843,4,4,0,2226,98565,1,0,2
244848,4,2,0,2226,137164,1,0,2
244850,4,3,0,2226,51327,1,0,2
244851,2,0,0,2226,23550,1,0,2
244854,4,1,0,2226,88817,1,0,8
244856,3,1,0,2226,41979,1,0,2
244863,3,0,0,2226,71735,3,0,2
244881,4,3,0,2226,118037,1,0,2
244895,2,1,0,2226,49858,1,0,2
244896,5,2,0,2226,55726,1,0,2
244901,2,0,0,2226,27855,7,0,2
244906,2,2,0,2226,87625,1,0,2
244909,4,4,0,2226,10115,1,0,2
244915,4,3,0,2226,109694,1,0,2
244916,4,3,0,2226,165842,2,0,2
244928,8,1,0,2226,74572,3,0,8
244930,4,2,0,2226,30772,1,0,2
244939,4,3,0,2226,79964,1,0,8
244948,4,4,0,2226,148064,1,0,8
244950,3,2,0,2226,41108,2,0,2
244955,2,2,0,2226,86036,3,0,2
244958,2,1,0,2226,151568,2,0,2
244959,2,2,0,2226,105452,1,0,2
244963,2,2,0,2226,128783,1,0,8
244987,5,2,0,2226,90236,1,0,8
244990,2,2,0,2226,70089,1,0,2
244999,4,2,0,2226,127672,1,0,2
245002,3,3,0,2226,133848,1,0,8
245005,6,1,0,2226,39700,1,0,2
245008,4,2,0,2226,310535,1,0,8
245009,3,2,0,2226,101761,1,0,8
245011,2,2,0,2226,143523,1,0,2
245012,5,3,0,2226,104846,1,0,2
245019,3,0,0,2226,111403,3,0,8
245022,2,2,0,2226,130883,1,0,2
245026,2,2,0,2226,313881,1,0,2
245027,3,1,0,2226,238037,1,0,8
245030,2,2,0,2226,172978,1,0,2
245041,4,3,0,2226,80474,1,0,2
245042,2,1,0,2226,53938,1,0,2
245044,1,1,0,2226,138721,4,0,8
245050,2,1,0,2226,213499,1,0,2
245055,6,2,0,2226,110136,1,0,2
245073,2,0,0,2226,121496,3,0,2
245075,4,2,0,2226,35224,1,0,8
245078,2,2,0,2226,81666,1,0,2
245085,2,0,0,2226,81269,2,0,8
245091,2,1,0,2226,162987,1,0,8
245092,4,2,0,2226,91899,1,0,2
245096,6,2,0,2226,74743,1,0,2
245100,2,1,0,2226,103138,3,0,8
245101,4,3,0,2226,76956,3,0,8
245110,3,1,0,2226,32852,1,0,8
245111,5,4,0,2226,203460,1,0,8
245119,2,0,0,2226,74175,1,0,2
245121,4,2,0,2226,102862,1,0,2
245124,2,1,0,2226,69748,1,0,2
245126,2,0,0,2226,132242,1,0,2
245127,2,0,0,2226,52714,1,0,2
245134,2,2,0,2226,62338,1,0,2
245140,2,2,0,2226,108703,1,0,2
245142,3,2,0,2226,107601,3,0,2
245145,4,3,0,2226,162597,2,0,2
245149,2,1,0,2226,40374,7,0,8
245151,2,1,0,2226,206806,1,0,2
245153,3,2,0,2226,155461,1,0,2
245159,2,1,0,2226,62192,1,0,2
245173,4,1,0,2226,78545,1,0,2
245176,2,2,0,2226,103909,1,0,8
245193,2,0,0,2226,26992,1,0,2
245197,2,2,0,2226,169085,1,0,2
245200,1,1,0,2226,94929,4,0,2
245201,4,1,0,2226,136645,3,0,2
245216,2,1,0,2226,54264,1,0,2
245218,5,1,0,2226,48389,3,0,8
245220,2,1,0,2226,101375,1,0,2
245222,2,2,0,2226,34434,1,0,2
245228,3,2,0,2226,84049,1,0,2
245240,3,3,0,2226,12379,2,0,2
245265,5,1,0,2226,90009,1,0,8
245267,2,0,0,2226,62411,1,0,2
245277,3,2,0,2226,88931,1,0,2
245279,4,3,0,2226,31329,1,0,2
245285,5,3,0,2226,220190,1,0,2
245286,2,1,0,2226,63645,1,0,8
245288,2,2,0,2226,157018,1,0,2
245290,2,2,0,2226,113961,1,0,2
245295,5,3,0,2226,112449,1,0,2
245300,2,2,0,2226,169994,1,0,8
245303,2,2,0,2226,173367,5,0,2
245304,2,2,0,2226,68784,1,0,2
245308,4,2,0,2226,84560,1,0,8
245311,3,3,0,2226,95480,1,0,2
245312,3,2,0,2226,154552,3,0,2
245328,3,2,0,2226,297150,1,0,2
245332,2,2,0,2226,98235,1,0,2
245333,2,1,0,2226,68330,3,0,2
245347,4,2,0,2226,30089,1,0,8
245348,2,2,0,2226,77353,1,0,2
245350,4,2,0,2226,253651,1,0,2
245352,2,2,0,2226,61248,1,0,2
245356,2,1,0,2226,135867,1,0,8
245361,4,1,0,2226,231344,1,0,2
245362,5,3,0,2226,76331,3,0,2
245363,3,1,0,2226,76785,3,0,2
245367,3,3,0,2226,102312,1,0,2
245368,3,2,0,2226,65462,1,0,2
245372,2,0,0,2226,130512,1,0,2
245374,4,2,0,2226,90349,1,0,8
245376,4,2,0,2226,275958,1,0,2
245378,4,2,0,2226,86433,1,0,8
245386,5,2,0,2226,167009,1,0,8
245390,3,2,0,2226,101706,1,0,2
245392,2,2,0,2226,289343,1,0,8
245400,4,2,0,2226,85582,1,0,2
245404,2,2,0,2226,99391,1,0,2
245406,3,3,0,2226,96802,1,0,8
245411,2,1,0,2226,73948,1,0,8
245413,3,2,0,2226,112339,1,0,2
245419,4,2,0,2226,155071,1,0,2
245424,4,1,0,2226,84788,1,0,2
245426,2,1,0,2226,1610,3,0,2
245434,4,3,0,2226,104901,1,0,8
245436,2,1,0,2226,67497,3,0,2
245444,5,2,0,2226,65898,1,0,2
245447,2,1,0,2226,287112,2,0,8
245449,4,3,0,2226,170513,1,0,2
245455,3,2,0,2226,161949,1,0,2
245457,3,1,0,2226,44939,1,0,8
245459,2,2,0,2226,79340,1,0,2
245462,2,1,0,2226,134712,2,0,2
245464,4,4,0,2226,94819,1,0,2
245476,2,2,0,2226,290459,1,0,8
245480,2,0,0,2226,97573,1,0,2
245483,2,2,0,2226,121866,1,0,2
245484,5,3,0,2226,56308,1,0,2
245486,2,2,0,2226,105893,3,0,2
245489,2,0,0,2226,87683,1,0,2
245490,2,0,0,2226,68500,1,0,2
245497,3,2,0,2226,83596,1,0,2
245503,5,2,0,2226,30151,1,0,2
245511,2,1,0,2226,50755,1,0,2
245516,2,1,0,2226,76502,2,0,2
245522,2,2,0,2226,46186,1,0,2
245526,2,1,0,2226,124707,1,0,2
245529,4,2,0,2226,100658,1,0,2
245542,3,2,0,2226,96086,1,0,8
245546,2,0,0,2226,44243,3,0,2
245548,2,0,0,2226,129895,1,0,8
245549,2,1,0,2226,87342,2,0,2
245551,2,1,0,2226,146247,1,0,2
245552,2,1,0,2226,23006,1,0,2
245565,4,3,0,2226,47818,1,0,2
245569,4,2,0,2226,67989,1,0,8
245583,2,2,0,2226,33283,1,0,2
245591,3,1,0,2226,152606,1,0,2
245595,3,1,0,2226,26811,1,0,2
245598,4,4,0,2226,166101,3,0,2
245610,2,1,0,2226,26629,1,0,2
245611,2,2,0,2226,89952,1,0,2
245613,3,2,0,2226,175573,1,0,8
245624,2,2,0,2226,2416,1,0,8
245632,2,1,0,2226,110851,1,0,2
245633,4,2,0,2226,8857,3,0,2
245635,3,1,0,2226,152735,1,0,8
245640,2,2,0,2226,154942,2,0,8
245644,2,2,0,2226,111237,1,0,8
245648,5,1,0,2226,110411,2,0,2
245652,2,1,0,2226,79169,1,0,2
245653,2,1,0,2226,58270,7,0,2
245656,3,3,0,2226,117914,1,0,2
245666,2,1,0,2226,71792,3,0,2
245670,2,1,0,2226,160521,2,0,2
245683,2,0,0,2226,72813,1,0,8
250373,2,2,0,2230,108548,2,0,2
250376,2,0,0,2230,16896,1,0,2
250377,3,1,0,2205,5176,1,0,2
250379,2,0,0,2230,69521,1,0,1
250392,2,2,0,2205,305387,1,0,2
250393,2,0,0,2205,67363,1,0,2
250394,2,2,0,2205,105043,1,0,2
250395,2,1,0,2205,156535,1,0,2
250396,4,2,0,2205,59561,1,0,2
250413,2,0,0,2205,11921,1,0,2
250414,2,1,0,2205,13324,3,0,2
250418,1,1,0,2205,28544,6,0,2
250427,2,2,0,2230,117081,1,0,2
250428,2,1,0,2205,46867,1,0,2
250431,1,0,0,2230,81723,6,0,2
250433,3,2,0,2230,61358,1,0,3
250437,2,1,0,2230,90846,1,0,2
250451,3,1,0,2230,53016,2,0,2
250461,2,1,0,2230,87058,1,0,2
250470,2,2,0,2230,58422,1,0,2
250482,2,1,0,2205,30995,1,0,2
250488,2,1,0,2230,64645,1,0,2
250509,2,2,0,2230,156390,1,0,1
250526,3,2,0,2205,93542,3,0,2
250535,3,0,0,2205,112771,3,0,2
250538,2,2,0,2205,14516,1,0,2
250541,2,1,0,2205,169568,3,0,2
250544,2,0,0,2230,16258,1,0,2
250545,4,2,0,2230,16200,1,0,2
250549,2,0,0,2205,63681,3,0,2
250553,2,2,0,2205,188303,2,0,2
250566,2,1,0,2205,134552,1,0,3
250595,2,2,0,2205,177099,1,0,2
250597,4,4,0,2205,74969,3,0,2
250659,2,0,0,2230,32316,1,0,2
250669,2,1,0,2230,35591,3,0,2
250676,2,0,0,2205,6384,1,0,2
250707,2,2,0,2205,112501,1,0,2
250708,2,1,0,2205,110435,1,0,2
250717,3,2,0,2205,109446,1,0,2
250723,3,0,0,2230,34925,2,0,2
250743,2,0,0,2205,16025,7,0,2
250755,2,1,0,2230,40907,1,0,2
250766,3,2,0,2205,106391,1,0,2
250783,4,3,0,2205,108997,1,0,2
250787,4,0,0,2230,22593,1,0,2
250796,2,1,0,2230,24351,1,0,2
250815,2,2,0,2205,45496,1,0,2
250821,2,1,0,2230,65873,1,0,2
250823,2,2,0,2205,73834,2,0,2
250825,4,1,0,2230,40858,1,0,1
250833,1,0,0,2205,174202,6,0,2
250834,3,2,0,2230,98124,3,0,2
250851,2,0,0,2205,34081,1,0,2
250864,3,0,0,2205,50399,1,0,2
250866,2,1,0,2230,48404,1,0,2
250872,2,0,0,2205,7246,1,0,2
250879,1,0,0,2230,35642,4,0,2
250886,1,1,0,2230,6642,4,0,2
250891,2,1,0,2230,148861,1,0,2
250899,2,2,0,2205,39821,7,0,2
250901,4,3,0,2205,77466,3,0,2
250907,4,2,0,2230,35259,1,0,2
250909,3,1,0,2205,38597,3,0,2
250918,2,1,0,2230,84164,7,0,2
250923,4,2,0,2205,58948,3,0,2
250924,1,1,0,2230,87966,4,0,2
250936,2,0,0,2205,35873,1,0,2
250949,2,0,0,2205,147992,1,0,2
