PERID,household_id,age,RELATE,ESR,GRADE,PNUM,PAUG,DDP,sex,WEEKS,HOURS,MSP,POVERTY,EARNS,pagecat,pemploy,pstudent,ptype,padkid
26418,26418,27,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
26422,26422,56,1,6,0,1,0,0,2,0,0,6,231,0,7,3,3,4,2
26438,26438,60,1,6,0,1,0,0,1,29,40,6,316,27000,7,3,3,4,2
26440,26440,51,1,6,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
26441,26441,51,1,6,0,1,0,0,1,0,0,4,211,0,7,3,3,4,2
26464,26464,25,1,6,0,1,0,0,1,52,40,6,289,25000,5,3,3,4,2
26477,26477,24,1,6,7,1,0,0,2,10,40,6,42,2400,4,3,2,3,2
26478,26478,46,1,6,0,1,0,0,1,0,0,6,53,0,6,3,3,4,2
26485,26485,30,1,6,0,1,0,0,2,0,0,6,84,0,5,3,3,4,2
26495,26495,20,1,3,0,1,0,0,2,0,0,6,88,0,4,3,3,4,2
26524,26524,54,1,6,0,1,0,0,1,0,0,3,104,0,7,3,3,4,2
26529,26529,44,1,6,6,1,0,0,2,0,0,6,1,0,6,3,2,3,2
26537,26537,49,1,6,0,1,0,0,1,48,48,6,289,25000,6,3,3,4,2
26538,26538,44,1,3,0,1,0,0,1,4,40,6,67,800,6,3,3,4,2
26578,26578,27,1,6,7,1,0,0,2,52,40,2,84,7200,5,3,2,3,2
26579,26579,54,1,3,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
26589,26589,31,1,3,6,1,0,0,1,0,0,6,1,0,5,3,2,3,2
26599,26599,60,1,6,0,1,0,0,1,0,0,6,98,0,7,3,3,4,2
26601,26601,57,1,3,0,1,0,0,2,0,0,4,51,0,7,3,3,4,2
26633,26633,39,1,6,0,1,0,0,1,12,30,6,59,2000,6,3,3,4,2
26676,26676,52,1,6,0,1,0,0,1,32,40,4,182,15700,7,3,3,4,2
26685,26685,57,1,6,0,1,0,0,2,0,0,4,106,0,7,3,3,4,2
26686,26686,39,1,6,0,1,0,0,1,0,0,6,1,0,6,3,3,4,2
26691,26691,43,1,6,0,1,0,0,2,0,0,6,108,0,6,3,3,4,2
26698,26698,55,1,6,0,1,0,0,2,0,0,4,1,0,7,3,3,4,2
26737,26737,40,1,6,6,1,0,0,1,13,50,6,95,4000,6,3,2,3,2
26741,26741,63,1,6,0,1,0,0,1,0,0,4,18,0,7,3,3,4,2
26745,26745,22,1,6,0,1,0,0,1,0,0,6,1,0,4,3,3,4,2
26766,26766,60,1,6,0,1,0,0,2,0,0,3,82,0,7,3,3,4,2
26783,26783,52,1,6,0,1,0,0,1,0,0,6,21,0,7,3,3,4,2
26789,26789,49,1,3,6,1,0,0,1,0,0,6,231,0,6,3,2,3,2
26809,26809,54,1,3,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
26820,26820,25,1,6,6,1,0,0,2,0,0,6,1,0,5,3,2,3,2
26823,26823,26,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
26829,26829,60,1,6,0,1,0,0,1,0,0,6,98,0,7,3,3,4,2
26832,26832,51,1,6,0,1,0,0,2,0,0,3,90,0,7,3,3,4,2
26840,26840,49,1,6,0,1,0,0,1,0,0,4,127,0,6,3,3,4,2
26841,26841,32,1,6,5,1,0,0,1,0,0,6,139,0,5,3,1,3,2
26844,26844,51,1,3,0,1,0,0,1,0,0,6,41,0,7,3,3,4,2
26859,26859,48,1,6,0,1,0,0,1,0,0,6,216,0,6,3,3,4,2
26860,26860,44,1,6,0,1,0,0,1,0,0,6,84,0,6,3,3,4,2
26868,26868,24,1,3,6,1,0,0,1,0,0,6,1,0,4,3,2,3,2
26886,26886,61,1,6,0,1,0,0,1,0,0,3,104,0,7,3,3,4,2
26899,26899,62,1,6,0,1,0,0,1,0,0,6,94,0,7,3,3,4,2
26910,26910,41,1,6,0,1,0,0,1,52,40,6,289,25000,6,3,3,4,2
26916,26916,21,1,6,6,1,0,0,2,52,25,6,140,12000,4,3,2,3,2
26925,26925,30,1,6,0,1,0,0,2,0,0,6,84,0,5,3,3,4,2
26927,26927,42,1,6,0,1,0,0,1,0,0,4,109,0,6,3,3,4,2
26932,26932,39,1,6,0,1,0,0,1,36,30,6,104,9000,6,3,3,4,2
26933,26933,34,1,6,0,1,0,0,1,0,0,6,9,0,5,3,3,4,2
26934,26934,31,1,3,0,1,0,0,2,52,37,4,150,13000,5,3,3,4,2
26936,26936,57,1,6,0,1,0,0,1,0,0,6,94,0,7,3,3,4,2
26961,26961,41,1,6,6,1,0,0,1,20,70,6,192,15600,6,3,2,3,2
26970,26970,50,1,6,0,1,0,0,2,22,24,6,165,12400,7,3,3,4,2
26976,26976,27,1,6,7,1,0,0,2,12,50,6,208,18000,5,3,2,3,2
26990,26990,49,1,6,0,1,0,0,2,0,0,3,73,0,6,3,3,4,2
26991,26991,51,1,3,0,1,0,0,2,15,40,6,35,3000,7,3,3,4,2
26993,26993,44,1,3,0,1,0,0,1,0,0,6,1,0,6,3,3,4,2
27026,27026,63,1,6,0,1,0,0,1,0,0,6,106,0,7,3,3,4,2
27027,27027,52,1,6,0,1,0,0,1,0,0,6,104,0,7,3,3,4,2
27029,27029,51,1,6,0,1,0,0,2,0,0,4,44,0,7,3,3,4,2
27033,27033,58,1,6,6,1,0,0,1,0,0,6,89,0,7,3,2,3,2
27040,27040,29,1,6,0,1,0,0,1,0,0,2,157,0,5,3,3,4,2
27048,27048,58,1,3,0,1,0,0,2,0,0,6,186,0,7,3,3,4,2
27054,27054,52,1,6,0,1,0,0,1,0,0,4,277,0,7,3,3,4,2
27061,27061,22,1,6,6,1,0,0,2,0,0,6,1,0,4,3,2,3,2
27067,27067,58,1,6,0,1,0,0,1,0,0,2,179,0,7,3,3,4,2
27083,27083,51,1,6,0,1,0,0,2,0,0,4,49,0,7,3,3,4,2
27088,27088,25,1,6,6,1,0,0,1,0,0,6,1,0,5,3,2,3,2
27132,27132,56,1,6,0,1,0,0,1,10,20,6,40,900,7,3,3,4,2
27158,27158,49,1,6,0,1,0,0,1,48,48,6,289,25000,6,3,3,4,2
27164,27164,44,1,6,0,1,0,0,1,0,0,6,185,0,6,3,3,4,2
27174,27174,60,1,6,0,1,0,0,1,0,0,6,108,0,7,3,3,4,2
27181,27181,61,1,6,0,1,0,0,1,0,0,4,48,0,7,3,3,4,2
27182,27182,21,1,6,6,1,0,0,2,0,0,6,1,0,4,3,2,3,2
27187,27187,52,1,6,0,1,0,0,1,32,40,4,182,15700,7,3,3,4,2
27190,27190,31,1,3,6,1,0,0,1,0,0,6,1,0,5,3,2,3,2
27196,27196,32,1,6,0,1,0,0,1,0,0,4,95,0,5,3,3,4,2
27199,27199,52,1,6,0,1,0,0,2,0,0,6,89,0,7,3,3,4,2
27208,27208,48,1,6,0,1,0,0,1,0,0,6,146,0,6,3,3,4,2
27236,27236,64,1,6,0,1,0,0,1,0,0,6,96,0,7,3,3,4,2
27239,27239,39,1,6,0,1,0,0,2,0,0,6,1,0,6,3,3,4,2
27260,27260,25,1,6,6,1,0,0,2,0,0,6,1,0,5,3,2,3,2
27271,27271,50,1,6,0,1,0,0,2,22,24,6,165,12400,7,3,3,4,2
27300,27300,60,1,6,0,1,0,0,1,0,0,4,97,0,7,3,3,4,2
27302,27302,55,1,6,0,1,0,0,1,0,0,6,232,0,7,3,3,4,2
27329,27329,55,1,6,0,1,0,0,2,0,0,4,1,0,7,3,3,4,2
27361,27361,46,1,6,0,1,0,0,1,0,0,6,180,0,6,3,3,4,2
27367,27367,21,1,6,6,1,0,0,2,52,25,6,140,12000,4,3,2,3,2
27369,27369,27,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
27377,27377,49,1,6,0,1,0,0,1,0,0,4,97,0,6,3,3,4,2
27389,27389,40,1,3,0,1,0,0,1,48,32,6,280,23000,6,3,3,4,2
27397,27397,29,1,6,0,1,0,0,2,0,0,6,1,0,5,3,3,4,2
27412,27412,21,1,6,6,1,0,0,2,0,0,6,1,0,4,3,2,3,2
27414,27414,50,1,6,0,1,0,0,1,0,0,6,139,0,7,3,3,4,2
27415,27415,35,1,6,0,1,0,0,1,50,55,6,210,18200,6,3,3,4,2
27416,27416,32,1,6,0,1,0,0,1,0,0,4,95,0,5,3,3,4,2
27422,27422,41,1,6,0,1,0,0,1,0,0,6,300,0,6,3,3,4,2
27462,27462,60,1,6,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
27477,27477,63,1,6,0,1,0,0,1,0,0,3,89,0,7,3,3,4,2
27480,27480,44,1,6,6,1,0,0,2,0,0,6,1,0,6,3,2,3,2
27482,27482,52,1,6,0,1,0,0,1,0,0,6,151,0,7,3,3,4,2
27501,27501,27,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
27506,27506,58,1,6,0,1,0,0,1,0,0,6,81,0,7,3,3,4,2
27513,27513,50,1,6,0,1,0,0,2,22,24,6,165,12400,7,3,3,4,2
27514,27514,63,1,6,0,1,0,0,1,0,0,4,18,0,7,3,3,4,2
27547,27547,47,1,6,0,1,0,0,1,0,0,4,109,0,6,3,3,4,2
27551,27551,40,1,3,0,1,0,0,1,48,32,6,280,23000,6,3,3,4,2
27569,27569,58,1,6,0,1,0,0,1,0,0,2,179,0,7,3,3,4,2
27572,27572,60,1,6,0,1,0,0,1,0,0,4,97,0,7,3,3,4,2
27622,27622,48,1,3,6,1,0,0,1,36,40,6,174,14600,6,3,2,3,2
27639,27639,29,1,6,0,1,0,0,2,0,0,6,1,0,5,3,3,4,2
27644,27644,21,1,6,6,1,0,0,2,0,0,6,1,0,4,3,2,3,2
27648,27648,26,1,6,7,1,0,0,2,20,20,6,49,4200,5,3,2,3,2
27650,27650,51,1,6,0,1,0,0,1,0,0,6,29,0,7,3,3,4,2
27659,27659,63,1,6,0,1,0,0,1,0,0,6,106,0,7,3,3,4,2
27668,27668,57,1,6,0,1,0,0,1,0,0,6,106,0,7,3,3,4,2
27670,27670,49,1,6,0,1,0,0,1,48,48,6,289,25000,6,3,3,4,2
27673,27673,23,1,6,0,1,0,0,1,0,0,6,1,0,4,3,3,4,2
27683,27683,50,1,6,0,1,0,0,1,0,0,4,99,0,7,3,3,4,2
27705,27705,30,1,6,0,1,0,0,2,0,0,6,1,0,5,3,3,4,2
27721,27721,60,1,6,0,1,0,0,1,0,0,6,168,0,7,3,3,4,2
27726,27726,52,1,6,0,1,0,0,1,0,0,4,277,0,7,3,3,4,2
27740,27740,43,1,6,0,1,0,0,1,0,0,4,36,0,6,3,3,4,2
27748,27748,57,1,6,0,1,0,0,2,0,0,4,106,0,7,3,3,4,2
27755,27755,21,1,6,7,1,0,0,2,0,0,6,1,0,4,3,2,3,2
27757,27757,36,1,6,0,1,0,0,1,52,10,6,187,1200,6,3,3,4,2
27762,27762,31,1,3,6,1,0,0,1,0,0,6,1,0,5,3,2,3,2
27765,27765,42,1,6,0,1,0,0,1,0,0,6,113,0,6,3,3,4,2
27767,27767,55,1,6,0,1,0,0,1,0,0,4,48,0,7,3,3,4,2
27782,27782,49,1,3,6,1,0,0,1,0,0,6,231,0,6,3,2,3,2
27809,27809,39,1,6,0,1,0,0,1,0,0,6,1,0,6,3,3,4,2
27816,27816,52,1,6,0,1,0,0,1,0,0,6,21,0,7,3,3,4,2
27825,27825,51,1,6,0,1,0,0,2,0,0,3,90,0,7,3,3,4,2
27827,27827,55,1,6,0,1,0,0,1,0,0,6,162,0,7,3,3,4,2
27829,27829,21,1,6,6,1,0,0,2,52,25,6,140,12000,4,3,2,3,2
27832,27832,54,1,3,0,1,0,0,1,0,0,6,51,0,7,3,3,4,2
27847,27847,31,1,6,0,1,0,0,1,37,40,6,289,25000,5,3,3,4,2
27869,27869,60,1,6,0,1,0,0,2,0,0,3,82,0,7,3,3,4,2
27878,27878,64,1,6,0,1,0,0,1,0,0,6,96,0,7,3,3,4,2
27887,27887,47,1,6,0,1,0,0,1,0,0,6,39,0,6,3,3,4,2
27893,27893,41,1,6,0,1,0,0,1,52,40,6,289,25000,6,3,3,4,2
27904,27904,52,1,6,0,1,0,0,1,0,0,6,94,0,7,3,3,4,2
27917,27917,31,1,3,0,1,0,0,2,52,37,4,150,13000,5,3,3,4,2
27927,27927,51,1,3,0,1,0,0,1,0,0,6,41,0,7,3,3,4,2
27930,27930,42,1,6,0,1,0,0,1,4,65,6,343,15700,6,3,3,4,2
27935,27935,30,1,6,0,1,0,0,2,0,0,6,1,0,5,3,3,4,2
27953,27953,63,1,6,0,1,0,0,1,0,0,4,50,0,7,3,3,4,2
27956,27956,52,1,6,0,1,0,0,1,0,0,4,277,0,7,3,3,4,2
27959,27959,57,1,6,0,1,0,0,1,0,0,6,94,0,7,3,3,4,2
27961,27961,27,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
27983,27983,51,1,6,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
28000,28000,40,1,6,6,1,0,0,1,13,50,6,95,4000,6,3,2,3,2
28015,28015,38,1,6,0,1,0,0,1,0,0,6,92,0,6,3,3,4,2
28025,28025,48,1,6,0,1,0,0,1,0,0,6,108,0,6,3,3,4,2
28036,28036,61,1,3,0,1,0,0,2,6,20,6,155,200,7,3,3,4,2
28041,28041,55,1,6,0,1,0,0,1,0,0,6,115,0,7,3,3,4,2
28042,28042,54,1,6,0,1,0,0,1,0,0,6,109,0,7,3,3,4,2
28056,28056,61,1,6,0,1,0,0,1,0,0,6,111,0,7,3,3,4,2
28068,28068,63,1,3,0,1,0,0,2,0,0,6,67,0,7,3,3,4,2
28116,28116,57,1,6,0,1,0,0,2,0,0,4,210,0,7,3,3,4,2
28136,28136,60,1,6,0,1,0,0,1,0,0,6,108,0,7,3,3,4,2
28144,28144,55,1,6,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
28146,28146,34,1,6,0,1,0,0,1,0,0,6,9,0,5,3,3,4,2
28150,28150,42,1,6,0,1,0,0,1,4,65,6,343,15700,6,3,3,4,2
28158,28158,40,1,6,0,1,0,0,1,52,2,2,167,14500,6,3,3,4,2
28170,28170,42,1,6,0,1,0,0,1,0,0,4,109,0,6,3,3,4,2
28174,28174,56,1,6,0,1,0,0,1,10,20,6,40,900,7,3,3,4,2
28177,28177,33,1,6,0,1,0,0,1,5,30,6,70,6000,5,3,3,4,2
28187,28187,25,1,6,0,1,0,0,1,52,40,6,289,25000,5,3,3,4,2
28235,28235,58,1,6,6,1,0,0,1,0,0,6,89,0,7,3,2,3,2
28275,28275,40,1,6,6,1,0,0,1,13,50,6,95,4000,6,3,2,3,2
28276,28276,60,1,6,0,1,0,0,1,0,0,4,83,0,7,3,3,4,2
28298,28298,40,1,3,0,1,0,0,2,4,25,4,57,4500,6,3,3,4,2
28315,28315,48,1,6,0,1,0,0,1,0,0,6,146,0,6,3,3,4,2
28363,28363,40,1,6,6,1,0,0,1,0,0,6,200,0,6,3,2,3,2
28380,28380,30,1,6,0,1,0,0,2,0,0,6,1,0,5,3,3,4,2
28390,28390,51,1,6,0,1,0,0,2,0,0,4,49,0,7,3,3,4,2
28409,28409,63,1,6,0,1,0,0,1,0,0,4,18,0,7,3,3,4,2
28420,28420,45,1,6,0,1,0,0,1,0,0,6,1,0,6,3,3,4,2
28442,28442,31,1,6,0,1,0,0,1,37,40,6,289,25000,5,3,3,4,2
28455,28455,49,1,6,0,1,0,0,1,48,48,6,289,25000,6,3,3,4,2
28475,28475,50,1,6,0,1,0,0,1,40,40,6,81,7000,7,3,3,4,2
28476,28476,58,1,6,0,1,0,0,1,0,0,6,70,0,7,3,3,4,2
28489,28489,53,1,6,0,1,0,0,1,0,0,4,171,0,7,3,3,4,2
28491,28491,52,1,6,0,1,0,0,1,0,0,6,21,0,7,3,3,4,2
28510,28510,48,1,6,0,1,0,0,1,0,0,6,108,0,6,3,3,4,2
28511,28511,44,1,3,0,1,0,0,1,0,0,6,1,0,6,3,3,4,2
28515,28515,52,1,6,0,1,0,0,1,0,0,6,104,0,7,3,3,4,2
28527,28527,25,1,6,6,1,0,0,2,0,0,6,1,0,5,3,2,3,2
28533,28533,37,1,6,0,1,0,0,1,0,0,6,52,0,6,3,3,4,2
28541,28541,34,1,6,0,1,0,0,1,0,0,6,9,0,5,3,3,4,2
28553,28553,32,1,6,0,1,0,0,1,0,0,4,95,0,5,3,3,4,2
28555,28555,50,1,6,0,1,0,0,1,48,40,4,111,9600,7,3,3,4,2
28618,28618,47,1,6,0,1,0,0,1,21,40,6,328,28300,6,3,3,4,2
28642,28642,32,1,6,0,1,0,0,1,0,0,4,95,0,5,3,3,4,2
28649,28649,57,1,6,0,1,0,0,1,0,0,6,104,0,7,3,3,4,2
28650,28650,48,1,3,0,1,0,0,1,39,27,6,314,25000,6,3,3,4,2
28657,28657,40,1,6,6,1,0,0,1,0,0,6,200,0,6,3,2,3,2
28659,28659,42,1,6,0,1,0,0,1,4,65,6,343,15700,6,3,3,4,2
28676,28676,54,1,6,0,1,0,0,1,0,0,3,104,0,7,3,3,4,2
28684,28684,48,1,6,0,1,0,0,1,0,0,6,108,0,6,3,3,4,2
28694,28694,19,1,3,0,1,0,0,2,40,40,6,174,15000,4,3,3,4,2
28746,28746,55,1,6,0,1,0,0,1,0,0,4,50,0,7,3,3,4,2
28757,28757,51,1,6,0,1,0,0,2,0,0,4,44,0,7,3,3,4,2
28766,28766,61,1,6,0,1,0,0,1,40,40,4,341,15600,7,3,3,4,2
28774,28774,63,1,3,0,1,0,0,2,0,0,6,67,0,7,3,3,4,2
28794,28794,40,1,6,0,1,0,0,1,52,2,2,167,14500,6,3,3,4,2
28825,28825,26,1,6,6,1,0,0,2,24,52,4,260,22500,5,3,2,3,2
28827,28827,55,1,6,0,1,0,0,2,0,0,4,1,0,7,3,3,4,2
28836,28836,50,1,6,0,1,0,0,1,40,40,6,81,7000,7,3,3,4,2
28841,28841,30,1,6,0,1,0,0,2,0,0,6,1,0,5,3,3,4,2
28856,28856,49,1,6,0,1,0,0,1,48,48,6,289,25000,6,3,3,4,2
28860,28860,21,1,6,6,1,0,0,2,0,0,6,1,0,4,3,2,3,2
28861,28861,56,1,3,0,1,0,0,1,0,0,6,102,0,7,3,3,4,2
28872,28872,60,1,6,0,1,0,0,1,0,0,6,108,0,7,3,3,4,2
28875,28875,52,1,6,0,1,0,0,2,0,0,4,94,0,7,3,3,4,2
28913,28913,51,1,3,0,1,0,0,1,0,0,6,41,0,7,3,3,4,2
28927,28927,60,1,6,0,1,0,0,1,0,0,6,168,0,7,3,3,4,2
28928,28928,30,1,6,0,1,0,0,1,49,43,6,204,17600,5,3,3,4,2
28936,28936,24,1,6,7,1,0,0,2,10,40,6,42,2400,4,3,2,3,2
28939,28939,25,1,6,6,1,0,0,2,0,0,6,1,0,5,3,2,3,2
28941,28941,42,1,6,0,1,0,0,1,0,0,6,113,0,6,3,3,4,2
28950,28950,56,1,6,0,1,0,0,1,10,20,6,40,900,7,3,3,4,2
28987,28987,51,1,6,0,1,0,0,2,0,0,4,44,0,7,3,3,4,2
29003,29003,42,1,6,0,1,0,0,1,0,0,6,71,0,6,3,3,4,2
29004,29004,20,1,3,0,1,0,0,2,0,0,6,88,0,4,3,3,4,2
29024,29024,47,1,6,6,1,0,0,1,20,40,6,204,11500,6,3,2,3,2
29055,29055,59,1,6,0,1,0,0,2,0,0,3,103,0,7,3,3,4,2
29104,29104,64,1,6,0,1,0,0,1,0,0,6,96,0,7,3,3,4,2
29116,29116,46,1,6,0,1,0,0,1,8,20,6,243,6000,6,3,3,4,2
29121,29121,48,1,6,0,1,0,0,1,0,0,6,108,0,6,3,3,4,2
29127,29127,39,1,6,0,1,0,0,2,0,0,6,1,0,6,3,3,4,2
29135,29135,62,1,6,0,1,0,0,1,0,0,4,197,0,7,3,3,4,2
29136,29136,42,1,6,0,1,0,0,1,4,65,6,343,15700,6,3,3,4,2
29143,29143,51,1,3,0,1,0,0,1,0,0,6,41,0,7,3,3,4,2
29152,29152,60,1,6,0,1,0,0,1,0,0,5,220,0,7,3,3,4,2
29158,29158,30,1,6,0,1,0,0,1,49,43,6,204,17600,5,3,3,4,2
29161,29161,37,1,6,5,1,0,0,1,0,0,6,4,0,6,3,1,3,2
29167,29167,39,1,6,0,1,0,0,1,0,0,6,12,0,6,3,3,4,2
29172,29172,26,1,6,7,1,0,0,1,0,0,6,1,0,5,3,2,3,2
29186,29186,55,1,6,0,1,0,0,1,0,0,4,50,0,7,3,3,4,2
29208,29208,54,1,3,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
29210,29210,60,1,6,0,1,0,0,1,0,0,6,1,0,7,3,3,4,2
29212,29212,57,1,6,0,1,0,0,2,0,0,4,210,0,7,3,3,4,2
29233,29233,42,1,6,0,1,0,0,1,0,0,6,71,0,6,3,3,4,2
29269,29269,61,1,6,0,1,0,0,1,0,0,4,70,0,7,3,3,4,2
29286,29286,52,1,6,0,1,0,0,1,40,50,4,84,6100,7,3,3,4,2
29292,29292,34,1,6,0,1,0,0,1,0,0,6,9,0,5,3,3,4,2
29293,29293,27,1,6,0,1,0,0,1,0,0,6,1,0,5,3,3,4,2
