Label,Description,Expression,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
util_WALK_EXP_Destination_zone_densityIndex,WALK_EXP - Destination zone densityIndex,@density_index_multiplier * df.dest_density_index,,,,,,,,,,,coef_ivt,,,,,,,,,,
util_WALK_EXP_Topology,WALK_EXP - Topology,@coef_topology_trn_multiplier * df.dest_topology,,,,,,,,,,,coef_ivt,,,,,,,,,,
util_WALK_EXP_Person_is_less_than_10_years_old,WALK_EXP - Person is less than 10 years old,@(df.age <= 10),,,,,,,,,,,coef_age010_trn_multiplier,,,,,,,,,,
#,Walk to Heavy Rail,,,,,,,,,,,,,,,,,,,,,,
util_WALK_HVY_Unavailable,WALK_HVY - Unavailable,walk_heavyrail_available == False,,,,,,,,,,,,-999,,,,,,,,,
util_WALK_HVY_In_vehicle_time,WALK_HVY - In-vehicle time,@(odt_skims['WLK_HVY_WLK_TOTIVT']/100 + dot_skims['WLK_HVY_WLK_TOTIVT']/100),,,,,,,,,,,,coef_ivt,,,,,,,,,
util_WALK_HVY_In_vehicle_time_on_heavy_rail,WALK_HVY - In-vehicle time on heavy rail (incremental w/ ivt),@(ivt_hvy_multiplier-1) * (odt_skims['WLK_HVY_WLK_KEYIVT']/100 + dot_skims['WLK_HVY_WLK_KEYIVT']/100),,,,,,,,,,,,coef_ivt,,,,,,,,,
util_WALK_HVY_Short_iwait_time,WALK_HVY - Short iwait time,@short_i_wait_multiplier * ((odt_skims['WLK_HVY_WLK_IWAIT']/100).clip(upper=waitThresh) + (dot_skims['WLK_HVY_WLK_IWAIT']/100).clip(upper=waitThresh)),,,,,,,,,,,,coef_ivt,,,,,,,,,
util_WALK_HVY_Long_iwait_time,WALK_HVY - Long iwait time,@long_i_wait_multiplier * ((odt_skims['WLK_HVY_WLK_IWAIT']/100-waitThresh).clip(0) + (dot_skims['WLK_HVY_WLK_IWAIT']/100-waitThresh).clip(0)),,,,,,,,,,,,coef_ivt,,,,,,,,,
util_WALK_HVY_transfer_wait_time,WALK_HVY - transfer wait time,@xwait_multiplier * (odt_skims['WLK_HVY_WLK_XWAIT']/100 + dot_skims['WLK_HVY_WLK_XWAIT']/100),,,,,,,,,,,,coef_ivt,,,,,,,,,
util_WALK_HVY_number_of_transfers,WALK_HVY - number of transfers,@xfers_wlk_multiplier * ((odt_skims['WLK_HVY_WLK_BOARDS']-1).clip(0) + (dot_skims['WLK_HVY_WLK_BOARDS']-1).clip(0)),,,,,,,,,,,,coef_ivt,,,,,,,,,
util_WALK_HVY_Walk_access_time,WALK_HVY - Walk access time,@2 * wacc_multiplier * df.origin_walk_time,,,,,,,,,,,,coef_ivt,,,,,,,,,
util_WALK_HVY_Walk_egress_time,WALK_HVY - Walk egress time,@wegr_multiplier * 2 *df.destination_walk_time,,,,,,,,,,,,coef_ivt,,,,,,,,,
